SLAMBench Report run started:	2020-02-29 03:22:40

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/ICL3-ISD-INT-00080.log
input: datasets/ICL_NUIM/living_room_traj3_loop.slam
load-slam-library: ./build/lib/liblsdslam-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libint-skip-flow-filter.so
camera-path: 
package-path: benchmarks/lsdslam/src/cpp/
kfusage: 5
kfdist: 5
minUseGrad: 5
fabmap: true
kfreactive: false
subpixelstereo: true
maxLoopClosureCandiates: 20
randSeed: 1
use-pose-optim: true
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.4000000000	0.0135924891	0.0135924891	0.0135924891	0.0000000000	0.0078220000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.7600000000	0.0121572874	0.0128748883	0.0135924891	0.0103892637	0.0489030000	0	0	209321984	-0.0016020795	-0.0017920176	-0.0013872891
3	0.8000000000	0.0112357689	0.0123285151	0.0135924891	0.0093176230	0.0252600000	0	0	209321984	-0.0008796245	-0.0024682891	-0.0011066176
4	0.9600000000	0.0167029481	0.0134221234	0.0167029481	0.0098266471	0.0248770000	0	0	209321984	0.0035381324	-0.0023153382	-0.0033733521
5	1.0000000000	0.0160457399	0.0139468467	0.0167029481	0.0086016367	0.0219750000	0	0	209321984	0.0019479188	-0.0041718083	-0.0037389034
6	1.0400000000	0.0196684301	0.0149004439	0.0196684301	0.0078758940	0.0208580000	0	0	209321984	0.0023175185	-0.0044936440	-0.0046281894
7	1.0800000000	0.0193133466	0.0155308586	0.0196684301	0.0072919560	0.0208730000	0	0	209321984	0.0036089497	-0.0062458129	-0.0052445251
8	1.1200000000	0.0222091787	0.0163656486	0.0222091787	0.0069050205	0.0208520000	0	0	209321984	0.0033303697	-0.0055652629	-0.0056004608
9	1.1600000000	0.0232414454	0.0171296260	0.0232414454	0.0065246059	0.0225830000	0	0	209321984	0.0041019553	-0.0050301128	-0.0056199902
10	1.2400000000	0.0253688991	0.0179535533	0.0253688991	0.0070612784	0.0216530000	0	0	209321984	0.0037797261	-0.0046066763	-0.0063267895
11	1.2800000000	0.0247487966	0.0185713027	0.0253688991	0.0076473832	0.0221250000	0	0	209321984	0.0035000623	-0.0053090048	-0.0066060820
12	1.3200000000	0.0307662785	0.0195875507	0.0307662785	0.0077112684	0.0253670000	0	0	209321984	0.0044179969	-0.0052186251	-0.0077237887
13	1.4000000000	0.0295738522	0.0203557277	0.0307662785	0.0081720789	0.0254320000	0	0	209321984	0.0088257827	-0.0038486903	-0.0104804402
14	1.4400000000	0.0340647884	0.0213349464	0.0340647884	0.0079449890	0.0250770000	0	0	209321984	0.0065338286	-0.0064270240	-0.0105886301
15	1.4800000000	0.0338829160	0.0221714777	0.0340647884	0.0076568219	0.0248530000	0	0	209321984	0.0065476233	-0.0069247028	-0.0106410729
16	1.5200000000	0.0325631611	0.0228209579	0.0340647884	0.0074333221	0.0243710000	0	0	209321984	0.0089586405	-0.0083788242	-0.0112166097
17	1.5600000000	0.0365807042	0.0236303547	0.0365807042	0.0074821341	0.0457460000	0	0	209321984	0.0073295245	-0.0077670286	-0.0113118216
18	1.6000000000	0.0401152410	0.0245461817	0.0401152410	0.0077127658	0.0164350000	0	0	209321984	0.0085350927	-0.0090241600	-0.0113549307
19	1.6400000000	0.0408733934	0.0254055087	0.0408733934	0.0075124488	0.0175120000	0	0	209321984	0.0085879490	-0.0092917234	-0.0117700687
20	1.6800000000	0.0424797125	0.0262592189	0.0424797125	0.0073502142	0.0263350000	0	0	209321984	0.0090725934	-0.0095634349	-0.0123542417
21	1.7200000000	0.0438538454	0.0270970582	0.0438538454	0.0072714426	0.0210470000	0	0	209321984	0.0097537283	-0.0128702456	-0.0120544732
22	1.7600000000	0.0457955226	0.0279469884	0.0457955226	0.0074171196	0.0173640000	0	0	209321984	0.0097046131	-0.0112025579	-0.0125293788
23	1.8000000000	0.0485090688	0.0288409919	0.0485090688	0.0075519145	0.0187960000	0	0	209321984	0.0088904975	-0.0143835209	-0.0123179443
24	1.8400000000	0.0495838635	0.0297052782	0.0495838635	0.0074994129	0.0187270000	0	0	209321984	0.0101397550	-0.0154128876	-0.0125861689
25	1.8800000000	0.0507834144	0.0305484037	0.0507834144	0.0073902464	0.0177420000	0	0	209321984	0.0100093288	-0.0127228471	-0.0127920704
26	1.9200000000	0.0504506342	0.0313138741	0.0507834144	0.0073073953	0.0180770000	0	0	209321984	0.0123475231	-0.0147730354	-0.0133913187
27	1.9600000000	0.0492579713	0.0319784703	0.0507834144	0.0072727976	0.0166270000	0	0	209321984	0.0093379933	-0.0120152123	-0.0148036527
28	2.0000000000	0.0497608371	0.0326135548	0.0507834144	0.0073081684	0.0177370000	0	0	209321984	0.0084031494	-0.0121764326	-0.0148067297
29	2.0400000000	0.0491062887	0.0331822698	0.0507834144	0.0071923546	0.0710370000	0	0	209321984	0.0088645779	-0.0121716354	-0.0149038546
30	2.0800000000	0.0470804758	0.0336455433	0.0507834144	0.0071059892	0.0135770000	0	0	209321984	0.0124631133	-0.0149605507	-0.0158700179
31	2.1200000000	0.0474523157	0.0340909231	0.0507834144	0.0071074333	0.0150310000	0	0	209321984	0.0125564216	-0.0159191955	-0.0157293268
32	2.1600000000	0.0482521541	0.0345334615	0.0507834144	0.0070592227	0.0145060000	0	0	209321984	0.0129472781	-0.0161208585	-0.0159617346
33	2.2000000000	0.0493986905	0.0349839230	0.0507834144	0.0069943230	0.0142150000	0	0	209321984	0.0132649979	-0.0162378661	-0.0160675626
34	2.2400000000	0.0499110520	0.0354229562	0.0507834144	0.0069405240	0.0275570000	0	0	209321984	0.0138823809	-0.0175754409	-0.0166586507
35	2.2800000000	0.0411120802	0.0355855026	0.0507834144	0.0070002236	0.0207100000	0	0	209321984	0.0292338151	-0.0220014136	-0.0199533124
36	2.3200000000	0.0522733405	0.0360490537	0.0522733405	0.0074565744	0.0200310000	0	0	209321984	0.0212438907	-0.0224966127	-0.0175812207
37	2.3600000000	0.0566375218	0.0366054988	0.0566375218	0.0074193081	0.0187220000	0	0	209321984	0.0194861032	-0.0233011916	-0.0170651041
38	2.4000000000	0.0538368486	0.0370589553	0.0566375218	0.0073716067	0.0192680000	0	0	209321984	0.0224387012	-0.0237005875	-0.0181577690
39	2.4400000000	0.0572563633	0.0375768376	0.0572563633	0.0074119982	0.0193860000	0	0	209321984	0.0205308646	-0.0237858091	-0.0173065457
40	2.4800000000	0.0610485412	0.0381636302	0.0610485412	0.0073956083	0.0191270000	0	0	209321984	0.0232981406	-0.0252508298	-0.0170431882
41	2.5200000000	0.0669005439	0.0388645305	0.0669005439	0.0073163070	0.0187190000	0	0	209321984	0.0197473895	-0.0249430463	-0.0168155693
42	2.5600000000	0.0635635480	0.0394526024	0.0669005439	0.0072489929	0.0172630000	0	0	209321984	0.0245934594	-0.0263322424	-0.0182381533
43	2.6000000000	0.0653089210	0.0400539121	0.0669005439	0.0071817439	0.0228980000	0	0	209321984	0.0202804245	-0.0264106393	-0.0173715968
44	2.6400000000	0.0637882277	0.0405933284	0.0669005439	0.0071722626	0.0189660000	0	0	209321984	0.0229033977	-0.0272371303	-0.0184621755
45	2.6800000000	0.0703377947	0.0412543165	0.0703377947	0.0071831879	0.0177190000	0	0	209321984	0.0197072644	-0.0224064291	-0.0173106845
46	2.7200000000	0.0661396235	0.0417953014	0.0703377947	0.0071476628	0.0217130000	0	0	209321984	0.0262015108	-0.0250643175	-0.0193142574
47	2.7600000000	0.0691135898	0.0423765416	0.0703377947	0.0071597820	0.0533530000	0	0	209321984	0.0252073947	-0.0230482351	-0.0196291283
48	2.8000000000	0.0660450906	0.0428696364	0.0703377947	0.0072004398	0.0278020000	0	0	209321984	0.0315950215	-0.0219508335	-0.0214070547
49	2.8400000000	0.0647065789	0.0433152883	0.0703377947	0.0071688064	0.0202350000	0	0	209321984	0.0351648033	-0.0248790905	-0.0226174388
50	2.8800000000	0.0694411099	0.0438378047	0.0703377947	0.0072209473	0.0187150000	0	0	209321984	0.0336898826	-0.0242061224	-0.0227488447
51	2.9200000000	0.0684930757	0.0443212414	0.0703377947	0.0072882073	0.0189400000	0	0	209321984	0.0381044038	-0.0263630096	-0.0247961935
52	2.9600000000	0.0681265369	0.0447790355	0.0703377947	0.0072578220	0.0199020000	0	0	209321984	0.0453354754	-0.0302871708	-0.0262159090
53	3.0000000000	0.0732635781	0.0453164797	0.0732635781	0.0073303972	0.0174330000	0	0	209321984	0.0449361019	-0.0340294540	-0.0264728740
54	3.0400000000	0.0753369629	0.0458724146	0.0753369629	0.0073134989	0.0160660000	0	0	209321984	0.0451187864	-0.0327702910	-0.0269651245
55	3.0800000000	0.0799905360	0.0464927441	0.0799905360	0.0072527703	0.0181460000	0	0	209321984	0.0444482081	-0.0332105309	-0.0266217887
