SLAMBench Report run started:	2020-02-29 03:26:32

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/ICL3-KF-DEP-00020.log
input: datasets/ICL_NUIM/living_room_traj3_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.1600000000	0.0062459633	0.0062459633	0.0062459633	0.0000000000	0.3906300000	0.0543620000	0.0165830000	0.0305630000	0.0000030000	0.2889840000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.5200000000	0.0133877806	0.0098168720	0.0133877806	0.0142640639	0.0970990000	0.0536510000	0.0111840000	0.0304330000	0.0000010000	0.0017980000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.9200000000	0.0186050572	0.0127462670	0.0186050572	0.0170686468	0.0970930000	0.0536300000	0.0111900000	0.0304220000	0.0000010000	0.0018180000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1.0000000000	0.0217797663	0.0150046418	0.0217797663	0.0166990043	0.3816380000	0.0536200000	0.0111980000	0.0304400000	0.2844320000	0.0019150000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1.0800000000	0.0121639911	0.0144365117	0.0217797663	0.0191167839	0.7091990000	0.0535920000	0.0512010000	0.0305740000	0.2841600000	0.2896360000	0	0	209321984	4.0048470497	3.9900891781	3.9876971245
6	1.1200000000	0.0126849050	0.0141445772	0.0217797663	0.0171877830	0.3953530000	0.0535970000	0.0539100000	0.0000000000	0.2859010000	0.0019110000	0	0	209321984	4.0057525635	3.9885218143	3.9866366386
7	1.2000000000	0.0127672590	0.0139478175	0.0217797663	0.0159069053	0.4247560000	0.0535790000	0.0537470000	0.0306980000	0.2847750000	0.0019200000	0	0	209321984	4.0137906075	3.9907166958	3.9848592281
8	1.2400000000	0.0130587174	0.0138366800	0.0217797663	0.0148505557	0.3938060000	0.0535690000	0.0515380000	0.0000000000	0.2867320000	0.0019290000	0	0	209321984	4.0141611099	3.9943616390	3.9838235378
9	1.2800000000	0.0131025929	0.0137551147	0.0217797663	0.0142012253	0.7203320000	0.0535710000	0.0602920000	0.0306910000	0.2850870000	0.2906510000	0	0	209321984	4.0153293610	3.9982857704	3.9837417603
10	1.3200000000	0.0134689510	0.0137264984	0.0217797663	0.0136476806	0.4043620000	0.0535700000	0.0603210000	0.0000010000	0.2885120000	0.0019200000	0	0	209321984	4.0233969688	4.0011038780	3.9814713001
