SLAMBench Report run started:	2020-02-29 04:58:28

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/TUM1360-KF-DEP-00020.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_360.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031790.6728661060	0.2222065479	0.2222065479	0.2222065479	0.0000000000	0.3213600000	0.0444650000	0.0150730000	0.0272700000	0.0000030000	0.2343070000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	1305031790.7094209194	0.2262168527	0.2242117003	0.2262168527	0.0329395980	0.0828670000	0.0439490000	0.0098440000	0.0273250000	0.0000010000	0.0016910000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1305031790.7395300865	0.2301491797	0.2261908601	0.2301491797	0.0275311127	0.0827980000	0.0439520000	0.0098440000	0.0272570000	0.0000020000	0.0016880000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1305031790.7735478878	0.2352488637	0.2284553610	0.2352488637	0.0303003357	0.2929400000	0.0439240000	0.0098770000	0.0272360000	0.2101220000	0.0017250000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1305031790.8095209599	0.2376915365	0.2303025961	0.2376915365	0.0395060540	0.5277130000	0.0436960000	0.0909340000	0.0278480000	0.1790860000	0.1860900000	0	0	209321984	3.9991519451	3.9989118576	4.0059242249
6	1305031790.8393630981	0.2368796468	0.2313987712	0.2376915365	0.0365200532	0.2943380000	0.0436380000	0.0599330000	0.0000000000	0.1889400000	0.0017680000	0	0	209321984	4.0053930283	4.0022883415	4.0083003044
7	1305031790.8716061115	0.2406867445	0.2327256245	0.2406867445	0.0340874327	0.3282520000	0.0435260000	0.0804030000	0.0275010000	0.1749570000	0.0018050000	0	0	209321984	4.0079188347	4.0021533966	4.0090560913
8	1305031790.9094359875	0.2426741421	0.2339691892	0.2426741421	0.0330358499	0.2920350000	0.0436290000	0.0609290000	0.0000000000	0.1856530000	0.0017640000	0	0	209321984	4.0025048256	4.0042867661	4.0069603920
9	1305031790.9414949417	0.2436546534	0.2350453519	0.2436546534	0.0311357579	0.4734230000	0.0437370000	0.0525710000	0.0276650000	0.1711300000	0.1782570000	0	0	209321984	3.9999172688	4.0068802834	4.0044255257
10	1305031790.9736959934	0.2451191843	0.2360527351	0.2451191843	0.0302896126	0.3007560000	0.0436610000	0.0761550000	0.0000000000	0.1791240000	0.0017540000	0	0	209321984	4.0005688667	4.0059351921	4.0034213066
