SLAMBench Report run started:	2020-02-29 05:14:39

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/TUM1DESK-KF-DEP-00020.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_desk.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031453.4048159122	0.8731651902	0.8731651902	0.8731651902	0.0000000000	0.2996230000	0.0450500000	0.0154290000	0.0272230000	0.0000030000	0.2117120000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	1305031453.4369409084	0.8663247824	0.8697449863	0.8731651902	0.0285064075	0.0821520000	0.0435660000	0.0098630000	0.0270320000	0.0000010000	0.0016420000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1305031453.4733519554	0.8564026952	0.8652975559	0.8731651902	0.0399216475	0.0829270000	0.0440820000	0.0099080000	0.0272100000	0.0000010000	0.0016770000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1305031453.5052180290	0.8480688930	0.8609903902	0.8731651902	0.0390174885	0.2783910000	0.0440010000	0.0098730000	0.0271870000	0.1955150000	0.0017630000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1305031453.5383009911	0.8438208103	0.8575564742	0.8731651902	0.0406294543	0.5075850000	0.0426370000	0.0572510000	0.0272860000	0.1869430000	0.1934160000	0	0	209321984	4.0115518570	4.0111055374	3.9705688953
6	1305031453.5740740299	0.8340853453	0.8536446194	0.8731651902	0.0370778674	0.3067310000	0.0436440000	0.0602370000	0.0000010000	0.2009580000	0.0018400000	0	0	209321984	4.0150008202	4.0175080299	3.9566848278
7	1305031453.6053140163	0.8290172815	0.8501264283	0.8731651902	0.0344848930	0.3278770000	0.0435370000	0.0585850000	0.0275390000	0.1963490000	0.0018130000	0	0	209321984	4.0163969994	4.0264372826	3.9421908855
8	1305031453.6369509697	0.8237167597	0.8468252197	0.8731651902	0.0327001386	0.3322910000	0.0437270000	0.0816080000	0.0000010000	0.2050970000	0.0018070000	0	0	209321984	4.0170803070	4.0346684456	3.9278254509
9	1305031453.6731851101	0.8139889240	0.8431767424	0.8731651902	0.0317368678	0.5469970000	0.0437930000	0.0573550000	0.0276750000	0.2043960000	0.2137200000	0	0	209321984	4.0159564018	4.0441837311	3.9137587547
10	1305031453.7054870129	0.8069750071	0.8395565689	0.8731651902	0.0308060316	0.3189340000	0.0437590000	0.0583210000	0.0000010000	0.2149960000	0.0018040000	0	0	209321984	4.0159955025	4.0543942451	3.9004547596
11	1305031453.7368559837	0.8009335399	0.8360453844	0.8731651902	0.0303490120	0.3343740000	0.0438750000	0.0505930000	0.0278240000	0.2102050000	0.0018180000	0	0	209321984	4.0144534111	4.0648565292	3.8873431683
12	1305031453.7737860680	0.7912989259	0.8323165129	0.8731651902	0.0294692276	0.3154220000	0.0438800000	0.0516720000	0.0000010000	0.2180120000	0.0018020000	0	0	209321984	4.0109972954	4.0715618134	3.8744282722
