SLAMBench Report run started:	2020-02-29 05:19:30

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/TUM1DESK2-KF-DEP-00020.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_desk2.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031526.7215869427	0.9549203515	0.9549203515	0.9549203515	0.0000000000	0.3136960000	0.0442680000	0.0155370000	0.0272370000	0.0000040000	0.2264220000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	1305031526.7559568882	0.9473612309	0.9511407912	0.9549203515	0.1037109643	0.0818490000	0.0428580000	0.0099330000	0.0272090000	0.0000020000	0.0017990000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1305031526.7886810303	0.9428496361	0.9483770728	0.9549203515	0.1119408673	0.0831850000	0.0442560000	0.0099080000	0.0272080000	0.0000010000	0.0017620000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1305031526.8226430416	0.9332873821	0.9446046501	0.9549203515	0.1077399188	0.3049490000	0.0444030000	0.0099210000	0.0272170000	0.2216290000	0.0017320000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1305031526.8568439484	0.9460939169	0.9449025035	0.9549203515	0.1258962916	0.5672990000	0.0450460000	0.0820730000	0.0272720000	0.2028820000	0.2099720000	0	0	209321984	3.9778933525	3.9684641361	3.9752962589
6	1305031526.8884649277	0.9496860504	0.9456997613	0.9549203515	0.1191576935	0.3357700000	0.0433190000	0.0714010000	0.0000010000	0.2191910000	0.0018040000	0	0	209321984	3.9666404724	3.9685266018	3.9643588066
7	1305031526.9205780029	0.9480709434	0.9460385016	0.9549203515	0.1137626675	0.3685460000	0.0408850000	0.0798080000	0.0273990000	0.2186640000	0.0017330000	0	0	209321984	3.9601733685	3.9774255753	3.9504396915
8	1305031526.9550330639	0.9409885406	0.9454072565	0.9549203515	0.1093548698	0.3564180000	0.0390350000	0.0801830000	0.0000010000	0.2354130000	0.0017340000	0	0	209321984	3.9553718567	3.9835550785	3.9378392696
9	1305031526.9876060486	0.9374879003	0.9445273280	0.9549203515	0.1053884997	0.6295100000	0.0373680000	0.0754740000	0.0277550000	0.2345210000	0.2543360000	0	0	209321984	3.9516823292	3.9861917496	3.9245615005
10	1305031527.0207910538	0.9329873919	0.9433733344	0.9549203515	0.1011368403	0.3658840000	0.0373080000	0.0769420000	0.0000000000	0.2498990000	0.0016800000	0	0	209321984	3.9492521286	3.9965198040	3.9150841236
