SLAMBench Report run started:	2020-02-29 05:25:06

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/TUM1ROOM-KF-DEP-00020.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_room.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031910.8032488823	1.3004142046	1.3004142046	1.3004142046	0.0000000000	0.3373130000	0.0397470000	0.0145310000	0.0272920000	0.0000030000	0.2553530000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	1305031910.8352150917	1.3058940172	1.3031541109	1.3058940172	0.0285920631	0.0778160000	0.0394460000	0.0093300000	0.0273160000	0.0000010000	0.0016340000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1305031910.8711669445	1.3138124943	1.3067069054	1.3138124943	0.0356381347	0.0777780000	0.0394170000	0.0093000000	0.0273510000	0.0000020000	0.0016190000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1305031910.9036819935	1.3196942806	1.3099537492	1.3196942806	0.0329801326	0.3061420000	0.0399710000	0.0093260000	0.0272790000	0.2277950000	0.0016760000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1305031910.9352209568	1.3053768873	1.3090383768	1.3196942806	0.0335533791	0.5670190000	0.0395340000	0.0689550000	0.0275750000	0.2127880000	0.2180700000	0	0	209321984	3.9913423061	3.9853298664	4.0169138908
6	1305031911.0032019615	1.3015905619	1.3077970743	1.3196942806	0.0386201902	0.3059490000	0.0403900000	0.0485010000	0.0000000000	0.2152420000	0.0017280000	0	0	209321984	3.9715232849	3.9875643253	4.0288834572
7	1305031911.0350561142	1.2977086306	1.3063558681	1.3196942806	0.0396333902	0.3369930000	0.0407210000	0.0614960000	0.0280270000	0.2049320000	0.0017260000	0	0	209321984	3.9633116722	3.9823298454	4.0360836983
8	1305031911.0745089054	1.2960400581	1.3050663918	1.3196942806	0.0467174517	0.3144880000	0.0414850000	0.0562890000	0.0000010000	0.2148240000	0.0017920000	0	0	209321984	3.9543750286	3.9751574993	4.0426540375
9	1305031911.1033320427	1.2954010963	1.3039924701	1.3196942806	0.0481821881	0.5395710000	0.0422320000	0.0502040000	0.0280580000	0.2056000000	0.2133810000	0	0	209321984	3.9502625465	3.9697778225	4.0497202873
10	1305031911.1356830597	1.2910473347	1.3026979566	1.3196942806	0.0483545474	0.3443950000	0.0426080000	0.0873990000	0.0000000000	0.2124860000	0.0018040000	0	0	209321984	3.9450247288	3.9576950073	4.0565023422
11	1305031911.1718308926	1.2916898727	1.3016972217	1.3196942806	0.0490544787	0.3326460000	0.0436480000	0.0576800000	0.0279370000	0.2014660000	0.0018150000	0	0	209321984	3.9390847683	3.9527368546	4.0608272552
12	1305031911.2075679302	1.2898485661	1.3007098337	1.3196942806	0.0477287467	0.3311230000	0.0439450000	0.0806760000	0.0000010000	0.2045910000	0.0018150000	0	0	209321984	3.9318077564	3.9516839981	4.0655961037
13	1305031911.2356600761	1.2885742188	1.2997763249	1.3196942806	0.0477406077	0.5255370000	0.0440250000	0.0517030000	0.0281270000	0.1951990000	0.2063840000	0	0	209321984	3.9268059731	3.9460942745	4.0704751015
14	1305031911.2684969902	1.2860565186	1.2987963387	1.3196942806	0.0464462844	0.2896180000	0.0438460000	0.0451680000	0.0000010000	0.1987070000	0.0017990000	0	0	209321984	3.9205863476	3.9426550865	4.0762267113
15	1305031911.3035039902	1.2863584757	1.2979671478	1.3196942806	0.0460391428	0.3153680000	0.0436620000	0.0513810000	0.0282760000	0.1901230000	0.0018220000	0	0	209321984	3.9156713486	3.9379963875	4.0822296143
16	1305031911.3716309071	1.2851843834	1.2971682250	1.3196942806	0.0467680700	0.3004520000	0.0434360000	0.0528230000	0.0000010000	0.2022900000	0.0018000000	0	0	209321984	3.9088120461	3.9257769585	4.0945148468
17	1305031911.4396560192	1.2874177694	1.2965946688	1.3196942806	0.0465051415	0.5252680000	0.0439890000	0.0583480000	0.0283930000	0.1904750000	0.2039630000	0	0	209321984	3.9017422199	3.9200425148	4.1042580605
18	1305031911.4713981152	1.2869464159	1.2960586548	1.3196942806	0.0457577556	0.2860730000	0.0440890000	0.0444730000	0.0000010000	0.1956050000	0.0018040000	0	0	209321984	3.8983650208	3.9192857742	4.1110634804
19	1305031911.5034759045	1.2869590521	1.2955797283	1.3196942806	0.0457956887	0.3206970000	0.0441850000	0.0587180000	0.0285130000	0.1873790000	0.0017980000	0	0	209321984	3.8952977657	3.9160959721	4.1169304848
20	1305031911.5396358967	1.2879821062	1.2951998472	1.3196942806	0.0450705733	0.2904030000	0.0442460000	0.0518930000	0.0000000000	0.1923590000	0.0018010000	0	0	209321984	3.8950903416	3.9128897190	4.1255955696
21	1305031911.5715429783	1.2884047031	1.2948762689	1.3196942806	0.0452685319	0.4981030000	0.0441890000	0.0438600000	0.0284590000	0.1846310000	0.1968560000	0	0	209321984	3.8947305679	3.9078392982	4.1333584785
22	1305031911.6036169529	1.2868443727	1.2945111827	1.3196942806	0.0458186566	0.2967920000	0.0442470000	0.0593850000	0.0000000000	0.1912770000	0.0017790000	0	0	209321984	3.8897337914	3.9047782421	4.1381573677
