SLAMBench Report run started:	2020-02-29 03:38:59

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/TUM1XYZ-ISD-INT-00080.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_xyz.slam
load-slam-library: ./build/lib/liblsdslam-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libint-skip-flow-filter.so
camera-path: 
package-path: benchmarks/lsdslam/src/cpp/
kfusage: 5
kfdist: 5
minUseGrad: 5
fabmap: true
kfreactive: false
subpixelstereo: true
maxLoopClosureCandiates: 20
randSeed: 1
use-pose-optim: true
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031102.2112140656	0.0277591590	0.0277591590	0.0277591590	0.0000000000	0.0077980000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305031102.2432110310	0.0325877443	0.0301734516	0.0325877443	0.0114149693	0.0574140000	0	0	209321984	0.0002406148	0.0096283825	0.0102051310
3	1305031102.2753260136	0.0385962576	0.0329810536	0.0385962576	0.0126745933	0.0490460000	0	0	209321984	0.0017155978	0.0200953502	0.0199076366
4	1305031102.3112668991	0.0453244224	0.0360668958	0.0453244224	0.0117824072	0.0441330000	0	0	209321984	0.0022158779	0.0311773494	0.0306752827
5	1305031102.3432331085	0.0543257482	0.0397186663	0.0543257482	0.0105491868	0.0420570000	0	0	209321984	0.0047413721	0.0434306785	0.0398645662
6	1305031102.3753290176	0.0613956340	0.0433314942	0.0613956340	0.0111638208	0.0479610000	0	0	209321984	0.0080346437	0.0538789332	0.0502190217
7	1305031102.4112579823	0.0667470172	0.0466765690	0.0667470172	0.0132908577	0.0489500000	0	0	209321984	0.0100032035	0.0617421418	0.0580178723
8	1305031102.4432709217	0.0765672848	0.0504129084	0.0765672848	0.0148056082	0.0593230000	0	0	209321984	0.0087981243	0.0755027160	0.0652664974
9	1305031102.4753179550	0.0871809870	0.0544982505	0.0871809870	0.0149469699	0.0414470000	0	0	209321984	0.0104279500	0.0909398347	0.0769356489
10	1305031102.5112190247	0.0959395617	0.0586423816	0.0959395617	0.0151135825	0.0236630000	0	0	209321984	0.0107948650	0.1036852002	0.0876061693
11	1305031102.5432200432	0.1002832353	0.0624279138	0.1002832353	0.0149658582	0.0246710000	0	0	209321984	0.0113317352	0.1119778454	0.0995156765
12	1305031102.5752859116	0.1103185490	0.0664188000	0.1103185490	0.0149375906	0.0308430000	0	0	209321984	0.0201794561	0.1244568676	0.1171307787
13	1305031102.6112329960	0.1113169864	0.0698725067	0.1113169864	0.0145420502	0.0360340000	0	0	209321984	0.0204567872	0.1284167767	0.1270422935
14	1305031102.6432650089	0.1109324768	0.0728053617	0.1113169864	0.0143956760	0.0355040000	0	0	209321984	0.0171888396	0.1310608238	0.1313862354
15	1305031102.6752851009	0.1177327037	0.0758005178	0.1177327037	0.0147089441	0.0859060000	0	0	209321984	0.0141256526	0.1439891309	0.1425685436
16	1305031102.7112629414	0.1182416007	0.0784530855	0.1182416007	0.0143410762	0.0425370000	0	0	209321984	0.0172452275	0.1484116167	0.1560724229
17	1305031102.7432339191	0.1285915822	0.0814024088	0.1285915822	0.0151212592	0.0258630000	0	0	209321984	0.0162353590	0.1643303484	0.1657664925
18	1305031102.7754719257	0.1353906542	0.0844017558	0.1353906542	0.0155389370	0.0259420000	0	0	209321984	0.0172751565	0.1761344522	0.1787008196
19	1305031102.8112320900	0.1394131631	0.0872970930	0.1394131631	0.0159753374	0.0264850000	0	0	209321984	0.0161826052	0.1864012629	0.1895426512
20	1305031102.8432900906	0.1425810158	0.0900612892	0.1425810158	0.0159239852	0.0255650000	0	0	209321984	0.0161285792	0.1948036700	0.2026361227
21	1305031102.8753631115	0.1402274966	0.0924501562	0.1425810158	0.0157664396	0.0249530000	0	0	209321984	0.0164252259	0.1965573728	0.2136077136
22	1305031102.9111850262	0.1445091516	0.0948164742	0.1445091516	0.0157214509	0.0812660000	0	0	209321984	0.0160946026	0.2062409371	0.2243655920
23	1305031102.9432289600	0.1445698291	0.0969796635	0.1445698291	0.0156470539	0.0431580000	0	0	209321984	0.0175384860	0.2102096826	0.2361943275
24	1305031102.9752030373	0.1424830258	0.0988756369	0.1445698291	0.0153122197	0.0323990000	0	0	209321984	0.0169367194	0.2126120925	0.2474679053
25	1305031103.0112149715	0.1462529004	0.1007707275	0.1462529004	0.0151611610	0.0325960000	0	0	209321984	0.0170775447	0.2216845602	0.2586607933
26	1305031103.0432269573	0.1485400051	0.1026080074	0.1485400051	0.0149734622	0.0251350000	0	0	209321984	0.0164355543	0.2291837633	0.2695856988
27	1305031103.0753190517	0.1539022774	0.1045077952	0.1539022774	0.0150431844	0.0273510000	0	0	209321984	0.0143230883	0.2400739193	0.2797142863
28	1305031103.1112399101	0.1582149416	0.1064259075	0.1582149416	0.0153131679	0.0295570000	0	0	209321984	0.0151166590	0.2492626905	0.2880751491
29	1305031103.1433179379	0.1598902345	0.1082695050	0.1598902345	0.0151464702	0.0302030000	0	0	209321984	0.0140790697	0.2559409440	0.2978725433
30	1305031103.1754519939	0.1630024314	0.1100939359	0.1630024314	0.0150157711	0.0770430000	0	0	209321984	0.0154662142	0.2626656294	0.3060288429
31	1305031103.2112200260	0.1643360406	0.1118436812	0.1643360406	0.0154406423	0.0444310000	0	0	209321984	0.0137945907	0.2702578306	0.3147079051
32	1305031103.2432160378	0.1671541929	0.1135721347	0.1671541929	0.0153226787	0.0301180000	0	0	209321984	0.0162248313	0.2765929699	0.3237567246
33	1305031103.2753698826	0.1601806730	0.1149845146	0.1671541929	0.0151037377	0.0303430000	0	0	209321984	0.0167277455	0.2720312476	0.3313543200
34	1305031103.3112099171	0.1512475759	0.1160510753	0.1671541929	0.0155283542	0.0323310000	0	0	209321984	0.0150514236	0.2650133669	0.3357889354
35	1305031103.3432230949	0.1607529372	0.1173282713	0.1671541929	0.0154746911	0.0314980000	0	0	209321984	0.0170089137	0.2751737535	0.3372135758
36	1305031103.3753271103	0.1609585732	0.1185402242	0.1671541929	0.0152614606	0.0312710000	0	0	209321984	0.0188904479	0.2745262384	0.3383473754
37	1305031103.4112598896	0.1553903073	0.1195361723	0.1671541929	0.0152781147	0.0308740000	0	0	209321984	0.0192009695	0.2662965953	0.3369814456
