SLAMBench Report run started:	2020-02-29 03:39:52

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/TUM1XYZ-KF-DEP-00020.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_xyz.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031102.1943299770	0.0256471951	0.0256471951	0.0256471951	0.0000000000	0.3396440000	0.0407660000	0.0146980000	0.0274290000	0.0000030000	0.2564990000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	1305031102.2267379761	0.0315831415	0.0286151683	0.0315831415	0.0419008359	0.0790310000	0.0405680000	0.0094290000	0.0273340000	0.0000010000	0.0016410000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1305031102.2628860474	0.0385803021	0.0319368796	0.0385803021	0.0343877952	0.0773620000	0.0391870000	0.0093010000	0.0272160000	0.0000010000	0.0016010000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1305031102.2952790260	0.0473248325	0.0357838678	0.0473248325	0.0301756811	0.2979820000	0.0394720000	0.0093810000	0.0273640000	0.2200200000	0.0016870000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1305031102.3291950226	0.0259933267	0.0338257596	0.0473248325	0.0341248674	0.5286030000	0.0385580000	0.0533070000	0.0271970000	0.2015620000	0.2079200000	0	0	209321984	3.9964878559	3.9937570095	4.0333876610
6	1305031102.3630130291	0.0238682479	0.0321661743	0.0473248325	0.0307289035	0.2893350000	0.0383160000	0.0469530000	0.0000000000	0.2022700000	0.0017350000	0	0	209321984	3.9936554432	3.9957239628	4.0453953743
7	1305031102.3947720528	0.0223204214	0.0307596382	0.0473248325	0.0281080777	0.3172490000	0.0380020000	0.0572990000	0.0276090000	0.1925280000	0.0017450000	0	0	209321984	3.9927246571	3.9975903034	4.0571846962
8	1305031102.4278149605	0.0237553567	0.0298841030	0.0473248325	0.0275447424	0.3042790000	0.0385280000	0.0791900000	0.0000010000	0.1847930000	0.0017040000	0	0	209321984	3.9903752804	4.0004105568	4.0697722435
9	1305031102.4623949528	0.0211121421	0.0289094407	0.0473248325	0.0269282650	0.4916230000	0.0402550000	0.0806120000	0.0271890000	0.1690500000	0.1744530000	0	0	209321984	3.9909532070	4.0045895576	4.0828890800
10	1305031102.4942710400	0.0214574877	0.0281642454	0.0473248325	0.0258495574	0.2510520000	0.0401960000	0.0454680000	0.0000000000	0.1636130000	0.0017120000	0	0	209321984	3.9904160500	4.0034389496	4.0956234932
11	1305031102.5263299942	0.0260194968	0.0279692682	0.0473248325	0.0246653999	0.2735870000	0.0400660000	0.0538110000	0.0270530000	0.1508620000	0.0017330000	0	0	209321984	3.9896867275	4.0034074783	4.1073827744
12	1305031102.5622239113	0.0271815248	0.0279036229	0.0473248325	0.0238522409	0.2483660000	0.0399690000	0.0604690000	0.0000000000	0.1461500000	0.0017140000	0	0	209321984	3.9861946106	4.0025925636	4.1191239357
13	1305031102.5941579342	0.0317737758	0.0282013270	0.0473248325	0.0231826976	0.3982430000	0.0399920000	0.0457420000	0.0269880000	0.1399820000	0.1454700000	0	0	209321984	3.9859590530	3.9995377064	4.1300411224
14	1305031102.6268179417	0.0364777409	0.0287924994	0.0473248325	0.0223953247	0.2161510000	0.0389630000	0.0409900000	0.0000010000	0.1344360000	0.0016950000	0	0	209321984	3.9819233418	3.9997708797	4.1411604881
15	1305031102.6632730961	0.0335571766	0.0291101446	0.0473248325	0.0224034731	0.2567740000	0.0394070000	0.0543680000	0.0268870000	0.1343340000	0.0017040000	0	0	209321984	3.9785931110	4.0062885284	4.1532192230
16	1305031102.6951649189	0.0339605287	0.0294132936	0.0473248325	0.0216492009	0.2173290000	0.0384140000	0.0470810000	0.0000010000	0.1301100000	0.0016580000	0	0	209321984	3.9791984558	4.0092740059	4.1655497551
17	1305031102.7284231186	0.0395136029	0.0300074294	0.0473248325	0.0211103670	0.3970360000	0.0392610000	0.0671130000	0.0268450000	0.1291280000	0.1346090000	0	0	209321984	3.9790503979	4.0105843544	4.1780881882
18	1305031102.7635490894	0.0381099246	0.0304575680	0.0473248325	0.0208198959	0.2070620000	0.0394050000	0.0414280000	0.0000000000	0.1244720000	0.0016860000	0	0	209321984	3.9794437885	4.0161962509	4.1911978722
19	1305031102.7949779034	0.0400752686	0.0309637628	0.0473248325	0.0202575034	0.2348680000	0.0404440000	0.0420020000	0.0267050000	0.1238810000	0.0017650000	0	0	209321984	3.9794692993	4.0184965134	4.2035136223
20	1305031102.8285369873	0.0440202020	0.0316165848	0.0473248325	0.0198416388	0.2076350000	0.0394520000	0.0483830000	0.0000000000	0.1180510000	0.0016790000	0	0	209321984	3.9806101322	4.0217118263	4.2159833908
21	1305031102.8628079891	0.0455732420	0.0322811875	0.0473248325	0.0193742267	0.3552500000	0.0395470000	0.0551130000	0.0268740000	0.1142420000	0.1193970000	0	0	209321984	3.9771084785	4.0234990120	4.2277135849
22	1305031102.8941669464	0.0467343591	0.0329381498	0.0473248325	0.0191155011	0.2151210000	0.0388350000	0.0611260000	0.0000000000	0.1133800000	0.0017050000	0	0	209321984	3.9745626450	4.0261573792	4.2393808365
23	1305031102.9268510342	0.0495550521	0.0336606239	0.0495550521	0.0187264441	0.2354430000	0.0387770000	0.0549260000	0.0264890000	0.1134750000	0.0017050000	0	0	209321984	3.9725568295	4.0294704437	4.2507672310
24	1305031102.9621369839	0.0513140149	0.0343961818	0.0513140149	0.0190905830	0.2112170000	0.0387660000	0.0610880000	0.0000000000	0.1096320000	0.0016580000	0	0	209321984	3.9689071178	4.0316967964	4.2624421120
25	1305031102.9941639900	0.0529030748	0.0351364575	0.0529030748	0.0186908941	0.3785730000	0.0406740000	0.0832620000	0.0264550000	0.1113340000	0.1167710000	0	0	209321984	3.9684412479	4.0343184471	4.2743253708
26	1305031103.0278809071	0.0569055825	0.0359737316	0.0569055825	0.0183694144	0.1929240000	0.0394960000	0.0423340000	0.0000000000	0.1093030000	0.0017170000	0	0	209321984	3.9692277908	4.0369448662	4.2858748436
27	1305031103.0622730255	0.0589134805	0.0368233519	0.0589134805	0.0182729287	0.2556950000	0.0392390000	0.0829550000	0.0267350000	0.1050080000	0.0016840000	0	0	209321984	3.9701817036	4.0393857956	4.2965722084
