SLAMBench Report run started:	2020-02-29 06:09:53

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/TUM2KIDNAP-ISD-INT-00080.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_360_kidnap.slam
load-slam-library: ./build/lib/liblsdslam-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libint-skip-flow-filter.so
camera-path: 
package-path: benchmarks/lsdslam/src/cpp/
kfusage: 5
kfdist: 5
minUseGrad: 5
fabmap: true
kfreactive: false
subpixelstereo: true
maxLoopClosureCandiates: 20
randSeed: 1
use-pose-optim: true
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311875132.4506180286	0.0326242223	0.0326242223	0.0326242223	0.0000000000	0.0092980000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311875132.4825119972	0.0377294011	0.0351768117	0.0377294011	0.0079376716	0.0456700000	0	0	209321984	0.0022354834	0.0059711118	-0.0010526695
3	1311875132.5184819698	0.0426068790	0.0376535008	0.0426068790	0.0122711409	0.0417500000	0	0	209321984	0.0015910994	0.0142692579	-0.0013212067
4	1311875132.5505049229	0.0411508977	0.0385278501	0.0426068790	0.0143734775	0.0313870000	0	0	209321984	0.0005957878	0.0083123222	0.0009402860
5	1311875132.5824880600	0.0431858823	0.0394594565	0.0431858823	0.0126014426	0.0276830000	0	0	209321984	0.0017308195	0.0065593766	0.0010961312
6	1311875132.6184790134	0.0461176187	0.0405691502	0.0461176187	0.0113684097	0.0281400000	0	0	209321984	0.0029927567	0.0098859286	0.0020074055
7	1311875132.6505789757	0.0448712148	0.0411837309	0.0461176187	0.0124029405	0.0256750000	0	0	209321984	0.0008548606	0.0007640484	0.0038569206
8	1311875132.6827189922	0.0460657962	0.0417939890	0.0461176187	0.0115511231	0.0464580000	0	0	209321984	0.0004316640	-0.0000681016	0.0041584745
9	1311875132.7186269760	0.0469428152	0.0423660808	0.0469428152	0.0113576065	0.0353850000	0	0	209321984	0.0001623197	0.0063545532	0.0049933721
10	1311875132.7504739761	0.0488648266	0.0430159554	0.0488648266	0.0109468294	0.0251000000	0	0	209321984	0.0008875823	0.0105087431	0.0054793088
