SLAMBench Report run started:	2020-02-29 08:17:35

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/TUM2LARGELOOP-ISD-INT-00080.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_large_with_loop.slam
load-slam-library: ./build/lib/liblsdslam-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libint-skip-flow-filter.so
camera-path: 
package-path: benchmarks/lsdslam/src/cpp/
kfusage: 5
kfdist: 5
minUseGrad: 5
fabmap: true
kfreactive: false
subpixelstereo: true
maxLoopClosureCandiates: 20
randSeed: 1
use-pose-optim: true
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311875572.4380629063	0.0628777966	0.0628777966	0.0628777966	0.0000000000	0.0087910000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311875572.4701418877	0.0770015493	0.0699396729	0.0770015493	0.0371817425	0.0419220000	0	0	209321984	0.0094857430	0.0096500488	0.0020736898
3	1311875572.5060660839	0.0798948407	0.0732580622	0.0798948407	0.0293268852	0.0335840000	0	0	209321984	0.0222457312	0.0051976452	0.0001236593
4	1311875572.5379829407	0.0858896971	0.0764159709	0.0858896971	0.0256813364	0.0321810000	0	0	209321984	0.0336956866	0.0020914571	0.0004406489
5	1311875572.5701830387	0.1055084616	0.0822344691	0.1055084616	0.0383091208	0.0316520000	0	0	209321984	0.0100014098	0.0145330885	-0.0050239395
6	1311875572.6060600281	0.1119049042	0.0871795416	0.1119049042	0.0358288414	0.0356800000	0	0	209321984	0.0203671139	0.0145475874	-0.0028260204
7	1311875572.6380209923	0.1257075667	0.0926835452	0.1257075667	0.0335674091	0.0277340000	0	0	209321984	0.0168911293	0.0226236470	-0.0085296733
8	1311875572.6701710224	0.1301323026	0.0973646399	0.1301323026	0.0313330087	0.0417180000	0	0	209321984	0.0163989458	0.0221353024	-0.0157981571
9	1311875572.7059559822	0.1521331072	0.1034500251	0.1521331072	0.0334955300	0.0296510000	0	0	209321984	0.0165644605	0.0392799638	-0.0161027461
10	1311875572.7380409241	0.1832419485	0.1114292175	0.1832419485	0.0404125136	0.0259620000	0	0	209321984	0.0137925064	0.0664765760	-0.0084292768
11	1311875572.7699921131	0.1920107007	0.1187548068	0.1920107007	0.0397217537	0.0239000000	0	0	209321984	0.0277589411	0.0745657235	-0.0076244813
12	1311875572.8061490059	0.1815545708	0.1239881205	0.1920107007	0.0401451902	0.0215620000	0	0	209321984	0.0279314723	0.0597517826	-0.0140825370
13	1311875572.8380720615	0.1989671439	0.1297557377	0.1989671439	0.0408952961	0.0233510000	0	0	209321984	0.0487186871	0.0735042915	0.0062254285
14	1311875572.8700969219	0.2052464783	0.1351479334	0.2052464783	0.0394978905	0.0210790000	0	0	209321984	0.0706374869	0.0763406530	0.0100577930
15	1311875572.9059638977	0.2264834642	0.1412369688	0.2264834642	0.0399175352	0.0519670000	0	0	209321984	0.0945304409	0.0923212469	0.0158664864
16	1311875572.9381389618	0.2304285467	0.1468114424	0.2304285467	0.0386265596	0.0161450000	0	0	209321984	0.1069418862	0.0933181345	0.0101796454
17	1311875572.9700710773	0.2378131151	0.1521644820	0.2378131151	0.0375050535	0.0150100000	0	0	209321984	0.1176554784	0.0981530622	0.0025339946
18	1311875573.0060079098	0.2335500419	0.1566859020	0.2378131151	0.0403650743	0.0156450000	0	0	209321984	0.1006742418	0.0849944428	-0.0082445424
19	1311875573.0380890369	0.2504783869	0.1616223486	0.2504783869	0.0419878832	0.0133290000	0	0	209321984	0.1372115314	0.0954396799	0.0107436571
20	1311875573.0701398849	0.2544835508	0.1662654087	0.2544835508	0.0428845555	0.0120320000	0	0	209321984	0.1387584060	0.0889847204	0.0146326860
21	1311875573.1061151028	0.2657605410	0.1710032721	0.2657605410	0.0424201029	0.0120280000	0	0	209321984	0.1462127566	0.0878184512	0.0170971304
22	1311875573.1379990578	0.2695868015	0.1754843417	0.2695868015	0.0437880208	0.0373040000	0	0	209321984	0.1370351017	0.0777971447	0.0129093304
23	1311875573.1700880527	0.2806341648	0.1800560731	0.2806341648	0.0501204749	0.0233720000	0	0	209321984	0.0960894153	0.0579571910	0.0090877637
24	1311875573.2061450481	0.2863530815	0.1844851151	0.2863530815	0.0493576266	0.0219930000	0	0	209321984	0.1082739681	0.0520530976	0.0003304103
25	1311875573.2380769253	0.3297537267	0.1902958596	0.3297537267	0.0538942079	0.0227020000	0	0	209321984	0.0703800172	0.0529188663	0.0202025045
26	1311875573.2699520588	0.3469756842	0.1963220067	0.3469756842	0.0548809368	0.0238050000	0	0	209321984	0.0441763699	0.0387212150	0.0074772695
27	1311875573.3060309887	0.3932709396	0.2036164116	0.3932709396	0.0559142153	0.0219150000	0	0	209321984	0.0090215299	0.0361711308	0.0247048028
28	1311875573.3379631042	0.4220668674	0.2114182136	0.4220668674	0.0550347934	0.0206580000	0	0	209321984	0.0010005239	0.0415266007	0.0297760759
29	1311875573.3701720238	0.4469914734	0.2195414294	0.4469914734	0.0549567025	0.0326280000	0	0	209321984	-0.0168251805	0.0339209773	0.0343209282
30	1311875573.4061849117	0.4786196053	0.2281773686	0.4786196053	0.0548396560	0.0193590000	0	0	209321984	-0.0285792444	0.0374450870	0.0401593931
31	1311875573.4381499290	0.4930409789	0.2367213561	0.4930409789	0.0541657172	0.0236590000	0	0	209321984	-0.0296920557	0.0338442922	0.0392410420
32	1311875573.4701130390	0.5033998489	0.2450550590	0.5033998489	0.0533893857	0.0228410000	0	0	209321984	-0.0292728711	0.0292041805	0.0382541530
33	1311875573.5061140060	0.5198299885	0.2533815720	0.5198299885	0.0526881460	0.0223630000	0	0	209321984	-0.0333065800	0.0266884509	0.0370916873
