SLAMBench Report run started:	2020-02-29 08:18:04

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/TUM2LARGELOOP-KF-DEP-00020.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_large_with_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311875572.4178829193	0.0593556426	0.0593556426	0.0593556426	0.0000000000	0.4634740000	0.0382060000	0.0142610000	0.0293530000	0.0000030000	0.3806350000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	1311875572.4530699253	0.0657221377	0.0625388902	0.0657221377	0.0397208929	0.0771760000	0.0374190000	0.0089910000	0.0293270000	0.0000010000	0.0012090000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1311875572.4823079109	0.0722077936	0.0657618580	0.0722077936	0.0338400927	0.0758730000	0.0363600000	0.0088330000	0.0292720000	0.0000020000	0.0011820000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1311875572.5213730335	0.0816491395	0.0697336784	0.0816491395	0.0352456189	0.4730050000	0.0350910000	0.0087430000	0.0292170000	0.3984470000	0.0012780000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1311875572.5489969254	0.0883776098	0.0734624647	0.0883776098	0.0330702197	0.8811780000	0.0344050000	0.0524890000	0.0000010000	0.3960070000	0.3980520000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
6	1311875572.5827000141	0.0961389318	0.0772418759	0.0961389318	0.0307355663	0.4791730000	0.0337350000	0.0480030000	0.0000000000	0.3959750000	0.0012230000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
7	1311875572.6206340790	0.1034108400	0.0809802993	0.1034108400	0.0284187995	0.4806350000	0.0331750000	0.0500060000	0.0000000000	0.3959870000	0.0012300000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
8	1311875572.6513841152	0.1099025235	0.0845955773	0.1099025235	0.0278997818	0.4753250000	0.0323290000	0.0457400000	0.0000010000	0.3958500000	0.0011720000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
9	1311875572.6817920208	0.1156886593	0.0880503642	0.1156886593	0.0277415173	0.8716160000	0.0336020000	0.0438300000	0.0000010000	0.3959460000	0.3980030000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
10	1311875572.7154519558	0.1210067421	0.0913460020	0.1210067421	0.0324064660	0.4822530000	0.0339550000	0.0508430000	0.0000010000	0.3959910000	0.0012290000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
