SLAMBench Report run started:	2020-02-29 09:05:10

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/TUM2P360-KF-DEP-00020.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_pioneer_360.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311876800.4301719666	0.0002448923	0.0002448923	0.0002448923	0.0000000000	0.4280580000	0.0437760000	0.0150200000	0.0289410000	0.0000040000	0.3385350000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	1311876800.6690859795	0.0000002149	0.0001225536	0.0002448923	0.0045060180	0.0826930000	0.0421230000	0.0098140000	0.0289570000	0.0000010000	0.0013800000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1311876800.6991438866	0.0002448193	0.0001633089	0.0002448923	0.0035835801	0.0833890000	0.0430210000	0.0097440000	0.0288780000	0.0000010000	0.0013320000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1311876800.7309160233	0.0000002149	0.0001225354	0.0002448923	0.0031758736	0.4240010000	0.0430270000	0.0097750000	0.0289410000	0.3404450000	0.0014120000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1311876800.7849309444	0.0167871602	0.0034554603	0.0167871602	0.0126149873	0.8051350000	0.0432640000	0.0633850000	0.0289510000	0.3322540000	0.3368660000	0	0	209321984	4.0142812729	3.9985034466	4.0086975098
6	1311876800.8196170330	0.0234846119	0.0067936523	0.0234846119	0.0124436240	0.4407170000	0.0430890000	0.0636970000	0.0000000000	0.3320780000	0.0014400000	0	0	209321984	4.0203466415	3.9955995083	4.0109024048
7	1311876800.8629360199	0.0143685844	0.0078757854	0.0234846119	0.0136757136	0.4701050000	0.0431160000	0.0639760000	0.0288370000	0.3323460000	0.0014180000	0	0	209321984	4.0120596886	4.0015316010	4.0070042610
8	1311876800.8946840763	0.0139397662	0.0086337830	0.0234846119	0.0130754873	0.4410450000	0.0431100000	0.0641700000	0.0000000000	0.3319460000	0.0014130000	0	0	209321984	4.0097942352	3.9964590073	4.0086479187
9	1311876800.9301230907	0.0121440375	0.0090238113	0.0234846119	0.0123309242	0.8012960000	0.0421120000	0.0634980000	0.0287520000	0.3305880000	0.3359280000	0	0	209321984	4.0097327232	4.0002970695	4.0069332123
10	1311876800.9660339355	0.0215591714	0.0102773473	0.0234846119	0.0127810655	0.4400120000	0.0428950000	0.0640680000	0.0000000000	0.3312050000	0.0014260000	0	0	209321984	4.0181469917	3.9964811802	4.0105524063
11	1311876801.0006399155	0.0142936185	0.0106424629	0.0234846119	0.0129574693	0.4686660000	0.0420520000	0.0640700000	0.0289880000	0.3317300000	0.0014230000	0	0	209321984	4.0115513802	4.0006780624	4.0079636574
12	1311876801.0501530170	0.0152883669	0.0110296215	0.0234846119	0.0124025946	0.4149420000	0.0432090000	0.0380020000	0.0000010000	0.3318840000	0.0014380000	0	0	209321984	4.0125102997	4.0009794235	4.0080366135
13	1311876801.0947220325	0.0182368103	0.0115840207	0.0234846119	0.0124778495	0.7990370000	0.0431410000	0.0640370000	0.0289270000	0.3296190000	0.3328960000	0	0	209321984	4.0138387680	3.9955508709	4.0100631714
14	1311876801.1318209171	0.0185366701	0.0120806385	0.0234846119	0.0120764082	0.4327230000	0.0432670000	0.0644480000	0.0000010000	0.3231500000	0.0014400000	0	0	209321984	4.0156993866	3.9999122620	4.0090150833
15	1311876801.1824169159	0.0169882774	0.0124078144	0.0234846119	0.0116887023	0.4337360000	0.0420510000	0.0379900000	0.0288310000	0.3230460000	0.0014150000	0	0	209321984	4.0140967369	4.0008635521	4.0086712837
16	1311876801.2267689705	0.0183395036	0.0127785450	0.0234846119	0.0116550658	0.4393730000	0.0433040000	0.0646130000	0.0000000000	0.3295470000	0.0014840000	0	0	209321984	4.0139665604	3.9955220222	4.0103368759
17	1311876801.2700779438	0.0241479501	0.0134473335	0.0241479501	0.0119316798	0.7916130000	0.0419340000	0.0640690000	0.0288380000	0.3226380000	0.3337330000	0	0	209321984	4.0212850571	4.0003471375	4.0104007721
18	1311876801.2994260788	0.0228361841	0.0139689363	0.0241479501	0.0115901981	0.4394570000	0.0431190000	0.0646040000	0.0000000000	0.3298920000	0.0014340000	0	0	209321984	4.0198383331	4.0000729561	4.0103464127
19	1311876801.3874080181	0.0203114338	0.0143027520	0.0241479501	0.0113443078	0.4684700000	0.0432130000	0.0645200000	0.0289610000	0.3299200000	0.0014360000	0	0	209321984	4.0174846649	4.0011329651	4.0094370842
20	1311876801.6481950283	0.0235402845	0.0147646286	0.0241479501	0.0113093802	0.4382280000	0.0430840000	0.0645600000	0.0000000000	0.3287240000	0.0014310000	0	0	209321984	4.0194048882	3.9950199127	4.0115141869
21	1311876801.6880359650	0.0196438693	0.0149969734	0.0241479501	0.0112836942	0.8011270000	0.0432370000	0.0649050000	0.0289810000	0.3298170000	0.3337770000	0	0	209321984	4.0168714523	4.0006456375	4.0091857910
22	1311876801.7527499199	0.0177456215	0.0151219120	0.0241479501	0.0110420610	0.4389900000	0.0426310000	0.0646110000	0.0000010000	0.3299160000	0.0014140000	0	0	209321984	4.0146722794	4.0005273819	4.0091876984
23	1311876801.7651889324	0.0183068309	0.0152603867	0.0241479501	0.0107993067	0.4527340000	0.0433350000	0.0489170000	0.0289790000	0.3296320000	0.0014480000	0	0	209321984	4.0151305199	4.0004267693	4.0095844269
24	1311876801.7996499538	0.0166889448	0.0153199100	0.0241479501	0.0106130621	0.4345050000	0.0431910000	0.0596250000	0.0000000000	0.3298050000	0.0014510000	0	0	209321984	4.0132145882	4.0013079643	4.0089507103
25	1311876801.8310930729	0.0194599442	0.0154855113	0.0241479501	0.0106101242	0.7973940000	0.0435940000	0.0650060000	0.0289980000	0.3279260000	0.3314430000	0	0	209321984	4.0144019127	3.9953362942	4.0108265877
26	1311876801.8841829300	0.0170719419	0.0155465279	0.0241479501	0.0154153034	0.4388480000	0.0436130000	0.0656710000	0.0000000000	0.3276640000	0.0014680000	0	0	209321984	3.9820365906	3.9995615482	4.0028610229
27	1311876801.9878890514	0.0359406956	0.0163018674	0.0359406956	0.0172834219	0.4692650000	0.0436150000	0.0649660000	0.0295090000	0.3293320000	0.0014120000	0	0	209321984	3.9626803398	4.0035891533	3.9983515739
28	1311876802.0633809566	0.0306861289	0.0168155911	0.0359406956	0.0171284269	0.4330090000	0.0425210000	0.0649110000	0.0000010000	0.3236550000	0.0014830000	0	0	209321984	3.9668316841	3.9965400696	4.0043997765
29	1311876802.1517748833	0.0766568184	0.0188790816	0.0766568184	0.0256230004	0.8032680000	0.0427390000	0.0659680000	0.0290450000	0.3296210000	0.3354570000	0	0	209321984	3.9214472771	3.9986565113	3.9983665943
30	1311876802.2011909485	0.1078705564	0.0218454641	0.1078705564	0.0271067330	0.4402750000	0.0426080000	0.0656440000	0.0000000000	0.3301400000	0.0014540000	0	0	209321984	3.8896961212	3.9969692230	3.9978618622
31	1311876802.2516539097	0.1376750767	0.0255819033	0.1376750767	0.0286081872	0.4677830000	0.0437520000	0.0653270000	0.0291670000	0.3276570000	0.0014530000	0	0	209321984	3.8593287468	3.9970247746	3.9945058823
32	1311876802.3195281029	0.1513884813	0.0295133588	0.1513884813	0.0292702297	0.4360690000	0.0425730000	0.0646230000	0.0000010000	0.3269990000	0.0014380000	0	0	209321984	3.8451721668	4.0007562637	3.9915513992
33	1311876802.3843948841	0.0647085309	0.0305798792	0.1513884813	0.0386451191	0.8014400000	0.0434230000	0.0631790000	0.0291630000	0.3286880000	0.3365490000	0	0	209321984	3.9745519161	4.0026121140	3.9673018456
34	1311876802.4333810806	0.0683385581	0.0316904286	0.1513884813	0.0399571265	0.4342050000	0.0434830000	0.0636280000	0.0000000000	0.3252270000	0.0014310000	0	0	209321984	3.9498126507	4.0033864975	3.9830193520
35	1311876802.4946749210	0.0254807286	0.0315130086	0.1513884813	0.0402487364	0.4587620000	0.0419890000	0.0669640000	0.0289760000	0.3189620000	0.0014300000	0	0	209321984	3.9787449837	3.9965715408	4.0223617554
36	1311876802.5878579617	0.0347643420	0.0316033234	0.1513884813	0.0399131698	0.4220000000	0.0418920000	0.0639030000	0.0000000000	0.3143780000	0.0014050000	0	0	209321984	3.9805855751	3.9968822002	4.0229401588
37	1311876802.6535658836	0.0480410755	0.0320475870	0.1513884813	0.0395147069	0.7767300000	0.0429080000	0.0645490000	0.0290510000	0.3184040000	0.3213930000	0	0	209321984	3.9774336815	3.9947299957	4.0171928406
38	1311876802.6947379112	0.0552403405	0.0326579226	0.1513884813	0.0389895508	0.4273760000	0.0421580000	0.0646520000	0.0000010000	0.3187110000	0.0014320000	0	0	209321984	3.9820098877	3.9949572086	4.0146183968
39	1311876802.7550160885	0.0780388936	0.0338215372	0.1513884813	0.0406842205	0.4504790000	0.0415980000	0.0642830000	0.0289320000	0.3137950000	0.0014310000	0	0	209321984	3.9447207451	3.9977655411	4.0096940994
40	1311876802.8192050457	0.0809564590	0.0349999103	0.1513884813	0.0402305707	0.4249140000	0.0427940000	0.0640880000	0.0000010000	0.3162220000	0.0013760000	0	0	209321984	3.9504208565	3.9978220463	4.0112500191
41	1311876802.8529291153	0.0827154294	0.0361637034	0.1513884813	0.0398398820	0.7834860000	0.0426520000	0.0643100000	0.0291480000	0.3213480000	0.3255750000	0	0	209321984	3.9710495472	3.9962494373	4.0082240105
42	1311876802.8841059208	0.0883044749	0.0374051504	0.1513884813	0.0394651132	0.4226920000	0.0414250000	0.0635830000	0.0000000000	0.3158770000	0.0013730000	0	0	209321984	3.9639422894	3.9959194660	4.0070438385
43	1311876802.9168128967	0.1044717208	0.0389648380	0.1513884813	0.0390262692	0.4657320000	0.0423790000	0.0635780000	0.0291920000	0.3287110000	0.0014350000	0	0	209321984	3.9668884277	3.9972777367	3.9941589832
44	1311876802.9882230759	0.1993381381	0.0426096858	0.1993381381	0.0410940508	0.4429610000	0.0409200000	0.0624130000	0.0000010000	0.3377450000	0.0014400000	0	0	209321984	3.9830594063	4.0101323128	3.9101035595
45	1311876803.0551989079	0.2168916166	0.0464826176	0.2168916166	0.0406874708	0.8250210000	0.0425990000	0.0621900000	0.0299470000	0.3384240000	0.3514160000	0	0	209321984	3.9910655022	4.0139503479	3.9057145119
46	1311876803.0843379498	0.2217271775	0.0502922819	0.2217271775	0.0415770794	0.4464960000	0.0425870000	0.0634510000	0.0000000000	0.3385760000	0.0014430000	0	0	209321984	3.9538233280	4.0098724365	3.9048948288
47	1311876803.1537430286	0.2384441644	0.0542955135	0.2384441644	0.0413739049	0.4683510000	0.0418020000	0.0627800000	0.0294150000	0.3324460000	0.0014580000	0	0	209321984	3.9462449551	4.0127706528	3.9006569386
48	1311876803.2318189144	0.3164029121	0.0597560843	0.3164029121	0.0438931273	0.4490980000	0.0415260000	0.0627100000	0.0000000000	0.3430030000	0.0014180000	0	0	209321984	3.8925862312	4.0184793472	3.8431751728
49	1311876803.3018019199	0.4216991365	0.0671426772	0.4216991365	0.0473003321	0.8347450000	0.0429120000	0.0604550000	0.0302630000	0.3380280000	0.3626350000	0	0	209321984	3.9377384186	4.0321078300	3.7426187992
50	1311876803.3626680374	0.5255361199	0.0763105460	0.5255361199	0.0481669446	0.4558960000	0.0429070000	0.0619120000	0.0000010000	0.3491850000	0.0014540000	0	0	209321984	3.9377596378	4.0465698242	3.6494021416
51	1311876803.4196119308	0.6348158121	0.0872616297	0.6348158121	0.0494711861	0.4714790000	0.0420690000	0.0583210000	0.0310730000	0.3381370000	0.0014360000	0	0	209321984	3.9194266796	4.0586814880	3.5507068634
52	1311876803.4626839161	0.6912199259	0.0988762123	0.6912199259	0.0501544276	0.4554650000	0.0428930000	0.0626680000	0.0000000000	0.3480530000	0.0014150000	0	0	209321984	3.8777623177	4.0647606850	3.5043690205
