SLAMBench Report run started:	2020-02-29 09:46:15

Properties:
=================

frame-limit: 0
log-file: ./experiments/algo-experiments/TUM2PSLAM2-KF-DEP-00020.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_pioneer_slam2.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311877813.0241611004	0.0003000498	0.0003000498	0.0003000498	0.0000000000	0.4263990000	0.0443610000	0.0152370000	0.0286910000	0.0000030000	0.3350910000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	1311877813.1255090237	0.0005830693	0.0004415595	0.0005830693	0.0102202604	0.0846240000	0.0437040000	0.0099390000	0.0287540000	0.0000010000	0.0015680000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1311877813.2550239563	0.0003741641	0.0004190944	0.0005830693	0.0102631191	0.0845620000	0.0436940000	0.0099470000	0.0287390000	0.0000010000	0.0015420000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1311877813.3246510029	0.0000000596	0.0003143357	0.0005830693	0.0084297578	0.4146470000	0.0437350000	0.0099350000	0.0287020000	0.3299670000	0.0016580000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1311877813.3554608822	0.0038517527	0.0010218191	0.0038517527	0.0105796855	0.7712080000	0.0437470000	0.0400030000	0.0287150000	0.3264800000	0.3316400000	0	0	209321984	4.0034165382	4.0014300346	4.0003404617
6	1311877813.3897869587	0.0038021263	0.0014852036	0.0038517527	0.0105187269	0.4216080000	0.0448760000	0.0403020000	0.0000010000	0.3340340000	0.0017630000	0	0	209321984	4.0033392906	4.0017170906	4.0001664162
7	1311877813.4253590107	0.0057180664	0.0020898983	0.0057180664	0.0098376147	0.4408350000	0.0436830000	0.0400860000	0.0287270000	0.3259370000	0.0017440000	0	0	209321984	4.0054225922	4.0017018318	4.0005340576
8	1311877813.4877700806	0.0057285940	0.0025447353	0.0057285940	0.0091663972	0.4052340000	0.0436740000	0.0335960000	0.0000000000	0.3256380000	0.0017000000	0	0	209321984	4.0052757263	4.0017051697	4.0014705658
9	1311877813.5552279949	0.0045579337	0.0027684240	0.0057285940	0.0096911298	0.7782430000	0.0435470000	0.0465360000	0.0287510000	0.3258310000	0.3329360000	0	0	209321984	4.0039005280	4.0020985603	4.0006351471
10	1311877813.5940909386	0.0055221976	0.0030438013	0.0057285940	0.0093308245	0.4091790000	0.0436340000	0.0336080000	0.0000000000	0.3295550000	0.0017490000	0	0	209321984	4.0049238205	4.0021667480	4.0007300377
