SLAMBench Report run started:	2020-02-23 01:11:16

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-KF-COM-00200.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.8400000000	0.0316924192	0.0316924192	0.0316924192	0.0000000000	0.4428690000	0.0542370000	0.0164210000	0.0314430000	0.0000030000	0.3406720000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.9600000000	0.0408203639	0.0362563916	0.0408203639	0.0068362881	0.0981470000	0.0535620000	0.0111790000	0.0315540000	0.0000000000	0.0018230000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1.0400000000	0.0528293438	0.0417807090	0.0528293438	0.0084418478	0.0981720000	0.0535680000	0.0112230000	0.0315170000	0.0000010000	0.0018330000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1.1600000000	0.0732923150	0.0496586105	0.0732923150	0.0104996459	0.4355670000	0.0535760000	0.0111740000	0.0315230000	0.3373590000	0.0019000000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1.2400000000	0.0507767983	0.0498822480	0.0732923150	0.0127333794	0.8065020000	0.0535630000	0.0425300000	0.0318050000	0.3364340000	0.3421370000	0	0	209321984	3.9643700123	4.0027246475	3.9931268692
6	1.3200000000	0.0509251207	0.0500560602	0.0732923150	0.0114531736	0.4453980000	0.0535670000	0.0516900000	0.0000010000	0.3381870000	0.0019180000	0	0	209321984	3.9307453632	4.0020599365	3.9917399883
7	1.4800000000	0.0511068776	0.0502061769	0.0732923150	0.0146628443	0.4675400000	0.0535710000	0.0426780000	0.0319500000	0.3373580000	0.0019500000	0	0	209321984	3.8991384506	4.0013990402	3.9885089397
8	1.6000000000	0.0512109771	0.0503317770	0.0732923150	0.0139291122	0.4471460000	0.0535930000	0.0515220000	0.0000000000	0.3400500000	0.0019420000	0	0	209321984	3.8757009506	3.9984807968	3.9870789051
9	1.7600000000	0.0512642078	0.0504353804	0.0732923150	0.0137568584	0.8215480000	0.0535650000	0.0537230000	0.0319860000	0.3381450000	0.3440940000	0	0	209321984	3.8409101963	4.0019359589	3.9933309555
10	2.2800000000	0.0507753268	0.0504693750	0.0732923150	0.0168627145	0.4382370000	0.0535760000	0.0436820000	0.0000000000	0.3390200000	0.0019240000	0	0	209321984	3.7514326572	3.9964425564	4.0089306831
