SLAMBench Report run started:	2020-02-23 03:10:30

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-KF-DEP-00001.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 1e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0010032422	0.0010032422	0.0010032422	0.0000000000	0.4409180000	0.0541800000	0.0160060000	0.0322140000	0.0000030000	0.3384110000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.1200000000	0.0036504185	0.0023268303	0.0036504185	0.0078900512	0.0990270000	0.0536230000	0.0112270000	0.0323330000	0.0000010000	0.0018130000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.1600000000	0.0067101396	0.0037879334	0.0067101396	0.0057897530	0.0990990000	0.0536840000	0.0111960000	0.0323630000	0.0000010000	0.0018250000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	0.2000000000	0.0056835413	0.0042618354	0.0067101396	0.0047810467	0.4310630000	0.0536740000	0.0112250000	0.0323100000	0.3319140000	0.0019090000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	0.3200000000	0.0038749797	0.0041844642	0.0067101396	0.0048014704	0.7929190000	0.0535790000	0.0427630000	0.0323700000	0.3294370000	0.3347400000	0	0	209321984	3.9948034286	4.0007362366	4.0003194809
6	0.3600000000	0.0038210435	0.0041238941	0.0067101396	0.0043724511	0.4300570000	0.0535550000	0.0451050000	0.0000010000	0.3293980000	0.0019670000	0	0	209321984	3.9946472645	4.0020694733	4.0009155273
7	0.5200000000	0.0038222221	0.0040807981	0.0067101396	0.0063133103	0.4608800000	0.0535480000	0.0433890000	0.0325530000	0.3294130000	0.0019440000	0	0	209321984	3.9912188053	4.0019154549	4.0007691383
8	0.6400000000	0.0038524542	0.0040522551	0.0067101396	0.0060230562	0.4285620000	0.0536180000	0.0428040000	0.0000010000	0.3301920000	0.0019140000	0	0	209321984	3.9868772030	4.0001134872	3.9990746975
9	0.7200000000	0.0039229710	0.0040378902	0.0067101396	0.0056904924	0.7915880000	0.0535700000	0.0405410000	0.0325860000	0.3298390000	0.3350160000	0	0	209321984	3.9839079380	4.0005869865	3.9996597767
10	0.7600000000	0.0039340239	0.0040275036	0.0067101396	0.0054862528	0.4377510000	0.0535550000	0.0519580000	0.0000000000	0.3303000000	0.0018980000	0	0	209321984	3.9808444977	3.9994494915	3.9993288517
