SLAMBench Report run started:	2020-02-23 03:52:07

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-KF-DEP-00100.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.001

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.8000000000	0.0259743650	0.0259743650	0.0259743650	0.0000000000	0.4436420000	0.0542130000	0.0160830000	0.0324590000	0.0000030000	0.3407840000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.9200000000	0.0396008305	0.0327875977	0.0396008305	0.0073458226	0.0989880000	0.0535600000	0.0111870000	0.0323880000	0.0000010000	0.0018240000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1.0000000000	0.0469842441	0.0375198132	0.0469842441	0.0080744744	0.0990180000	0.0535610000	0.0111900000	0.0324140000	0.0000020000	0.0018240000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1.0800000000	0.0576277748	0.0425468036	0.0576277748	0.0074721048	0.4343600000	0.0535540000	0.0112150000	0.0325250000	0.3351180000	0.0019220000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1.1600000000	0.0432078242	0.0426790077	0.0576277748	0.0099625740	0.8110060000	0.0535640000	0.0514880000	0.0326090000	0.3339340000	0.3393830000	0	0	209321984	3.9700834751	4.0014710426	3.9963669777
6	1.2400000000	0.0432328954	0.0427713223	0.0576277748	0.0091762544	0.4429600000	0.0535670000	0.0514380000	0.0000000000	0.3359830000	0.0019420000	0	0	209321984	3.9568700790	4.0029401779	3.9920680523
7	1.3200000000	0.0430126712	0.0428058007	0.0576277748	0.0084301408	0.4748850000	0.0535680000	0.0515230000	0.0326850000	0.3351110000	0.0019650000	0	0	209321984	3.9228551388	4.0022349358	3.9908471107
8	1.4400000000	0.0431556851	0.0428495363	0.0576277748	0.0119050949	0.4439150000	0.0535620000	0.0519030000	0.0000000000	0.3364530000	0.0019670000	0	0	209321984	3.9030113220	4.0021715164	3.9872782230
9	1.5200000000	0.0433178358	0.0429015696	0.0576277748	0.0111375280	0.8177070000	0.0535640000	0.0534630000	0.0328760000	0.3359840000	0.3417880000	0	0	209321984	3.8881645203	4.0010814667	3.9843809605
10	1.6000000000	0.0433440581	0.0429458184	0.0576277748	0.0107650486	0.4366240000	0.0535580000	0.0428110000	0.0000000000	0.3382740000	0.0019470000	0	0	209321984	3.8678059578	3.9988510609	3.9865214825
