SLAMBench Report run started:	2020-02-23 11:36:51

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-KF-INT-00020.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libint-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000002980	0.0000002980	0.0000002980	0.0000000000	0.4390170000	0.0537690000	0.0158930000	0.0311670000	0.0000030000	0.3380490000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.0400000000	0.0010032422	0.0005017701	0.0010032422	0.0033378911	0.1352830000	0.0726360000	0.0110830000	0.0496680000	0.0000000000	0.0018650000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.0800000000	0.0055015511	0.0021683638	0.0055015511	0.0047728699	0.0980820000	0.0536350000	0.0112640000	0.0313320000	0.0000000000	0.0018240000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	0.1200000000	0.0036504185	0.0025388775	0.0055015511	0.0040723129	0.4302470000	0.0536140000	0.0112490000	0.0311400000	0.3323310000	0.0018860000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	0.1600000000	0.0021276572	0.0024566334	0.0055015511	0.0048987944	0.8097000000	0.0535890000	0.0598730000	0.0313940000	0.3297210000	0.3350930000	0	0	209321984	3.9957129955	4.0020360947	4.0009112358
6	0.2000000000	0.0021158110	0.0023998297	0.0055015511	0.0043899454	0.4305800000	0.0536160000	0.0446910000	0.0000010000	0.3303600000	0.0018860000	0	0	209321984	3.9965538979	4.0017571449	4.0000624657
7	0.2400000000	0.0020491821	0.0023497372	0.0055015511	0.0040164420	0.4592600000	0.0535930000	0.0423720000	0.0313590000	0.3299870000	0.0019190000	0	0	209321984	3.9963860512	4.0014791489	4.0003576279
8	0.2800000000	0.0021295445	0.0023222131	0.0055015511	0.0037227656	0.4294850000	0.0537930000	0.0449010000	0.0000000000	0.3288190000	0.0019380000	0	0	209321984	3.9949586391	4.0019369125	4.0002703667
9	0.3200000000	0.0021676212	0.0023050362	0.0055015511	0.0035287190	0.7931710000	0.0536100000	0.0428030000	0.0314090000	0.3300000000	0.3353140000	0	0	209321984	3.9930224419	4.0012898445	4.0003123283
10	0.3600000000	0.0022070820	0.0022952408	0.0055015511	0.0033889795	0.4232540000	0.0535800000	0.0425350000	0.0000010000	0.3252470000	0.0018590000	0	0	209321984	3.9929070473	4.0026335716	4.0009012222
11	0.4000000000	0.0022589520	0.0022919418	0.0055015511	0.0033576236	0.4677620000	0.0536050000	0.0515730000	0.0313840000	0.3292560000	0.0019120000	0	0	209321984	3.9919445515	4.0017886162	4.0016002655
12	0.4400000000	0.0022641739	0.0022896278	0.0055015511	0.0034313336	0.4285060000	0.0535920000	0.0423440000	0.0000000000	0.3306780000	0.0018600000	0	0	209321984	3.9918572903	4.0017395020	4.0008211136
13	0.4800000000	0.0022805610	0.0022889304	0.0055015511	0.0034363232	0.7939600000	0.0536000000	0.0426560000	0.0314730000	0.3307000000	0.3354970000	0	0	209321984	3.9894258976	4.0015444756	4.0013942719
14	0.5200000000	0.0023245795	0.0022914767	0.0055015511	0.0033244090	0.4899700000	0.0536090000	0.1050720000	0.0000010000	0.3293410000	0.0019140000	0	0	209321984	3.9894297123	4.0028066635	4.0008144379
15	0.5600000000	0.0023152155	0.0022930593	0.0055015511	0.0032122953	0.4662640000	0.0536020000	0.0490920000	0.0314650000	0.3301920000	0.0018790000	0	0	209321984	3.9863409996	4.0038952827	4.0015859604
16	0.6000000000	0.0023966364	0.0022995329	0.0055015511	0.0031281626	0.4488050000	0.0535930000	0.0625310000	0.0000010000	0.3307170000	0.0019290000	0	0	209321984	3.9871170521	4.0023283958	4.0005326271
17	0.6400000000	0.0024171770	0.0023064531	0.0055015511	0.0030498995	0.8002830000	0.0536090000	0.0492300000	0.0314560000	0.3308750000	0.3350760000	0	0	209321984	3.9851157665	4.0009016991	3.9991016388
18	0.6800000000	0.0024460810	0.0023142102	0.0055015511	0.0029601015	0.4383540000	0.0535850000	0.0513890000	0.0000010000	0.3314000000	0.0019420000	0	0	209321984	3.9835417271	4.0011630058	4.0000801086
19	0.7200000000	0.0024325005	0.0023204360	0.0055015511	0.0029192998	0.4672120000	0.0537510000	0.0492900000	0.0315450000	0.3306750000	0.0019150000	0	0	209321984	3.9820523262	4.0014052391	3.9996454716
20	0.7600000000	0.0025416587	0.0023314972	0.0055015511	0.0029368953	0.4280710000	0.0522370000	0.0427750000	0.0000000000	0.3311000000	0.0019200000	0	0	209321984	3.9790830612	4.0002136230	3.9993202686
21	0.8000000000	0.0025807053	0.0023433642	0.0055015511	0.0028725928	0.8049320000	0.0535970000	0.0518740000	0.0317860000	0.3311550000	0.3364770000	0	0	209321984	3.9761929512	4.0010929108	3.9996607304
22	0.8400000000	0.0028562606	0.0023666777	0.0055015511	0.0028130201	0.4324620000	0.0535820000	0.0450960000	0.0000010000	0.3318380000	0.0019090000	0	0	209321984	3.9707212448	4.0004558563	3.9992079735
23	0.8800000000	0.0028551938	0.0023879175	0.0055015511	0.0027483784	0.4727060000	0.0535750000	0.0540680000	0.0315720000	0.3315550000	0.0018980000	0	0	209321984	3.9713082314	3.9995715618	3.9975645542
24	0.9200000000	0.0028111078	0.0024055505	0.0055015511	0.0026883298	0.4313020000	0.0535850000	0.0427400000	0.0000010000	0.3330220000	0.0019170000	0	0	209321984	3.9629046917	4.0010108948	3.9969229698
25	0.9600000000	0.0027976024	0.0024212325	0.0055015511	0.0026601784	0.7971250000	0.0529020000	0.0426660000	0.0315090000	0.3323230000	0.3376870000	0	0	209321984	3.9617183208	4.0022773743	3.9961576462
26	1.0000000000	0.0028472953	0.0024376196	0.0055015511	0.0026079033	0.4397050000	0.0535690000	0.0514040000	0.0000010000	0.3327980000	0.0018960000	0	0	209321984	3.9554529190	4.0008077621	3.9970505238
27	1.0400000000	0.0026989488	0.0024472984	0.0055015511	0.0026330710	0.4692970000	0.0535910000	0.0493670000	0.0316050000	0.3327640000	0.0019250000	0	0	209321984	3.9496526718	4.0000433922	3.9948580265
28	1.0800000000	0.0027757999	0.0024590306	0.0055015511	0.0027071622	0.4501320000	0.0535760000	0.0608180000	0.0000000000	0.3338220000	0.0018750000	0	0	209321984	3.9448726177	4.0019135475	3.9945604801
29	1.1200000000	0.0027224279	0.0024681133	0.0055015511	0.0027849895	0.8150780000	0.0535710000	0.0580500000	0.0320340000	0.3330910000	0.3382930000	0	0	209321984	3.9388141632	4.0020322800	3.9917833805
30	1.1600000000	0.0029723723	0.0024849219	0.0055015511	0.0027877223	0.4410270000	0.0537640000	0.0515800000	0.0000000000	0.3337440000	0.0018970000	0	0	209321984	3.9293599129	4.0014410019	3.9938361645
31	1.2000000000	0.0028923196	0.0024980638	0.0055015511	0.0027640898	0.4804580000	0.0536010000	0.0609510000	0.0316780000	0.3323370000	0.0018510000	0	0	209321984	3.9227764606	4.0022115707	3.9920413494
32	1.2400000000	0.0029370915	0.0025117834	0.0055015511	0.0027640858	0.4405130000	0.0522570000	0.0516400000	0.0000010000	0.3346990000	0.0018780000	0	0	209321984	3.9160673618	4.0025391579	3.9897453785
33	1.2800000000	0.0029342324	0.0025245849	0.0055015511	0.0028064623	0.8313680000	0.0521500000	0.0515600000	0.0317300000	0.3344840000	0.3613990000	0	0	209321984	3.9104619026	4.0022311211	3.9895095825
34	1.3200000000	0.0028950730	0.0025354816	0.0055015511	0.0027797242	0.4411480000	0.0522660000	0.0517300000	0.0000010000	0.3352420000	0.0018670000	0	0	209321984	3.8820011616	4.0016937256	3.9892096519
35	1.3600000000	0.0030741547	0.0025508723	0.0055015511	0.0030460693	0.4714760000	0.0535700000	0.0492870000	0.0316890000	0.3349820000	0.0019070000	0	0	209321984	3.8787074089	4.0025601387	3.9865641594
36	1.4000000000	0.0030332129	0.0025642706	0.0055015511	0.0035562982	0.4416590000	0.0521530000	0.0519590000	0.0000010000	0.3355770000	0.0019240000	0	0	209321984	3.8730514050	4.0033059120	3.9847660065
37	1.4400000000	0.0030157461	0.0025764726	0.0055015511	0.0035938777	0.8162900000	0.0535720000	0.0584290000	0.0317900000	0.3350070000	0.3374470000	0	0	209321984	3.8621103764	4.0013189316	3.9860284328
38	1.4800000000	0.0032005347	0.0025928953	0.0055015511	0.0035536177	0.4449140000	0.0535610000	0.0540000000	0.0000010000	0.3354300000	0.0018800000	0	0	209321984	3.8505403996	4.0007658005	3.9867577553
39	1.5200000000	0.0032575962	0.0026099389	0.0055015511	0.0035108798	0.4657960000	0.0535690000	0.0424670000	0.0322420000	0.3355620000	0.0019110000	0	0	209321984	3.8474044800	4.0001392365	3.9834115505
40	1.5600000000	0.0033195622	0.0026276795	0.0055015511	0.0034941276	0.4348400000	0.0535760000	0.0427310000	0.0000010000	0.3366180000	0.0018690000	0	0	209321984	3.8375029564	3.9985287189	3.9840970039
41	1.6000000000	0.0033402247	0.0026450587	0.0055015511	0.0035145879	0.8170790000	0.0535760000	0.0536340000	0.0316920000	0.3359740000	0.3421560000	0	0	209321984	3.8271043301	3.9974167347	3.9858510494
42	1.6400000000	0.0033453396	0.0026617320	0.0055015511	0.0034757774	0.4358120000	0.0535750000	0.0427360000	0.0000010000	0.3375720000	0.0018840000	0	0	209321984	3.8137385845	3.9989142418	3.9880647659
