SLAMBench Report run started:	2020-02-23 09:07:44

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-KF-INT-00500.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.dylib
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libint-skip-flow-filter.dylib
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.005

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	X	Y	Z
1	0.0000000000	0.0000002980	0.0000002980	0.0000002980	0.0000000000	0.6514070000	0.0822290000	0.0202870000	0.0431240000	0.0000000000	0.5055230000	0	0	4.0000000000	4.0000000000	4.0000000000
2	0.0400000000	0.0010032422	0.0005017701	0.0010032422	0.0033378911	0.1381430000	0.0805940000	0.0122260000	0.0429060000	0.0000010000	0.0023790000	0	0	4.0000000000	4.0000000000	4.0000000000
3	0.0800000000	0.0055015511	0.0021683638	0.0055015511	0.0047728699	0.1367470000	0.0798120000	0.0116140000	0.0429640000	0.0000010000	0.0023200000	0	0	4.0000000000	4.0000000000	4.0000000000
4	0.1200000000	0.0036504185	0.0025388775	0.0055015511	0.0040723129	0.6298860000	0.0801370000	0.0116250000	0.0433170000	0.4924360000	0.0023380000	0	0	4.0000000000	4.0000000000	4.0000000000
5	0.1600000000	0.0021276572	0.0024566334	0.0055015511	0.0048987944	1.1677740000	0.0786570000	0.0618540000	0.0438130000	0.4873180000	0.4960950000	0	0	3.9957129955	4.0020360947	4.0009112358
6	0.2000000000	0.0021158110	0.0023998297	0.0055015511	0.0043899454	0.6633950000	0.0924900000	0.0558200000	0.0000000000	0.5125200000	0.0025280000	0	0	3.9965538979	4.0017571449	4.0000624657
7	0.2400000000	0.0020491821	0.0023497372	0.0055015511	0.0040164420	0.6738450000	0.0844320000	0.0454080000	0.0431410000	0.4980180000	0.0028060000	0	0	3.9963860512	4.0014791489	4.0003576279
8	0.2800000000	0.0021295445	0.0023222131	0.0055015511	0.0037227656	0.6392410000	0.0803680000	0.0479230000	0.0000000000	0.5084250000	0.0024840000	0	0	3.9949586391	4.0019369125	4.0002703667
9	0.3200000000	0.0021676212	0.0023050362	0.0055015511	0.0035287190	1.1665680000	0.0789620000	0.0439310000	0.0424420000	0.4902760000	0.5109100000	0	0	3.9930224419	4.0012898445	4.0003123283
10	0.3600000000	0.0022070820	0.0022952408	0.0055015511	0.0033889795	0.6161470000	0.0794330000	0.0439250000	0.0000010000	0.4903540000	0.0023900000	0	0	3.9929070473	4.0026335716	4.0009012222
11	0.4000000000	0.0022589520	0.0022919418	0.0055015511	0.0033576236	0.6651410000	0.0789160000	0.0528510000	0.0424620000	0.4884960000	0.0023750000	0	0	3.9919445515	4.0017886162	4.0016002655
12	0.4400000000	0.0022641739	0.0022896278	0.0055015511	0.0034313336	0.6201050000	0.0808280000	0.0450860000	0.0000000000	0.4917730000	0.0023630000	0	0	3.9918572903	4.0017395020	4.0008211136
13	0.4800000000	0.0022805610	0.0022889304	0.0055015511	0.0034363232	1.1489130000	0.0792550000	0.0440220000	0.0426500000	0.4880380000	0.4948980000	0	0	3.9894258976	4.0015444756	4.0013942719
14	0.5200000000	0.0023245795	0.0022914767	0.0055015511	0.0033244090	0.6763260000	0.0790640000	0.1069510000	0.0000010000	0.4880000000	0.0022720000	0	0	3.9894297123	4.0028066635	4.0008144379
15	0.5600000000	0.0023152155	0.0022930593	0.0055015511	0.0032122953	0.6647600000	0.0790920000	0.0509780000	0.0425770000	0.4898040000	0.0022590000	0	0	3.9863409996	4.0038952827	4.0015859604
16	0.6000000000	0.0023966364	0.0022995329	0.0055015511	0.0031281626	0.6355700000	0.0793800000	0.0648200000	0.0000010000	0.4889770000	0.0023500000	0	0	3.9871170521	4.0023283958	4.0005326271
17	0.6400000000	0.0024171770	0.0023064531	0.0055015511	0.0030498995	1.1597570000	0.0792720000	0.0508250000	0.0424130000	0.4887600000	0.4984430000	0	0	3.9851157665	4.0009016991	3.9991016388
18	0.6800000000	0.0024460810	0.0023142102	0.0055015511	0.0029601015	0.6242940000	0.0794640000	0.0530800000	0.0000010000	0.4894920000	0.0022140000	0	0	3.9835417271	4.0011630058	4.0000801086
19	0.7200000000	0.0024325005	0.0023204360	0.0055015511	0.0029192998	0.6889160000	0.0795860000	0.0509060000	0.0425300000	0.5132960000	0.0025410000	0	0	3.9820523262	4.0014052391	3.9996454716
