SLAMBench Report run started:	2020-02-23 02:06:06

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-KF-RND-040.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libskip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-probability: 0.4

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000002980	0.0000002980	0.0000002980	0.0000000000	0.4324180000	0.0015510000	0.0087770000	0.0266090000	0.0000030000	0.3953330000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.0000000000	0.0000002980	0.0000002980	0.0000002980	0.0000000000	0.0322820000	0.0008280000	0.0041660000	0.0264250000	0.0000010000	0.0008030000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.0000000000	0.0000002980	0.0000002980	0.0000002980	0.0000000000	0.0322840000	0.0008240000	0.0039880000	0.0266200000	0.0000000000	0.0008300000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	0.0400000000	0.0010032422	0.0005017701	0.0010032422	0.0033378911	0.4284720000	0.0008210000	0.0040890000	0.0265810000	0.3959440000	0.0009840000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	0.0400000000	0.0010032422	0.0005017701	0.0010032422	0.0033378911	0.7932910000	0.0008230000	0.0042000000	0.0000010000	0.3938320000	0.3944090000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
6	0.0800000000	0.0055015511	0.0021683638	0.0055015511	0.0047728699	0.4588340000	0.0535860000	0.0095170000	0.0000010000	0.3938230000	0.0018750000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
7	0.0800000000	0.0055015511	0.0021683638	0.0055015511	0.0047728699	0.4588540000	0.0535840000	0.0095350000	0.0000000000	0.3938110000	0.0018990000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
8	0.0800000000	0.0055015511	0.0021683638	0.0055015511	0.0047728699	0.4484220000	0.0521650000	0.0094210000	0.0000010000	0.3849600000	0.0018480000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
9	0.1200000000	0.0036504185	0.0025388775	0.0055015511	0.0040723129	0.8523240000	0.0535910000	0.0095840000	0.0000000000	0.3938270000	0.3952950000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
10	0.1200000000	0.0036504185	0.0025388775	0.0055015511	0.0040723129	0.4588670000	0.0535820000	0.0095580000	0.0000000000	0.3938270000	0.0018750000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
11	0.1200000000	0.0036504185	0.0025388775	0.0055015511	0.0040723129	0.4485120000	0.0521790000	0.0094790000	0.0000000000	0.3849670000	0.0018620000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
12	0.1600000000	0.0067101396	0.0033731299	0.0067101396	0.0036925862	0.4493690000	0.0521600000	0.0094550000	0.0000000000	0.3858290000	0.0019000000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
13	0.1600000000	0.0067101396	0.0033731299	0.0067101396	0.0036925862	0.8524430000	0.0536080000	0.0095350000	0.0000000000	0.3938090000	0.3954620000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
14	0.1600000000	0.0067101396	0.0033731299	0.0067101396	0.0036925862	0.4587700000	0.0535750000	0.0094970000	0.0000000000	0.3937960000	0.0018770000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
15	0.2000000000	0.0056835413	0.0037581984	0.0067101396	0.0033488360	0.4587660000	0.0535770000	0.0094780000	0.0000010000	0.3938020000	0.0018830000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
16	0.2000000000	0.0056835413	0.0037581984	0.0067101396	0.0033488360	0.4587470000	0.0535810000	0.0094520000	0.0000000000	0.3937900000	0.0018970000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
17	0.2000000000	0.0056835413	0.0037581984	0.0067101396	0.0033488360	0.8522080000	0.0535870000	0.0094870000	0.0000010000	0.3937720000	0.3953330000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
18	0.2400000000	0.0057585402	0.0040439616	0.0067101396	0.0031087655	0.4588470000	0.0535790000	0.0095660000	0.0000010000	0.3937860000	0.0018880000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
19	0.2400000000	0.0057585402	0.0040439616	0.0067101396	0.0031087655	0.4587890000	0.0535700000	0.0094630000	0.0000010000	0.3938140000	0.0019140000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
