SLAMBench Report run started:	2020-02-23 05:33:59

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-KF.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libidentity-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000002980	0.0000002980	0.0000002980	0.0000000000	0.4415380000	0.0552540000	0.0159540000	0.0313180000	0.0000040000	0.3388750000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.0400000000	0.0010032422	0.0005017701	0.0010032422	0.0033378911	0.0997240000	0.0549630000	0.0114940000	0.0314370000	0.0000010000	0.0018000000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.0800000000	0.0055015511	0.0021683638	0.0055015511	0.0047728699	0.0994750000	0.0550210000	0.0112790000	0.0313510000	0.0000000000	0.0017960000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	0.1200000000	0.0036504185	0.0025388775	0.0055015511	0.0040723129	0.4319350000	0.0544530000	0.0112920000	0.0316840000	0.3326200000	0.0018580000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	0.1600000000	0.0021276572	0.0024566334	0.0055015511	0.0048987944	0.8102180000	0.0545210000	0.0599220000	0.0313470000	0.3294790000	0.3349180000	0	0	209321984	3.9957129955	4.0020360947	4.0009112358
6	0.2000000000	0.0021158110	0.0023998297	0.0055015511	0.0043899454	0.4315700000	0.0544580000	0.0448090000	0.0000000000	0.3303420000	0.0019320000	0	0	209321984	3.9965538979	4.0017571449	4.0000624657
7	0.2400000000	0.0020491821	0.0023497372	0.0055015511	0.0040164420	0.4604190000	0.0546470000	0.0425250000	0.0313840000	0.3299480000	0.0018840000	0	0	209321984	3.9963860512	4.0014791489	4.0003576279
8	0.2800000000	0.0021295445	0.0023222131	0.0055015511	0.0037227656	0.4313010000	0.0544040000	0.0447750000	0.0000010000	0.3302030000	0.0018890000	0	0	209321984	3.9949586391	4.0019369125	4.0002703667
9	0.3200000000	0.0021676212	0.0023050362	0.0055015511	0.0035287190	0.7935690000	0.0544380000	0.0424360000	0.0313430000	0.3299850000	0.3353330000	0	0	209321984	3.9930224419	4.0012898445	4.0003123283
10	0.3600000000	0.0022070820	0.0022952408	0.0055015511	0.0033889795	0.4286360000	0.0544000000	0.0425360000	0.0000000000	0.3297740000	0.0018920000	0	0	209321984	3.9929070473	4.0026335716	4.0009012222
11	0.4000000000	0.0022589520	0.0022919418	0.0055015511	0.0033576236	0.4695000000	0.0544250000	0.0514920000	0.0314480000	0.3301810000	0.0019190000	0	0	209321984	3.9919445515	4.0017886162	4.0016002655
12	0.4400000000	0.0022641739	0.0022896278	0.0055015511	0.0034313336	0.4294220000	0.0544160000	0.0426890000	0.0000010000	0.3304260000	0.0018580000	0	0	209321984	3.9918572903	4.0017395020	4.0008211136
13	0.4800000000	0.0022805610	0.0022889304	0.0055015511	0.0034363232	0.7944160000	0.0543950000	0.0425630000	0.0314380000	0.3304290000	0.3355540000	0	0	209321984	3.9894258976	4.0015444756	4.0013942719
14	0.5200000000	0.0023245795	0.0022914767	0.0055015511	0.0033244090	0.4920950000	0.0544540000	0.1048530000	0.0000000000	0.3308960000	0.0018570000	0	0	209321984	3.9894297123	4.0028066635	4.0008144379
15	0.5600000000	0.0023152155	0.0022930593	0.0055015511	0.0032122953	0.4670640000	0.0543980000	0.0491210000	0.0315190000	0.3300530000	0.0019370000	0	0	209321984	3.9863409996	4.0038952827	4.0015859604
16	0.6000000000	0.0023966364	0.0022995329	0.0055015511	0.0031281626	0.4494850000	0.0544110000	0.0627180000	0.0000000000	0.3304190000	0.0019000000	0	0	209321984	3.9871170521	4.0023283958	4.0005326271
17	0.6400000000	0.0024171770	0.0023064531	0.0055015511	0.0030498995	0.8019140000	0.0544340000	0.0491770000	0.0314810000	0.3308080000	0.3359750000	0	0	209321984	3.9851157665	4.0009016991	3.9991016388
18	0.6800000000	0.0024460810	0.0023142102	0.0055015511	0.0029601015	0.4388440000	0.0544240000	0.0512620000	0.0000010000	0.3311960000	0.0019230000	0	0	209321984	3.9835417271	4.0011630058	4.0000801086
19	0.7200000000	0.0024325005	0.0023204360	0.0055015511	0.0029192998	0.4680460000	0.0544030000	0.0494200000	0.0316250000	0.3306690000	0.0018910000	0	0	209321984	3.9820523262	4.0014052391	3.9996454716
20	0.7600000000	0.0025416587	0.0023314972	0.0055015511	0.0029368953	0.4301030000	0.0544020000	0.0427540000	0.0000000000	0.3310370000	0.0018740000	0	0	209321984	3.9790830612	4.0002136230	3.9993202686
21	0.8000000000	0.0025807053	0.0023433642	0.0055015511	0.0028725928	0.8046220000	0.0543970000	0.0515390000	0.0314850000	0.3309450000	0.3362160000	0	0	209321984	3.9761929512	4.0010929108	3.9996607304
22	0.8400000000	0.0028562606	0.0023666777	0.0055015511	0.0028130201	0.4267170000	0.0544180000	0.0448510000	0.0000000000	0.3255510000	0.0018590000	0	0	209321984	3.9707212448	4.0004558563	3.9992079735
23	0.8800000000	0.0028551938	0.0023879175	0.0055015511	0.0027483784	0.4734690000	0.0543920000	0.0538520000	0.0319440000	0.3313110000	0.0019300000	0	0	209321984	3.9713082314	3.9995715618	3.9975645542
24	0.9200000000	0.0028111078	0.0024055505	0.0055015511	0.0026883298	0.4316530000	0.0544390000	0.0427090000	0.0000010000	0.3326040000	0.0018620000	0	0	209321984	3.9629046917	4.0010108948	3.9969229698
25	0.9600000000	0.0027976024	0.0024212325	0.0055015511	0.0026601784	0.7984660000	0.0544260000	0.0425740000	0.0315130000	0.3324020000	0.3375140000	0	0	209321984	3.9617183208	4.0022773743	3.9961576462
26	1.0000000000	0.0028472953	0.0024376196	0.0055015511	0.0026079033	0.4403100000	0.0543920000	0.0513470000	0.0000000000	0.3326130000	0.0019180000	0	0	209321984	3.9554529190	4.0008077621	3.9970505238
27	1.0400000000	0.0026989488	0.0024472984	0.0055015511	0.0026330710	0.4682660000	0.0538420000	0.0493960000	0.0316270000	0.3315290000	0.0018290000	0	0	209321984	3.9496526718	4.0000433922	3.9948580265
28	1.0800000000	0.0027757999	0.0024590306	0.0055015511	0.0027071622	0.4487380000	0.0530640000	0.0604580000	0.0000010000	0.3332630000	0.0019110000	0	0	209321984	3.9448726177	4.0019135475	3.9945604801
29	1.1200000000	0.0027224279	0.0024681133	0.0055015511	0.0027849895	0.8151460000	0.0544670000	0.0581790000	0.0315790000	0.3326860000	0.3381920000	0	0	209321984	3.9388141632	4.0020322800	3.9917833805
30	1.1600000000	0.0029723723	0.0024849219	0.0055015511	0.0027877223	0.4419740000	0.0546640000	0.0517920000	0.0000010000	0.3335940000	0.0018840000	0	0	209321984	3.9293599129	4.0014410019	3.9938361645
31	1.2000000000	0.0028923196	0.0024980638	0.0055015511	0.0027640898	0.4818130000	0.0543900000	0.0604200000	0.0315890000	0.3334650000	0.0019100000	0	0	209321984	3.9227764606	4.0022115707	3.9920413494
32	1.2400000000	0.0029370915	0.0025117834	0.0055015511	0.0027640858	0.4425570000	0.0544580000	0.0516160000	0.0000010000	0.3345800000	0.0018650000	0	0	209321984	3.9160673618	4.0025391579	3.9897453785
33	1.2800000000	0.0029342324	0.0025245849	0.0055015511	0.0028064623	0.8006040000	0.0544340000	0.0514650000	0.0316380000	0.3308210000	0.3322020000	0	0	209321984	3.9104619026	4.0022311211	3.9895095825
34	1.3200000000	0.0028950730	0.0025354816	0.0055015511	0.0027797242	0.4414650000	0.0531080000	0.0511820000	0.0000000000	0.3351950000	0.0019380000	0	0	209321984	3.8820011616	4.0016937256	3.9892096519
35	1.3600000000	0.0030741547	0.0025508723	0.0055015511	0.0030460693	0.4725990000	0.0543990000	0.0495910000	0.0318100000	0.3348680000	0.0018880000	0	0	209321984	3.8787074089	4.0025601387	3.9865641594
36	1.4000000000	0.0030332129	0.0025642706	0.0055015511	0.0035562982	0.4435000000	0.0544270000	0.0517330000	0.0000000000	0.3353900000	0.0019050000	0	0	209321984	3.8730514050	4.0033059120	3.9847660065
37	1.4400000000	0.0030157461	0.0025764726	0.0055015511	0.0035938777	0.8201070000	0.0544330000	0.0585280000	0.0318420000	0.3348080000	0.3404490000	0	0	209321984	3.8621103764	4.0013189316	3.9860284328
38	1.4800000000	0.0032005347	0.0025928953	0.0055015511	0.0035536177	0.4457100000	0.0543950000	0.0539630000	0.0000010000	0.3354160000	0.0018920000	0	0	209321984	3.8505403996	4.0007658005	3.9867577553
39	1.5200000000	0.0032575962	0.0026099389	0.0055015511	0.0035108798	0.4674230000	0.0543880000	0.0424830000	0.0332700000	0.3353320000	0.0019060000	0	0	209321984	3.8474044800	4.0001392365	3.9834115505
40	1.5600000000	0.0033195622	0.0026276795	0.0055015511	0.0034941276	0.4357660000	0.0544510000	0.0427920000	0.0000010000	0.3365920000	0.0018850000	0	0	209321984	3.8375029564	3.9985287189	3.9840970039
41	1.6000000000	0.0033402247	0.0026450587	0.0055015511	0.0035145879	0.8186950000	0.0544200000	0.0536760000	0.0318500000	0.3364960000	0.3422030000	0	0	209321984	3.8271043301	3.9974167347	3.9858510494
42	1.6400000000	0.0033453396	0.0026617320	0.0055015511	0.0034757774	0.4363950000	0.0543970000	0.0425420000	0.0000000000	0.3374960000	0.0019120000	0	0	209321984	3.8137385845	3.9989142418	3.9880647659
43	1.6800000000	0.0033309176	0.0026772945	0.0055015511	0.0034549186	0.4741420000	0.0544340000	0.0497500000	0.0319340000	0.3361040000	0.0018690000	0	0	209321984	3.8069241047	3.9993524551	3.9914381504
44	1.7200000000	0.0033258300	0.0026920339	0.0055015511	0.0034860683	0.4378130000	0.0543920000	0.0427000000	0.0000000000	0.3387560000	0.0019160000	0	0	209321984	3.8006076813	3.9986841679	3.9893238544
45	1.7600000000	0.0033450893	0.0027065463	0.0055015511	0.0035048405	0.8180990000	0.0549060000	0.0520060000	0.0320180000	0.3362130000	0.3429020000	0	0	209321984	3.7922329903	4.0006747246	3.9930381775
46	1.8000000000	0.0034082141	0.0027217999	0.0055015511	0.0035113751	0.4461900000	0.0543680000	0.0540450000	0.0000000000	0.3358370000	0.0018890000	0	0	209321984	3.7862722874	4.0012898445	3.9931361675
47	1.8400000000	0.0034266224	0.0027367961	0.0055015511	0.0036170776	0.4690790000	0.0549170000	0.0431400000	0.0320190000	0.3370350000	0.0019140000	0	0	209321984	3.7832624912	3.9994781017	3.9928357601
48	1.8800000000	0.0033781717	0.0027501581	0.0055015511	0.0036604927	0.4458190000	0.0548970000	0.0525360000	0.0000000000	0.3364450000	0.0018890000	0	0	209321984	3.7786982059	3.9991884232	3.9939424992
49	1.9200000000	0.0035794692	0.0027670828	0.0055015511	0.0036222880	0.8111130000	0.0543850000	0.0453830000	0.0321390000	0.3370740000	0.3420780000	0	0	209321984	3.7715673447	4.0004119873	3.9947512150
50	1.9600000000	0.0035761660	0.0027832645	0.0055015511	0.0036079389	0.4446970000	0.0544370000	0.0519830000	0.0000000000	0.3363430000	0.0018790000	0	0	209321984	3.7572417259	4.0000801086	3.9996907711
51	2.0000000000	0.0035184498	0.0027976799	0.0055015511	0.0035822168	0.4768010000	0.0546690000	0.0519900000	0.0319840000	0.3362110000	0.0018920000	0	0	209321984	3.7588238716	3.9999413490	3.9966940880
52	2.0400000000	0.0035658584	0.0028124526	0.0055015511	0.0035470793	0.4469590000	0.0549050000	0.0541710000	0.0000010000	0.3359560000	0.0018690000	0	0	209321984	3.7548794746	4.0003604889	3.9959802628
53	2.0800000000	0.0034984914	0.0028253967	0.0055015511	0.0035916365	0.8263710000	0.0530440000	0.0610590000	0.0323340000	0.3375810000	0.3422950000	0	0	209321984	3.7528636456	3.9979722500	3.9927272797
54	2.1200000000	0.0036599229	0.0028408509	0.0055015511	0.0036670465	0.4376250000	0.0547780000	0.0434700000	0.0000000000	0.3374250000	0.0018950000	0	0	209321984	3.7398264408	3.9965598583	3.9985260963
