SLAMBench Report run started:	2020-02-28 10:01:49

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-ORB-COM-00005.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 5e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0010031087	0.0010031087	0.0010031087	0.0000000000	0.0125230000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.1200000000	0.0037919697	0.0023975392	0.0037919697	0.0016077848	0.0182910000	0	0	209321984	-0.0005630151	-0.0014064119	-0.0005557494
3	0.1600000000	0.0039707902	0.0029219562	0.0039707902	0.0014919750	0.0162390000	0	0	209321984	-0.0030933649	-0.0000762855	0.0014322129
4	0.3600000000	0.0049701333	0.0034340005	0.0049701333	0.0024600045	0.0161220000	0	0	209321984	-0.0055363523	-0.0014074362	-0.0001738364
5	0.4000000000	0.0033350440	0.0034142092	0.0049701333	0.0028624007	0.0161910000	0	0	209321984	-0.0087113669	-0.0018736176	0.0005500666
6	0.4400000000	0.0035562809	0.0034378878	0.0049701333	0.0030979839	0.0160530000	0	0	209321984	-0.0088304179	-0.0024458400	0.0001896141
7	0.5600000000	0.0034910166	0.0034454776	0.0049701333	0.0039544426	0.0153870000	0	0	209321984	-0.0154248700	-0.0006127345	0.0009938006
8	0.6000000000	0.0020508619	0.0032711507	0.0049701333	0.0037230186	0.0160400000	0	0	209321984	-0.0144830616	-0.0009609549	-0.0000184217
9	0.6400000000	0.0051493323	0.0034798375	0.0051493323	0.0035383636	0.0160320000	0	0	209321984	-0.0120204240	-0.0018403877	-0.0018007784
10	0.6800000000	0.0039719166	0.0035290454	0.0051493323	0.0035247711	0.0155490000	0	0	209321984	-0.0181803703	-0.0040924377	-0.0004753619
11	0.7200000000	0.0042675356	0.0035961809	0.0051493323	0.0033807098	0.0157260000	0	0	209321984	-0.0185095780	-0.0038755550	-0.0010829157
12	0.7600000000	0.0044082254	0.0036638513	0.0051493323	0.0033624515	0.0158510000	0	0	209321984	-0.0197527576	-0.0040820367	-0.0010689824
13	0.8000000000	0.0047426564	0.0037468363	0.0051493323	0.0032313242	0.0163570000	0	0	209321984	-0.0223737042	-0.0032659576	-0.0014518292
14	0.8400000000	0.0049156197	0.0038303208	0.0051493323	0.0031128189	0.0156900000	0	0	209321984	-0.0285856407	-0.0048481580	-0.0017983490
15	0.8800000000	0.0041415291	0.0038510680	0.0051493323	0.0030085625	0.0156300000	0	0	209321984	-0.0280129127	-0.0043427311	-0.0045180004
16	0.9200000000	0.0038805092	0.0038529081	0.0051493323	0.0029099683	0.0155070000	0	0	209321984	-0.0365385190	-0.0027829257	-0.0048025069
17	0.9600000000	0.0044519450	0.0038881456	0.0051493323	0.0028783145	0.0157620000	0	0	209321984	-0.0363702364	-0.0001879002	-0.0056287129
18	1.0000000000	0.0075701522	0.0040927015	0.0075701522	0.0028545233	0.0154420000	0	0	209321984	-0.0394353345	-0.0016028379	-0.0049594892
19	1.0400000000	0.0075643524	0.0042754200	0.0075701522	0.0028513919	0.0160650000	0	0	209321984	-0.0450077355	-0.0014817641	-0.0069712666
20	1.0800000000	0.0020564757	0.0041644727	0.0075701522	0.0029214593	0.0156810000	0	0	209321984	-0.0573928617	-0.0016676110	-0.0066101905
21	1.1200000000	0.0022166073	0.0040717173	0.0075701522	0.0030411087	0.0156960000	0	0	209321984	-0.0620974079	-0.0001177034	-0.0105922194
22	1.1600000000	0.0044864453	0.0040905685	0.0075701522	0.0031581733	0.0156600000	0	0	209321984	-0.0687587783	-0.0017994391	-0.0071217609
23	1.2000000000	0.0043024640	0.0040997814	0.0075701522	0.0030984057	0.0162090000	0	0	209321984	-0.0752341226	0.0004711256	-0.0097965924
24	1.2400000000	0.0053603123	0.0041523035	0.0075701522	0.0031566154	0.0154790000	0	0	209321984	-0.0815130398	-0.0007908934	-0.0130705796
25	1.2800000000	0.0035961759	0.0041300584	0.0075701522	0.0031830017	0.0160030000	0	0	209321984	-0.0892982408	-0.0020702484	-0.0120653920
26	1.3200000000	0.0082992371	0.0042904114	0.0082992371	0.0031534876	0.0155630000	0	0	209321984	-0.1120196059	-0.0017741548	-0.0132428408
27	1.3600000000	0.0032372992	0.0042514073	0.0082992371	0.0033004125	0.0158170000	0	0	209321984	-0.1203261092	-0.0001166783	-0.0148996450
28	1.4000000000	0.0033120401	0.0042178584	0.0082992371	0.0038637622	0.0151880000	0	0	209321984	-0.1261870712	0.0001060122	-0.0168413557
29	1.4400000000	0.0039509274	0.0042086539	0.0082992371	0.0039692593	0.0154260000	0	0	209321984	-0.1364839077	-0.0023972176	-0.0152339758
