SLAMBench Report run started:	2020-02-28 10:12:41

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-ORB-COM-00015.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.00015

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0010031087	0.0010031087	0.0010031087	0.0000000000	0.0124490000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.1200000000	0.0037919697	0.0023975392	0.0037919697	0.0016077848	0.0182390000	0	0	209321984	-0.0005630151	-0.0014064119	-0.0005557494
3	0.4000000000	0.0031824145	0.0026591643	0.0037919697	0.0058383824	0.0157520000	0	0	209321984	-0.0083442070	-0.0015194232	0.0007864209
4	0.5600000000	0.0038270082	0.0029511253	0.0038270082	0.0078505883	0.0158430000	0	0	209321984	-0.0164218042	-0.0008760958	0.0008520112
5	0.6400000000	0.0062208851	0.0036050772	0.0062208851	0.0071186952	0.0162660000	0	0	209321984	-0.0108543308	-0.0016746687	-0.0014762316
6	0.7200000000	0.0035670253	0.0035987352	0.0062208851	0.0067564560	0.0154870000	0	0	209321984	-0.0187710710	-0.0032154764	-0.0012175542
7	0.8000000000	0.0056013069	0.0038848169	0.0062208851	0.0063450268	0.0151910000	0	0	209321984	-0.0208518114	-0.0024906963	-0.0012098845
8	0.8400000000	0.0051729907	0.0040458386	0.0062208851	0.0059015078	0.0160350000	0	0	209321984	-0.0279484000	-0.0046095550	-0.0018703397
9	0.8800000000	0.0042148754	0.0040646205	0.0062208851	0.0055301787	0.0157360000	0	0	209321984	-0.0280286614	-0.0045905011	-0.0043069879
10	0.9200000000	0.0032762298	0.0039857814	0.0062208851	0.0052162695	0.0160090000	0	0	209321984	-0.0370066091	-0.0023711100	-0.0047683725
11	0.9600000000	0.0044334186	0.0040264757	0.0062208851	0.0049841675	0.0155110000	0	0	209321984	-0.0365821607	-0.0009444219	-0.0053787036
12	1.0000000000	0.0068426849	0.0042611598	0.0068426849	0.0047866616	0.0154180000	0	0	209321984	-0.0403376706	-0.0023979256	-0.0049806172
13	1.0400000000	0.0066859042	0.0044476786	0.0068426849	0.0046594557	0.0158190000	0	0	209321984	-0.0458536334	-0.0016503850	-0.0066535687
14	1.0800000000	0.0023893146	0.0043006526	0.0068426849	0.0046237482	0.0151900000	0	0	209321984	-0.0578406937	-0.0019468430	-0.0066129547
15	1.1200000000	0.0022234207	0.0041621705	0.0068426849	0.0046610358	0.0159180000	0	0	209321984	-0.0620565154	-0.0002801429	-0.0104967877
16	1.1600000000	0.0037043367	0.0041335559	0.0068426849	0.0046467052	0.0156090000	0	0	209321984	-0.0694140717	-0.0012618410	-0.0072279982
17	1.2000000000	0.0034490842	0.0040932928	0.0068426849	0.0045097889	0.0156390000	0	0	209321984	-0.0761276260	0.0006659381	-0.0098038688
18	1.2400000000	0.0052208905	0.0041559372	0.0068426849	0.0045280876	0.0155630000	0	0	209321984	-0.0819306076	-0.0013415370	-0.0131082488
19	1.2800000000	0.0024307349	0.0040651370	0.0068426849	0.0044599208	0.0161230000	0	0	209321984	-0.0902608261	-0.0013971149	-0.0118277231
20	1.3200000000	0.0085607395	0.0042899172	0.0085607395	0.0043685996	0.0156040000	0	0	209321984	-0.1118378192	-0.0022762525	-0.0131140715
21	1.3600000000	0.0027840387	0.0042182087	0.0085607395	0.0044312920	0.0157410000	0	0	209321984	-0.1208363026	-0.0001924174	-0.0149716642
22	1.4000000000	0.0023968951	0.0041354217	0.0085607395	0.0048929861	0.0152550000	0	0	209321984	-0.1271636039	0.0002321903	-0.0167784039
23	1.4400000000	0.0030301325	0.0040873656	0.0085607395	0.0049698578	0.0153600000	0	0	209321984	-0.1372963637	-0.0019917318	-0.0148951523
24	1.4800000000	0.0036324624	0.0040684113	0.0085607395	0.0048647986	0.0154070000	0	0	209321984	-0.1485384256	-0.0022324496	-0.0152853020
25	1.5200000000	0.0020526501	0.0039877809	0.0085607395	0.0047986705	0.0154060000	0	0	209321984	-0.1536410898	-0.0009865855	-0.0162873194
26	1.5600000000	0.0048664091	0.0040215743	0.0085607395	0.0048781445	0.0152440000	0	0	209321984	-0.1659726053	-0.0082023544	-0.0173113123
27	1.6000000000	0.0013010562	0.0039208143	0.0085607395	0.0049193799	0.0155210000	0	0	209321984	-0.1749295592	-0.0053625801	-0.0142343193
28	1.6400000000	0.0032637401	0.0038973474	0.0085607395	0.0048282609	0.0151440000	0	0	209321984	-0.1860801876	-0.0048296056	-0.0121057481
29	1.7200000000	0.0052335290	0.0039434226	0.0085607395	0.0049450666	0.0155690000	0	0	209321984	-0.1968018562	-0.0021393455	-0.0107322726
