SLAMBench Report run started:	2020-02-28 09:34:06

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-ORB-DEP-00015.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.00015

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.1200000000	0.0036505065	0.0036505065	0.0036505065	0.0000000000	0.0126510000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.6400000000	0.0064980164	0.0050742615	0.0064980164	0.0191616751	0.0184380000	0	0	209321984	-0.0135295670	-0.0058165216	-0.0015299950
3	0.7600000000	0.0031447781	0.0044311003	0.0064980164	0.0146143978	0.0155260000	0	0	209321984	-0.0205029547	-0.0029976340	-0.0015707002
4	0.8400000000	0.0039290907	0.0043055979	0.0064980164	0.0119445038	0.0155500000	0	0	209321984	-0.0279069841	-0.0022019802	-0.0016733867
5	0.9200000000	0.0050098654	0.0044464514	0.0064980164	0.0103526914	0.0154410000	0	0	209321984	-0.0348894559	-0.0025485922	-0.0039206361
6	1.0000000000	0.0048347600	0.0045111695	0.0064980164	0.0092919203	0.0157530000	0	0	209321984	-0.0429203138	-0.0035583170	-0.0039218785
7	1.0400000000	0.0047399481	0.0045438522	0.0064980164	0.0086217846	0.0157830000	0	0	209321984	-0.0480434708	0.0002018733	-0.0058323639
8	1.0800000000	0.0027484745	0.0043194300	0.0064980164	0.0082793000	0.0152060000	0	0	209321984	-0.0569223389	-0.0023694644	-0.0057780240
9	1.1200000000	0.0058757267	0.0044923518	0.0064980164	0.0080055089	0.0155670000	0	0	209321984	-0.0588306002	-0.0031978285	-0.0090836091
10	1.1600000000	0.0049321763	0.0045363343	0.0064980164	0.0075958699	0.0159310000	0	0	209321984	-0.0688870698	-0.0030250368	-0.0068877013
11	1.2000000000	0.0053987196	0.0046147329	0.0064980164	0.0072419780	0.0158170000	0	0	209321984	-0.0747877583	-0.0022392171	-0.0093451012
12	1.2400000000	0.0083374036	0.0049249555	0.0083374036	0.0070336992	0.0156810000	0	0	209321984	-0.0781531408	-0.0012734975	-0.0115600685
13	1.2800000000	0.0064694104	0.0050437597	0.0083374036	0.0068431963	0.0160160000	0	0	209321984	-0.0867317244	-0.0036328600	-0.0112348050
14	1.3200000000	0.0063667200	0.0051382569	0.0083374036	0.0065992927	0.0156810000	0	0	209321984	-0.1142776087	-0.0029369979	-0.0118303522
15	1.3600000000	0.0092423633	0.0054118640	0.0092423633	0.0067512074	0.0154710000	0	0	209321984	-0.1142741367	0.0001134701	-0.0133037847
