SLAMBench Report run started:	2020-02-28 11:02:11

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-ORB-RND-040.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libskip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-probability: 0.04

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0141630000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.0400000000	0.0008942312	0.0004471156	0.0008942312	0.0011596177	0.0206690000	0	0	209321984	-0.0006676716	0.0005290105	-0.0004662967
3	0.0800000000	0.0013122185	0.0007354832	0.0013122185	0.0013966309	0.0163310000	0	0	209321984	-0.0045540654	0.0009878589	-0.0004562875
4	0.1200000000	0.0028944500	0.0012752249	0.0028944500	0.0014587426	0.0159080000	0	0	209321984	-0.0004693632	0.0006913423	-0.0010295842
5	0.1600000000	0.0044480599	0.0019097919	0.0044480599	0.0014795193	0.0150540000	0	0	209321984	-0.0034453131	-0.0013497153	0.0009049044
6	0.2000000000	0.0010693094	0.0017697115	0.0044480599	0.0018507786	0.0160020000	0	0	209321984	-0.0044729444	0.0017162107	-0.0003826817
7	0.2400000000	0.0016536772	0.0017531352	0.0044480599	0.0017158102	0.0158550000	0	0	209321984	-0.0047573880	0.0026684050	-0.0000932570
8	0.2800000000	0.0027955174	0.0018834330	0.0044480599	0.0016635817	0.0157450000	0	0	209321984	-0.0044939425	0.0025319175	-0.0001638683
9	0.3200000000	0.0012081414	0.0018084006	0.0044480599	0.0018597725	0.0158730000	0	0	209321984	-0.0082285833	0.0016211689	-0.0004940766
10	0.3600000000	0.0026348038	0.0018910409	0.0044480599	0.0018266804	0.0159520000	0	0	209321984	-0.0068865935	0.0031025033	-0.0003115477
11	0.4000000000	0.0018248843	0.0018850267	0.0044480599	0.0019410422	0.0157270000	0	0	209321984	-0.0084272139	0.0004792906	0.0012201489
12	0.4400000000	0.0008738501	0.0018007619	0.0044480599	0.0023377512	0.0156460000	0	0	209321984	-0.0105769215	0.0001491693	-0.0000068989
13	0.4800000000	0.0018423528	0.0018039612	0.0044480599	0.0024125743	0.0157880000	0	0	209321984	-0.0109492010	0.0001599813	0.0003109401
14	0.5200000000	0.0036839515	0.0019382463	0.0044480599	0.0023272692	0.0158020000	0	0	209321984	-0.0091749327	0.0008843198	-0.0008817005
