SLAMBench Report run started:	2020-02-23 03:18:00

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-KF-DEP-00005.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 5e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0010032422	0.0010032422	0.0010032422	0.0000000000	0.4319640000	0.0527700000	0.0158720000	0.0319520000	0.0000040000	0.3312720000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.1200000000	0.0036504185	0.0023268303	0.0036504185	0.0078900512	0.0983260000	0.0533900000	0.0111840000	0.0319290000	0.0000020000	0.0017930000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.5600000000	0.0159559101	0.0068698569	0.0159559101	0.0076221510	0.0987040000	0.0535830000	0.0112310000	0.0320710000	0.0000010000	0.0017910000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	0.6800000000	0.0184614863	0.0097677643	0.0184614863	0.0074642059	0.4251250000	0.0521560000	0.0110850000	0.0319210000	0.3280700000	0.0018660000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	0.7600000000	0.0094206845	0.0096983483	0.0184614863	0.0098244223	0.7925120000	0.0536610000	0.0410430000	0.0323780000	0.3300310000	0.3353670000	0	0	209321984	3.9864079952	3.9991834164	3.9990744591
6	0.8000000000	0.0094030919	0.0096491389	0.0184614863	0.0088019244	0.4380770000	0.0536010000	0.0517470000	0.0000010000	0.3307510000	0.0019460000	0	0	209321984	3.9834246635	4.0002746582	3.9994871616
7	0.8400000000	0.0094475942	0.0096203468	0.0184614863	0.0080439846	0.4722290000	0.0535870000	0.0538220000	0.0321780000	0.3306900000	0.0019200000	0	0	209321984	3.9777805805	3.9994814396	3.9990050793
8	0.8800000000	0.0093924059	0.0095918542	0.0184614863	0.0074473866	0.4287100000	0.0521560000	0.0426690000	0.0000000000	0.3319440000	0.0019100000	0	0	209321984	3.9783160686	3.9987273216	3.9973561764
9	0.9200000000	0.0093858046	0.0095689598	0.0184614863	0.0069667005	0.8035450000	0.0532590000	0.0538970000	0.0323230000	0.3282950000	0.3357360000	0	0	209321984	3.9699258804	4.0002493858	3.9967455864
10	0.9600000000	0.0095311170	0.0095651755	0.0184614863	0.0065966238	0.4341300000	0.0536020000	0.0518760000	0.0000000000	0.3267090000	0.0019100000	0	0	209321984	3.9689152241	4.0016779900	3.9959788322
