SLAMBench Report run started:	2020-02-23 03:25:11

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-KF-DEP-00010.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0001

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0010032422	0.0010032422	0.0010032422	0.0000000000	0.4435310000	0.0543020000	0.0160300000	0.0322350000	0.0000030000	0.3408600000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.1200000000	0.0036504185	0.0023268303	0.0036504185	0.0078900512	0.0986860000	0.0535990000	0.0112660000	0.0319950000	0.0000010000	0.0017950000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.5600000000	0.0159559101	0.0068698569	0.0159559101	0.0076221510	0.0991940000	0.0538640000	0.0112600000	0.0322250000	0.0000010000	0.0018140000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	0.6800000000	0.0184614863	0.0097677643	0.0184614863	0.0074642059	0.4310790000	0.0536510000	0.0111980000	0.0320980000	0.3322160000	0.0018870000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	0.7600000000	0.0094206845	0.0096983483	0.0184614863	0.0098244223	0.7811640000	0.0536080000	0.0406910000	0.0321090000	0.3232420000	0.3314810000	0	0	209321984	3.9864079952	3.9991834164	3.9990744591
6	0.8400000000	0.0093976408	0.0096482304	0.0184614863	0.0087881967	0.4317700000	0.0536310000	0.0449680000	0.0000010000	0.3312870000	0.0018540000	0	0	209321984	3.9777290821	3.9995064735	3.9990081787
7	0.9200000000	0.0095744813	0.0096376948	0.0184614863	0.0080242225	0.4615410000	0.0536020000	0.0427570000	0.0323490000	0.3308580000	0.0019440000	0	0	209321984	3.9701323509	3.9999697208	3.9967098236
8	0.9600000000	0.0095919073	0.0096319714	0.0184614863	0.0074666139	0.4338200000	0.0535780000	0.0540570000	0.0000000000	0.3242860000	0.0018670000	0	0	209321984	3.9689950943	4.0014667511	3.9959430695
9	1.0000000000	0.0095117316	0.0096186114	0.0184614863	0.0069856746	0.8036760000	0.0535950000	0.0515890000	0.0323210000	0.3303780000	0.3357600000	0	0	209321984	3.9626421928	3.9998965263	3.9968101978
10	1.0400000000	0.0094267279	0.0095994230	0.0184614863	0.0066740221	0.4400230000	0.0536250000	0.0520110000	0.0000010000	0.3324620000	0.0018910000	0	0	209321984	3.9568750858	3.9995410442	3.9946663380
