SLAMBench Report run started:	2020-02-23 09:32:03

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-KF-INT-00800.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.dylib
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libint-skip-flow-filter.dylib
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	X	Y	Z
1	0.0000000000	0.0000002980	0.0000002980	0.0000002980	0.0000000000	0.6539850000	0.0805870000	0.0216190000	0.0427940000	0.0000000000	0.5081610000	0	0	4.0000000000	4.0000000000	4.0000000000
2	0.0400000000	0.0010032422	0.0005017701	0.0010032422	0.0033378911	0.1372560000	0.0797310000	0.0117160000	0.0434180000	0.0000000000	0.0023630000	0	0	4.0000000000	4.0000000000	4.0000000000
3	0.0800000000	0.0055015511	0.0021683638	0.0055015511	0.0047728699	0.1369430000	0.0801500000	0.0115610000	0.0429080000	0.0000010000	0.0022910000	0	0	4.0000000000	4.0000000000	4.0000000000
4	0.1200000000	0.0036504185	0.0025388775	0.0055015511	0.0040723129	0.6360210000	0.0796910000	0.0118260000	0.0433490000	0.4985600000	0.0025540000	0	0	4.0000000000	4.0000000000	4.0000000000
5	0.1600000000	0.0021276572	0.0024566334	0.0055015511	0.0048987944	1.1764980000	0.0819400000	0.0635140000	0.0437740000	0.4910890000	0.4961250000	0	0	3.9957129955	4.0020360947	4.0009112358
6	0.2000000000	0.0021158110	0.0023998297	0.0055015511	0.0043899454	0.6182320000	0.0799000000	0.0462380000	0.0000000000	0.4897380000	0.0023170000	0	0	3.9965538979	4.0017571449	4.0000624657
7	0.2400000000	0.0020491821	0.0023497372	0.0055015511	0.0040164420	0.6564060000	0.0787430000	0.0439940000	0.0424840000	0.4887900000	0.0023640000	0	0	3.9963860512	4.0014791489	4.0003576279
8	0.2800000000	0.0021295445	0.0023222131	0.0055015511	0.0037227656	0.6165150000	0.0791310000	0.0463690000	0.0000000000	0.4887150000	0.0022640000	0	0	3.9949586391	4.0019369125	4.0002703667
9	0.3200000000	0.0021676212	0.0023050362	0.0055015511	0.0035287190	1.1509530000	0.0790870000	0.0434970000	0.0425620000	0.4896550000	0.4961060000	0	0	3.9930224419	4.0012898445	4.0003123283
10	0.3600000000	0.0022070820	0.0022952408	0.0055015511	0.0033889795	0.6139910000	0.0785540000	0.0437070000	0.0000010000	0.4894230000	0.0022700000	0	0	3.9929070473	4.0026335716	4.0009012222
11	0.4000000000	0.0022589520	0.0022919418	0.0055015511	0.0033576236	0.6665480000	0.0786910000	0.0534680000	0.0425780000	0.4893580000	0.0024130000	0	0	3.9919445515	4.0017886162	4.0016002655
12	0.4400000000	0.0022641739	0.0022896278	0.0055015511	0.0034313336	0.6156220000	0.0786770000	0.0437600000	0.0000000000	0.4908650000	0.0022830000	0	0	3.9918572903	4.0017395020	4.0008211136
13	0.4800000000	0.0022805610	0.0022889304	0.0055015511	0.0034363232	1.1514670000	0.0788880000	0.0439870000	0.0426880000	0.4894320000	0.4964330000	0	0	3.9894258976	4.0015444756	4.0013942719
14	0.5200000000	0.0023245795	0.0022914767	0.0055015511	0.0033244090	0.6803410000	0.0789790000	0.1082100000	0.0000010000	0.4908290000	0.0022790000	0	0	3.9894297123	4.0028066635	4.0008144379
15	0.5600000000	0.0023152155	0.0022930593	0.0055015511	0.0032122953	0.6666180000	0.0795340000	0.0505970000	0.0425610000	0.4914960000	0.0023910000	0	0	3.9863409996	4.0038952827	4.0015859604
16	0.6000000000	0.0023966364	0.0022995329	0.0055015511	0.0031281626	0.6361540000	0.0798430000	0.0642230000	0.0000000000	0.4897040000	0.0023410000	0	0	3.9871170521	4.0023283958	4.0005326271
17	0.6400000000	0.0024171770	0.0023064531	0.0055015511	0.0030498995	1.1625860000	0.0792470000	0.0504950000	0.0426680000	0.4904170000	0.4997100000	0	0	3.9851157665	4.0009016991	3.9991016388
18	0.6800000000	0.0024460810	0.0023142102	0.0055015511	0.0029601015	0.6272260000	0.0795460000	0.0531930000	0.0000000000	0.4921090000	0.0023310000	0	0	3.9835417271	4.0011630058	4.0000801086
19	0.7200000000	0.0024325005	0.0023204360	0.0055015511	0.0029192998	0.6664420000	0.0795150000	0.0505960000	0.0434110000	0.4904840000	0.0023930000	0	0	3.9820523262	4.0014052391	3.9996454716
20	0.7600000000	0.0025416587	0.0023314972	0.0055015511	0.0029368953	0.6168180000	0.0797160000	0.0439350000	0.0000010000	0.4908530000	0.0022760000	0	0	3.9790830612	4.0002136230	3.9993202686
21	0.8000000000	0.0025807053	0.0023433642	0.0055015511	0.0028725928	1.1900920000	0.0800140000	0.0529160000	0.0427950000	0.5050900000	0.5091980000	0	0	3.9761929512	4.0010929108	3.9996607304
22	0.8400000000	0.0028562606	0.0023666777	0.0055015511	0.0028130201	0.6322660000	0.0815170000	0.0464680000	0.0000000000	0.5009880000	0.0032340000	0	0	3.9707212448	4.0004558563	3.9992079735
23	0.8800000000	0.0028551938	0.0023879175	0.0055015511	0.0027483784	0.6928720000	0.0837880000	0.0590060000	0.0446090000	0.5028020000	0.0026150000	0	0	3.9713082314	3.9995715618	3.9975645542
24	0.9200000000	0.0028111078	0.0024055505	0.0055015511	0.0026883298	0.6435940000	0.0825420000	0.0440600000	0.0000010000	0.5142180000	0.0027240000	0	0	3.9629046917	4.0010108948	3.9969229698
25	0.9600000000	0.0027976024	0.0024212325	0.0055015511	0.0026601784	1.3306920000	0.1065540000	0.0575580000	0.0506020000	0.5513580000	0.5645400000	0	0	3.9617183208	4.0022773743	3.9961576462
26	1.0000000000	0.0028472953	0.0024376196	0.0055015511	0.0026079033	0.6678540000	0.0934880000	0.0589310000	0.0000010000	0.5119220000	0.0034250000	0	0	3.9554529190	4.0008077621	3.9970505238
27	1.0400000000	0.0026989488	0.0024472984	0.0055015511	0.0026330710	0.6807540000	0.0882260000	0.0521170000	0.0440470000	0.4939130000	0.0023920000	0	0	3.9496526718	4.0000433922	3.9948580265
28	1.0800000000	0.0027757999	0.0024590306	0.0055015511	0.0027071622	0.6733490000	0.0873320000	0.0625620000	0.0000000000	0.5208070000	0.0025890000	0	0	3.9448726177	4.0019135475	3.9945604801
29	1.1200000000	0.0027224279	0.0024681133	0.0055015511	0.0027849895	1.2120410000	0.0833420000	0.0595130000	0.0443600000	0.5100980000	0.5146730000	0	0	3.9388141632	4.0020322800	3.9917833805
30	1.1600000000	0.0029723723	0.0024849219	0.0055015511	0.0027877223	0.6636260000	0.0854260000	0.0520400000	0.0000010000	0.5212500000	0.0048330000	0	0	3.9293599129	4.0014410019	3.9938361645
31	1.2000000000	0.0028923196	0.0024980638	0.0055015511	0.0027640898	0.7413460000	0.1038340000	0.0604550000	0.0435790000	0.5308170000	0.0026040000	0	0	3.9227764606	4.0022115707	3.9920413494
32	1.2400000000	0.0029370915	0.0025117834	0.0055015511	0.0027640858	0.6333810000	0.0814040000	0.0533660000	0.0000010000	0.4961150000	0.0024370000	0	0	3.9160673618	4.0025391579	3.9897453785
33	1.2800000000	0.0029342324	0.0025245849	0.0055015511	0.0028064623	1.1749360000	0.0814440000	0.0527570000	0.0425870000	0.4965420000	0.5015360000	0	0	3.9104619026	4.0022311211	3.9895095825
34	1.3200000000	0.0028950730	0.0025354816	0.0055015511	0.0027797242	0.6383270000	0.0809120000	0.0528450000	0.0000000000	0.5021050000	0.0024130000	0	0	3.8820011616	4.0016937256	3.9892096519
35	1.3600000000	0.0030741547	0.0025508723	0.0055015511	0.0030460693	0.7537130000	0.0843580000	0.0522840000	0.0445290000	0.5693940000	0.0030850000	0	0	3.8787074089	4.0025601387	3.9865641594
36	1.4000000000	0.0030332129	0.0025642706	0.0055015511	0.0035562982	0.7011750000	0.0876720000	0.0536980000	0.0000010000	0.5573060000	0.0024270000	0	0	3.8730514050	4.0033059120	3.9847660065
37	1.4400000000	0.0030157461	0.0025764726	0.0055015511	0.0035938777	1.1913200000	0.0814320000	0.0603330000	0.0427200000	0.4963630000	0.5104120000	0	0	3.8621103764	4.0013189316	3.9860284328
38	1.4800000000	0.0032005347	0.0025928953	0.0055015511	0.0035536177	0.6356390000	0.0810050000	0.0556470000	0.0000000000	0.4965790000	0.0023450000	0	0	3.8505403996	4.0007658005	3.9867577553
39	1.5200000000	0.0032575962	0.0026099389	0.0055015511	0.0035108798	0.6666130000	0.0802530000	0.0440900000	0.0431920000	0.4966400000	0.0023800000	0	0	3.8474044800	4.0001392365	3.9834115505
40	1.5600000000	0.0033195622	0.0026276795	0.0055015511	0.0034941276	0.6265010000	0.0801390000	0.0443550000	0.0000000000	0.4995040000	0.0024200000	0	0	3.8375029564	3.9985287189	3.9840970039
41	1.6000000000	0.0033402247	0.0026450587	0.0055015511	0.0035145879	1.2226410000	0.0795450000	0.0555500000	0.0430760000	0.5167340000	0.5276700000	0	0	3.8271043301	3.9974167347	3.9858510494
42	1.6400000000	0.0033453396	0.0026617320	0.0055015511	0.0034757774	0.6273670000	0.0797500000	0.0442480000	0.0000000000	0.5009000000	0.0024120000	0	0	3.8137385845	3.9989142418	3.9880647659
43	1.6800000000	0.0033309176	0.0026772945	0.0055015511	0.0034549186	0.6992540000	0.0838380000	0.0523080000	0.0453830000	0.5151770000	0.0024810000	0	0	3.8069241047	3.9993524551	3.9914381504
