SLAMBench Report run started:	2020-02-23 01:30:49

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-KF-RND-020.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libskip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-probability: 0.2

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000002980	0.0000002980	0.0000002980	0.0000000000	0.4325640000	0.0015340000	0.0087290000	0.0266390000	0.0000020000	0.3955100000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.0000000000	0.0000002980	0.0000002980	0.0000002980	0.0000000000	0.0325440000	0.0008260000	0.0042150000	0.0265800000	0.0000000000	0.0008600000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.0400000000	0.0010032422	0.0005017701	0.0010032422	0.0033378911	0.0982440000	0.0536040000	0.0112230000	0.0314920000	0.0000000000	0.0018710000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	0.0400000000	0.0010032422	0.0005017701	0.0010032422	0.0033378911	0.4336230000	0.0536140000	0.0111650000	0.0313680000	0.3355970000	0.0018530000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	0.0800000000	0.0042598825	0.0017544742	0.0042598825	0.0041149200	0.7992460000	0.0536060000	0.0444840000	0.0314880000	0.3322670000	0.3373740000	0	0	209321984	3.9990947247	4.0021419525	4.0006113052
6	0.0800000000	0.0038932743	0.0016322715	0.0038932743	0.0040978842	0.4325140000	0.0536200000	0.0446550000	0.0000010000	0.3322620000	0.0019500000	0	0	209321984	3.9986474514	4.0026512146	4.0007610321
7	0.1200000000	0.0041148490	0.0022529159	0.0041148490	0.0038268619	0.4614520000	0.0536100000	0.0422380000	0.0315290000	0.3321070000	0.0019350000	0	0	209321984	3.9939093590	4.0037236214	4.0006842613
8	0.1200000000	0.0045843078	0.0023702806	0.0045843078	0.0039028974	0.4325200000	0.0536380000	0.0448530000	0.0000000000	0.3321150000	0.0018880000	0	0	209321984	3.9935948849	4.0040688515	4.0007886887
9	0.1600000000	0.0024382996	0.0023838844	0.0045843078	0.0036077811	0.7993110000	0.0536180000	0.0445230000	0.0315030000	0.3322420000	0.3373940000	0	0	209321984	3.9954724312	4.0031690598	3.9995589256
10	0.1600000000	0.0025868802	0.0024136005	0.0045843078	0.0035881469	0.4327540000	0.0536310000	0.0448590000	0.0000000000	0.3323400000	0.0018990000	0	0	209321984	3.9955065250	4.0034456253	3.9996187687
11	0.2000000000	0.0038426251	0.0026517713	0.0045843078	0.0036125864	0.4813340000	0.0536190000	0.0623670000	0.0314430000	0.3319660000	0.0019090000	0	0	209321984	3.9924449921	4.0042939186	4.0011572838
12	0.2000000000	0.0040509114	0.0026864857	0.0045843078	0.0036236356	0.4322460000	0.0536340000	0.0447090000	0.0000010000	0.3319560000	0.0019200000	0	0	209321984	3.9924299717	4.0045223236	4.0012273788
13	0.2400000000	0.0028302020	0.0027070166	0.0045843078	0.0034654327	0.7963230000	0.0536320000	0.0424180000	0.0318850000	0.3316250000	0.3367350000	0	0	209321984	3.9933989048	4.0038986206	4.0002875328
14	0.2400000000	0.0030293686	0.0027354689	0.0045843078	0.0034653132	0.4248160000	0.0536360000	0.0445620000	0.0000010000	0.3246960000	0.0018920000	0	0	209321984	3.9933784008	4.0041007996	4.0003190041
15	0.2400000000	0.0030202782	0.0027341703	0.0045843078	0.0034652535	0.4620890000	0.0522130000	0.0447680000	0.0314990000	0.3316620000	0.0019160000	0	0	209321984	3.9933817387	4.0040922165	4.0003194809
16	0.2800000000	0.0029361884	0.0027594226	0.0045843078	0.0032547724	0.4320360000	0.0536460000	0.0447550000	0.0000010000	0.3316670000	0.0019370000	0	0	209321984	3.9933304787	4.0042815208	4.0003571510
17	0.2800000000	0.0029360985	0.0027594113	0.0045843078	0.0032547706	0.7985580000	0.0536460000	0.0448930000	0.0315420000	0.3316960000	0.3367510000	0	0	209321984	3.9933283329	4.0042815208	4.0003581047
18	0.2800000000	0.0032550984	0.0027992863	0.0045843078	0.0032608748	0.4295050000	0.0536210000	0.0423880000	0.0000010000	0.3315490000	0.0019150000	0	0	209321984	3.9917249680	4.0043559074	4.0005316734
19	0.3200000000	0.0037523708	0.0029051846	0.0045843078	0.0031005612	0.4718450000	0.0536350000	0.0535570000	0.0314970000	0.3312090000	0.0019180000	0	0	209321984	3.9918689728	4.0043931007	4.0005106926
20	0.3200000000	0.0038598508	0.0029171268	0.0045843078	0.0031021467	0.4293980000	0.0536390000	0.0424910000	0.0000000000	0.3313230000	0.0019150000	0	0	209321984	3.9917800426	4.0045208931	4.0005416870
21	0.3600000000	0.0027190628	0.0028973204	0.0045843078	0.0029717070	0.7974940000	0.0536400000	0.0447230000	0.0314970000	0.3312310000	0.3363710000	0	0	209321984	3.9917726517	4.0045185089	4.0005435944
22	0.3600000000	0.0028119951	0.0029066136	0.0045843078	0.0029686728	0.4319540000	0.0536330000	0.0449990000	0.0000010000	0.3313520000	0.0019360000	0	0	209321984	3.9917001724	4.0046396255	4.0005717278
23	0.3600000000	0.0034657307	0.0029719872	0.0045843078	0.0032082942	0.4691420000	0.0536110000	0.0514990000	0.0315190000	0.3305880000	0.0018950000	0	0	209321984	3.9896411896	4.0051236153	4.0011534691
24	0.4000000000	0.0042790645	0.0030908124	0.0045843078	0.0030709060	0.4309800000	0.0536150000	0.0447960000	0.0000000000	0.3306020000	0.0019360000	0	0	209321984	3.9893555641	4.0053281784	4.0012650490
25	0.4000000000	0.0036777260	0.0030361453	0.0045843078	0.0032040995	0.8005370000	0.0536290000	0.0492040000	0.0315300000	0.3305450000	0.3355890000	0	0	209321984	3.9884335995	4.0043768883	4.0019321442
26	0.4400000000	0.0041153426	0.0031260784	0.0045843078	0.0031771262	0.4287210000	0.0536230000	0.0425630000	0.0000000000	0.3305880000	0.0019120000	0	0	209321984	3.9884912968	4.0043854713	4.0019273758
27	0.4400000000	0.0036609576	0.0030882130	0.0045843078	0.0032833575	0.4602670000	0.0536080000	0.0425030000	0.0315940000	0.3306360000	0.0018920000	0	0	209321984	3.9884378910	4.0041394234	4.0010967255
28	0.4800000000	0.0038306965	0.0031453271	0.0045843078	0.0032394652	0.4311290000	0.0536340000	0.0448860000	0.0000010000	0.3306610000	0.0019110000	0	0	209321984	3.9884123802	4.0043506622	4.0011425018
29	0.4800000000	0.0038262631	0.0031449861	0.0045843078	0.0032392162	0.7964530000	0.0536250000	0.0448300000	0.0315730000	0.3306360000	0.3357560000	0	0	209321984	3.9884150028	4.0043454170	4.0011420250
30	0.5200000000	0.0029817231	0.0031333244	0.0045843078	0.0031446978	0.4239230000	0.0536220000	0.0446800000	0.0000010000	0.3237290000	0.0018570000	0	0	209321984	3.9883856773	4.0044298172	4.0011625290
31	0.5200000000	0.0029835773	0.0031334569	0.0045843078	0.0031446868	0.4611050000	0.0522000000	0.0447680000	0.0315340000	0.3306800000	0.0018900000	0	0	209321984	3.9883856773	4.0044317245	4.0011630058
32	0.5600000000	0.0029636808	0.0031221385	0.0045843078	0.0031478191	0.4386250000	0.0536150000	0.0514760000	0.0000000000	0.3315620000	0.0019370000	0	0	209321984	3.9858651161	4.0054078102	4.0011587143
33	0.5600000000	0.0030149519	0.0031255565	0.0045843078	0.0031435099	0.7954510000	0.0536190000	0.0427150000	0.0316520000	0.3311360000	0.3362960000	0	0	209321984	3.9859411716	4.0054216385	4.0011520386
34	0.5600000000	0.0041949763	0.0032042248	0.0045843078	0.0031444113	0.4355810000	0.0536110000	0.0491900000	0.0000010000	0.3308320000	0.0019110000	0	0	209321984	3.9827589989	4.0066447258	4.0019640923
35	0.6000000000	0.0064276210	0.0034056871	0.0064276210	0.0031138466	0.4628520000	0.0536220000	0.0448580000	0.0315650000	0.3308200000	0.0019520000	0	0	209321984	3.9828317165	4.0067062378	4.0019392967
36	0.6000000000	0.0042640697	0.0032704651	0.0045843078	0.0030588157	0.4382290000	0.0536160000	0.0515020000	0.0000000000	0.3311580000	0.0019180000	0	0	209321984	3.9837043285	4.0049600601	4.0008559227
37	0.6400000000	0.0057779592	0.0034179648	0.0057779592	0.0031177452	0.7974590000	0.0536160000	0.0450320000	0.0316540000	0.3310290000	0.3360880000	0	0	209321984	3.9836671352	4.0049796104	4.0008544922
38	0.6400000000	0.0042329147	0.0033270798	0.0045843078	0.0029866855	0.4316440000	0.0536360000	0.0442080000	0.0000010000	0.3318600000	0.0019040000	0	0	209321984	3.9816491604	4.0036072731	3.9994180202
39	0.6800000000	0.0038729436	0.0033574056	0.0045843078	0.0030766648	0.4639150000	0.0536330000	0.0448300000	0.0316990000	0.3317810000	0.0019350000	0	0	209321984	3.9814486504	4.0037417412	3.9994711876
40	0.6800000000	0.0045185718	0.0033932738	0.0045843078	0.0028994814	0.4389550000	0.0536100000	0.0515270000	0.0000010000	0.3318680000	0.0019080000	0	0	209321984	3.9798853397	4.0039582253	4.0004820824
41	0.7200000000	0.0040388890	0.0034272536	0.0045843078	0.0028619314	0.7983470000	0.0536160000	0.0447580000	0.0319910000	0.3314340000	0.3365130000	0	0	209321984	3.9800136089	4.0039319992	4.0004653931
42	0.7200000000	0.0045334669	0.0034532840	0.0045843078	0.0028601203	0.4278030000	0.0536090000	0.0402650000	0.0000010000	0.3319650000	0.0019250000	0	0	209321984	3.9784388542	4.0042586327	4.0000653267
43	0.7600000000	0.0057405257	0.0035676461	0.0057405257	0.0029062145	0.4639370000	0.0536230000	0.0450900000	0.0316890000	0.3315800000	0.0019180000	0	0	209321984	3.9785149097	4.0042657852	4.0000443459
44	0.7600000000	0.0044526965	0.0035032546	0.0045843078	0.0028846171	0.4393410000	0.0536110000	0.0515840000	0.0000010000	0.3321920000	0.0019160000	0	0	209321984	3.9755096436	4.0029783249	3.9996654987
45	0.8000000000	0.0036117409	0.0035084206	0.0045843078	0.0028602470	0.7891880000	0.0536140000	0.0450790000	0.0316540000	0.3292750000	0.3295310000	0	0	209321984	3.9755425453	4.0030255318	3.9996824265
46	0.8000000000	0.0036343795	0.0035094986	0.0045843078	0.0028598745	0.4284730000	0.0522000000	0.0426050000	0.0000010000	0.3317070000	0.0019250000	0	0	209321984	3.9755578041	4.0030422211	3.9996907711
47	0.8400000000	0.0083424607	0.0037291787	0.0083424607	0.0028768009	0.4641400000	0.0536160000	0.0451270000	0.0316520000	0.3317880000	0.0019180000	0	0	209321984	3.9755582809	4.0030426979	3.9996905327
48	0.8400000000	0.0083646839	0.0037301889	0.0083646839	0.0028785798	0.4247990000	0.0536240000	0.0445840000	0.0000010000	0.3247080000	0.0018490000	0	0	209321984	3.9755513668	4.0030970573	3.9997026920
49	0.8800000000	0.0060338881	0.0038303497	0.0083646839	0.0028907395	0.7954350000	0.0522050000	0.0425060000	0.0316070000	0.3319800000	0.3370990000	0	0	209321984	3.9669547081	4.0031356812	3.9995481968
50	0.8800000000	0.0062193144	0.0038384117	0.0083646839	0.0028803957	0.4327330000	0.0536120000	0.0451400000	0.0000010000	0.3319930000	0.0019480000	0	0	209321984	3.9670686722	4.0033602715	3.9996228218
51	0.8800000000	0.0045238738	0.0037646969	0.0083646839	0.0028984036	0.4615550000	0.0536120000	0.0425000000	0.0315680000	0.3319100000	0.0019250000	0	0	209321984	3.9677681923	4.0023369789	3.9979219437
52	0.9200000000	0.0079721473	0.0039400074	0.0083646839	0.0028967902	0.4327510000	0.0536240000	0.0451140000	0.0000000000	0.3320490000	0.0019240000	0	0	209321984	3.9678087234	4.0024814606	3.9979507923
53	0.9200000000	0.0046737571	0.0038025744	0.0083646839	0.0028352593	0.8158040000	0.0536060000	0.0603270000	0.0316790000	0.3324780000	0.3376770000	0	0	209321984	3.9593505859	4.0039529800	3.9973549843
54	0.9600000000	0.0036202825	0.0037952828	0.0083646839	0.0028807474	0.4329390000	0.0536150000	0.0449580000	0.0000010000	0.3324390000	0.0018890000	0	0	209321984	3.9592781067	4.0039019585	3.9973549843
55	0.9600000000	0.0045467946	0.0038323432	0.0083646839	0.0028049444	0.4625510000	0.0536080000	0.0426590000	0.0321030000	0.3322350000	0.0019090000	0	0	209321984	3.9581413269	4.0050311089	3.9965410233
56	1.0000000000	0.0076675531	0.0039798513	0.0083646839	0.0029535062	0.4327540000	0.0536090000	0.0449320000	0.0000010000	0.3322880000	0.0018870000	0	0	209321984	3.9581413269	4.0050883293	3.9965481758
57	1.0000000000	0.0045554014	0.0038601532	0.0083646839	0.0027495805	0.7954160000	0.0536060000	0.0402310000	0.0316370000	0.3322630000	0.3376380000	0	0	209321984	3.9519071579	4.0035161972	3.9973993301
58	1.0400000000	0.0074560125	0.0039933331	0.0083646839	0.0028571630	0.4329550000	0.0536290000	0.0450820000	0.0000000000	0.3323140000	0.0018840000	0	0	209321984	3.9518592358	4.0036468506	3.9974405766
59	1.0400000000	0.0046615391	0.0038898341	0.0083646839	0.0027752701	0.4715860000	0.0535990000	0.0515580000	0.0316610000	0.3327840000	0.0019450000	0	0	209321984	3.9462797642	4.0029244423	3.9952003956
60	1.0800000000	0.0047692060	0.0039212403	0.0083646839	0.0027571499	0.4335950000	0.0536300000	0.0451690000	0.0000010000	0.3328400000	0.0019140000	0	0	209321984	3.9463517666	4.0030789375	3.9952321053
61	1.0800000000	0.0047720633	0.0039213423	0.0083646839	0.0027572317	0.8010900000	0.0536100000	0.0448960000	0.0317070000	0.3327320000	0.3381030000	0	0	209321984	3.9463565350	4.0030775070	3.9952321053
62	1.1200000000	0.0108678425	0.0041608768	0.0108678425	0.0031013193	0.4334910000	0.0536140000	0.0450280000	0.0000010000	0.3328720000	0.0019330000	0	0	209321984	3.9463515282	4.0031270981	3.9952425957
63	1.1200000000	0.0108701680	0.0041609570	0.0108701680	0.0031013205	0.4647050000	0.0536180000	0.0448370000	0.0316480000	0.3326450000	0.0019110000	0	0	209321984	3.9463546276	4.0031256676	3.9952416420
64	1.1600000000	0.0100552384	0.0043574330	0.0108701680	0.0034749195	0.4349230000	0.0536150000	0.0449030000	0.0000010000	0.3344380000	0.0019250000	0	0	209321984	3.9354889393	4.0051259995	3.9922127724
65	1.1600000000	0.0101544289	0.0043607394	0.0108701680	0.0034894250	0.8000710000	0.0536180000	0.0421130000	0.0317710000	0.3336220000	0.3389060000	0	0	209321984	3.9356088638	4.0051178932	3.9921839237
66	1.2000000000	0.0072708242	0.0044546131	0.0108701680	0.0034416026	0.4324540000	0.0536140000	0.0426810000	0.0000010000	0.3342070000	0.0019090000	0	0	209321984	3.9260070324	4.0043721199	3.9941573143
67	1.2000000000	0.0071084751	0.0044493760	0.0108701680	0.0034382479	0.4649300000	0.0536160000	0.0443290000	0.0317490000	0.3333040000	0.0018920000	0	0	209321984	3.9257345200	4.0044097900	3.9942002296
68	1.2400000000	0.0077425423	0.0045522875	0.0108701680	0.0034722829	0.4415830000	0.0536150000	0.0516740000	0.0000000000	0.3343420000	0.0019070000	0	0	209321984	3.9192893505	4.0050978661	3.9923806190
69	1.2400000000	0.0077154692	0.0045514414	0.0108701680	0.0034709205	0.8028800000	0.0536120000	0.0450730000	0.0317560000	0.3334340000	0.3389650000	0	0	209321984	3.9191236496	4.0052309036	3.9924125671
70	1.2800000000	0.0067423801	0.0046178335	0.0108701680	0.0035154918	0.4575420000	0.0536120000	0.0671280000	0.0000010000	0.3348510000	0.0019060000	0	0	209321984	3.9124186039	4.0055851936	3.9901130199
71	1.2800000000	0.0068205711	0.0046202029	0.0108701680	0.0035230768	0.4639570000	0.0536130000	0.0425640000	0.0317480000	0.3340740000	0.0019140000	0	0	209321984	3.9126014709	4.0055532455	3.9900546074
72	1.3200000000	0.0276664458	0.0052980336	0.0276664458	0.0044482472	0.4421840000	0.0536090000	0.0517890000	0.0000010000	0.3348230000	0.0019160000	0	0	209321984	3.9070959091	4.0051321983	3.9898056984
73	1.3200000000	0.0276423153	0.0052973239	0.0276423153	0.0044444505	0.8041920000	0.0536130000	0.0449180000	0.0318350000	0.3341100000	0.3396690000	0	0	209321984	3.9070668221	4.0051531792	3.9898087978
74	1.3600000000	0.0059576100	0.0053161892	0.0276423153	0.0049062206	0.4340420000	0.0536160000	0.0427730000	0.0000010000	0.3356690000	0.0019320000	0	0	209321984	3.8785023689	4.0046396255	3.9895274639
75	1.3600000000	0.0059686410	0.0053165044	0.0276423153	0.0048955373	0.4647040000	0.0536140000	0.0427550000	0.0317940000	0.3345780000	0.0019150000	0	0	209321984	3.8787333965	4.0045895576	3.9894735813
76	1.4000000000	0.0066565112	0.0053537268	0.0276423153	0.0052852990	0.4338390000	0.0536110000	0.0429990000	0.0000010000	0.3352590000	0.0019200000	0	0	209321984	3.8753225803	4.0053753853	3.9868044853
77	1.4000000000	0.0066681472	0.0053540500	0.0276423153	0.0052880773	0.8037100000	0.0536120000	0.0427720000	0.0318160000	0.3348700000	0.3405920000	0	0	209321984	3.8753533363	4.0053625107	3.9868011475
78	1.4000000000	0.0067061693	0.0053551062	0.0276423153	0.0052886538	0.4356910000	0.0536120000	0.0451430000	0.0000010000	0.3349680000	0.0019200000	0	0	209321984	3.8753798008	4.0053958893	3.9868023396
79	1.4400000000	0.0166012291	0.0056590555	0.0276423153	0.0054026986	0.4671910000	0.0536100000	0.0448980000	0.0318020000	0.3349040000	0.0019270000	0	0	209321984	3.8753790855	4.0053963661	3.9868021011
80	1.4400000000	0.0166184939	0.0056595221	0.0276423153	0.0054032801	0.4357290000	0.0536250000	0.0451460000	0.0000010000	0.3350250000	0.0018860000	0	0	209321984	3.8753867149	4.0054235458	3.9868059158
81	1.4800000000	0.0119014354	0.0058237829	0.0276423153	0.0054381065	0.8048330000	0.0536060000	0.0429800000	0.0319050000	0.3352340000	0.3410600000	0	0	209321984	3.8587749004	4.0042181015	3.9862546921
82	1.4800000000	0.0119723296	0.0058256486	0.0276423153	0.0054408765	0.4310420000	0.0536060000	0.0428350000	0.0000010000	0.3326450000	0.0019060000	0	0	209321984	3.8588497639	4.0042281151	3.9862442017
83	1.4800000000	0.0051536281	0.0056462091	0.0276423153	0.0055296318	0.4732660000	0.0521890000	0.0517360000	0.0319800000	0.3354240000	0.0018880000	0	0	209321984	3.8470180035	4.0037226677	3.9869899750
84	1.5200000000	0.0075034415	0.0056938304	0.0276423153	0.0055217607	0.4359580000	0.0536160000	0.0450580000	0.0000000000	0.3353340000	0.0019030000	0	0	209321984	3.8469762802	4.0037889481	3.9870092869
85	1.5200000000	0.0075069983	0.0056939216	0.0276423153	0.0055218944	0.8048500000	0.0536110000	0.0428140000	0.0318690000	0.3353400000	0.3411660000	0	0	209321984	3.8469703197	4.0037941933	3.9870111942
86	1.5200000000	0.0051845754	0.0056343723	0.0276423153	0.0054601701	0.4344000000	0.0535990000	0.0426620000	0.0000010000	0.3362000000	0.0018890000	0	0	209321984	3.8437871933	4.0030875206	3.9836332798
87	1.5600000000	0.0110525740	0.0057698274	0.0276423153	0.0054571441	0.4685430000	0.0536070000	0.0452170000	0.0319390000	0.3358160000	0.0019160000	0	0	209321984	3.8438582420	4.0031695366	3.9836559296
88	1.5600000000	0.0052824011	0.0056255730	0.0276423153	0.0054090386	0.4440250000	0.0536130000	0.0516020000	0.0000000000	0.3368490000	0.0019110000	0	0	209321984	3.8338553905	4.0015439987	3.9843382835
89	1.6000000000	0.0110564008	0.0057580322	0.0276423153	0.0054429068	0.8066130000	0.0536160000	0.0426960000	0.0319390000	0.3362540000	0.3420540000	0	0	209321984	3.8337309361	4.0016841888	3.9843750000
90	1.6000000000	0.0053578280	0.0056190427	0.0276423153	0.0053836193	0.4449880000	0.0536200000	0.0517250000	0.0000010000	0.3376730000	0.0019180000	0	0	209321984	3.8233850002	4.0004730225	3.9860973358
91	1.6400000000	0.0126836440	0.0057872475	0.0276423153	0.0054049105	0.4695040000	0.0536200000	0.0452220000	0.0320050000	0.3367140000	0.0018950000	0	0	209321984	3.8234140873	4.0004696846	3.9860858917
92	1.6400000000	0.0052477093	0.0056102014	0.0276423153	0.0053196932	0.4449870000	0.0535990000	0.0515940000	0.0000000000	0.3378640000	0.0018810000	0	0	209321984	3.8100540638	4.0018329620	3.9882972240
93	1.6800000000	0.0074733272	0.0056535299	0.0276423153	0.0053129891	0.7922280000	0.0536170000	0.0423380000	0.0317890000	0.3294890000	0.3349400000	0	0	209321984	3.8100097179	4.0019330978	3.9883000851
94	1.6800000000	0.0052433331	0.0056016696	0.0276423153	0.0052696513	0.4331300000	0.0521840000	0.0427830000	0.0000010000	0.3361840000	0.0019280000	0	0	209321984	3.8033642769	4.0023198128	3.9916179180
95	1.7200000000	0.0084385974	0.0056661452	0.0276423153	0.0052605127	0.4665910000	0.0536040000	0.0429860000	0.0320320000	0.3360300000	0.0018870000	0	0	209321984	3.8033580780	4.0024180412	3.9916238785
96	1.7200000000	0.0053149587	0.0055951534	0.0276423153	0.0052564572	0.4375040000	0.0536020000	0.0451230000	0.0000000000	0.3368200000	0.0019050000	0	0	209321984	3.7970504761	4.0016727448	3.9895148277
97	1.7600000000	0.0082971221	0.0056551972	0.0276423153	0.0052588835	0.8090260000	0.0536150000	0.0449300000	0.0320040000	0.3363380000	0.3420870000	0	0	209321984	3.7971038818	4.0016937256	3.9895060062
98	1.7600000000	0.0052409461	0.0055872821	0.0276423153	0.0052351293	0.4324880000	0.0536020000	0.0406570000	0.0000010000	0.3362660000	0.0019100000	0	0	209321984	3.7886729240	4.0036644936	3.9931907654
99	1.8000000000	0.0067653926	0.0056128932	0.0276423153	0.0052119599	0.4689650000	0.0536310000	0.0451710000	0.0319940000	0.3362020000	0.0019140000	0	0	209321984	3.7887048721	4.0037269592	3.9932038784
100	1.8000000000	0.0052619041	0.0055802087	0.0276423153	0.0052054238	0.4409140000	0.0536060000	0.0493590000	0.0000010000	0.3359750000	0.0019190000	0	0	209321984	3.7828204632	4.0042433739	3.9932723045
101	1.8400000000	0.0073690270	0.0056182687	0.0276423153	0.0051723722	0.8084180000	0.0536290000	0.0452350000	0.0319530000	0.3358540000	0.3416920000	0	0	209321984	3.7828152180	4.0042762756	3.9932858944
102	1.8400000000	0.0053056083	0.0055743661	0.0276423153	0.0052468748	0.4437020000	0.0536140000	0.0519560000	0.0000010000	0.3361500000	0.0019240000	0	0	209321984	3.7798049450	4.0024166107	3.9929735661
103	1.8800000000	0.0063423086	0.0055903649	0.0276423153	0.0052085313	0.4666510000	0.0536080000	0.0429860000	0.0320420000	0.3360630000	0.0018980000	0	0	209321984	3.7797327042	4.0024280548	3.9929757118
104	1.8800000000	0.0053271390	0.0055692156	0.0276423153	0.0052479174	0.4437000000	0.0536080000	0.0519800000	0.0000010000	0.3361100000	0.0019440000	0	0	209321984	3.7752428055	4.0021638870	3.9940884113
