SLAMBench Report run started:	2020-02-28 10:55:55

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-ORB-COM-00200.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.8400000000	0.0316926055	0.0316926055	0.0316926055	0.0000000000	0.0126510000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.9600000000	0.0334286988	0.0325606521	0.0334286988	0.0013274869	0.0182580000	0	0	209321984	-0.0071954150	0.0013624933	-0.0025697087
3	1.0400000000	0.0349461772	0.0333558271	0.0349461772	0.0028787555	0.0160690000	0	0	209321984	-0.0177742150	0.0024274781	-0.0047069634
4	1.1600000000	0.0344755240	0.0336357513	0.0349461772	0.0074692381	0.0167800000	0	0	209321984	-0.0384909995	0.0001143042	-0.0068211639
5	1.2400000000	0.0353330150	0.0339752041	0.0353330150	0.0071075194	0.0160970000	0	0	209321984	-0.0508672707	0.0010304782	-0.0111871157
6	1.3200000000	0.0353667103	0.0342071218	0.0353667103	0.0064903907	0.0157810000	0	0	209321984	-0.0846915916	-0.0017207551	-0.0125301685
7	1.4800000000	0.0361553133	0.0344854348	0.0361553133	0.0118838541	0.0161740000	0	0	209321984	-0.1156921089	-0.0008866533	-0.0151886977
8	1.6000000000	0.0336106308	0.0343760843	0.0361553133	0.0115232123	0.0152010000	0	0	209321984	-0.1417674273	-0.0041979649	-0.0144830588
9	1.7600000000	0.0317467265	0.0340839335	0.0361553133	0.0119901154	0.0152270000	0	0	209321984	-0.1787240654	0.0025700077	-0.0079287216
10	2.2800000000	0.0291992780	0.0335954679	0.0361553133	0.0154450896	0.0154140000	0	0	209321984	-0.2700034976	-0.0062252684	0.0090316106
11	2.4800000000	0.0314569511	0.0334010573	0.0361553133	0.0205218161	0.0153860000	0	0	209321984	-0.3244808912	-0.0053603854	0.0249200258
12	2.7200000000	0.0313779972	0.0332324690	0.0361553133	0.0243307216	0.0147620000	0	0	209321984	-0.3929905593	0.0015490213	0.0396858230
13	3.1600000000	0.0264390931	0.0327099016	0.0361553133	0.0325372724	0.0151610000	0	0	209321984	-0.4503966272	0.0237218533	0.0069992617
14	3.3600000000	0.0295121316	0.0324814894	0.0361553133	0.0324103725	0.0161160000	0	0	209321984	-0.5015361309	0.0220032148	0.0048800260
15	3.9600000000	0.0264930967	0.0320822633	0.0361553133	0.0427486135	0.0152610000	0	0	209321984	-0.6606219411	0.0078640003	0.0249332190
16	4.3600000000	0.0275205169	0.0317971541	0.0361553133	0.0417714908	0.0146430000	0	0	209321984	-0.7246953845	0.0007346915	0.0697912127
17	4.5200000000	0.0337805115	0.0319138222	0.0361553133	0.0413123412	0.0149790000	0	0	209321984	-0.7491739392	-0.0039732791	0.0978584886
18	4.8000000000	0.0132671464	0.0308778958	0.0361553133	0.0402260290	0.0150580000	0	0	209321984	-0.8128491044	0.0095923953	0.1691019088
