SLAMBench Report run started:	2020-03-02 07:33:47

Properties:
=================

frame-limit: 0
log-file: ./experiments/config-experiments/ICL2-ORB-RND-030.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libskip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-probability: 0.3

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0142260000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.0800000000	0.0024997238	0.0012498619	0.0024997238	0.0024658036	0.0188680000	0	0	209321984	-0.0026724041	0.0022328822	-0.0000121483
3	0.1600000000	0.0060690991	0.0028562743	0.0060690991	0.0021285168	0.0159750000	0	0	209321984	-0.0019264646	-0.0021399215	0.0007707953
4	0.2400000000	0.0019213934	0.0026225541	0.0060690991	0.0027262420	0.0155510000	0	0	209321984	-0.0042769387	0.0026088152	-0.0002683042
5	0.3200000000	0.0013488733	0.0023678179	0.0060690991	0.0024827652	0.0159030000	0	0	209321984	-0.0077814562	0.0010563090	-0.0005291538
6	0.4000000000	0.0019979379	0.0023061712	0.0060690991	0.0029390737	0.0154020000	0	0	209321984	-0.0081597632	0.0009331715	0.0009979453
7	0.4400000000	0.0008037664	0.0020915420	0.0060690991	0.0033016265	0.0153990000	0	0	209321984	-0.0103959516	0.0001053110	0.0001179862
8	0.4800000000	0.0015059522	0.0020183433	0.0060690991	0.0033419070	0.0151600000	0	0	209321984	-0.0112885851	0.0004445701	0.0002293554
9	0.5600000000	0.0021305438	0.0020308100	0.0060690991	0.0032978930	0.0155240000	0	0	209321984	-0.0164101161	0.0008911007	0.0007886224
10	0.6400000000	0.0029178741	0.0021195164	0.0060690991	0.0035634987	0.0157880000	0	0	209321984	-0.0141257104	0.0000184120	-0.0006805540
