SLAMBench Report run started:	2020-03-04 09:37:43

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/ICL2-KF-COM-0.00006.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 6e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0010032422	0.0010032422	0.0010032422	0.0000000000	0.4416290000	0.0542720000	0.0165930000	0.0319470000	0.0000030000	0.3387240000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.1200000000	0.0036504185	0.0023268303	0.0036504185	0.0078900512	0.0980200000	0.0535970000	0.0111550000	0.0314610000	0.0000000000	0.0017780000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.1600000000	0.0067101396	0.0037879334	0.0067101396	0.0057897530	0.0979650000	0.0535820000	0.0111680000	0.0314110000	0.0000000000	0.0017770000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	0.3600000000	0.0093591185	0.0051807297	0.0093591185	0.0050691287	0.4303210000	0.0535870000	0.0112150000	0.0314910000	0.3321110000	0.0018900000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	0.4000000000	0.0048230481	0.0051091934	0.0093591185	0.0067627047	0.7997630000	0.0535990000	0.0513980000	0.0315210000	0.3290610000	0.3341540000	0	0	209321984	3.9946572781	4.0007429123	4.0013699532
6	0.4400000000	0.0046225730	0.0050280900	0.0093591185	0.0063282127	0.4393390000	0.0535740000	0.0539290000	0.0000000000	0.3298910000	0.0019140000	0	0	209321984	3.9944489002	4.0009083748	4.0006446838
7	0.5600000000	0.0046903747	0.0049798450	0.0093591185	0.0062166658	0.4599200000	0.0535820000	0.0426810000	0.0320660000	0.3296480000	0.0019110000	0	0	209321984	3.9890155792	4.0029482841	4.0013861656
8	0.6000000000	0.0045811362	0.0049300064	0.0093591185	0.0057895299	0.4368720000	0.0536060000	0.0515750000	0.0000010000	0.3297120000	0.0019460000	0	0	209321984	3.9897134304	4.0014748573	4.0003614426
9	0.6400000000	0.0046262657	0.0048962574	0.0093591185	0.0054419717	0.8139650000	0.0535860000	0.0624270000	0.0321090000	0.3303570000	0.3354540000	0	0	209321984	3.9876835346	4.0000300407	3.9989223480
10	0.7200000000	0.0046549225	0.0048721239	0.0093591185	0.0051889477	0.4291810000	0.0535840000	0.0425320000	0.0000010000	0.3311050000	0.0019250000	0	0	209321984	3.9846556187	4.0006570816	3.9995558262
11	0.7600000000	0.0046392647	0.0048509549	0.0093591185	0.0050391766	0.4694280000	0.0535740000	0.0516240000	0.0320950000	0.3301690000	0.0019320000	0	0	209321984	3.9815857410	3.9994075298	3.9991817474
12	0.8400000000	0.0046761967	0.0048363917	0.0093591185	0.0048051902	0.4296400000	0.0535680000	0.0427100000	0.0000000000	0.3314130000	0.0019080000	0	0	209321984	3.9729568958	3.9996240139	3.9991157055
13	0.8800000000	0.0047507924	0.0048298071	0.0093591185	0.0046007010	0.8041740000	0.0535670000	0.0514000000	0.0320610000	0.3309330000	0.3361780000	0	0	209321984	3.9736499786	3.9986200333	3.9974198341
14	0.9200000000	0.0047079190	0.0048211008	0.0093591185	0.0044205982	0.4317950000	0.0535750000	0.0514170000	0.0000010000	0.3248950000	0.0018720000	0	0	209321984	3.9652047157	4.0002202988	3.9968471527
15	0.9600000000	0.0047475011	0.0048161942	0.0093591185	0.0042904129	0.4684600000	0.0521550000	0.0515410000	0.0321220000	0.3307040000	0.0019020000	0	0	209321984	3.9640910625	4.0015397072	3.9960684776
16	1.0000000000	0.0047649108	0.0048129890	0.0093591185	0.0041468130	0.4383770000	0.0535770000	0.0514800000	0.0000000000	0.3313910000	0.0018920000	0	0	209321984	3.9578037262	4.0001397133	3.9969878197
17	1.0400000000	0.0047067730	0.0048067410	0.0093591185	0.0040981589	0.8072600000	0.0535680000	0.0538340000	0.0317130000	0.3313820000	0.3367250000	0	0	209321984	3.9520885944	3.9994556904	3.9948010445
18	1.0800000000	0.0046228291	0.0047965237	0.0093591185	0.0040969051	0.4488090000	0.0535640000	0.0608520000	0.0000000000	0.3324380000	0.0019160000	0	0	209321984	3.9471716881	4.0012917519	3.9945409298
19	1.1200000000	0.0046688039	0.0047898016	0.0093591185	0.0041172623	0.4800730000	0.0535700000	0.0604130000	0.0322000000	0.3319490000	0.0019010000	0	0	209321984	3.9411640167	4.0014610291	3.9917995930
20	1.1600000000	0.0047793305	0.0047892780	0.0093591185	0.0040548585	0.4310160000	0.0535760000	0.0427450000	0.0000000000	0.3327430000	0.0019120000	0	0	209321984	3.9316241741	4.0008463860	3.9938440323
21	1.2000000000	0.0046698200	0.0047835895	0.0093591185	0.0039773998	0.8077970000	0.0535900000	0.0517130000	0.0321600000	0.3323520000	0.3379410000	0	0	209321984	3.9250535965	4.0016169548	3.9920408726
22	1.2400000000	0.0046849935	0.0047791079	0.0093591185	0.0039240934	0.4430860000	0.0535880000	0.0538730000	0.0000000000	0.3336340000	0.0019500000	0	0	209321984	3.9182667732	4.0020070076	3.9897630215
23	1.2800000000	0.0048398259	0.0047817478	0.0093591185	0.0039327700	0.4723050000	0.0535680000	0.0516720000	0.0322490000	0.3328590000	0.0019180000	0	0	209321984	3.9128570557	4.0017309189	3.9895534515
24	1.3200000000	0.0048855911	0.0047860746	0.0093591185	0.0038596154	0.4418150000	0.0535650000	0.0517170000	0.0000000000	0.3345390000	0.0019490000	0	0	209321984	3.8845729828	4.0011734962	3.9893064499
25	1.3600000000	0.0048446199	0.0047884164	0.0093591185	0.0040828572	0.8019670000	0.0535700000	0.0428170000	0.0322870000	0.3337830000	0.3394670000	0	0	209321984	3.8810851574	4.0019669533	3.9866390228
26	1.4000000000	0.0048869490	0.0047922061	0.0093591185	0.0045851926	0.4331540000	0.0535850000	0.0431640000	0.0000000000	0.3344730000	0.0018890000	0	0	209321984	3.8753850460	4.0029239655	3.9849028587
27	1.4400000000	0.0049553220	0.0047982475	0.0093591185	0.0045958283	0.4730840000	0.0535830000	0.0517260000	0.0319690000	0.3338570000	0.0019060000	0	0	209321984	3.8646039963	4.0008716583	3.9861574173
28	1.4800000000	0.0048583066	0.0048003924	0.0093591185	0.0045148395	0.4413390000	0.0535700000	0.0516080000	0.0000010000	0.3342040000	0.0019120000	0	0	209321984	3.8526315689	4.0003747940	3.9869551659
29	1.5200000000	0.0047338139	0.0047980966	0.0093591185	0.0044396355	0.8119740000	0.0535840000	0.0515310000	0.0320500000	0.3344720000	0.3402930000	0	0	209321984	3.8493275642	3.9996957779	3.9835691452
