SLAMBench Report run started:	2020-03-04 09:24:45

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/ICL2-KF-COM-0.00009.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 9.000000000000001e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0010032422	0.0010032422	0.0010032422	0.0000000000	0.4413430000	0.0542670000	0.0166690000	0.0314800000	0.0000040000	0.3388250000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.1200000000	0.0036504185	0.0023268303	0.0036504185	0.0078900512	0.0979790000	0.0535770000	0.0111930000	0.0313710000	0.0000010000	0.0018100000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.4000000000	0.0102674309	0.0049736972	0.0102674309	0.0068198254	0.0978950000	0.0535880000	0.0111610000	0.0312870000	0.0000010000	0.0018300000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	0.4800000000	0.0126696480	0.0068976849	0.0126696480	0.0064372932	0.4304310000	0.0535820000	0.0112000000	0.0314640000	0.3322630000	0.0018930000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	0.6000000000	0.0065241181	0.0068229716	0.0126696480	0.0085870505	0.8027560000	0.0535820000	0.0522330000	0.0315430000	0.3300290000	0.3353360000	0	0	209321984	3.9916794300	4.0014920235	3.9999754429
6	0.6400000000	0.0064788144	0.0067656120	0.0126696480	0.0077167120	0.4385270000	0.0535720000	0.0514540000	0.0000000000	0.3315180000	0.0019510000	0	0	209321984	3.9895317554	4.0003733635	3.9986071587
7	0.7200000000	0.0064736078	0.0067238971	0.0126696480	0.0071076014	0.4708580000	0.0535850000	0.0535540000	0.0316110000	0.3301750000	0.0019000000	0	0	209321984	3.9864878654	4.0008516312	3.9992015362
8	0.8000000000	0.0064397361	0.0066883770	0.0126696480	0.0068121666	0.4568260000	0.0535700000	0.0695430000	0.0000010000	0.3317620000	0.0019190000	0	0	209321984	3.9804062843	4.0007729530	3.9992413521
9	0.8400000000	0.0065273764	0.0066704881	0.0126696480	0.0063832825	0.7937850000	0.0535700000	0.0427820000	0.0316090000	0.3301900000	0.3355980000	0	0	209321984	3.9748151302	3.9998950958	3.9987869263
10	0.8800000000	0.0065588360	0.0066593228	0.0126696480	0.0060183907	0.4382150000	0.0535750000	0.0517530000	0.0000000000	0.3309380000	0.0019150000	0	0	209321984	3.9754347801	3.9990885258	3.9971358776
11	0.9200000000	0.0065571526	0.0066500346	0.0126696480	0.0057099644	0.4695060000	0.0535690000	0.0517290000	0.0316230000	0.3306310000	0.0019160000	0	0	209321984	3.9670524597	4.0005645752	3.9965288639
12	0.9600000000	0.0066096187	0.0066466666	0.0126696480	0.0054767346	0.4384640000	0.0535670000	0.0517110000	0.0000010000	0.3312300000	0.0019190000	0	0	209321984	3.9659233093	4.0020341873	3.9957914352
