SLAMBench Report run started:	2020-03-03 05:40:48

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/ICL2-KF-DEP-0.00002.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 2e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0010032422	0.0010032422	0.0010032422	0.0000000000	0.4413930000	0.0544700000	0.0164790000	0.0314460000	0.0000040000	0.3388940000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.1200000000	0.0036504185	0.0023268303	0.0036504185	0.0078900512	0.0982480000	0.0538180000	0.0111800000	0.0314410000	0.0000010000	0.0017790000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.4800000000	0.0126696480	0.0057744362	0.0126696480	0.0076743259	0.0982280000	0.0537900000	0.0111700000	0.0314530000	0.0000010000	0.0017850000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	0.6400000000	0.0169819035	0.0085763031	0.0169819035	0.0069877236	0.4304530000	0.0537830000	0.0112010000	0.0314260000	0.3321110000	0.0019050000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	0.7200000000	0.0082970085	0.0085204441	0.0169819035	0.0087216365	0.7967830000	0.0537960000	0.0452530000	0.0316280000	0.3304320000	0.3356430000	0	0	209321984	3.9882965088	4.0008454323	3.9997181892
6	0.7600000000	0.0081788031	0.0084635040	0.0169819035	0.0079542603	0.4294380000	0.0537750000	0.0427980000	0.0000010000	0.3309400000	0.0018970000	0	0	209321984	3.9850928783	3.9998378754	3.9994091988
7	0.8000000000	0.0082940012	0.0084392893	0.0169819035	0.0072731134	0.4787020000	0.0537960000	0.0605140000	0.0316710000	0.3307620000	0.0019290000	0	0	209321984	3.9822506905	4.0007548332	3.9997751713
8	0.8400000000	0.0082845483	0.0084199467	0.0169819035	0.0067403519	0.4409720000	0.0537800000	0.0540580000	0.0000010000	0.3311940000	0.0019080000	0	0	209321984	3.9765152931	4.0002031326	3.9993362427
9	0.8800000000	0.0083474293	0.0084118892	0.0169819035	0.0063051052	0.8033220000	0.0537930000	0.0515950000	0.0316810000	0.3309390000	0.3352810000	0	0	209321984	3.9771871567	3.9992587566	3.9976599216
10	0.9200000000	0.0082459264	0.0083952929	0.0169819035	0.0059446951	0.4432510000	0.0537670000	0.0603100000	0.0000000000	0.3272480000	0.0018930000	0	0	209321984	3.9686834812	4.0008492470	3.9970765114
11	0.9600000000	0.0083287805	0.0083892463	0.0169819035	0.0056690480	0.4621830000	0.0533240000	0.0514590000	0.0314430000	0.3240090000	0.0019130000	0	0	209321984	3.9676268101	4.0020928383	3.9962823391
12	1.0000000000	0.0083577503	0.0083866216	0.0169819035	0.0054070780	0.4389310000	0.0537540000	0.0515870000	0.0000000000	0.3316580000	0.0018980000	0	0	209321984	3.9613440037	4.0007524490	3.9971916676
13	1.0400000000	0.0083081489	0.0083805853	0.0169819035	0.0052648148	0.8056170000	0.0537890000	0.0517030000	0.0317060000	0.3310670000	0.3373130000	0	0	209321984	3.9556224346	4.0001463890	3.9950182438
14	1.0800000000	0.0082317488	0.0083699541	0.0169819035	0.0051807586	0.4313080000	0.0537490000	0.0429450000	0.0000000000	0.3326860000	0.0018920000	0	0	209321984	3.9507057667	4.0020275116	3.9947564602
15	1.1200000000	0.0082972022	0.0083651040	0.0169819035	0.0051379886	0.4711200000	0.0537900000	0.0513500000	0.0316140000	0.3324170000	0.0019130000	0	0	209321984	3.9447283745	4.0021610260	3.9919960499
16	1.1600000000	0.0083617568	0.0083648948	0.0169819035	0.0050111825	0.4425520000	0.0537600000	0.0539730000	0.0000000000	0.3328720000	0.0019120000	0	0	209321984	3.9351282120	4.0016260147	3.9940304756
17	1.2000000000	0.0082345288	0.0083572262	0.0169819035	0.0048773901	0.7967950000	0.0537630000	0.0405120000	0.0316940000	0.3326120000	0.3381740000	0	0	209321984	3.9285585880	4.0023407936	3.9922037125
18	1.2400000000	0.0082863579	0.0083532891	0.0169819035	0.0047729168	0.4396130000	0.0526370000	0.0513450000	0.0000010000	0.3336990000	0.0018910000	0	0	209321984	3.9217817783	4.0028443336	3.9899411201
19	1.2800000000	0.0084611066	0.0083589637	0.0169819035	0.0047412290	0.4647670000	0.0537920000	0.0449260000	0.0317830000	0.3323130000	0.0019150000	0	0	209321984	3.9164083004	4.0025253296	3.9897224903
20	1.3200000000	0.0084917201	0.0083656015	0.0169819035	0.0046283706	0.4418350000	0.0537530000	0.0516530000	0.0000010000	0.3344820000	0.0019090000	0	0	209321984	3.8880882263	4.0020947456	3.9894416332
21	1.3600000000	0.0084237745	0.0083683716	0.0169819035	0.0048183792	0.8008610000	0.0537170000	0.0406440000	0.0319040000	0.3343810000	0.3401730000	0	0	209321984	3.8845877647	4.0028533936	3.9867477417
22	1.4000000000	0.0084901592	0.0083739074	0.0169819035	0.0052955417	0.4425360000	0.0537690000	0.0518900000	0.0000010000	0.3349380000	0.0018960000	0	0	209321984	3.8789076805	4.0038533211	3.9850063324
23	1.4400000000	0.0085558714	0.0083818189	0.0169819035	0.0052762572	0.4760500000	0.0537820000	0.0541340000	0.0319160000	0.3342860000	0.0018900000	0	0	209321984	3.8681230545	4.0018115044	3.9862415791
24	1.4800000000	0.0085680038	0.0083895766	0.0169819035	0.0051662126	0.4386470000	0.0537820000	0.0516890000	0.0000000000	0.3312890000	0.0018460000	0	0	209321984	3.8562498093	4.0014061928	3.9870321751
25	1.5200000000	0.0084173456	0.0083906874	0.0169819035	0.0050638647	0.8120660000	0.0537540000	0.0513340000	0.0317880000	0.3348290000	0.3403190000	0	0	209321984	3.8529446125	4.0006508827	3.9836411476
26	1.5600000000	0.0086828591	0.0084019247	0.0169819035	0.0049922977	0.4437020000	0.0537670000	0.0518160000	0.0000000000	0.3361580000	0.0019180000	0	0	209321984	3.8431828022	3.9992578030	3.9843664169
27	1.6000000000	0.0086370856	0.0084106344	0.0169819035	0.0049665318	0.4772580000	0.0537660000	0.0537920000	0.0320010000	0.3357580000	0.0018980000	0	0	209321984	3.8327050209	3.9982063770	3.9861090183
28	1.6400000000	0.0086372904	0.0084187293	0.0169819035	0.0048781504	0.4447160000	0.0537120000	0.0519130000	0.0000000000	0.3371230000	0.0019220000	0	0	209321984	3.8193349838	3.9997243881	3.9883503914
29	1.6800000000	0.0086546093	0.0084268631	0.0169819035	0.0048118063	0.8170340000	0.0537670000	0.0540050000	0.0320410000	0.3355740000	0.3416020000	0	0	209321984	3.8125584126	4.0001626015	3.9917116165
30	1.7200000000	0.0087611359	0.0084380055	0.0169819035	0.0048018910	0.4350280000	0.0537720000	0.0429630000	0.0000010000	0.3363350000	0.0019140000	0	0	209321984	3.8063776493	3.9995095730	3.9896061420
31	1.7600000000	0.0087506091	0.0084480895	0.0169819035	0.0047871734	0.4754810000	0.0523580000	0.0537010000	0.0319900000	0.3354920000	0.0018970000	0	0	209321984	3.7979276180	4.0015478134	3.9933054447
32	1.8800000000	0.0087178014	0.0084565180	0.0169819035	0.0055145176	0.4434760000	0.0537690000	0.0523400000	0.0000010000	0.3354150000	0.0019090000	0	0	209321984	3.7843501568	4.0001225471	3.9942228794
33	1.9200000000	0.0088182967	0.0084674810	0.0169819035	0.0054277058	0.8070190000	0.0537800000	0.0452870000	0.0319800000	0.3349480000	0.3409800000	0	0	209321984	3.7771394253	4.0012869835	3.9950277805
34	1.9600000000	0.0089608710	0.0084819924	0.0169819035	0.0053692692	0.4431960000	0.0537740000	0.0518670000	0.0000000000	0.3355790000	0.0019290000	0	0	209321984	3.7629468441	4.0010137558	3.9999663830
35	2.2000000000	0.0090015344	0.0084968365	0.0169819035	0.0064380994	0.4751060000	0.0537780000	0.0523050000	0.0320040000	0.3350960000	0.0018760000	0	0	209321984	3.7233297825	3.9986047745	4.0076847076
36	2.2800000000	0.0090014162	0.0085108526	0.0169819035	0.0063522113	0.4340290000	0.0538130000	0.0429960000	0.0000010000	0.3352130000	0.0019570000	0	0	209321984	3.7090635300	3.9953596592	4.0110459328
37	2.3200000000	0.0090325326	0.0085249521	0.0169819035	0.0064272306	0.8164480000	0.0537910000	0.0543710000	0.0320660000	0.3349960000	0.3411750000	0	0	209321984	3.6948544979	3.9978117943	4.0167961121
38	2.4000000000	0.0091010593	0.0085401128	0.0169819035	0.0069207023	0.4439190000	0.0537720000	0.0523510000	0.0000010000	0.3358480000	0.0019020000	0	0	209321984	3.6850204468	3.9946496487	4.0146436691
39	2.4400000000	0.0091503086	0.0085557588	0.0169819035	0.0070204250	0.4736380000	0.0537850000	0.0517860000	0.0320980000	0.3340000000	0.0019200000	0	0	209321984	3.6613008976	3.9951384068	4.0249776840
