SLAMBench Report run started:	2020-03-04 09:18:48

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/ICL2-KF-DEP-0.00009.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 9.000000000000001e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0010032422	0.0010032422	0.0010032422	0.0000000000	0.4415280000	0.0542800000	0.0167710000	0.0314140000	0.0000040000	0.3389600000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.1200000000	0.0036504185	0.0023268303	0.0036504185	0.0078900512	0.0979830000	0.0535940000	0.0111640000	0.0313660000	0.0000020000	0.0018300000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.5600000000	0.0159559101	0.0068698569	0.0159559101	0.0076221510	0.0979870000	0.0535760000	0.0111810000	0.0313830000	0.0000010000	0.0018180000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	0.6800000000	0.0184614863	0.0097677643	0.0184614863	0.0074642059	0.4304980000	0.0535740000	0.0112420000	0.0314580000	0.3323050000	0.0018900000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	0.7600000000	0.0094206845	0.0096983483	0.0184614863	0.0098244223	0.7923250000	0.0535710000	0.0409090000	0.0320810000	0.3302230000	0.3355090000	0	0	209321984	3.9864079952	3.9991834164	3.9990744591
6	0.8400000000	0.0093976408	0.0096482304	0.0184614863	0.0087881967	0.4317770000	0.0535680000	0.0449160000	0.0000010000	0.3313390000	0.0019220000	0	0	209321984	3.9777290821	3.9995064735	3.9990081787
7	0.8800000000	0.0094924038	0.0096259695	0.0184614863	0.0080226152	0.4602470000	0.0535750000	0.0426740000	0.0316280000	0.3303960000	0.0019420000	0	0	209321984	3.9784314632	3.9984805584	3.9973247051
8	0.9200000000	0.0094533926	0.0096043974	0.0184614863	0.0074280079	0.4385080000	0.0535700000	0.0518050000	0.0000010000	0.3311960000	0.0019050000	0	0	209321984	3.9699962139	4.0002121925	3.9967405796
9	0.9600000000	0.0095591014	0.0095993645	0.0184614863	0.0069767512	0.8040140000	0.0535750000	0.0519080000	0.0321180000	0.3304470000	0.3359300000	0	0	209321984	3.9689648151	4.0014262199	3.9959380627
10	1.0000000000	0.0094721122	0.0095866392	0.0184614863	0.0065786879	0.4381620000	0.0535780000	0.0515200000	0.0000010000	0.3311410000	0.0018930000	0	0	209321984	3.9625823498	4.0001268387	3.9968485832
11	1.0400000000	0.0094046770	0.0095700972	0.0184614863	0.0063278005	0.4768810000	0.0535640000	0.0582180000	0.0316650000	0.3314470000	0.0019510000	0	0	209321984	3.9568538666	3.9995269775	3.9946744442
12	1.0800000000	0.0093958490	0.0095555765	0.0184614863	0.0061625911	0.4396050000	0.0535630000	0.0518330000	0.0000010000	0.3322510000	0.0019220000	0	0	209321984	3.9520187378	4.0014104843	3.9943957329
13	1.1200000000	0.0093253367	0.0095378658	0.0184614863	0.0060316963	0.8069290000	0.0535720000	0.0517730000	0.0316970000	0.3320500000	0.3378020000	0	0	209321984	3.9458913803	4.0015754700	3.9916491508
14	1.1600000000	0.0094517237	0.0095317128	0.0184614863	0.0058462652	0.4311020000	0.0535690000	0.0427980000	0.0000000000	0.3327840000	0.0019170000	0	0	209321984	3.9363815784	4.0010285378	3.9936747551
15	1.2000000000	0.0093399752	0.0095189303	0.0184614863	0.0056595027	0.4624470000	0.0535710000	0.0428950000	0.0317150000	0.3323130000	0.0019180000	0	0	209321984	3.9298362732	4.0016946793	3.9918220043
