SLAMBench Report run started:	2020-03-04 01:21:14

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/ICL2-KF-INT-0.00007.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libint-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 6.999999999999999e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000002980	0.0000002980	0.0000002980	0.0000000000	0.4426250000	0.0542920000	0.0169450000	0.0314240000	0.0000020000	0.3398220000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.0400000000	0.0010032422	0.0005017701	0.0010032422	0.0033378911	0.0983250000	0.0535720000	0.0114240000	0.0314430000	0.0000000000	0.0018580000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.0800000000	0.0055015511	0.0021683638	0.0055015511	0.0047728699	0.0984480000	0.0535720000	0.0115180000	0.0314930000	0.0000010000	0.0018380000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	0.1200000000	0.0036504185	0.0025388775	0.0055015511	0.0040723129	0.4319880000	0.0535790000	0.0115030000	0.0314880000	0.3334970000	0.0018930000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	0.1600000000	0.0021276572	0.0024566334	0.0055015511	0.0048987944	0.8041810000	0.0535770000	0.0598350000	0.0312360000	0.3240070000	0.3354950000	0	0	209321984	3.9957129955	4.0020360947	4.0009112358
6	0.2000000000	0.0021158110	0.0023998297	0.0055015511	0.0043899454	0.4313600000	0.0535850000	0.0452030000	0.0000000000	0.3306600000	0.0018810000	0	0	209321984	3.9965538979	4.0017571449	4.0000624657
7	0.2400000000	0.0020491821	0.0023497372	0.0055015511	0.0040164420	0.4602080000	0.0536140000	0.0427760000	0.0314780000	0.3303790000	0.0019320000	0	0	209321984	3.9963860512	4.0014791489	4.0003576279
8	0.2800000000	0.0021295445	0.0023222131	0.0055015511	0.0037227656	0.4314590000	0.0535840000	0.0453800000	0.0000010000	0.3305630000	0.0019030000	0	0	209321984	3.9949586391	4.0019369125	4.0002703667
9	0.3200000000	0.0021676212	0.0023050362	0.0055015511	0.0035287190	0.7941260000	0.0535900000	0.0427840000	0.0314480000	0.3303700000	0.3359020000	0	0	209321984	3.9930224419	4.0012898445	4.0003123283
10	0.3600000000	0.0022070820	0.0022952408	0.0055015511	0.0033889795	0.4286230000	0.0535830000	0.0428280000	0.0000010000	0.3302530000	0.0019290000	0	0	209321984	3.9929070473	4.0026335716	4.0009012222
11	0.4000000000	0.0022589520	0.0022919418	0.0055015511	0.0033576236	0.4695360000	0.0535840000	0.0520610000	0.0315920000	0.3303720000	0.0018940000	0	0	209321984	3.9919445515	4.0017886162	4.0016002655
12	0.4400000000	0.0022641739	0.0022896278	0.0055015511	0.0034313336	0.4293530000	0.0535730000	0.0429360000	0.0000010000	0.3309040000	0.0019090000	0	0	209321984	3.9918572903	4.0017395020	4.0008211136
13	0.4800000000	0.0022805610	0.0022889304	0.0055015511	0.0034363232	0.7946340000	0.0535760000	0.0428790000	0.0315450000	0.3306380000	0.3359610000	0	0	209321984	3.9894258976	4.0015444756	4.0013942719
14	0.5200000000	0.0023245795	0.0022914767	0.0055015511	0.0033244090	0.4926350000	0.0535750000	0.1057450000	0.0000000000	0.3313630000	0.0019180000	0	0	209321984	3.9894297123	4.0028066635	4.0008144379
15	0.5600000000	0.0023152155	0.0022930593	0.0055015511	0.0032122953	0.4672900000	0.0535740000	0.0496160000	0.0316670000	0.3304690000	0.0019330000	0	0	209321984	3.9863409996	4.0038952827	4.0015859604
16	0.6000000000	0.0023966364	0.0022995329	0.0055015511	0.0031281626	0.4497010000	0.0535830000	0.0633250000	0.0000010000	0.3308500000	0.0019070000	0	0	209321984	3.9871170521	4.0023283958	4.0005326271
17	0.6400000000	0.0024171770	0.0023064531	0.0055015511	0.0030498995	0.8023910000	0.0535750000	0.0494960000	0.0315930000	0.3311910000	0.3365010000	0	0	209321984	3.9851157665	4.0009016991	3.9991016388
18	0.6800000000	0.0024460810	0.0023142102	0.0055015511	0.0029601015	0.4386590000	0.0535710000	0.0516740000	0.0000000000	0.3315670000	0.0018120000	0	0	209321984	3.9835417271	4.0011630058	4.0000801086
