SLAMBench Report run started:	2020-03-05 01:06:48

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/ICL2-KF-INT-0.00010.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libint-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 0.0001

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0000000000	0.0000002980	0.0000002980	0.0000002980	0.0000000000	0.4422820000	0.0543780000	0.0169100000	0.0315030000	0.0000030000	0.3393360000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	0.0400000000	0.0010032422	0.0005017701	0.0010032422	0.0033378911	0.0982100000	0.0536260000	0.0112560000	0.0314650000	0.0000000000	0.0018340000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	0.0800000000	0.0055015511	0.0021683638	0.0055015511	0.0047728699	0.0982530000	0.0535650000	0.0112770000	0.0315230000	0.0000010000	0.0018590000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	0.1200000000	0.0036504185	0.0025388775	0.0055015511	0.0040723129	0.4312200000	0.0535790000	0.0112510000	0.0314540000	0.3330120000	0.0018940000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	0.1600000000	0.0021276572	0.0024566334	0.0055015511	0.0048987944	0.8085810000	0.0536380000	0.0601180000	0.0318770000	0.3280000000	0.3349160000	0	0	209321984	3.9957129955	4.0020360947	4.0009112358
6	0.2000000000	0.0021158110	0.0023998297	0.0055015511	0.0043899454	0.4307080000	0.0536380000	0.0447620000	0.0000010000	0.3303670000	0.0019120000	0	0	209321984	3.9965538979	4.0017571449	4.0000624657
7	0.2400000000	0.0020491821	0.0023497372	0.0055015511	0.0040164420	0.4594270000	0.0535980000	0.0424860000	0.0315310000	0.3298670000	0.0019130000	0	0	209321984	3.9963860512	4.0014791489	4.0003576279
8	0.2800000000	0.0021295445	0.0023222131	0.0055015511	0.0037227656	0.4299280000	0.0527700000	0.0449250000	0.0000010000	0.3302680000	0.0019310000	0	0	209321984	3.9949586391	4.0019369125	4.0002703667
9	0.3200000000	0.0021676212	0.0023050362	0.0055015511	0.0035287190	0.7897030000	0.0535800000	0.0425710000	0.0315170000	0.3266300000	0.3353700000	0	0	209321984	3.9930224419	4.0012898445	4.0003123283
10	0.3600000000	0.0022070820	0.0022952408	0.0055015511	0.0033889795	0.4266680000	0.0522570000	0.0425260000	0.0000010000	0.3299150000	0.0019360000	0	0	209321984	3.9929070473	4.0026335716	4.0009012222
11	0.4000000000	0.0022589520	0.0022919418	0.0055015511	0.0033576236	0.4685610000	0.0535760000	0.0515450000	0.0314920000	0.3300000000	0.0019130000	0	0	209321984	3.9919445515	4.0017886162	4.0016002655
12	0.4400000000	0.0022641739	0.0022896278	0.0055015511	0.0034313336	0.4274160000	0.0522820000	0.0425440000	0.0000010000	0.3306350000	0.0019200000	0	0	209321984	3.9918572903	4.0017395020	4.0008211136
13	0.4800000000	0.0022805610	0.0022889304	0.0055015511	0.0034363232	0.7860890000	0.0535820000	0.0426050000	0.0314470000	0.3293930000	0.3290280000	0	0	209321984	3.9894258976	4.0015444756	4.0013942719
14	0.5200000000	0.0023245795	0.0022914767	0.0055015511	0.0033244090	0.4896810000	0.0535690000	0.1051350000	0.0000000000	0.3290080000	0.0019320000	0	0	209321984	3.9894297123	4.0028066635	4.0008144379
15	0.5600000000	0.0023152155	0.0022930593	0.0055015511	0.0032122953	0.4664040000	0.0535780000	0.0491990000	0.0316710000	0.3299890000	0.0019310000	0	0	209321984	3.9863409996	4.0038952827	4.0015859604
16	0.6000000000	0.0023966364	0.0022995329	0.0055015511	0.0031281626	0.4488680000	0.0536390000	0.0627280000	0.0000010000	0.3305350000	0.0019260000	0	0	209321984	3.9871170521	4.0023283958	4.0005326271
17	0.6400000000	0.0024171770	0.0023064531	0.0055015511	0.0030498995	0.8003560000	0.0535760000	0.0492830000	0.0320820000	0.3292730000	0.3361040000	0	0	209321984	3.9851157665	4.0009016991	3.9991016388
18	0.6800000000	0.0024460810	0.0023142102	0.0055015511	0.0029601015	0.4350660000	0.0521870000	0.0512540000	0.0000010000	0.3296310000	0.0019550000	0	0	209321984	3.9835417271	4.0011630058	4.0000801086
19	0.7200000000	0.0024325005	0.0023204360	0.0055015511	0.0029192998	0.4673380000	0.0536400000	0.0493480000	0.0316900000	0.3306860000	0.0019370000	0	0	209321984	3.9820523262	4.0014052391	3.9996454716
20	0.7600000000	0.0025416587	0.0023314972	0.0055015511	0.0029368953	0.4296570000	0.0535720000	0.0429110000	0.0000000000	0.3312000000	0.0019370000	0	0	209321984	3.9790830612	4.0002136230	3.9993202686
21	0.8000000000	0.0025807053	0.0023433642	0.0055015511	0.0028725928	0.8042400000	0.0536320000	0.0514650000	0.0316360000	0.3311460000	0.3363180000	0	0	209321984	3.9761929512	4.0010929108	3.9996607304
22	0.8400000000	0.0028562606	0.0023666777	0.0055015511	0.0028130201	0.4300140000	0.0532510000	0.0449640000	0.0000010000	0.3298610000	0.0018930000	0	0	209321984	3.9707212448	4.0004558563	3.9992079735
23	0.8800000000	0.0028551938	0.0023879175	0.0055015511	0.0027483784	0.4708420000	0.0534510000	0.0538460000	0.0315440000	0.3300280000	0.0019310000	0	0	209321984	3.9713082314	3.9995715618	3.9975645542
24	0.9200000000	0.0028111078	0.0024055505	0.0055015511	0.0026883298	0.4310500000	0.0536140000	0.0426550000	0.0000010000	0.3328320000	0.0019090000	0	0	209321984	3.9629046917	4.0010108948	3.9969229698
25	0.9600000000	0.0027976024	0.0024212325	0.0055015511	0.0026601784	0.7966370000	0.0522540000	0.0424090000	0.0317810000	0.3325000000	0.3376500000	0	0	209321984	3.9617183208	4.0022773743	3.9961576462
26	1.0000000000	0.0028472953	0.0024376196	0.0055015511	0.0026079033	0.4392730000	0.0536280000	0.0515550000	0.0000000000	0.3321620000	0.0018860000	0	0	209321984	3.9554529190	4.0008077621	3.9970505238
27	1.0400000000	0.0026989488	0.0024472984	0.0055015511	0.0026330710	0.4679800000	0.0521660000	0.0493610000	0.0317180000	0.3327290000	0.0019620000	0	0	209321984	3.9496526718	4.0000433922	3.9948580265
28	1.0800000000	0.0027757999	0.0024590306	0.0055015511	0.0027071622	0.4496670000	0.0535680000	0.0607550000	0.0000010000	0.3333810000	0.0019190000	0	0	209321984	3.9448726177	4.0019135475	3.9945604801
29	1.1200000000	0.0027224279	0.0024681133	0.0055015511	0.0027849895	0.8126790000	0.0536460000	0.0580750000	0.0317680000	0.3330030000	0.3361410000	0	0	209321984	3.9388141632	4.0020322800	3.9917833805
30	1.1600000000	0.0029723723	0.0024849219	0.0055015511	0.0027877223	0.4408350000	0.0530420000	0.0518320000	0.0000010000	0.3339950000	0.0019230000	0	0	209321984	3.9293599129	4.0014410019	3.9938361645
31	1.2000000000	0.0028923196	0.0024980638	0.0055015511	0.0027640898	0.4820830000	0.0535680000	0.0605670000	0.0321490000	0.3338190000	0.0019370000	0	0	209321984	3.9227764606	4.0022115707	3.9920413494
32	1.2400000000	0.0029370915	0.0025117834	0.0055015511	0.0027640858	0.4425430000	0.0536300000	0.0517780000	0.0000000000	0.3351650000	0.0019290000	0	0	209321984	3.9160673618	4.0025391579	3.9897453785
33	1.2800000000	0.0029342324	0.0025245849	0.0055015511	0.0028064623	0.8112330000	0.0535660000	0.0515560000	0.0318190000	0.3346420000	0.3396050000	0	0	209321984	3.9104619026	4.0022311211	3.9895095825
34	1.3200000000	0.0028950730	0.0025354816	0.0055015511	0.0027797242	0.4399320000	0.0523730000	0.0516960000	0.0000000000	0.3339740000	0.0018470000	0	0	209321984	3.8820011616	4.0016937256	3.9892096519
35	1.3600000000	0.0030741547	0.0025508723	0.0055015511	0.0030460693	0.4728100000	0.0533950000	0.0494430000	0.0323550000	0.3356250000	0.0019460000	0	0	209321984	3.8787074089	4.0025601387	3.9865641594
36	1.4000000000	0.0030332129	0.0025642706	0.0055015511	0.0035562982	0.4437900000	0.0536290000	0.0520930000	0.0000010000	0.3360980000	0.0019230000	0	0	209321984	3.8730514050	4.0033059120	3.9847660065
