SLAMBench Report run started:	2020-03-04 01:55:18

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/ICL2-ORB-COM-0.00004.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 4e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0010031087	0.0010031087	0.0010031087	0.0000000000	0.0125940000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.1200000000	0.0037919697	0.0023975392	0.0037919697	0.0016077848	0.0182390000	0	0	209321984	-0.0005630151	-0.0014064119	-0.0005557494
3	0.1600000000	0.0039707902	0.0029219562	0.0039707902	0.0014919750	0.0162590000	0	0	209321984	-0.0030933649	-0.0000762855	0.0014322129
4	0.2000000000	0.0008938660	0.0024149337	0.0039707902	0.0019015248	0.0160350000	0	0	209321984	-0.0046597971	0.0014764335	-0.0000209906
5	0.2400000000	0.0016008165	0.0022521102	0.0039707902	0.0017416105	0.0164840000	0	0	209321984	-0.0040740795	0.0010996909	-0.0003892185
6	0.3200000000	0.0013932502	0.0021089669	0.0039707902	0.0017139550	0.0160850000	0	0	209321984	-0.0082121110	-0.0001595172	-0.0006814953
7	0.3600000000	0.0047480068	0.0024859726	0.0047480068	0.0015919864	0.0156670000	0	0	209321984	-0.0058672684	-0.0014174716	-0.0002134370
8	0.4000000000	0.0027124549	0.0025142829	0.0047480068	0.0021790845	0.0160790000	0	0	209321984	-0.0092381602	-0.0013948687	0.0004926766
9	0.4400000000	0.0035446866	0.0026287722	0.0047480068	0.0023596224	0.0157130000	0	0	209321984	-0.0088231079	-0.0024293994	0.0001655658
10	0.5600000000	0.0040263017	0.0027685251	0.0047480068	0.0031414153	0.0158900000	0	0	209321984	-0.0155452369	-0.0011477015	0.0008032239
11	0.6000000000	0.0025280623	0.0027466649	0.0047480068	0.0030449418	0.0160690000	0	0	209321984	-0.0144875161	-0.0014447174	-0.0000445453
12	0.6400000000	0.0052408096	0.0029545103	0.0052408096	0.0029642597	0.0157470000	0	0	209321984	-0.0119725568	-0.0019780314	-0.0018427529
13	0.6800000000	0.0044460474	0.0030692439	0.0052408096	0.0030276128	0.0155270000	0	0	209321984	-0.0180067420	-0.0045428155	-0.0007993929
14	0.7200000000	0.0041659428	0.0031475795	0.0052408096	0.0029593345	0.0158280000	0	0	209321984	-0.0182482526	-0.0036636351	-0.0010065442
15	0.7600000000	0.0052009909	0.0032844736	0.0052408096	0.0029611645	0.0159280000	0	0	209321984	-0.0188616216	-0.0042430609	-0.0009712867
16	0.8000000000	0.0048418650	0.0033818106	0.0052408096	0.0028851664	0.0159980000	0	0	209321984	-0.0223373398	-0.0033713835	-0.0014826198
17	0.8400000000	0.0052368809	0.0034909324	0.0052408096	0.0028000199	0.0157320000	0	0	209321984	-0.0277699381	-0.0045123822	-0.0018722573
18	0.8800000000	0.0038411669	0.0035103898	0.0052408096	0.0027224229	0.0158410000	0	0	209321984	-0.0281195510	-0.0041517620	-0.0041720569
19	0.9200000000	0.0035665233	0.0035133442	0.0052408096	0.0026467313	0.0157990000	0	0	209321984	-0.0368504040	-0.0026560714	-0.0047772201
20	0.9600000000	0.0047890432	0.0035771292	0.0052408096	0.0026166278	0.0159210000	0	0	209321984	-0.0360926427	-0.0006001212	-0.0054991324
21	1.0000000000	0.0073114866	0.0037549557	0.0073114866	0.0025864541	0.0151640000	0	0	209321984	-0.0397489071	-0.0017049395	-0.0051387269
22	1.0400000000	0.0077644926	0.0039372074	0.0077644926	0.0026208512	0.0156230000	0	0	209321984	-0.0448044613	-0.0017064520	-0.0069359681
23	1.0800000000	0.0025284931	0.0038759590	0.0077644926	0.0027228985	0.0164850000	0	0	209321984	-0.0578057207	-0.0020444929	-0.0068373736
24	1.1200000000	0.0028790673	0.0038344218	0.0077644926	0.0028955319	0.0155130000	0	0	209321984	-0.0618632585	-0.0008389361	-0.0109296590
25	1.1600000000	0.0039486019	0.0038389890	0.0077644926	0.0029793007	0.0162960000	0	0	209321984	-0.0691447258	-0.0011731342	-0.0073083285
26	1.2000000000	0.0038326858	0.0038387466	0.0077644926	0.0029298431	0.0157800000	0	0	209321984	-0.0756930113	0.0005003722	-0.0096952785
27	1.2400000000	0.0047759935	0.0038734594	0.0077644926	0.0029849914	0.0158210000	0	0	209321984	-0.0821248740	-0.0008028142	-0.0129156755
28	1.2800000000	0.0029153544	0.0038392414	0.0077644926	0.0030164788	0.0156690000	0	0	209321984	-0.0895406306	-0.0013956859	-0.0117832534
29	1.3200000000	0.0081658214	0.0039884338	0.0081658214	0.0029780259	0.0156790000	0	0	209321984	-0.1122418419	-0.0023125429	-0.0129986545
30	1.3600000000	0.0036155963	0.0039760059	0.0081658214	0.0031228484	0.0155410000	0	0	209321984	-0.1199724898	-0.0002184641	-0.0149953905
31	1.4000000000	0.0039017093	0.0039736092	0.0081658214	0.0036833396	0.0151560000	0	0	209321984	-0.1256164312	0.0000852987	-0.0171401855
32	1.4400000000	0.0037615201	0.0039669814	0.0081658214	0.0037758782	0.0153150000	0	0	209321984	-0.1366504580	-0.0023284894	-0.0150671219
33	1.4800000000	0.0037252053	0.0039596549	0.0081658214	0.0037175195	0.0155670000	0	0	209321984	-0.1484490633	-0.0024222613	-0.0151070450
34	1.5200000000	0.0021483297	0.0039063806	0.0081658214	0.0036941381	0.0151200000	0	0	209321984	-0.1535109431	-0.0010226093	-0.0162543580
35	1.5600000000	0.0045262170	0.0039240902	0.0081658214	0.0037907308	0.0152080000	0	0	209321984	-0.1656508148	-0.0079263551	-0.0171523727
36	1.6000000000	0.0014009608	0.0038540033	0.0081658214	0.0038718274	0.0150960000	0	0	209321984	-0.1747838259	-0.0050845412	-0.0140075553
37	1.6400000000	0.0030863865	0.0038332569	0.0081658214	0.0038177133	0.0150460000	0	0	209321984	-0.1860737652	-0.0045155911	-0.0122168288
38	1.6800000000	0.0032479253	0.0038178534	0.0081658214	0.0037931723	0.0152460000	0	0	209321984	-0.1931346953	-0.0047848783	-0.0090604778
39	1.7200000000	0.0024027328	0.0037815683	0.0081658214	0.0038756494	0.0152060000	0	0	209321984	-0.2005271614	-0.0026345309	-0.0098302960
40	1.7600000000	0.0035884313	0.0037767399	0.0081658214	0.0038695978	0.0147900000	0	0	209321984	-0.2074656636	-0.0035873095	-0.0078585874
41	1.8000000000	0.0027523523	0.0037517548	0.0081658214	0.0038824969	0.0152400000	0	0	209321984	-0.2134581655	-0.0006415501	-0.0080332588
42	1.8400000000	0.0013767144	0.0036952062	0.0081658214	0.0040151116	0.0150890000	0	0	209321984	-0.2189675868	-0.0029331367	-0.0069531091
43	1.8800000000	0.0028172354	0.0036747883	0.0081658214	0.0040933756	0.0155060000	0	0	209321984	-0.2255915552	-0.0010894275	-0.0061404947
