SLAMBench Report run started:	2020-03-04 09:35:50

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/ICL2-ORB-COM-0.00009.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 9.000000000000001e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0010031087	0.0010031087	0.0010031087	0.0000000000	0.0125210000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.1200000000	0.0037919697	0.0023975392	0.0037919697	0.0016077848	0.0183380000	0	0	209321984	-0.0005630151	-0.0014064119	-0.0005557494
3	0.4000000000	0.0031824145	0.0026591643	0.0037919697	0.0058383824	0.0157940000	0	0	209321984	-0.0083442070	-0.0015194232	0.0007864209
4	0.4800000000	0.0037723738	0.0029374667	0.0037919697	0.0063601294	0.0160390000	0	0	209321984	-0.0092898449	-0.0010373616	0.0004226060
5	0.6000000000	0.0026882484	0.0028876230	0.0037919697	0.0060344137	0.0158060000	0	0	209321984	-0.0141691351	-0.0015456345	-0.0000490160
6	0.6400000000	0.0057281582	0.0033610455	0.0057281582	0.0054882111	0.0157050000	0	0	209321984	-0.0114673423	-0.0020397338	-0.0015749671
7	0.7200000000	0.0036396913	0.0034008521	0.0057281582	0.0053425251	0.0157220000	0	0	209321984	-0.0185896326	-0.0032081273	-0.0013710211
8	0.8000000000	0.0054129921	0.0036523696	0.0057281582	0.0051158296	0.0154500000	0	0	209321984	-0.0213054102	-0.0029235003	-0.0014464193
9	0.8400000000	0.0047631776	0.0037757927	0.0057281582	0.0048012918	0.0157450000	0	0	209321984	-0.0284904856	-0.0045561395	-0.0018938375
10	0.8800000000	0.0036010558	0.0037583190	0.0057281582	0.0045359190	0.0156050000	0	0	209321984	-0.0283895954	-0.0040772031	-0.0041940929
11	0.9200000000	0.0030254915	0.0036916983	0.0057281582	0.0043041178	0.0158790000	0	0	209321984	-0.0375301801	-0.0026159999	-0.0045970716
12	0.9600000000	0.0048110439	0.0037849771	0.0057281582	0.0041593400	0.0159640000	0	0	209321984	-0.0359515212	-0.0002206300	-0.0054195561
13	1.0000000000	0.0075250352	0.0040726739	0.0075250352	0.0040205405	0.0153360000	0	0	209321984	-0.0395491421	-0.0018153847	-0.0051620221
14	1.0400000000	0.0063994955	0.0042388754	0.0075250352	0.0039194205	0.0156350000	0	0	209321984	-0.0461703427	-0.0014045612	-0.0068653775
15	1.0800000000	0.0028471970	0.0041460969	0.0075250352	0.0039684156	0.0163620000	0	0	209321984	-0.0579775982	-0.0023947936	-0.0066028223
16	1.1200000000	0.0030919828	0.0040802147	0.0075250352	0.0040911296	0.0158380000	0	0	209321984	-0.0614054464	-0.0009109956	-0.0107995681
17	1.1600000000	0.0037730534	0.0040621464	0.0075250352	0.0040913308	0.0156450000	0	0	209321984	-0.0694043115	-0.0014400352	-0.0073032770
18	1.2000000000	0.0035176419	0.0040318962	0.0075250352	0.0039804395	0.0155000000	0	0	209321984	-0.0760380626	0.0006189704	-0.0097531984
19	1.2400000000	0.0050375559	0.0040848256	0.0075250352	0.0040206349	0.0153540000	0	0	209321984	-0.0821582824	-0.0013942624	-0.0130535085
20	1.2800000000	0.0035664625	0.0040589075	0.0075250352	0.0040058887	0.0154450000	0	0	209321984	-0.0896107107	-0.0022888363	-0.0121002104
21	1.3200000000	0.0081483722	0.0042536439	0.0081483722	0.0039398935	0.0160850000	0	0	209321984	-0.1122845411	-0.0025687015	-0.0126557685
22	1.3600000000	0.0033043127	0.0042104925	0.0081483722	0.0040381813	0.0151740000	0	0	209321984	-0.1203711703	-0.0005048923	-0.0149302110
23	1.4000000000	0.0041629020	0.0042084233	0.0081483722	0.0046475635	0.0152560000	0	0	209321984	-0.1256028116	-0.0006807604	-0.0167293400
24	1.4400000000	0.0035085620	0.0041792624	0.0081483722	0.0046934836	0.0154630000	0	0	209321984	-0.1369675547	-0.0023846603	-0.0150233079
25	1.4800000000	0.0038112109	0.0041645404	0.0081483722	0.0045961758	0.0154560000	0	0	209321984	-0.1484276801	-0.0026341092	-0.0150640029
26	1.5200000000	0.0018535265	0.0040756552	0.0081483722	0.0045334965	0.0156060000	0	0	209321984	-0.1537422836	-0.0013789345	-0.0162943900
27	1.5600000000	0.0034274491	0.0040516476	0.0081483722	0.0045729272	0.0152450000	0	0	209321984	-0.1650589108	-0.0068711531	-0.0172026455
28	1.6000000000	0.0013681357	0.0039558079	0.0081483722	0.0046152849	0.0151660000	0	0	209321984	-0.1748207957	-0.0046974253	-0.0139282038
29	1.6400000000	0.0037627083	0.0039491493	0.0081483722	0.0045327979	0.0151160000	0	0	209321984	-0.1853045374	-0.0044255350	-0.0120827276
30	1.6800000000	0.0030833161	0.0039202882	0.0081483722	0.0044930562	0.0153910000	0	0	209321984	-0.1927529275	-0.0039656544	-0.0092533920
31	1.7200000000	0.0020833875	0.0038610333	0.0081483722	0.0045481019	0.0150140000	0	0	209321984	-0.2009343952	-0.0031248210	-0.0098564364
32	1.8000000000	0.0036634193	0.0038548579	0.0081483722	0.0046285953	0.0151480000	0	0	209321984	-0.2125554085	-0.0006684405	-0.0076691955
33	1.8400000000	0.0016715841	0.0037886981	0.0081483722	0.0047569736	0.0151380000	0	0	209321984	-0.2189160883	-0.0030581937	-0.0066846609
34	1.9200000000	0.0036851638	0.0037856529	0.0081483722	0.0048515748	0.0151000000	0	0	209321984	-0.2340501398	-0.0001981334	-0.0051169973
35	1.9600000000	0.0043398030	0.0038014858	0.0081483722	0.0048161143	0.0150470000	0	0	209321984	-0.2493278831	-0.0031717650	-0.0002049282
36	2.0000000000	0.0023239688	0.0037604437	0.0081483722	0.0047898974	0.0151990000	0	0	209321984	-0.2448139340	-0.0032229072	-0.0027384255
37	2.1200000000	0.0043147416	0.0037754247	0.0081483722	0.0051663329	0.0155240000	0	0	209321984	-0.2610508502	-0.0030010247	0.0001353752
38	2.1600000000	0.0052182805	0.0038133946	0.0081483722	0.0053226969	0.0150700000	0	0	209321984	-0.2683440745	-0.0045065861	0.0009051375
39	2.2000000000	0.0031631098	0.0037967206	0.0081483722	0.0052838906	0.0159350000	0	0	209321984	-0.2838534117	-0.0032369380	0.0087620318
40	2.2800000000	0.0054919482	0.0038391013	0.0081483722	0.0052480077	0.0149550000	0	0	209321984	-0.2967517078	-0.0039107352	0.0122823026
41	2.3200000000	0.0055769039	0.0038814867	0.0081483722	0.0054834067	0.0153860000	0	0	209321984	-0.3151987493	-0.0103383036	0.0175503846
42	2.4000000000	0.0029650428	0.0038596666	0.0081483722	0.0059578290	0.0149460000	0	0	209321984	-0.3248381615	-0.0095179016	0.0153890848
43	2.4400000000	0.0049370886	0.0038847230	0.0081483722	0.0060795064	0.0158040000	0	0	209321984	-0.3494596779	-0.0070497114	0.0274065156
44	2.4800000000	0.0027718642	0.0038594307	0.0081483722	0.0062511266	0.0149150000	0	0	209321984	-0.3566940129	-0.0095027573	0.0270079691
45	2.5200000000	0.0035543912	0.0038526521	0.0081483722	0.0065792518	0.0149870000	0	0	209321984	-0.3675782084	-0.0065623820	0.0320555121
46	2.5600000000	0.0016746505	0.0038053042	0.0081483722	0.0068733565	0.0148010000	0	0	209321984	-0.3826018870	-0.0083408533	0.0342775285
47	2.6000000000	0.0043315995	0.0038165020	0.0081483722	0.0069914792	0.0146100000	0	0	209321984	-0.3940462768	-0.0104545169	0.0369785652
48	2.6400000000	0.0024161125	0.0037873272	0.0081483722	0.0070134314	0.0144150000	0	0	209321984	-0.4012582898	-0.0045343265	0.0385156348
49	2.6800000000	0.0035959170	0.0037834209	0.0081483722	0.0069741371	0.0145180000	0	0	209321984	-0.4109956622	-0.0054196874	0.0376873314
50	2.7200000000	0.0044541769	0.0037968360	0.0081483722	0.0069470115	0.0158940000	0	0	209321984	-0.4252151847	-0.0085962582	0.0416302197
51	2.7600000000	0.0035040188	0.0037910945	0.0081483722	0.0068907668	0.0161100000	0	0	209321984	-0.4305471480	-0.0054296581	0.0407432579
52	2.8000000000	0.0158343688	0.0040226959	0.0158343688	0.0072243640	0.0156330000	0	0	209321984	-0.4470925033	-0.0155722871	0.0329722911
53	2.8400000000	0.0158457141	0.0042457717	0.0158457141	0.0078288433	0.0154360000	0	0	209321984	-0.4612483978	-0.0110757351	0.0351704955
54	2.8800000000	0.0191323031	0.0045214482	0.0191323031	0.0078815096	0.0156600000	0	0	209321984	-0.4727632701	-0.0123056136	0.0354051739
55	3.0000000000	0.0168672930	0.0047459181	0.0191323031	0.0087623098	0.0151330000	0	0	209321984	-0.4734944999	-0.0015372415	0.0213384554
56	3.0400000000	0.0181408860	0.0049851140	0.0191323031	0.0087217771	0.0148370000	0	0	209321984	-0.4710356891	-0.0031729322	0.0137401819
57	3.1200000000	0.0167253613	0.0051910832	0.0191323031	0.0086524908	0.0148340000	0	0	209321984	-0.4790347815	0.0030526323	0.0056455135
58	3.1600000000	0.0158014502	0.0053740206	0.0191323031	0.0085893356	0.0147580000	0	0	209321984	-0.4803046584	0.0066713500	0.0009546503
59	3.2000000000	0.0153375510	0.0055428940	0.0191323031	0.0085255623	0.0153240000	0	0	209321984	-0.4917004406	0.0064976425	0.0032247007
60	3.2400000000	0.0195296071	0.0057760059	0.0195296071	0.0084838690	0.0154990000	0	0	209321984	-0.5109290481	0.0062552253	0.0069182143
61	3.2800000000	0.0190619547	0.0059938083	0.0195296071	0.0085062800	0.0154030000	0	0	209321984	-0.5171079040	0.0077104233	0.0029026270
62	3.3600000000	0.0201888978	0.0062227614	0.0201888978	0.0085142305	0.0154390000	0	0	209321984	-0.5468713641	0.0092260987	0.0059816688
63	3.4400000000	0.0199428182	0.0064405400	0.0201888978	0.0089814073	0.0147960000	0	0	209321984	-0.5700204968	0.0082594324	0.0068667531
64	3.5600000000	0.0232986417	0.0067039479	0.0232986417	0.0102677017	0.0146680000	0	0	209321984	-0.6024006605	0.0045444295	0.0065726638
65	3.6400000000	0.0189460069	0.0068922873	0.0232986417	0.0104592980	0.0144260000	0	0	209321984	-0.6277736425	0.0073428713	0.0146869421
66	3.7200000000	0.0170666929	0.0070464449	0.0232986417	0.0104227760	0.0145920000	0	0	209321984	-0.6397069693	0.0069882195	0.0104130507
67	3.8000000000	0.0181861538	0.0072127092	0.0232986417	0.0103813422	0.0142510000	0	0	209321984	-0.6649534702	0.0081662219	0.0174775273
68	3.9200000000	0.0198854674	0.0073990733	0.0232986417	0.0103584171	0.0145140000	0	0	209321984	-0.6904641390	0.0036294106	0.0253047645
69	4.0000000000	0.0215583500	0.0076042802	0.0232986417	0.0102852649	0.0150100000	0	0	209321984	-0.7065860033	-0.0014889203	0.0345605910
70	4.0800000000	0.0222180039	0.0078130477	0.0232986417	0.0102602389	0.0155210000	0	0	209321984	-0.7267083526	0.0019483967	0.0465375632
71	4.1200000000	0.0225899201	0.0080211727	0.0232986417	0.0102016717	0.0147970000	0	0	209321984	-0.7380151749	-0.0021825386	0.0568450093
72	4.1600000000	0.0206084922	0.0081959966	0.0232986417	0.0101660628	0.0147500000	0	0	209321984	-0.7415440083	0.0020867847	0.0631701648
73	4.2400000000	0.0228290390	0.0083964492	0.0232986417	0.0102059155	0.0151160000	0	0	209321984	-0.7492955327	-0.0034733955	0.0634415150
74	4.2800000000	0.0208738316	0.0085650625	0.0232986417	0.0101362308	0.0148580000	0	0	209321984	-0.7560244799	-0.0048270049	0.0688326508
75	4.3200000000	0.0211326499	0.0087326303	0.0232986417	0.0100783057	0.0151990000	0	0	209321984	-0.7599406242	-0.0022136653	0.0725618303
76	4.3600000000	0.0222946145	0.0089110775	0.0232986417	0.0100445862	0.0145960000	0	0	209321984	-0.7681273818	-0.0043944148	0.0792721063
77	4.4000000000	0.0228431225	0.0090920131	0.0232986417	0.0100271396	0.0148450000	0	0	209321984	-0.7725499868	-0.0095971078	0.0858244449
78	4.4400000000	0.0234416723	0.0092759831	0.0234416723	0.0099810201	0.0144770000	0	0	209321984	-0.7834535837	-0.0059033036	0.0953937918
79	4.4800000000	0.0265425444	0.0094945472	0.0265425444	0.0099713307	0.0148460000	0	0	209321984	-0.7889700532	-0.0095720077	0.0976452082
80	4.5200000000	0.0243057739	0.0096796875	0.0265425444	0.0099623263	0.0143950000	0	0	209321984	-0.7990480661	-0.0069656391	0.1126136929
81	4.5600000000	0.0306019075	0.0099379865	0.0306019075	0.0099899473	0.0147070000	0	0	209321984	-0.8037545681	-0.0125295585	0.1137303859
82	4.6000000000	0.0263352674	0.0101379533	0.0306019075	0.0099953461	0.0141280000	0	0	209321984	-0.8135401607	-0.0020552743	0.1270224899
83	4.6800000000	0.0258028526	0.0103266871	0.0306019075	0.0099842065	0.0147520000	0	0	209321984	-0.8247074485	-0.0039224364	0.1418031007
84	4.7600000000	0.0235365573	0.0104839474	0.0306019075	0.0099405024	0.0143400000	0	0	209321984	-0.8363555670	-0.0010532588	0.1575021744
85	4.8000000000	0.0241570249	0.0106448072	0.0306019075	0.0098872056	0.0154030000	0	0	209321984	-0.8464038372	-0.0015210249	0.1749899238
86	4.9200000000	0.0162322111	0.0107097770	0.0306019075	0.0098811150	0.0151150000	0	0	209321984	-0.8549056053	0.0068866834	0.1993708014
87	4.9600000000	0.0147375194	0.0107560729	0.0306019075	0.0098496744	0.0146970000	0	0	209321984	-0.8563265204	0.0058313627	0.1995150596
88	5.0000000000	0.0149686793	0.0108039434	0.0306019075	0.0098036971	0.0143320000	0	0	209321984	-0.8609864712	0.0059565362	0.2094661593
89	5.0800000000	0.0142036434	0.0108421423	0.0306019075	0.0097665594	0.0148090000	0	0	209321984	-0.8789305687	0.0130201764	0.2345076799
90	5.1600000000	0.0124904476	0.0108604568	0.0306019075	0.0097533819	0.0146770000	0	0	209321984	-0.8875562549	0.0094582811	0.2566197813
91	5.2400000000	0.0162657537	0.0109198556	0.0306019075	0.0099337889	0.0147830000	0	0	209321984	-0.8911601305	0.0051731281	0.2548564970
92	5.3600000000	0.0112512643	0.0109234579	0.0306019075	0.0101368940	0.0145530000	0	0	209321984	-0.9151124954	0.0170693025	0.2987657189
93	5.4000000000	0.0163660329	0.0109819802	0.0306019075	0.0101821137	0.0146150000	0	0	209321984	-0.9236355424	0.0100827832	0.3098464310
94	5.4800000000	0.0151550928	0.0110263750	0.0306019075	0.0103524606	0.0146290000	0	0	209321984	-0.9355598688	0.0130046736	0.3256638348
95	5.5200000000	0.0146386456	0.0110643989	0.0306019075	0.0103825018	0.0142590000	0	0	209321984	-0.9417059422	0.0128643680	0.3330462277
96	5.5600000000	0.0164581090	0.0111205834	0.0306019075	0.0104168927	0.0152390000	0	0	209321984	-0.9515650272	0.0104146004	0.3430525362
97	5.6000000000	0.0175973568	0.0111873543	0.0306019075	0.0104216532	0.0157480000	0	0	209321984	-0.9594152570	0.0195298512	0.3570092618
98	5.6400000000	0.0135162277	0.0112111183	0.0306019075	0.0104427866	0.0152830000	0	0	209321984	-0.9651922584	0.0162000768	0.3658976555
99	5.6800000000	0.0142670209	0.0112419860	0.0306019075	0.0104723554	0.0153560000	0	0	209321984	-0.9712796211	0.0216622092	0.3791824579
100	5.7200000000	0.0139537929	0.0112691041	0.0306019075	0.0105027004	0.0153410000	0	0	209321984	-0.9769918919	0.0200905278	0.3854565024
101	5.7600000000	0.0123694120	0.0112799982	0.0306019075	0.0104729033	0.0152380000	0	0	209321984	-0.9814943075	0.0224917568	0.3926613927
102	5.8000000000	0.0131598217	0.0112984278	0.0306019075	0.0104369046	0.0154590000	0	0	209321984	-0.9876824617	0.0208890438	0.4027960002
103	5.8400000000	0.0124659399	0.0113097629	0.0306019075	0.0103954374	0.0153210000	0	0	209321984	-0.9971737266	0.0182620883	0.4203777015
104	5.9600000000	0.0157645550	0.0113525975	0.0306019075	0.0103802672	0.0152510000	0	0	209321984	-1.0093177557	0.0179998353	0.4470906258
105	6.0400000000	0.0122052133	0.0113607176	0.0306019075	0.0103597439	0.0149140000	0	0	209321984	-1.0131711960	0.0244979709	0.4669181108
106	6.1200000000	0.0160525031	0.0114049797	0.0306019075	0.0103859740	0.0141680000	0	0	209321984	-1.0245301723	0.0199081078	0.4891695380
107	6.2000000000	0.0128532173	0.0114185147	0.0306019075	0.0108289008	0.0150620000	0	0	209321984	-1.0270162821	0.0173302069	0.5084499717
108	6.2400000000	0.0048293788	0.0113575041	0.0306019075	0.0108823850	0.0151420000	0	0	209321984	-1.0225523710	0.0238273293	0.5157780051
109	6.2800000000	0.0052501629	0.0113014735	0.0306019075	0.0109253001	0.0150020000	0	0	209321984	-1.0264039040	0.0246270709	0.5340526700
110	6.3200000000	0.0067069875	0.0112597054	0.0306019075	0.0109150952	0.0151780000	0	0	209321984	-1.0281362534	0.0255364515	0.5407097340
111	6.3600000000	0.0054796054	0.0112076325	0.0306019075	0.0109357609	0.0146680000	0	0	209321984	-1.0278083086	0.0278483368	0.5570037961
112	6.4400000000	0.0079476628	0.0111785256	0.0306019075	0.0108993301	0.0145940000	0	0	209321984	-1.0307403803	0.0244550221	0.5781601071
113	6.4800000000	0.0055725942	0.0111289156	0.0306019075	0.0108593485	0.0144960000	0	0	209321984	-1.0291746855	0.0241066217	0.5914596915
114	6.5200000000	0.0061213546	0.0110849896	0.0306019075	0.0108139283	0.0148660000	0	0	209321984	-1.0292176008	0.0280281827	0.6010835171
