SLAMBench Report run started:	2020-03-04 01:52:45

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/ICL2-ORB-DEP-0.00004.log
input: datasets/ICL_NUIM/living_room_traj2_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 4e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0400000000	0.0010031087	0.0010031087	0.0010031087	0.0000000000	0.0126250000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.1200000000	0.0036155523	0.0023093305	0.0036155523	0.0015246610	0.0186380000	0	0	209321984	-0.0009043243	-0.0014850534	-0.0004963169
3	0.5600000000	0.0042954073	0.0029713561	0.0042954073	0.0128812562	0.0158250000	0	0	209321984	-0.0149651328	-0.0013125893	0.0003520997
4	0.6800000000	0.0042402595	0.0032885820	0.0042954073	0.0106869780	0.0158970000	0	0	209321984	-0.0168162622	-0.0039947843	-0.0010916529
5	0.7600000000	0.0053997352	0.0037108126	0.0053997352	0.0095138541	0.0157870000	0	0	209321984	-0.0202136599	-0.0057310164	-0.0014606484
6	0.8000000000	0.0053739701	0.0039880055	0.0053997352	0.0085472304	0.0155770000	0	0	209321984	-0.0213726144	-0.0028722654	-0.0017985047
7	0.8400000000	0.0044153607	0.0040490563	0.0053997352	0.0078358854	0.0160380000	0	0	209321984	-0.0297554266	-0.0049347957	-0.0021850124
8	0.8800000000	0.0044907839	0.0041042722	0.0053997352	0.0072851159	0.0154170000	0	0	209321984	-0.0271615498	-0.0035652430	-0.0046215262
9	0.9200000000	0.0032738014	0.0040119977	0.0053997352	0.0068234284	0.0158070000	0	0	209321984	-0.0374844521	-0.0028462566	-0.0047665616
10	0.9600000000	0.0033094692	0.0039417448	0.0053997352	0.0064837087	0.0159960000	0	0	209321984	-0.0376641005	-0.0005553678	-0.0053481031
11	1.0000000000	0.0073899957	0.0042552222	0.0073899957	0.0062209756	0.0155690000	0	0	209321984	-0.0396624953	-0.0017329389	-0.0050938651
12	1.0400000000	0.0078160521	0.0045519580	0.0078160521	0.0060098415	0.0158330000	0	0	209321984	-0.0447768457	-0.0018357821	-0.0070627220
13	1.0800000000	0.0029683232	0.0044301400	0.0078160521	0.0058981083	0.0156390000	0	0	209321984	-0.0576890856	-0.0025319972	-0.0068151010
14	1.1200000000	0.0024558944	0.0042891224	0.0078160521	0.0058217736	0.0155950000	0	0	209321984	-0.0618713722	0.0000561636	-0.0107854856
15	1.1600000000	0.0039306427	0.0042652238	0.0078160521	0.0057378181	0.0157490000	0	0	209321984	-0.0691329390	-0.0009658127	-0.0074294796
16	1.2000000000	0.0044685486	0.0042779316	0.0078160521	0.0055580544	0.0156780000	0	0	209321984	-0.0751577914	0.0013411656	-0.0098385792
17	1.2400000000	0.0049733599	0.0043188391	0.0078160521	0.0055030295	0.0158510000	0	0	209321984	-0.0819172487	-0.0009059772	-0.0128713790
18	1.2800000000	0.0029197803	0.0042411136	0.0078160521	0.0054081682	0.0156290000	0	0	209321984	-0.0897583887	-0.0016243515	-0.0118124299
19	1.3200000000	0.0086433860	0.0044728122	0.0086433860	0.0052735870	0.0158640000	0	0	209321984	-0.1118028238	-0.0022668603	-0.0133971013
20	1.3600000000	0.0032175553	0.0044100493	0.0086433860	0.0053011358	0.0155680000	0	0	209321984	-0.1203279942	-0.0001442752	-0.0147276744
21	1.4000000000	0.0030661162	0.0043460525	0.0086433860	0.0057119212	0.0155480000	0	0	209321984	-0.1266168803	-0.0002278815	-0.0166685954
22	1.4400000000	0.0049240864	0.0043723268	0.0086433860	0.0057544293	0.0155600000	0	0	209321984	-0.1357483119	-0.0030570920	-0.0154114589
23	1.4800000000	0.0049635973	0.0043980342	0.0086433860	0.0056259837	0.0157230000	0	0	209321984	-0.1475423425	-0.0030757175	-0.0157934278
24	1.5200000000	0.0026193606	0.0043239228	0.0086433860	0.0055343959	0.0153360000	0	0	209321984	-0.1525439471	-0.0021797481	-0.0167799331
25	1.5600000000	0.0042293291	0.0043201390	0.0086433860	0.0055514593	0.0151720000	0	0	209321984	-0.1652428508	-0.0076309592	-0.0175249781
26	1.6000000000	0.0013494393	0.0042058814	0.0086433860	0.0055491798	0.0150520000	0	0	209321984	-0.1750686914	-0.0054884432	-0.0142245516
27	1.6400000000	0.0031649864	0.0041673297	0.0086433860	0.0054419287	0.0154110000	0	0	209321984	-0.1859908402	-0.0046387636	-0.0124694668
28	1.6800000000	0.0028062055	0.0041187181	0.0086433860	0.0053727340	0.0150520000	0	0	209321984	-0.1927660704	-0.0032058887	-0.0096169282
29	1.7200000000	0.0035695396	0.0040997809	0.0086433860	0.0053623834	0.0152370000	0	0	209321984	-0.1985649616	-0.0025185677	-0.0104635637
30	1.7600000000	0.0043505188	0.0041081389	0.0086433860	0.0053474156	0.0152750000	0	0	209321984	-0.2073276639	-0.0045445655	-0.0082059707
31	1.8800000000	0.0012119937	0.0040147148	0.0086433860	0.0061872440	0.0150840000	0	0	209321984	-0.2246024907	-0.0025652426	-0.0064462591
32	1.9200000000	0.0017884016	0.0039451425	0.0086433860	0.0060875130	0.0154630000	0	0	209321984	-0.2320615649	-0.0004366729	-0.0059833787
33	1.9600000000	0.0028993124	0.0039134507	0.0086433860	0.0060329760	0.0151460000	0	0	209321984	-0.2470594496	-0.0044305334	-0.0014093313
34	2.2000000000	0.0014507639	0.0038410187	0.0086433860	0.0070505901	0.0155180000	0	0	209321984	-0.2844884694	-0.0040576379	0.0073928386
35	2.2800000000	0.0021807053	0.0037935812	0.0086433860	0.0069697884	0.0152830000	0	0	209321984	-0.2979879379	-0.0069655646	0.0110292006
36	2.3200000000	0.0033406334	0.0037809993	0.0086433860	0.0070312263	0.0150340000	0	0	209321984	-0.3141044080	-0.0082690390	0.0170980189
37	2.4000000000	0.0023276750	0.0037417203	0.0086433860	0.0073972877	0.0151400000	0	0	209321984	-0.3244714439	-0.0084429458	0.0149159934
38	2.4400000000	0.0043619303	0.0037580416	0.0086433860	0.0074913835	0.0150290000	0	0	209321984	-0.3484925330	-0.0068295081	0.0271362383
39	2.4800000000	0.0033843918	0.0037484609	0.0086433860	0.0076260728	0.0149030000	0	0	209321984	-0.3567666411	-0.0107866973	0.0273157116
40	2.5200000000	0.0042401487	0.0037607530	0.0086433860	0.0078979022	0.0148010000	0	0	209321984	-0.3674014807	-0.0061269938	0.0325737074
41	2.5600000000	0.0026507175	0.0037336790	0.0086433860	0.0081629342	0.0150760000	0	0	209321984	-0.3835820854	-0.0090156104	0.0347630680
42	2.6000000000	0.0048808614	0.0037609929	0.0086433860	0.0082317632	0.0146810000	0	0	209321984	-0.3943650723	-0.0105463341	0.0376332365
43	2.7200000000	0.0047125793	0.0037831228	0.0086433860	0.0082443300	0.0147840000	0	0	209321984	-0.4255845249	-0.0030608601	0.0447541401
44	2.7600000000	0.0056003984	0.0038244245	0.0086433860	0.0081602622	0.0148480000	0	0	209321984	-0.4336549938	0.0003912991	0.0448531695
45	3.0000000000	0.0106511666	0.0039761299	0.0106511666	0.0136141087	0.0156490000	0	0	209321984	-0.4768925011	0.0119492188	0.0327283740
46	3.0400000000	0.0073492620	0.0040494588	0.0106511666	0.0134969998	0.0159460000	0	0	209321984	-0.4729942977	0.0118073896	0.0261143818
47	3.1200000000	0.0141802896	0.0042650084	0.0141802896	0.0134443880	0.0150920000	0	0	209321984	-0.4870427847	0.0147688510	0.0107392520
48	3.1600000000	0.0134632364	0.0044566382	0.0141802896	0.0133186800	0.0151660000	0	0	209321984	-0.4880982041	0.0137992650	0.0054513812
49	3.2000000000	0.0118827932	0.0046081924	0.0141802896	0.0131865321	0.0148520000	0	0	209321984	-0.4990330040	0.0145719536	0.0080352873
50	3.2800000000	0.0141349342	0.0047987272	0.0141802896	0.0132387199	0.0151160000	0	0	209321984	-0.5170542598	0.0149258180	0.0050707310
51	3.3600000000	0.0116918515	0.0049338865	0.0141802896	0.0131911483	0.0147000000	0	0	209321984	-0.5417603850	0.0175436847	0.0059483051
52	3.4000000000	0.0159262866	0.0051452788	0.0159262866	0.0131215480	0.0149000000	0	0	209321984	-0.5603876710	0.0162215866	0.0102251619
53	3.6000000000	0.0184326004	0.0053959830	0.0184326004	0.0157434252	0.0148270000	0	0	209321984	-0.6174703240	0.0135699138	0.0153055042
54	3.8000000000	0.0140576689	0.0055563846	0.0184326004	0.0159703991	0.0147560000	0	0	209321984	-0.6625838876	0.0119534973	0.0187128037
55	4.1200000000	0.0156069063	0.0057391213	0.0184326004	0.0158375370	0.0146160000	0	0	209321984	-0.7350651026	0.0073831305	0.0621939898
56	4.4000000000	0.0174910799	0.0059489777	0.0184326004	0.0164059994	0.0150980000	0	0	209321984	-0.7718387842	-0.0000128075	0.0886316895
57	4.6400000000	0.0186164714	0.0061712145	0.0186164714	0.0177071439	0.0151310000	0	0	209321984	-0.8108154535	-0.0008566175	0.1331960112
58	4.7200000000	0.0178428255	0.0063724492	0.0186164714	0.0175753760	0.0148370000	0	0	209321984	-0.8247554302	0.0010243766	0.1506804675
59	4.8800000000	0.0190474093	0.0065872790	0.0190474093	0.0174443669	0.0147140000	0	0	209321984	-0.8497701287	0.0083809644	0.1844144613
60	4.9600000000	0.0168471672	0.0067582771	0.0190474093	0.0173419438	0.0146500000	0	0	209321984	-0.8607327938	0.0080311000	0.2013611794
61	5.0400000000	0.0182333887	0.0069463937	0.0190474093	0.0172023328	0.0146020000	0	0	209321984	-0.8766532540	0.0102348235	0.2286467254
62	5.1600000000	0.0169611573	0.0071079222	0.0190474093	0.0170755802	0.0145570000	0	0	209321984	-0.8943134546	0.0125856772	0.2593882382
63	5.2800000000	0.0178558677	0.0072785245	0.0190474093	0.0172011939	0.0152740000	0	0	209321984	-0.9096248746	0.0130909029	0.2782324255
