SLAMBench Report run started:	2020-03-04 06:11:00

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/TUM1XYZ-ORB-DEP-0.00008.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_xyz.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 8.000000000000001e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031102.1943299770	0.0256472826	0.0256472826	0.0256472826	0.0000000000	0.0153530000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305031102.2267379761	0.0284564961	0.0270518893	0.0284564961	0.0241866652	0.0203520000	0	0	209321984	-0.0014117062	0.0066473945	0.0110878255
3	1305031102.2628860474	0.0221706182	0.0254247990	0.0284564961	0.0174220013	0.0171930000	0	0	209321984	-0.0018491521	0.0050462433	0.0247456823
4	1305031102.2952790260	0.0195613150	0.0239589280	0.0284564961	0.0142503603	0.0169180000	0	0	209321984	-0.0026765747	0.0064667440	0.0364187397
5	1305031102.3291950226	0.0151175242	0.0221906472	0.0284564961	0.0138868521	0.0172950000	0	0	209321984	-0.0020120181	0.0041170670	0.0494529456
6	1305031102.3630130291	0.0130689573	0.0206703655	0.0284564961	0.0128017384	0.0171550000	0	0	209321984	-0.0029328906	0.0052491738	0.0608794726
7	1305031102.3947720528	0.0103203151	0.0191917869	0.0284564961	0.0117338911	0.0171580000	0	0	209321984	-0.0041670939	0.0060589197	0.0731598139
8	1305031102.4278149605	0.0104619106	0.0181005524	0.0284564961	0.0139351521	0.0165230000	0	0	209321984	-0.0081143677	0.0100818202	0.0835519880
9	1305031102.4623949528	0.0122992378	0.0174559619	0.0284564961	0.0150704639	0.0179780000	0	0	209321984	-0.0077624954	0.0182268713	0.0945776999
10	1305031102.4942710400	0.0111289276	0.0168232584	0.0284564961	0.0151558905	0.0199630000	0	0	209321984	-0.0061783311	0.0169063155	0.1083787531
11	1305031102.5263299942	0.0141648445	0.0165815844	0.0284564961	0.0147116903	0.0192890000	0	0	209321984	-0.0055628088	0.0165836029	0.1207044050
12	1305031102.5622239113	0.0142745320	0.0163893301	0.0284564961	0.0145612314	0.0186920000	0	0	209321984	-0.0077013560	0.0156101100	0.1332046092
13	1305031102.5941579342	0.0209330264	0.0167388452	0.0284564961	0.0143894991	0.0189210000	0	0	209321984	-0.0060301097	0.0115770567	0.1473982930
14	1305031102.6268179417	0.0253836978	0.0173563347	0.0284564961	0.0140508529	0.0181630000	0	0	209321984	-0.0088579468	0.0094703631	0.1585431546
15	1305031102.6632730961	0.0199617986	0.0175300322	0.0284564961	0.0144975944	0.0195470000	0	0	209321984	-0.0141019691	0.0177515447	0.1676006764
16	1305031102.6951649189	0.0209753290	0.0177453633	0.0284564961	0.0140306691	0.0197160000	0	0	209321984	-0.0141561013	0.0213057213	0.1807924807
17	1305031102.7284231186	0.0267792884	0.0182767707	0.0284564961	0.0137568329	0.0189470000	0	0	209321984	-0.0151625611	0.0211887565	0.1939160526
18	1305031102.7635490894	0.0251494236	0.0186585847	0.0284564961	0.0138912012	0.0184260000	0	0	209321984	-0.0143495882	0.0287481733	0.2059729397
19	1305031102.7949779034	0.0301385317	0.0192627924	0.0301385317	0.0135373864	0.0177630000	0	0	209321984	-0.0122728515	0.0296722949	0.2197641134
20	1305031102.8285369873	0.0326161496	0.0199304603	0.0326161496	0.0134757415	0.0176800000	0	0	209321984	-0.0138176270	0.0331119634	0.2319088578
21	1305031102.8628079891	0.0372608565	0.0207557173	0.0372608565	0.0132138188	0.0176920000	0	0	209321984	-0.0142597826	0.0330208093	0.2449468076
22	1305031102.8941669464	0.0385025404	0.0215623910	0.0385025404	0.0131933927	0.0190980000	0	0	209321984	-0.0172444675	0.0359203070	0.2565249801
23	1305031102.9268510342	0.0416134819	0.0224341776	0.0416134819	0.0129389920	0.0197250000	0	0	209321984	-0.0186256673	0.0385574996	0.2676324248
24	1305031102.9621369839	0.0427633338	0.0232812258	0.0427633338	0.0141155861	0.0183920000	0	0	209321984	-0.0265175942	0.0405091718	0.2787184417
25	1305031102.9941639900	0.0427849703	0.0240613756	0.0427849703	0.0138309731	0.0178850000	0	0	209321984	-0.0301013663	0.0451630689	0.2899233997
26	1305031103.0278809071	0.0462633260	0.0249152967	0.0462633260	0.0136378486	0.0180300000	0	0	209321984	-0.0291649029	0.0483397171	0.3004201651
27	1305031103.0622730255	0.0480369478	0.0257716542	0.0480369478	0.0136582360	0.0178690000	0	0	209321984	-0.0292785428	0.0518433973	0.3117148876
28	1305031103.0940399170	0.0532963797	0.0267546801	0.0532963797	0.0136463047	0.0185860000	0	0	209321984	-0.0253752433	0.0526999980	0.3227600753
29	1305031103.1291089058	0.0514113866	0.0276049113	0.0532963797	0.0136019324	0.0181920000	0	0	209321984	-0.0268409085	0.0597687960	0.3304937184
30	1305031103.1627950668	0.0553724244	0.0285304951	0.0553724244	0.0134269719	0.0180540000	0	0	209321984	-0.0260278806	0.0607217550	0.3402730823
31	1305031103.1910610199	0.0536738150	0.0293415700	0.0553724244	0.0137054144	0.0177740000	0	0	209321984	-0.0262418762	0.0671139508	0.3477344811
32	1305031103.2278449535	0.0529555753	0.0300795076	0.0553724244	0.0136753094	0.0190130000	0	0	209321984	-0.0284341387	0.0723847300	0.3552444577
33	1305031103.2625761032	0.0553593189	0.0308455625	0.0553724244	0.0136248584	0.0187990000	0	0	209321984	-0.0278107859	0.0741941184	0.3629239202
34	1305031103.2942080498	0.0560935959	0.0315881517	0.0560935959	0.0139939278	0.0174350000	0	0	209321984	-0.0325363204	0.0752898455	0.3698793054
35	1305031103.3275499344	0.0640237555	0.0325148833	0.0640237555	0.0145838860	0.0179790000	0	0	209321984	-0.0312234890	0.0695385486	0.3767515123
36	1305031103.3624050617	0.0633094981	0.0333702892	0.0640237555	0.0146917055	0.0183920000	0	0	209321984	-0.0269150827	0.0712183788	0.3778954148
37	1305031103.3941619396	0.0646361262	0.0342153118	0.0646361262	0.0145250542	0.0186720000	0	0	209321984	-0.0257428270	0.0694822967	0.3783664405
38	1305031103.4284369946	0.0670096576	0.0350783209	0.0670096576	0.0145126915	0.0185700000	0	0	209321984	-0.0267188232	0.0647437051	0.3779699206
39	1305031103.4638860226	0.0655555800	0.0358597891	0.0670096576	0.0143211522	0.0186580000	0	0	209321984	-0.0278047360	0.0632213950	0.3740563393
40	1305031103.4944720268	0.0657821819	0.0366078489	0.0670096576	0.0142295481	0.0185060000	0	0	209321984	-0.0272538438	0.0596009046	0.3696821928
41	1305031103.5315020084	0.0665507689	0.0373381641	0.0670096576	0.0141946454	0.0181120000	0	0	209321984	-0.0265392996	0.0537002906	0.3631727695
42	1305031103.5626509190	0.0652158558	0.0380019186	0.0670096576	0.0140523971	0.0179580000	0	0	209321984	-0.0251352191	0.0499251224	0.3553239107
43	1305031103.5953099728	0.0602361299	0.0385189933	0.0670096576	0.0140022220	0.0181460000	0	0	209321984	-0.0267149620	0.0486003906	0.3454425335
44	1305031103.6313760281	0.0584425628	0.0389718017	0.0670096576	0.0139571370	0.0180530000	0	0	209321984	-0.0258868448	0.0438279249	0.3356468081
45	1305031103.6635940075	0.0558325946	0.0393464860	0.0670096576	0.0138585920	0.0179200000	0	0	209321984	-0.0241954532	0.0397584960	0.3245618641
46	1305031103.6946949959	0.0532721467	0.0396492178	0.0670096576	0.0137330332	0.0183950000	0	0	209321984	-0.0214869604	0.0356447436	0.3129224479
47	1305031103.7315421104	0.0491327085	0.0398509942	0.0670096576	0.0136678313	0.0187410000	0	0	209321984	-0.0194248352	0.0328266546	0.3005734682
48	1305031103.7628650665	0.0485227220	0.0400316551	0.0670096576	0.0135257782	0.0183720000	0	0	209321984	-0.0172833391	0.0263759866	0.2887390554
49	1305031103.7943289280	0.0417729802	0.0400671924	0.0670096576	0.0134955595	0.0189120000	0	0	209321984	-0.0163297169	0.0260949191	0.2745365500
50	1305031103.8303670883	0.0354224779	0.0399742981	0.0670096576	0.0134985007	0.0190160000	0	0	209321984	-0.0167794675	0.0251145046	0.2595026195
51	1305031103.8623790741	0.0285143945	0.0397495941	0.0670096576	0.0135317815	0.0181210000	0	0	209321984	-0.0185149703	0.0245491508	0.2445444614
52	1305031103.8942370415	0.0328460969	0.0396168346	0.0670096576	0.0141232850	0.0194390000	0	0	209321984	-0.0194045492	0.0128123891	0.2340915203
53	1305031103.9305028915	0.0338545889	0.0395081129	0.0670096576	0.0141049898	0.0196430000	0	0	209321984	-0.0154196331	0.0074346326	0.2219977081
54	1305031103.9624609947	0.0300094821	0.0393322124	0.0670096576	0.0140047428	0.0189750000	0	0	209321984	-0.0133740362	0.0043271668	0.2062053829
55	1305031103.9943649769	0.0312811062	0.0391858286	0.0670096576	0.0139592591	0.0184920000	0	0	209321984	-0.0091445278	-0.0015509408	0.1943426728
56	1305031104.0302789211	0.0321394019	0.0390599996	0.0670096576	0.0142420957	0.0180430000	0	0	209321984	-0.0044509619	-0.0071016699	0.1809187531
57	1305031104.0625419617	0.0278147068	0.0388627137	0.0670096576	0.0142954328	0.0181870000	0	0	209321984	-0.0011721719	-0.0087006819	0.1647851020
58	1305031104.0953049660	0.0234042648	0.0385961887	0.0670096576	0.0141799622	0.0183200000	0	0	209321984	0.0008506291	-0.0089067966	0.1497972012
59	1305031104.1312921047	0.0231620669	0.0383345935	0.0670096576	0.0142264000	0.0179260000	0	0	209321984	0.0028702626	-0.0135626635	0.1365473568
60	1305031104.1634399891	0.0179829355	0.0379953992	0.0670096576	0.0141695577	0.0182700000	0	0	209321984	0.0016504759	-0.0182107259	0.1214382648
61	1305031104.1940529346	0.0157998521	0.0376315377	0.0670096576	0.0140580653	0.0184930000	0	0	209321984	0.0028783642	-0.0220251363	0.1071586460
62	1305031104.2272469997	0.0155218188	0.0372749294	0.0670096576	0.0140020678	0.0178620000	0	0	209321984	0.0033291196	-0.0261654090	0.0942862928
63	1305031104.2633349895	0.0150321219	0.0369218689	0.0670096576	0.0138949258	0.0180540000	0	0	209321984	0.0044263862	-0.0266989190	0.0814773440
64	1305031104.2949569225	0.0147247408	0.0365750388	0.0670096576	0.0137895183	0.0179300000	0	0	209321984	0.0044985078	-0.0277601294	0.0684554353
65	1305031104.3314030170	0.0172011796	0.0362769794	0.0670096576	0.0137541724	0.0181250000	0	0	209321984	0.0059236670	-0.0295747221	0.0564466119
66	1305031104.3633449078	0.0211098399	0.0360471743	0.0670096576	0.0136569592	0.0178910000	0	0	209321984	0.0080479989	-0.0284012146	0.0449200496
67	1305031104.3950190544	0.0210344493	0.0358231038	0.0670096576	0.0135737385	0.0192400000	0	0	209321984	0.0086099412	-0.0318389460	0.0339715481
68	1305031104.4314351082	0.0219281558	0.0356187663	0.0670096576	0.0135905285	0.0195360000	0	0	209321984	0.0056459610	-0.0321281329	0.0232642125
69	1305031104.4634130001	0.0221712720	0.0354238751	0.0670096576	0.0135670544	0.0193000000	0	0	209321984	0.0020158205	-0.0331169069	0.0124917002
70	1305031104.4956729412	0.0220058002	0.0352321883	0.0670096576	0.0135097006	0.0191280000	0	0	209321984	-0.0013790217	-0.0350508802	0.0025839643
71	1305031104.5314500332	0.0208236780	0.0350292515	0.0670096576	0.0137732911	0.0185520000	0	0	209321984	-0.0010767025	-0.0397213623	-0.0063026221
72	1305031104.5631489754	0.0224193782	0.0348541144	0.0670096576	0.0137210267	0.0182130000	0	0	209321984	-0.0008668527	-0.0403316468	-0.0159107856
73	1305031104.5950329304	0.0255289990	0.0347263731	0.0670096576	0.0140004642	0.0186150000	0	0	209321984	0.0089851106	-0.0443265401	-0.0228683483
74	1305031104.6313679218	0.0291515924	0.0346510382	0.0670096576	0.0143742318	0.0187980000	0	0	209321984	0.0144126052	-0.0473059453	-0.0302971248
75	1305031104.6598629951	0.0340923890	0.0346435896	0.0670096576	0.0143383329	0.0179990000	0	0	209321984	0.0181599632	-0.0446361154	-0.0424877927
76	1305031104.6951849461	0.0324695632	0.0346149839	0.0670096576	0.0142454583	0.0173480000	0	0	209321984	0.0165063255	-0.0463890135	-0.0533532389
77	1305031104.7309360504	0.0334086791	0.0345993176	0.0670096576	0.0142936280	0.0180300000	0	0	209321984	0.0149991307	-0.0462694280	-0.0663065240
78	1305031104.7631781101	0.0374993496	0.0346364975	0.0670096576	0.0142262853	0.0178400000	0	0	209321984	0.0162186120	-0.0437151119	-0.0798075423
79	1305031104.7994990349	0.0396155566	0.0346995236	0.0670096576	0.0141600335	0.0171700000	0	0	209321984	0.0151333287	-0.0424020141	-0.0917962119
80	1305031104.8309609890	0.0490150787	0.0348784680	0.0670096576	0.0141350376	0.0176620000	0	0	209321984	0.0168519299	-0.0342735499	-0.0994245782
81	1305031104.8632559776	0.0518931262	0.0350885256	0.0670096576	0.0140890948	0.0179490000	0	0	209321984	0.0174108483	-0.0322326273	-0.1058248952
82	1305031104.8991649151	0.0611616746	0.0354064908	0.0670096576	0.0141420192	0.0174440000	0	0	209321984	0.0117178038	-0.0223577973	-0.1092690229
