SLAMBench Report run started:	2020-03-03 06:30:26

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/TUM1XYZ-ORB-INT-0.00002.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_xyz.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libint-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 2e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031102.1753039360	0.0253988300	0.0253988300	0.0253988300	0.0000000000	0.0171930000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305031102.2112140656	0.0281521510	0.0267754905	0.0281521510	0.0141205965	0.0211190000	0	0	209321984	-0.0010787436	0.0071500842	0.0118061211
3	1305031102.2432110310	0.0225932207	0.0253814006	0.0281521510	0.0102141450	0.0172790000	0	0	209321984	-0.0014444139	0.0053825891	0.0250672325
4	1305031102.2753260136	0.0198104177	0.0239886548	0.0281521510	0.0090421440	0.0167860000	0	0	209321984	-0.0021976086	0.0066494416	0.0369986258
5	1305031102.3112668991	0.0144808218	0.0220870882	0.0281521510	0.0081072615	0.0168130000	0	0	209321984	-0.0013384218	0.0046525439	0.0501488782
6	1305031102.3432331085	0.0125167603	0.0204920336	0.0281521510	0.0078606288	0.0168510000	0	0	209321984	-0.0021371208	0.0055216271	0.0617998913
7	1305031102.3753290176	0.0107145812	0.0190952547	0.0281521510	0.0072819962	0.0165980000	0	0	209321984	-0.0033524591	0.0062017166	0.0739720389
8	1305031102.4112579823	0.0084780362	0.0177681023	0.0281521510	0.0096581336	0.0162170000	0	0	209321984	-0.0075639859	0.0116220890	0.0845228061
9	1305031102.4432709217	0.0119229639	0.0171186425	0.0281521510	0.0102987521	0.0170970000	0	0	209321984	-0.0069073439	0.0181980468	0.0958772451
10	1305031102.4753179550	0.0127243828	0.0166792165	0.0281521510	0.0097105133	0.0191770000	0	0	209321984	-0.0045385584	0.0173671953	0.1101178825
11	1305031102.5112190247	0.0134209683	0.0163830122	0.0281521510	0.0093861394	0.0190210000	0	0	209321984	-0.0040602908	0.0182748288	0.1218747124
12	1305031102.5432200432	0.0130682420	0.0161067813	0.0281521510	0.0090677304	0.0193010000	0	0	209321984	-0.0072251474	0.0171793066	0.1343075633
13	1305031102.5752859116	0.0212386772	0.0165015425	0.0281521510	0.0091608374	0.0179920000	0	0	209321984	-0.0049661240	0.0123546999	0.1486165822
14	1305031102.6112329960	0.0230476744	0.0169691234	0.0281521510	0.0088917011	0.0178010000	0	0	209321984	-0.0095003750	0.0101364655	0.1599548161
15	1305031102.6432650089	0.0173971113	0.0169976559	0.0281521510	0.0093213710	0.0179920000	0	0	209321984	-0.0153175900	0.0180826653	0.1696162075
16	1305031102.6752851009	0.0219049435	0.0173043614	0.0281521510	0.0090977769	0.0176800000	0	0	209321984	-0.0130690262	0.0205991380	0.1839022487
17	1305031102.7112629414	0.0255786180	0.0177910824	0.0281521510	0.0090911071	0.0177310000	0	0	209321984	-0.0144801773	0.0212964993	0.1972049624
18	1305031102.7432339191	0.0239289235	0.0181320735	0.0281521510	0.0090456029	0.0175550000	0	0	209321984	-0.0152417645	0.0285639074	0.2089270353
19	1305031102.7754719257	0.0302568078	0.0187702175	0.0302568078	0.0088637805	0.0187240000	0	0	209321984	-0.0125320712	0.0283776298	0.2218697518
20	1305031102.8112320900	0.0311014839	0.0193867808	0.0311014839	0.0088511517	0.0195560000	0	0	209321984	-0.0148941502	0.0327477939	0.2345677316
21	1305031102.8432900906	0.0363132581	0.0201928035	0.0363132581	0.0086801485	0.0182220000	0	0	209321984	-0.0153259356	0.0327179693	0.2478281707
