SLAMBench Report run started:	2020-03-04 07:35:57

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/TUM2XYZ-KF-COM-0.00005.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_xyz.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libcombine-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 5e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311867170.4835000038	0.0594216436	0.0594216436	0.0594216436	0.0000000000	0.3303600000	0.0400860000	0.0147140000	0.0275550000	0.0000030000	0.2446430000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	1311867170.5168180466	0.0613267384	0.0603741910	0.0613267384	0.0123057691	0.0779680000	0.0387810000	0.0093550000	0.0275070000	0.0000010000	0.0016030000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1311867170.5513839722	0.0624115951	0.0610533257	0.0624115951	0.0115930253	0.0788510000	0.0398160000	0.0092700000	0.0274990000	0.0000010000	0.0015560000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1311867170.5809900761	0.0637348592	0.0617237091	0.0637348592	0.0126582134	0.3117020000	0.0395860000	0.0092850000	0.0274570000	0.2329730000	0.0016860000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1311867170.6179420948	0.0618972257	0.0617584124	0.0637348592	0.0140411814	0.6114270000	0.0401080000	0.0793320000	0.0276700000	0.2290310000	0.2345960000	0	0	209321984	4.0008411407	3.9965617657	3.9971024990
6	1311867170.6496739388	0.0619982220	0.0617983807	0.0637348592	0.0127131163	0.3375180000	0.0396340000	0.0661740000	0.0000000000	0.2293100000	0.0016940000	0	0	209321984	4.0005621910	3.9948449135	3.9956433773
7	1311867170.6805319786	0.0614012480	0.0617416474	0.0637348592	0.0117012062	0.3758910000	0.0397460000	0.0793140000	0.0281350000	0.2263380000	0.0016680000	0	0	209321984	4.0001931190	3.9939689636	3.9938409328
8	1311867170.7173581123	0.0623450652	0.0618170747	0.0637348592	0.0110091766	0.3497920000	0.0397380000	0.0798320000	0.0000000000	0.2278200000	0.0017040000	0	0	209321984	4.0007958412	3.9944102764	3.9929349422
9	1311867170.7494509220	0.0618848763	0.0618246082	0.0637348592	0.0104276640	0.6045880000	0.0396580000	0.0790200000	0.0277530000	0.2268270000	0.2306180000	0	0	209321984	3.9988803864	3.9916372299	3.9913017750
10	1311867170.7803640366	0.0618115589	0.0618233033	0.0637348592	0.0100133985	0.3279430000	0.0398840000	0.0601760000	0.0000010000	0.2254650000	0.0017180000	0	0	209321984	3.9987738132	3.9896643162	3.9898858070
11	1311867170.8165349960	0.0622324608	0.0618604994	0.0637348592	0.0097854002	0.3699880000	0.0395850000	0.0796240000	0.0276730000	0.2206800000	0.0017100000	0	0	209321984	4.0000810623	3.9862992764	3.9880132675
12	1311867170.8506159782	0.0622064024	0.0618893246	0.0637348592	0.0096038467	0.3428140000	0.0390950000	0.0787210000	0.0000010000	0.2226050000	0.0016810000	0	0	209321984	4.0018701553	3.9825124741	3.9855670929
13	1311867170.8826720715	0.0624851063	0.0619351540	0.0637348592	0.0092532537	0.5955980000	0.0388870000	0.0780810000	0.0278350000	0.2223430000	0.2277610000	0	0	209321984	3.9997923374	3.9810576439	3.9831891060
14	1311867170.9172639847	0.0628508702	0.0620005623	0.0637348592	0.0089630920	0.3236500000	0.0384580000	0.0586940000	0.0000000000	0.2240940000	0.0016970000	0	0	209321984	4.0008916855	3.9780077934	3.9805946350
15	1311867170.9496428967	0.0625380054	0.0620363918	0.0637348592	0.0087913898	0.3403910000	0.0381880000	0.0457800000	0.0277180000	0.2263240000	0.0016680000	0	0	209321984	3.9983937740	3.9761006832	3.9775242805
16	1311867170.9861969948	0.0630818903	0.0621017355	0.0637348592	0.0086638675	0.3144760000	0.0378860000	0.0458020000	0.0000010000	0.2284080000	0.0016740000	0	0	209321984	3.9973058701	3.9753856659	3.9747555256
17	1311867171.0198309422	0.0628799051	0.0621475102	0.0637348592	0.0083993064	0.5832060000	0.0375620000	0.0515100000	0.0282720000	0.2290790000	0.2360900000	0	0	209321984	3.9962000847	3.9739305973	3.9718875885
