SLAMBench Report run started:	2020-03-03 02:47:11

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/TUM2XYZ-KF-INT-0.00001.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_xyz.slam
load-slam-library: ./build/lib/libkfusion-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libint-skip-flow-filter.so
compute-size-ratio: 1
integration-rate: 2
tracking-rate: 1
rendering-rate: 4
icp-threshold: 1e-05
mu: 0.1
volume-size: 8,8,8
volume-direction: 4,4,4
volume-resolution: 256,256,256
pyramid-level1: 10
pyramid-level2: 5
pyramid-level3: 4
skip-threshold: 1e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	Duration_Preprocessing	Duration_Tracking	Duration_Integration	Duration_Raycasting	Duration_Render	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311867170.4622900486	0.0582520030	0.0582520030	0.0582520030	0.0000000000	0.3338630000	0.0400220000	0.0147990000	0.0274760000	0.0000030000	0.2451850000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
2	1311867170.4941389561	0.0599970818	0.0591245424	0.0599970818	0.0035989983	0.0899410000	0.0504810000	0.0091630000	0.0275110000	0.0000000000	0.0015660000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
3	1311867170.5264289379	0.0615839623	0.0599443490	0.0615839623	0.0081929692	0.0785540000	0.0396240000	0.0091630000	0.0275020000	0.0000000000	0.0015580000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
4	1311867170.5623490810	0.0628964603	0.0606823768	0.0628964603	0.0105670472	0.3133000000	0.0397950000	0.0092070000	0.0274890000	0.2344190000	0.0016740000	0	0	209321984	4.0000000000	4.0000000000	4.0000000000
5	1311867170.5942170620	0.0609258004	0.0607310615	0.0628964603	0.0111248825	0.5777770000	0.0395630000	0.0464240000	0.0276030000	0.2307860000	0.2326960000	0	0	209321984	4.0031242371	3.9974739552	3.9970715046
6	1311867170.6260869503	0.0606063157	0.0607102706	0.0628964603	0.0110247071	0.3468140000	0.0390140000	0.0787460000	0.0000000000	0.2267100000	0.0016460000	0	0	209321984	4.0016179085	3.9956715107	3.9953825474
7	1311867170.6621398926	0.0602245182	0.0606408774	0.0628964603	0.0105579885	0.3437470000	0.0385780000	0.0524850000	0.0275390000	0.2227020000	0.0017220000	0	0	209321984	4.0018362999	3.9940991402	3.9936189651
8	1311867170.6942050457	0.0600376725	0.0605654768	0.0628964603	0.0100588744	0.3436330000	0.0386850000	0.0788380000	0.0000010000	0.2237620000	0.0016510000	0	0	209321984	4.0011501312	3.9931442738	3.9919633865
9	1311867170.7263879776	0.0608407333	0.0605960608	0.0628964603	0.0100336743	0.5704440000	0.0386700000	0.0528550000	0.0275840000	0.2226300000	0.2279950000	0	0	209321984	4.0015745163	3.9936795235	3.9908599854
10	1311867170.7620189190	0.0603531599	0.0605717707	0.0628964603	0.0098635406	0.3445490000	0.0385940000	0.0783550000	0.0000000000	0.2251690000	0.0017120000	0	0	209321984	3.9994847775	3.9909155369	3.9892821312
11	1311867170.7941920757	0.0607237555	0.0605855875	0.0628964603	0.0096817613	0.3575660000	0.0398560000	0.0598880000	0.0276520000	0.2277240000	0.0017280000	0	0	209321984	4.0003814697	3.9889502525	3.9876790047
12	1311867170.8262820244	0.0612722374	0.0606428084	0.0628964603	0.0096073742	0.3480740000	0.0395530000	0.0795940000	0.0000000000	0.2264700000	0.0017450000	0	0	209321984	4.0014538765	3.9856202602	3.9859535694
13	1311867170.8622210026	0.0614278056	0.0607031928	0.0628964603	0.0096859912	0.5750690000	0.0391580000	0.0530300000	0.0277330000	0.2240600000	0.2303890000	0	0	209321984	4.0042281151	3.9817702770	3.9834070206
14	1311867170.8943779469	0.0618288368	0.0607835959	0.0628964603	0.0094040667	0.3094180000	0.0388490000	0.0443310000	0.0000010000	0.2238160000	0.0017140000	0	0	209321984	4.0020437241	3.9801115990	3.9812366962
15	1311867170.9263520241	0.0620395541	0.0608673265	0.0628964603	0.0093865927	0.3432020000	0.0384340000	0.0522610000	0.0277590000	0.2223410000	0.0016850000	0	0	209321984	4.0027923584	3.9772713184	3.9783899784
16	1311867170.9621469975	0.0615644939	0.0609108994	0.0628964603	0.0091722968	0.3112400000	0.0381630000	0.0459450000	0.0000000000	0.2246790000	0.0017250000	0	0	209321984	4.0006127357	3.9752993584	3.9754090309
17	1311867170.9942629337	0.0615480505	0.0609483789	0.0628964603	0.0090176450	0.5784740000	0.0379560000	0.0522810000	0.0278370000	0.2263840000	0.2332880000	0	0	209321984	3.9983243942	3.9747209549	3.9725215435
18	1311867171.0262739658	0.0615839697	0.0609836895	0.0628964603	0.0087662929	0.3454650000	0.0375240000	0.0771530000	0.0000010000	0.2284220000	0.0016700000	0	0	209321984	3.9982252121	3.9730961323	3.9697549343
19	1311867171.0623519421	0.0607638806	0.0609721206	0.0628964603	0.0091358064	0.3431510000	0.0373120000	0.0450890000	0.0278250000	0.2305230000	0.0016830000	0	0	209321984	3.9972660542	3.9699754715	3.9667026997
20	1311867171.0942349434	0.0605190769	0.0609494684	0.0628964603	0.0090682837	0.3112090000	0.0371710000	0.0385620000	0.0000010000	0.2330440000	0.0017010000	0	0	209321984	3.9972765446	3.9690644741	3.9645521641
21	1311867171.1262509823	0.0605359823	0.0609297786	0.0628964603	0.0089237818	0.6159430000	0.0365770000	0.0756310000	0.0279000000	0.2336650000	0.2414440000	0	0	209321984	3.9977817535	3.9692528248	3.9624040127
22	1311867171.1622469425	0.0602451526	0.0608986592	0.0628964603	0.0088205588	0.3252740000	0.0366930000	0.0508860000	0.0000010000	0.2353110000	0.0016570000	0	0	209321984	3.9996693134	3.9667248726	3.9608967304
23	1311867171.1942689419	0.0591670014	0.0608233698	0.0628964603	0.0090489932	0.3784310000	0.0363480000	0.0754670000	0.0278420000	0.2364280000	0.0016440000	0	0	209321984	4.0014829636	3.9671690464	3.9596321583
24	1311867171.2262530327	0.0610354505	0.0608322065	0.0628964603	0.0090310402	0.3128360000	0.0360020000	0.0378060000	0.0000000000	0.2366460000	0.0016500000	0	0	209321984	4.0051131248	3.9670650959	3.9591310024
25	1311867171.2622439861	0.0604306236	0.0608161432	0.0628964603	0.0090255189	0.5898250000	0.0352620000	0.0499680000	0.0275850000	0.2316120000	0.2446610000	0	0	209321984	4.0062804222	3.9663710594	3.9580421448
26	1311867171.2943410873	0.0607760362	0.0608146006	0.0628964603	0.0090298272	0.3257930000	0.0366500000	0.0509940000	0.0000010000	0.2357530000	0.0016700000	0	0	209321984	4.0050158501	3.9689948559	3.9576413631
27	1311867171.3263869286	0.0610775389	0.0608243390	0.0628964603	0.0092661365	0.3535360000	0.0372040000	0.0515310000	0.0278520000	0.2345750000	0.0016670000	0	0	209321984	4.0013942719	3.9707107544	3.9562129974
28	1311867171.3622460365	0.0606449880	0.0608179336	0.0628964603	0.0091335868	0.3433110000	0.0374680000	0.0708810000	0.0000010000	0.2325500000	0.0016830000	0	0	209321984	3.9982848167	3.9719948769	3.9549031258
29	1311867171.3941431046	0.0616813153	0.0608477054	0.0628964603	0.0093281626	0.5785780000	0.0377200000	0.0455340000	0.0279730000	0.2296470000	0.2369760000	0	0	209321984	3.9963948727	3.9747526646	3.9538233280
30	1311867171.4262878895	0.0624616630	0.0609015040	0.0628964603	0.0092859236	0.3199270000	0.0377640000	0.0516580000	0.0000010000	0.2281290000	0.0016700000	0	0	209321984	3.9952316284	3.9750354290	3.9522836208
31	1311867171.4622440338	0.0615459308	0.0609222920	0.0628964603	0.0092236539	0.3477040000	0.0374880000	0.0519550000	0.0279300000	0.2279120000	0.0016820000	0	0	209321984	3.9949378967	3.9722230434	3.9500691891
32	1311867171.4944040775	0.0617187768	0.0609471821	0.0628964603	0.0091417460	0.3073570000	0.0372710000	0.0388940000	0.0000010000	0.2288090000	0.0016610000	0	0	209321984	3.9956319332	3.9733440876	3.9481232166
33	1311867171.5261778831	0.0612902716	0.0609575788	0.0628964603	0.0090006959	0.6083240000	0.0372570000	0.0765770000	0.0279550000	0.2292930000	0.2365100000	0	0	209321984	3.9946472645	3.9734227657	3.9461178780
34	1311867171.5622971058	0.0606483929	0.0609484851	0.0628964603	0.0088662392	0.3469760000	0.0374600000	0.0765180000	0.0000010000	0.2305690000	0.0016970000	0	0	209321984	3.9947810173	3.9731628895	3.9447464943
35	1311867171.5942931175	0.0608542003	0.0609457912	0.0628964603	0.0088010703	0.3766040000	0.0374640000	0.0772450000	0.0280150000	0.2315000000	0.0016630000	0	0	209321984	3.9960474968	3.9744977951	3.9438173771
36	1311867171.6263399124	0.0606713705	0.0609381684	0.0628964603	0.0087048429	0.3168280000	0.0377110000	0.0456430000	0.0000020000	0.2310530000	0.0016940000	0	0	209321984	3.9952089787	3.9733281136	3.9432330132
37	1311867171.6622560024	0.0606118105	0.0609293479	0.0628964603	0.0086048498	0.5883690000	0.0373790000	0.0517510000	0.0280760000	0.2313810000	0.2390470000	0	0	209321984	3.9915096760	3.9727926254	3.9424610138
38	1311867171.6943440437	0.0612147301	0.0609368580	0.0628964603	0.0087835194	0.3238650000	0.0373580000	0.0516480000	0.0000010000	0.2324230000	0.0016940000	0	0	209321984	3.9923942089	3.9735231400	3.9422576427
39	1311867171.7262439728	0.0611847863	0.0609432151	0.0628964603	0.0086946095	0.3784950000	0.0374160000	0.0771150000	0.0280310000	0.2335450000	0.0016700000	0	0	209321984	3.9922454357	3.9728829861	3.9418749809
40	1311867171.7621190548	0.0614477880	0.0609558295	0.0628964603	0.0086074770	0.3253400000	0.0373190000	0.0516770000	0.0000010000	0.2339130000	0.0016950000	0	0	209321984	3.9937868118	3.9712512493	3.9414911270
41	1311867171.7941710949	0.0610020980	0.0609569580	0.0628964603	0.0086012536	0.6211510000	0.0371780000	0.0767300000	0.0280130000	0.2352260000	0.2432820000	0	0	209321984	3.9931831360	3.9692873955	3.9404528141
42	1311867171.8262550831	0.0613983609	0.0609674675	0.0628964603	0.0085207160	0.3498870000	0.0361580000	0.0753630000	0.0000010000	0.2359650000	0.0016650000	0	0	209321984	3.9928894043	3.9690377712	3.9393274784
43	1311867171.8623590469	0.0609283857	0.0609665587	0.0628964603	0.0084244092	0.3538370000	0.0364830000	0.0506380000	0.0280050000	0.2362970000	0.0016740000	0	0	209321984	3.9888432026	3.9687452316	3.9379706383
44	1311867171.8944430351	0.0605719909	0.0609575912	0.0628964603	0.0085334134	0.3314270000	0.0364940000	0.0555480000	0.0000010000	0.2370190000	0.0016470000	0	0	209321984	3.9858350754	3.9683206081	3.9371469021
45	1311867171.9262220860	0.0615035705	0.0609697241	0.0628964603	0.0084679502	0.5965070000	0.0362750000	0.0504680000	0.0280070000	0.2361890000	0.2448220000	0	0	209321984	3.9849057198	3.9696846008	3.9369053841
46	1311867171.9624669552	0.0616497062	0.0609845063	0.0628964603	0.0084092775	0.3497110000	0.0363930000	0.0753180000	0.0000010000	0.2356270000	0.0016470000	0	0	209321984	3.9828662872	3.9694192410	3.9368708134
47	1311867171.9946711063	0.0619951598	0.0610060096	0.0628964603	0.0084702319	0.3566170000	0.0364200000	0.0566550000	0.0280120000	0.2331520000	0.0016580000	0	0	209321984	3.9826138020	3.9692633152	3.9370605946
