SLAMBench Report run started:	2020-03-03 04:20:37

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/TUM2XYZ-ORB-DEP-0.00001.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_xyz.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 1e-05

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311867170.4835000038	0.0594216883	0.0594216883	0.0594216883	0.0000000000	0.0172550000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311867170.5168180466	0.0602329671	0.0598273277	0.0602329671	0.0120542198	0.0201600000	0	0	209321984	-0.0038649829	-0.0007642146	-0.0014570263
3	1311867170.5513839722	0.0592605025	0.0596383860	0.0602329671	0.0085555546	0.0167120000	0	0	209321984	-0.0070049237	-0.0010914099	-0.0039539728
4	1311867170.5809900761	0.0586107373	0.0593814738	0.0602329671	0.0073295392	0.0163770000	0	0	209321984	-0.0073722564	-0.0003572259	-0.0061979434
5	1311867170.6179420948	0.0585402697	0.0592132330	0.0602329671	0.0082081667	0.0160250000	0	0	209321984	-0.0104873301	-0.0024268676	-0.0078364620
6	1311867170.6496739388	0.0568355210	0.0588169477	0.0602329671	0.0079809554	0.0165070000	0	0	209321984	-0.0097611519	-0.0037025595	-0.0109127676
7	1311867170.6805319786	0.0565825030	0.0584977413	0.0602329671	0.0074366957	0.0166410000	0	0	209321984	-0.0120198298	-0.0043529472	-0.0124969594
8	1311867170.7173581123	0.0562334619	0.0582147064	0.0602329671	0.0070676171	0.0164180000	0	0	209321984	-0.0117027238	-0.0037031872	-0.0145674106
9	1311867170.7494509220	0.0578894280	0.0581785643	0.0602329671	0.0072286028	0.0162020000	0	0	209321984	-0.0147658763	-0.0049757059	-0.0146945789
10	1311867170.7803640366	0.0577373318	0.0581344411	0.0602329671	0.0071154777	0.0160260000	0	0	209321984	-0.0185571276	-0.0074805855	-0.0163409095
11	1311867170.8165349960	0.0577026010	0.0580951829	0.0602329671	0.0071012644	0.0159340000	0	0	209321984	-0.0190337431	-0.0093431380	-0.0187262613
12	1311867170.8506159782	0.0571061261	0.0580127615	0.0602329671	0.0070073222	0.0162080000	0	0	209321984	-0.0192187093	-0.0126079172	-0.0212678667
13	1311867170.8826720715	0.0559163429	0.0578514985	0.0602329671	0.0068038628	0.0163150000	0	0	209321984	-0.0184869058	-0.0146994181	-0.0251481999
14	1311867170.9172639847	0.0562435314	0.0577366437	0.0602329671	0.0066580295	0.0161130000	0	0	209321984	-0.0182002094	-0.0165344588	-0.0277259871
15	1311867170.9496428967	0.0556352958	0.0575965539	0.0602329671	0.0065355330	0.0158430000	0	0	209321984	-0.0191132315	-0.0196424183	-0.0311167613
16	1311867170.9861969948	0.0567501634	0.0575436545	0.0602329671	0.0066250542	0.0161560000	0	0	209321984	-0.0212969389	-0.0210791137	-0.0335053578
17	1311867171.0198309422	0.0562960207	0.0574702642	0.0602329671	0.0064298600	0.0161990000	0	0	209321984	-0.0204944722	-0.0206997395	-0.0373417549
18	1311867171.0525920391	0.0554869026	0.0573600775	0.0602329671	0.0064364523	0.0161230000	0	0	209321984	-0.0209499504	-0.0254780985	-0.0399970375
19	1311867171.0843029022	0.0547398739	0.0572221720	0.0602329671	0.0063517527	0.0159180000	0	0	209321984	-0.0229825359	-0.0272350144	-0.0430181399
20	1311867171.1168649197	0.0544176102	0.0570819439	0.0602329671	0.0063685202	0.0170460000	0	0	209321984	-0.0208591856	-0.0265653692	-0.0457781553
21	1311867171.1502649784	0.0547448508	0.0569706538	0.0602329671	0.0062492632	0.0184180000	0	0	209321984	-0.0218660329	-0.0281841997	-0.0470345616
22	1311867171.1881570816	0.0554415882	0.0569011508	0.0602329671	0.0061329157	0.0180310000	0	0	209321984	-0.0218434874	-0.0274617784	-0.0480979122
23	1311867171.2158079147	0.0545466505	0.0567987812	0.0602329671	0.0062810313	0.0173340000	0	0	209321984	-0.0179113429	-0.0267522298	-0.0499068387
24	1311867171.2507550716	0.0543583557	0.0566970968	0.0602329671	0.0064749678	0.0175280000	0	0	209321984	-0.0149098523	-0.0276700985	-0.0503958277
25	1311867171.2886030674	0.0521592237	0.0565155819	0.0602329671	0.0065243723	0.0171800000	0	0	209321984	-0.0100643476	-0.0266931877	-0.0533676557
26	1311867171.3203868866	0.0530750379	0.0563832533	0.0602329671	0.0065393708	0.0176590000	0	0	209321984	-0.0070658056	-0.0265361480	-0.0535172224
27	1311867171.3484160900	0.0527215190	0.0562476335	0.0602329671	0.0065421856	0.0177250000	0	0	209321984	-0.0069172559	-0.0273965541	-0.0540285967
28	1311867171.3864109516	0.0555000491	0.0562209341	0.0602329671	0.0072455709	0.0177280000	0	0	209321984	-0.0072425287	-0.0238863155	-0.0536796153
29	1311867171.4182569981	0.0567470491	0.0562390760	0.0602329671	0.0072371204	0.0175560000	0	0	209321984	-0.0085282074	-0.0227231067	-0.0547931604
30	1311867171.4507238865	0.0576574765	0.0562863560	0.0602329671	0.0071944626	0.0176420000	0	0	209321984	-0.0116231916	-0.0261986032	-0.0550461896
31	1311867171.4859650135	0.0563696399	0.0562890426	0.0602329671	0.0071875534	0.0178600000	0	0	209321984	-0.0102458643	-0.0249021649	-0.0587593019
32	1311867171.5165369511	0.0562715195	0.0562884950	0.0602329671	0.0070919027	0.0172000000	0	0	209321984	-0.0104378788	-0.0241250824	-0.0604728460
33	1311867171.5520539284	0.0566346683	0.0562989851	0.0602329671	0.0069833629	0.0171600000	0	0	209321984	-0.0126446597	-0.0243284237	-0.0613104403
34	1311867171.5870780945	0.0557871945	0.0562839324	0.0602329671	0.0070183257	0.0180790000	0	0	209321984	-0.0131564857	-0.0230822675	-0.0635378808
35	1311867171.6198279858	0.0540397540	0.0562198130	0.0602329671	0.0069896042	0.0167950000	0	0	209321984	-0.0122643923	-0.0248097740	-0.0650526956
36	1311867171.6511080265	0.0554839075	0.0561993712	0.0602329671	0.0069139176	0.0167850000	0	0	209321984	-0.0154183907	-0.0245455150	-0.0648398995
37	1311867171.6854469776	0.0553056858	0.0561752175	0.0602329671	0.0069395478	0.0172520000	0	0	209321984	-0.0168580133	-0.0241410621	-0.0657859743
38	1311867171.7164950371	0.0567331314	0.0561898995	0.0602329671	0.0070960651	0.0170190000	0	0	209321984	-0.0196248293	-0.0229020193	-0.0655348599
39	1311867171.7520298958	0.0557905808	0.0561796605	0.0602329671	0.0070158389	0.0174990000	0	0	209321984	-0.0225201901	-0.0243663546	-0.0670454726
40	1311867171.7875430584	0.0551301204	0.0561534220	0.0602329671	0.0070559191	0.0174180000	0	0	209321984	-0.0232967548	-0.0256929882	-0.0683887601
41	1311867171.8164930344	0.0548032410	0.0561204908	0.0602329671	0.0070421296	0.0174020000	0	0	209321984	-0.0238642842	-0.0260739122	-0.0692947060
42	1311867171.8525280952	0.0541444197	0.0560734415	0.0602329671	0.0070529390	0.0180800000	0	0	209321984	-0.0257166047	-0.0259704273	-0.0710290298
43	1311867171.8877189159	0.0543874837	0.0560342332	0.0602329671	0.0071891264	0.0170230000	0	0	209321984	-0.0299947113	-0.0266650356	-0.0713369846
44	1311867171.9164750576	0.0555800721	0.0560239113	0.0602329671	0.0071447275	0.0173980000	0	0	209321984	-0.0332670808	-0.0245278124	-0.0715197325
45	1311867171.9519519806	0.0537592918	0.0559735864	0.0602329671	0.0070808758	0.0170740000	0	0	209321984	-0.0362781808	-0.0252807755	-0.0734503195
46	1311867171.9880740643	0.0531433150	0.0559120588	0.0602329671	0.0070909925	0.0178150000	0	0	209321984	-0.0388565622	-0.0249681845	-0.0738129243
47	1311867172.0164361000	0.0529327802	0.0558486699	0.0602329671	0.0072325475	0.0178580000	0	0	209321984	-0.0427309088	-0.0244505238	-0.0737022683
48	1311867172.0494379997	0.0531275645	0.0557919802	0.0602329671	0.0072028948	0.0170080000	0	0	209321984	-0.0449763164	-0.0222761128	-0.0733555108
49	1311867172.0881319046	0.0523984581	0.0557227246	0.0602329671	0.0071459901	0.0171750000	0	0	209321984	-0.0480632447	-0.0224122070	-0.0728573278
50	1311867172.1172480583	0.0519916527	0.0556481032	0.0602329671	0.0071279643	0.0170150000	0	0	209321984	-0.0504985675	-0.0225443058	-0.0721525922
51	1311867172.1884689331	0.0511222482	0.0555593610	0.0602329671	0.0070642032	0.0168590000	0	0	209321984	-0.0569188669	-0.0216121189	-0.0714896917
52	1311867172.2199289799	0.0514296703	0.0554799438	0.0602329671	0.0071718641	0.0167690000	0	0	209321984	-0.0590663776	-0.0217769518	-0.0706207976
53	1311867172.2529690266	0.0514069721	0.0554030953	0.0602329671	0.0072700877	0.0177770000	0	0	209321984	-0.0603106432	-0.0197636895	-0.0697455034
54	1311867172.2869310379	0.0515277237	0.0553313292	0.0602329671	0.0072785486	0.0164870000	0	0	209321984	-0.0619423762	-0.0198347531	-0.0690993816
55	1311867172.3185069561	0.0516126901	0.0552637175	0.0602329671	0.0073231499	0.0169420000	0	0	209321984	-0.0645713583	-0.0194172375	-0.0683894902
56	1311867172.3554608822	0.0519753061	0.0552049959	0.0602329671	0.0072787479	0.0178340000	0	0	209321984	-0.0677160546	-0.0186740588	-0.0679429695
57	1311867172.3872969151	0.0521127582	0.0551507461	0.0602329671	0.0072653448	0.0167060000	0	0	209321984	-0.0735463202	-0.0197893567	-0.0675242990
58	1311867172.4171919823	0.0519550480	0.0550956479	0.0602329671	0.0072138144	0.0170080000	0	0	209321984	-0.0743328780	-0.0189245958	-0.0681183338
59	1311867172.4554190636	0.0506261364	0.0550198934	0.0602329671	0.0071890259	0.0166770000	0	0	209321984	-0.0768917575	-0.0206326284	-0.0688672066
60	1311867172.4878718853	0.0514546335	0.0549604724	0.0602329671	0.0071416047	0.0167980000	0	0	209321984	-0.0776494741	-0.0178016759	-0.0695010573
61	1311867172.5177230835	0.0511407033	0.0548978533	0.0602329671	0.0070938651	0.0177880000	0	0	209321984	-0.0788935870	-0.0203081463	-0.0692233443
