SLAMBench Report run started:	2020-03-05 03:48:07

Properties:
=================

frame-limit: 0
log-file: ./experiments/config10/TUM2XYZ-ORB-DEP-0.00010.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_xyz.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0001

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311867170.4835000038	0.0594216883	0.0594216883	0.0594216883	0.0000000000	0.0171990000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311867170.5168180466	0.0602329671	0.0598273277	0.0602329671	0.0120542198	0.0195710000	0	0	209321984	-0.0038649829	-0.0007642146	-0.0014570263
3	1311867170.5513839722	0.0592605025	0.0596383860	0.0602329671	0.0085555546	0.0165820000	0	0	209321984	-0.0070049237	-0.0010914099	-0.0039539728
4	1311867170.5809900761	0.0586107373	0.0593814738	0.0602329671	0.0073295392	0.0163900000	0	0	209321984	-0.0073722564	-0.0003572259	-0.0061979434
5	1311867170.6179420948	0.0585402697	0.0592132330	0.0602329671	0.0082081667	0.0158840000	0	0	209321984	-0.0104873301	-0.0024268676	-0.0078364620
6	1311867170.6496739388	0.0568355210	0.0588169477	0.0602329671	0.0079809554	0.0163820000	0	0	209321984	-0.0097611519	-0.0037025595	-0.0109127676
7	1311867170.6805319786	0.0565825030	0.0584977413	0.0602329671	0.0074366957	0.0164320000	0	0	209321984	-0.0120198298	-0.0043529472	-0.0124969594
8	1311867170.7173581123	0.0562334619	0.0582147064	0.0602329671	0.0070676171	0.0163160000	0	0	209321984	-0.0117027238	-0.0037031872	-0.0145674106
9	1311867170.7494509220	0.0578894280	0.0581785643	0.0602329671	0.0072286028	0.0161440000	0	0	209321984	-0.0147658763	-0.0049757059	-0.0146945789
10	1311867170.7803640366	0.0577373318	0.0581344411	0.0602329671	0.0071154777	0.0159100000	0	0	209321984	-0.0185571276	-0.0074805855	-0.0163409095
11	1311867170.8165349960	0.0577026010	0.0580951829	0.0602329671	0.0071012644	0.0158550000	0	0	209321984	-0.0190337431	-0.0093431380	-0.0187262613
12	1311867170.8506159782	0.0571061261	0.0580127615	0.0602329671	0.0070073222	0.0161060000	0	0	209321984	-0.0192187093	-0.0126079172	-0.0212678667
13	1311867170.8826720715	0.0559163429	0.0578514985	0.0602329671	0.0068038628	0.0161780000	0	0	209321984	-0.0184869058	-0.0146994181	-0.0251481999
14	1311867170.9172639847	0.0562435314	0.0577366437	0.0602329671	0.0066580295	0.0159620000	0	0	209321984	-0.0182002094	-0.0165344588	-0.0277259871
15	1311867170.9496428967	0.0556352958	0.0575965539	0.0602329671	0.0065355330	0.0156710000	0	0	209321984	-0.0191132315	-0.0196424183	-0.0311167613
16	1311867170.9861969948	0.0567501634	0.0575436545	0.0602329671	0.0066250542	0.0159770000	0	0	209321984	-0.0212969389	-0.0210791137	-0.0335053578
17	1311867171.0198309422	0.0562960207	0.0574702642	0.0602329671	0.0064298600	0.0160330000	0	0	209321984	-0.0204944722	-0.0206997395	-0.0373417549
18	1311867171.0525920391	0.0554869026	0.0573600775	0.0602329671	0.0064364523	0.0159940000	0	0	209321984	-0.0209499504	-0.0254780985	-0.0399970375
19	1311867171.0843029022	0.0547398739	0.0572221720	0.0602329671	0.0063517527	0.0157490000	0	0	209321984	-0.0229825359	-0.0272350144	-0.0430181399
20	1311867171.1168649197	0.0544176102	0.0570819439	0.0602329671	0.0063685202	0.0168390000	0	0	209321984	-0.0208591856	-0.0265653692	-0.0457781553
21	1311867171.1502649784	0.0547448508	0.0569706538	0.0602329671	0.0062492632	0.0182500000	0	0	209321984	-0.0218660329	-0.0281841997	-0.0470345616
22	1311867171.1881570816	0.0554415882	0.0569011508	0.0602329671	0.0061329157	0.0179780000	0	0	209321984	-0.0218434874	-0.0274617784	-0.0480979122
23	1311867171.2158079147	0.0545466505	0.0567987812	0.0602329671	0.0062810313	0.0173640000	0	0	209321984	-0.0179113429	-0.0267522298	-0.0499068387
24	1311867171.2507550716	0.0543583557	0.0566970968	0.0602329671	0.0064749678	0.0173350000	0	0	209321984	-0.0149098523	-0.0276700985	-0.0503958277
25	1311867171.2886030674	0.0521592237	0.0565155819	0.0602329671	0.0065243723	0.0170530000	0	0	209321984	-0.0100643476	-0.0266931877	-0.0533676557
26	1311867171.3203868866	0.0530750379	0.0563832533	0.0602329671	0.0065393708	0.0176410000	0	0	209321984	-0.0070658056	-0.0265361480	-0.0535172224
27	1311867171.3484160900	0.0527215190	0.0562476335	0.0602329671	0.0065421856	0.0175510000	0	0	209321984	-0.0069172559	-0.0273965541	-0.0540285967
28	1311867171.3864109516	0.0554865599	0.0562204523	0.0602329671	0.0072444157	0.0177800000	0	0	209321984	-0.0072438638	-0.0238882154	-0.0536941141
29	1311867171.4182569981	0.0565531254	0.0562319238	0.0602329671	0.0072265399	0.0173940000	0	0	209321984	-0.0085517447	-0.0228527151	-0.0549547523
30	1311867171.4507238865	0.0573915355	0.0562705775	0.0602329671	0.0071895138	0.0171300000	0	0	209321984	-0.0115684988	-0.0264021717	-0.0552473441
31	1311867171.4859650135	0.0564473271	0.0562762791	0.0602329671	0.0071808291	0.0174350000	0	0	209321984	-0.0102279950	-0.0247470737	-0.0587343276
32	1311867171.5165369511	0.0563599356	0.0562788934	0.0602329671	0.0070857267	0.0172530000	0	0	209321984	-0.0104827760	-0.0241254568	-0.0603834987
33	1311867171.5520539284	0.0568103716	0.0562949988	0.0602329671	0.0069777899	0.0168100000	0	0	209321984	-0.0126972990	-0.0242566392	-0.0611575954
34	1311867171.5870780945	0.0558230430	0.0562811177	0.0602329671	0.0070128602	0.0172990000	0	0	209321984	-0.0131499432	-0.0231016595	-0.0634875372
35	1311867171.6198279858	0.0540509000	0.0562173972	0.0602329671	0.0069851608	0.0171790000	0	0	209321984	-0.0122357588	-0.0247803759	-0.0650480613
36	1311867171.6511080265	0.0554919019	0.0561972446	0.0602329671	0.0069101205	0.0168980000	0	0	209321984	-0.0155311078	-0.0245559793	-0.0648500621
37	1311867171.6854469776	0.0552746356	0.0561723092	0.0602329671	0.0069330099	0.0171900000	0	0	209321984	-0.0168608520	-0.0241423436	-0.0658206120
38	1311867171.7164950371	0.0567500629	0.0561875132	0.0602329671	0.0070922725	0.0171290000	0	0	209321984	-0.0196164045	-0.0229224805	-0.0655043796
39	1311867171.7520298958	0.0558230989	0.0561781693	0.0602329671	0.0070129115	0.0170940000	0	0	209321984	-0.0225420576	-0.0243461374	-0.0670232624
40	1311867171.7875430584	0.0550660007	0.0561503651	0.0602329671	0.0070546231	0.0172150000	0	0	209321984	-0.0232883487	-0.0257024020	-0.0684542283
41	1311867171.8164930344	0.0547507629	0.0561162284	0.0602329671	0.0070400704	0.0171170000	0	0	209321984	-0.0238186251	-0.0261675883	-0.0693025365
42	1311867171.8525280952	0.0541420020	0.0560692230	0.0602329671	0.0070455323	0.0172360000	0	0	209321984	-0.0257355440	-0.0259899423	-0.0710252449
43	1311867171.9164750576	0.0548309535	0.0560404261	0.0602329671	0.0071000590	0.0185440000	0	0	209321984	-0.0332916640	-0.0249040611	-0.0721843392
44	1311867171.9519519806	0.0535974056	0.0559849029	0.0602329671	0.0070398792	0.0170300000	0	0	209321984	-0.0361911394	-0.0254940651	-0.0735110790
45	1311867172.0164361000	0.0530424379	0.0559195148	0.0602329671	0.0070034776	0.0177530000	0	0	209321984	-0.0418473780	-0.0243861191	-0.0734529197
46	1311867172.0494379997	0.0530373864	0.0558568598	0.0602329671	0.0069810974	0.0176630000	0	0	209321984	-0.0451057926	-0.0221835226	-0.0735326186
47	1311867172.0881319046	0.0525635704	0.0557867898	0.0602329671	0.0069208271	0.0175260000	0	0	209321984	-0.0479887351	-0.0220835209	-0.0728313923
48	1311867172.1172480583	0.0514225177	0.0556958675	0.0602329671	0.0069035659	0.0168800000	0	0	209321984	-0.0505671240	-0.0228219386	-0.0726667419
49	1311867172.1884689331	0.0508017167	0.0555959868	0.0602329671	0.0068444104	0.0167250000	0	0	209321984	-0.0562581979	-0.0215118751	-0.0718023330
50	1311867172.2199289799	0.0515883602	0.0555158343	0.0602329671	0.0070041702	0.0169790000	0	0	209321984	-0.0590742044	-0.0207337290	-0.0709505752
51	1311867172.2529690266	0.0511444844	0.0554301216	0.0602329671	0.0071322152	0.0180080000	0	0	209321984	-0.0604532436	-0.0198596586	-0.0700089335
52	1311867172.3185069561	0.0514107421	0.0553528258	0.0602329671	0.0070749697	0.0169830000	0	0	209321984	-0.0642831847	-0.0193201788	-0.0686359331
53	1311867172.3554608822	0.0520090163	0.0552897351	0.0602329671	0.0070279311	0.0171720000	0	0	209321984	-0.0675463900	-0.0188679993	-0.0677979365
