SLAMBench Report run started:	2020-02-28 07:02:06

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/ICL0-ORB-RND-030.log
input: datasets/ICL_NUIM/living_room_traj0_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libskip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-probability: 0.3

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.0800000000	0.0160688795	0.0160688795	0.0160688795	0.0000000000	0.0136820000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.1600000000	0.0124996966	0.0142842880	0.0160688795	0.0099478848	0.0184670000	0	0	209321984	-0.0019335499	0.0074985428	-0.0011545488
3	0.2400000000	0.0156478547	0.0147388102	0.0160688795	0.0077623008	0.0156770000	0	0	209321984	-0.0024626527	0.0048791184	-0.0000869531
4	0.3200000000	0.0133673484	0.0143959448	0.0160688795	0.0071189472	0.0157150000	0	0	209321984	-0.0013171933	0.0053912071	-0.0009842998
5	0.3600000000	0.0136238839	0.0142415326	0.0160688795	0.0061773028	0.0154590000	0	0	209321984	0.0003902464	0.0043249023	-0.0007836799
6	0.4800000000	0.0130187692	0.0140377387	0.0160688795	0.0065725466	0.0152220000	0	0	209321984	0.0022447596	0.0055030733	-0.0010637237
7	0.5200000000	0.0146448258	0.0141244654	0.0160688795	0.0061600534	0.0152550000	0	0	209321984	0.0006319010	0.0077690962	-0.0021315250
8	0.5600000000	0.0140229277	0.0141117732	0.0160688795	0.0057222294	0.0153900000	0	0	209321984	-0.0005905440	0.0075126551	-0.0020261088
9	0.6400000000	0.0108818430	0.0137528921	0.0160688795	0.0053621611	0.0155920000	0	0	209321984	0.0013106854	0.0053741578	-0.0027387664
10	0.6800000000	0.0130490437	0.0136825073	0.0160688795	0.0051681548	0.0156050000	0	0	209321984	0.0001295346	0.0083281463	-0.0034832903
11	0.7200000000	0.0136236632	0.0136771578	0.0160688795	0.0052687682	0.0156220000	0	0	209321984	0.0019177971	0.0096113933	-0.0016419018
12	0.7600000000	0.0140054366	0.0137045144	0.0160688795	0.0050352821	0.0155700000	0	0	209321984	0.0031653261	0.0100447582	-0.0039258613
13	0.8000000000	0.0130230598	0.0136520948	0.0160688795	0.0048622646	0.0158850000	0	0	209321984	0.0034305812	0.0096143996	-0.0054746666
14	0.8400000000	0.0149341561	0.0137436706	0.0160688795	0.0047389192	0.0154670000	0	0	209321984	0.0017403841	0.0115117887	-0.0040976247
15	0.9200000000	0.0153433345	0.0138503149	0.0160688795	0.0046076870	0.0154570000	0	0	209321984	0.0018223764	0.0104496172	-0.0041005337
16	0.9600000000	0.0142635806	0.0138761440	0.0160688795	0.0045051238	0.0151580000	0	0	209321984	0.0047106580	0.0094400132	-0.0039476021
17	1.0000000000	0.0123606129	0.0137869951	0.0160688795	0.0043932825	0.0151880000	0	0	209321984	0.0046961824	0.0071145915	-0.0038870894
18	1.1200000000	0.0153072681	0.0138714547	0.0160688795	0.0047127728	0.0156800000	0	0	209321984	0.0039704237	0.0093072364	-0.0032755884
19	1.1600000000	0.0124809984	0.0137982728	0.0160688795	0.0050701099	0.0156040000	0	0	209321984	0.0045439671	0.0052954429	-0.0025494630
20	1.2400000000	0.0138699431	0.0138018563	0.0160688795	0.0055027234	0.0151680000	0	0	209321984	0.0063355300	0.0073727155	-0.0010247260
21	1.2800000000	0.0150892949	0.0138631629	0.0160688795	0.0073081495	0.0153720000	0	0	209321984	0.0063706627	0.0082664043	-0.0001357747
22	1.3200000000	0.0140747009	0.0138727783	0.0160688795	0.0074484402	0.0152450000	0	0	209321984	0.0073573855	0.0073549850	-0.0009428476
23	1.4000000000	0.0165564530	0.0139894598	0.0165564530	0.0090579757	0.0155220000	0	0	209321984	0.0101798763	0.0093302559	0.0026524945
24	1.4400000000	0.0192414299	0.0142082919	0.0192414299	0.0093177363	0.0148540000	0	0	209321984	0.0067593176	0.0107101873	0.0035407648
25	1.4800000000	0.0163308457	0.0142931940	0.0192414299	0.0115472393	0.0154700000	0	0	209321984	0.0092122471	0.0070010414	0.0035490766
26	1.5200000000	0.0170674585	0.0143998965	0.0192414299	0.0118475944	0.0154710000	0	0	209321984	0.0154950721	0.0094099650	0.0045765070
27	1.6400000000	0.0172274858	0.0145046220	0.0192414299	0.0138055066	0.0153520000	0	0	209321984	0.0149964588	0.0044316859	0.0070952838
28	1.6800000000	0.0186412856	0.0146523600	0.0192414299	0.0138822046	0.0152210000	0	0	209321984	0.0165622402	0.0081880502	0.0082662124
29	1.7200000000	0.0182647333	0.0147769246	0.0192414299	0.0140544442	0.0147000000	0	0	209321984	0.0181530062	0.0093697598	0.0082288189
30	1.8000000000	0.0164805334	0.0148337116	0.0192414299	0.0170955364	0.0147970000	0	0	209321984	0.0441829115	0.0015825644	0.0038300897
31	1.8400000000	0.0113717690	0.0147220360	0.0192414299	0.0168644206	0.0145050000	0	0	209321984	0.1068590209	-0.0069534839	-0.0067920615
32	1.8800000000	0.0143694580	0.0147110179	0.0192414299	0.0168067102	0.0147460000	0	0	209321984	0.1125767455	-0.0007611218	-0.0074651185
33	1.9200000000	0.0177732874	0.0148038140	0.0192414299	0.0167975284	0.0145340000	0	0	209321984	0.1136801913	0.0014584244	-0.0071093468
34	1.9600000000	0.0135297859	0.0147663426	0.0192414299	0.0167913526	0.0142150000	0	0	209321984	0.1188804731	-0.0029791878	-0.0087115830
