SLAMBench Report run started:	2020-02-28 07:13:46

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/ICL3-ORB-DEP-00020.log
input: datasets/ICL_NUIM/living_room_traj3_loop.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
RGB-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.751875,1,0.4992185,0.4989583
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	0.1600000000	0.0062458566	0.0062458566	0.0062458566	0.0000000000	0.0126510000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	0.5200000000	0.0053407564	0.0057933065	0.0062458566	0.0058437739	0.0181830000	0	0	209321984	0.0055934140	-0.0154053019	-0.0049965354
3	0.9200000000	0.0047795209	0.0054553780	0.0062458566	0.0182042917	0.0160300000	0	0	209321984	0.0123977475	-0.0131805101	-0.0126954839
4	1.0000000000	0.0055446462	0.0054776950	0.0062458566	0.0148911588	0.0163320000	0	0	209321984	0.0128483688	-0.0174369905	-0.0156472921
5	1.0800000000	0.0048991540	0.0053619868	0.0062458566	0.0129011180	0.0159070000	0	0	209321984	0.0129198264	-0.0223250017	-0.0207190812
6	1.1200000000	0.0054096929	0.0053699378	0.0062458566	0.0117673296	0.0157130000	0	0	209321984	0.0146066593	-0.0238652453	-0.0228563473
7	1.2000000000	0.0048228167	0.0052917777	0.0062458566	0.0110264709	0.0152980000	0	0	209321984	0.0225208364	-0.0210651644	-0.0244267676
8	1.2400000000	0.0047555706	0.0052247518	0.0062458566	0.0103886174	0.0157670000	0	0	209321984	0.0208504088	-0.0188389458	-0.0253719557
9	1.2800000000	0.0042854208	0.0051203817	0.0062458566	0.0102358726	0.0153450000	0	0	209321984	0.0221430548	-0.0139151299	-0.0256780926
10	1.3200000000	0.0048580291	0.0050941464	0.0062458566	0.0099703300	0.0156720000	0	0	209321984	0.0294993203	-0.0118540395	-0.0284188706
11	1.3600000000	0.0053519690	0.0051175848	0.0062458566	0.0094604167	0.0158310000	0	0	209321984	0.0299317315	-0.0146813504	-0.0291818902
12	1.4000000000	0.0049753245	0.0051057298	0.0062458566	0.0090261025	0.0153950000	0	0	209321984	0.0298528057	-0.0166843161	-0.0325992480
13	1.4400000000	0.0049319570	0.0050923627	0.0062458566	0.0086527921	0.0154040000	0	0	209321984	0.0325741395	-0.0169377122	-0.0355468728
14	1.4800000000	0.0055733230	0.0051267170	0.0062458566	0.0083145532	0.0154430000	0	0	209321984	0.0330965742	-0.0174619146	-0.0359447822
15	1.5200000000	0.0050500385	0.0051216051	0.0062458566	0.0080452326	0.0151630000	0	0	209321984	0.0332521498	-0.0162923429	-0.0367159508
16	1.5600000000	0.0047965078	0.0051012865	0.0062458566	0.0081124308	0.0151340000	0	0	209321984	0.0367105044	-0.0162675027	-0.0368243679
17	1.6000000000	0.0027942071	0.0049655759	0.0062458566	0.0082421795	0.0149640000	0	0	209321984	0.0420513377	-0.0123787420	-0.0366897434
18	1.6400000000	0.0025806245	0.0048330786	0.0062458566	0.0080099084	0.0150310000	0	0	209321984	0.0414102823	-0.0116720656	-0.0381707847
19	1.6800000000	0.0026533976	0.0047183586	0.0062458566	0.0078568012	0.0150780000	0	0	209321984	0.0427315123	-0.0125337774	-0.0393787064
20	1.7200000000	0.0036046705	0.0046626742	0.0062458566	0.0076710084	0.0149840000	0	0	209321984	0.0438415408	-0.0120971650	-0.0400544107
21	1.7600000000	0.0039703357	0.0046297057	0.0062458566	0.0077521794	0.0147860000	0	0	209321984	0.0448873527	-0.0098570408	-0.0414790325
22	1.8000000000	0.0030000834	0.0045556319	0.0062458566	0.0078044775	0.0147340000	0	0	209321984	0.0482352003	-0.0100199329	-0.0412590913
23	1.8400000000	0.0037749542	0.0045216894	0.0062458566	0.0077055419	0.0147990000	0	0	209321984	0.0481804237	-0.0081031350	-0.0408801399
24	1.8800000000	0.0045750104	0.0045239111	0.0062458566	0.0075913007	0.0143170000	0	0	209321984	0.0495469905	-0.0071880254	-0.0414281748
25	1.9200000000	0.0022644752	0.0044335337	0.0062458566	0.0075396708	0.0147300000	0	0	209321984	0.0526754633	-0.0078353509	-0.0430752896
26	1.9600000000	0.0061603985	0.0044999516	0.0062458566	0.0074643746	0.0144530000	0	0	209321984	0.0490749553	-0.0096037174	-0.0465762466
27	2.0400000000	0.0076561067	0.0046168462	0.0076561067	0.0074728216	0.0146260000	0	0	209321984	0.0510293618	-0.0068945494	-0.0479591787
28	2.1200000000	0.0065671848	0.0046865012	0.0076561067	0.0074735576	0.0145500000	0	0	209321984	0.0495027304	-0.0093097342	-0.0496869609
29	2.2000000000	0.0042312033	0.0046708012	0.0076561067	0.0074945302	0.0142660000	0	0	209321984	0.0480575860	-0.0065449988	-0.0466570556
30	2.2800000000	0.0062995064	0.0047250914	0.0076561067	0.0081012936	0.0142990000	0	0	209321984	0.0528523102	-0.0099931955	-0.0503446572
31	2.4400000000	0.0033549126	0.0046808921	0.0076561067	0.0093566468	0.0146620000	0	0	209321984	0.0620040894	-0.0074921432	-0.0540492162
32	2.7600000000	0.0056799757	0.0047121135	0.0076561067	0.0126830866	0.0153650000	0	0	209321984	0.0799898356	-0.0204000250	-0.0647381097
33	2.8400000000	0.0046374355	0.0047098505	0.0076561067	0.0126881971	0.0164430000	0	0	209321984	0.0821848586	-0.0183265693	-0.0667388141
34	2.9200000000	0.0353141017	0.0056099755	0.0353141017	0.0136775053	0.0159120000	0	0	209321984	0.1187162548	-0.0242850017	-0.0844668671
35	3.0000000000	0.0373127759	0.0065157698	0.0373127759	0.0137413241	0.0154200000	0	0	209321984	0.1291779280	-0.0243271459	-0.0883159563
36	3.0800000000	0.0361903571	0.0073400639	0.0373127759	0.0136396976	0.0155640000	0	0	209321984	0.1345424205	-0.0248968899	-0.0922533497
37	3.1600000000	0.0353829227	0.0080979790	0.0373127759	0.0135871073	0.0148390000	0	0	209321984	0.1413816661	-0.0235095080	-0.0954563171
38	3.2400000000	0.0344970226	0.0087926907	0.0373127759	0.0134296242	0.0149220000	0	0	209321984	0.1500770748	-0.0259261578	-0.0994844139
39	3.3600000000	0.0387199521	0.0095600564	0.0387199521	0.0133697400	0.0152900000	0	0	209321984	0.1737306416	-0.0219171084	-0.1049710140
40	3.4800000000	0.0330387466	0.0101470236	0.0387199521	0.0134016241	0.0154560000	0	0	209321984	0.1786230505	-0.0154036880	-0.1094861776
41	3.6000000000	0.0289355367	0.0106052800	0.0387199521	0.0133662871	0.0157250000	0	0	209321984	0.1873797625	-0.0141897369	-0.1109787375
42	3.7600000000	0.0281181559	0.0110222533	0.0387199521	0.0134209211	0.0150800000	0	0	209321984	0.2163760066	-0.0110321054	-0.1191115081
43	3.8800000000	0.0280007944	0.0114171031	0.0387199521	0.0133023929	0.0146500000	0	0	209321984	0.2419691831	-0.0088086203	-0.1228608862
44	4.0400000000	0.0276958607	0.0117870748	0.0387199521	0.0134847568	0.0145910000	0	0	209321984	0.2720384896	-0.0044368599	-0.1272823066
45	4.5600000000	0.0269105192	0.0121231514	0.0387199521	0.0133341189	0.0151180000	0	0	209321984	0.3947361410	-0.0046418295	-0.1434303224
46	5.0800000000	0.0179818533	0.0122505145	0.0387199521	0.0134344406	0.0151090000	0	0	209321984	0.5061235428	0.0017008465	-0.1278869957
47	5.2800000000	0.0196563080	0.0124080845	0.0387199521	0.0133484431	0.0184240000	0	0	209321984	0.5535005927	0.0046220701	-0.1108664423
