SLAMBench Report run started:	2020-02-28 07:54:05

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM1360-ORB-RND-030.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_360.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libskip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-probability: 0.3

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031790.6451549530	0.2177233994	0.2177233994	0.2177233994	0.0000000000	0.0162460000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305031790.7094209194	0.2177306712	0.2177270353	0.2177306712	0.0426211730	0.0220530000	0	0	209321984	0.0029977106	0.0079663275	0.0027474617
3	1305031790.7395300865	0.2173327953	0.2175956219	0.2177306712	0.0351874361	0.0196530000	0	0	209321984	0.0078818910	0.0107826032	0.0055460874
4	1305031790.8095209599	0.2180150151	0.2177004702	0.2180150151	0.0370521189	0.0190480000	0	0	209321984	0.0177742206	0.0178637765	0.0082537662
5	1305031790.9414949417	0.2218552381	0.2185314238	0.2218552381	0.0355283514	0.0163760000	0	0	209321984	0.0299955737	0.0242499113	0.0118418615
6	1305031790.9736959934	0.2056295723	0.2163811152	0.2218552381	0.0417693296	0.0172180000	0	0	209321984	0.0342456289	0.0375301242	0.0237023272
7	1305031791.0094859600	0.2043514699	0.2146625945	0.2218552381	0.0405763612	0.0176570000	0	0	209321984	0.0344699733	0.0364227742	0.0268934704
8	1305031791.0451369286	0.1978250295	0.2125578988	0.2218552381	0.0456995480	0.0160190000	0	0	209321984	0.0346091241	0.0392371789	0.0265056137
9	1305031791.1450960636	0.1772864461	0.2086388485	0.2218552381	0.0916030970	0.0149670000	0	0	209321984	0.0346091241	0.0392371789	0.0265056137
10	1305031791.1812870502	0.2157096714	0.2093459308	0.2218552381	0.1007473753	0.0267410000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
11	1305031791.2130980492	0.2185992450	0.2101871412	0.2218552381	0.1000371042	0.0191730000	0	0	209321984	0.0011238605	-0.0088227596	-0.0140220039
12	1305031791.2450869083	0.2094559669	0.2101262100	0.2218552381	0.0998943570	0.0178230000	0	0	209321984	0.0088154124	-0.0036639746	-0.0335536450
13	1305031791.2813398838	0.2081492692	0.2099741376	0.2218552381	0.0997509295	0.0175490000	0	0	209321984	0.0161372907	-0.0072899545	-0.0547741055
14	1305031791.3414149284	0.2079785615	0.2098315965	0.2218552381	0.1064991181	0.0160050000	0	0	209321984	0.0180665832	-0.0203915741	-0.0680135712
15	1305031791.3735249043	0.2047100067	0.2094901572	0.2218552381	0.1048731209	0.0168830000	0	0	209321984	0.0211485848	-0.0160388965	-0.0853894949
16	1305031791.4096090794	0.2036656588	0.2091261260	0.2218552381	0.1037866322	0.0171730000	0	0	209321984	0.0161200501	-0.0163723920	-0.0952748358
17	1305031791.5095949173	0.1822648346	0.2075460501	0.2218552381	0.1175528461	0.0150970000	0	0	209321984	0.0161200501	-0.0163723920	-0.0952748358
18	1305031791.5414500237	0.1152162850	0.2024166187	0.2218552381	0.1882891384	0.0313130000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
19	1305031791.5740339756	0.1048676074	0.1972824602	0.2218552381	0.1836169166	0.0192780000	0	0	209321984	-0.0012487633	0.0068404363	-0.0094848098
