SLAMBench Report run started:	2020-02-28 07:58:43

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM1DESK-ORB-DEP-00020.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_desk.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031453.4048159122	0.8731651306	0.8731651306	0.8731651306	0.0000000000	0.0142810000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305031453.4369409084	0.8682420850	0.8707036078	0.8731651306	0.0152898291	0.0194260000	0	0	209321984	0.0024633792	0.0030414760	-0.0074472181
3	1305031453.4733519554	0.8609643579	0.8674571911	0.8731651306	0.0219143582	0.0159970000	0	0	209321984	0.0056261234	0.0074793864	-0.0175609719
4	1305031453.5052180290	0.8561859131	0.8646393716	0.8731651306	0.0205851566	0.0157520000	0	0	209321984	0.0090445708	0.0136005376	-0.0297105927
5	1305031453.5383009911	0.8529866338	0.8623088241	0.8731651306	0.0190727736	0.0171820000	0	0	209321984	0.0101852007	0.0204806067	-0.0433912352
6	1305031453.5740740299	0.8467748761	0.8597198327	0.8731651306	0.0185150629	0.0188270000	0	0	209321984	0.0101315863	0.0282908436	-0.0579296313
7	1305031453.6053140163	0.8418625593	0.8571687937	0.8731651306	0.0183328305	0.0180670000	0	0	209321984	0.0129593443	0.0333761312	-0.0755450428
8	1305031453.6369509697	0.8435468674	0.8554660529	0.8731651306	0.0184412612	0.0179910000	0	0	209321984	0.0070820116	0.0425350592	-0.0922115222
9	1305031453.6731851101	0.8411763906	0.8538783126	0.8731651306	0.0185713222	0.0180870000	0	0	209321984	-0.0013583964	0.0503267646	-0.1087412387
10	1305031453.7054870129	0.8410632014	0.8525968015	0.8731651306	0.0182451231	0.0168430000	0	0	209321984	-0.0079620481	0.0574577600	-0.1250497699
11	1305031453.7368559837	0.8462352753	0.8520184810	0.8731651306	0.0198023103	0.0180040000	0	0	209321984	-0.0226706546	0.0705833435	-0.1379967183
12	1305031453.7737860680	0.8451911807	0.8514495393	0.8731651306	0.0197876506	0.0178960000	0	0	209321984	-0.0365063809	0.0769296288	-0.1510380656
13	1305031453.8050410748	0.8394163251	0.8505239074	0.8731651306	0.0196310196	0.0169460000	0	0	209321984	-0.0373215899	0.0860674754	-0.1644685864
14	1305031453.8403520584	0.8344480395	0.8493756311	0.8731651306	0.0207233589	0.0180110000	0	0	209321984	-0.0460397787	0.0927129015	-0.1758151054
15	1305031453.8696179390	0.8461313844	0.8491593480	0.8731651306	0.0213324945	0.0190920000	0	0	209321984	-0.0683367476	0.1010232791	-0.1866951436
16	1305031453.9055190086	0.8487196565	0.8491318673	0.8731651306	0.0215452926	0.0182960000	0	0	209321984	-0.0794955492	0.1132252738	-0.1951043606
17	1305031453.9400119781	0.8389477730	0.8485328029	0.8731651306	0.0214364431	0.0178020000	0	0	209321984	-0.0803772062	0.1139660776	-0.2050103992
18	1305031453.9725921154	0.8354104757	0.8478037847	0.8731651306	0.0218666812	0.0177890000	0	0	209321984	-0.0880474150	0.1153610796	-0.2084023505
19	1305031454.0031790733	0.8314816356	0.8469447243	0.8731651306	0.0216118624	0.0176600000	0	0	209321984	-0.0965943038	0.1151838526	-0.2090933323
20	1305031454.0409760475	0.8279159069	0.8459932834	0.8731651306	0.0217226226	0.0174710000	0	0	209321984	-0.1063579619	0.1176098883	-0.2120888829
21	1305031454.0726900101	0.8273457289	0.8451053046	0.8731651306	0.0220189930	0.0176470000	0	0	209321984	-0.1153742149	0.1235298663	-0.2124963999
22	1305031454.1046190262	0.8273010254	0.8442960192	0.8731651306	0.0217027748	0.0169280000	0	0	209321984	-0.1236625463	0.1203091294	-0.2188866884
23	1305031454.1410300732	0.8220466375	0.8433286548	0.8731651306	0.0229897912	0.0173500000	0	0	209321984	-0.1323529929	0.1248041689	-0.2161429524
24	1305031454.1726880074	0.8276634812	0.8426759392	0.8731651306	0.0234315515	0.0187750000	0	0	209321984	-0.1483255923	0.1334408820	-0.2153489143
25	1305031454.2046260834	0.8252084255	0.8419772387	0.8731651306	0.0235095229	0.0183350000	0	0	209321984	-0.1585736126	0.1335711479	-0.2111331522
26	1305031454.2408580780	0.8183322549	0.8410678162	0.8731651306	0.0237118762	0.0184480000	0	0	209321984	-0.1678410321	0.1243168935	-0.2085643113
27	1305031454.2734889984	0.8126534820	0.8400154335	0.8731651306	0.0254514607	0.0177110000	0	0	209321984	-0.1712242663	0.1314838380	-0.2032801509
28	1305031454.3047440052	0.8132951260	0.8390611368	0.8731651306	0.0252813465	0.0180020000	0	0	209321984	-0.1790836453	0.1374585927	-0.2032722831
29	1305031454.3408060074	0.8158175945	0.8382596353	0.8731651306	0.0248897564	0.0174620000	0	0	209321984	-0.1915869415	0.1282576919	-0.2097249925
30	1305031454.3726520538	0.8132416010	0.8374257008	0.8731651306	0.0259547703	0.0172560000	0	0	209321984	-0.1964329183	0.1375417560	-0.2057039440
31	1305031454.4019620419	0.8139877915	0.8366696392	0.8731651306	0.0259257667	0.0169940000	0	0	209321984	-0.2020345628	0.1418667287	-0.2084921598
32	1305031454.4372479916	0.8169873357	0.8360545672	0.8731651306	0.0258180095	0.0178800000	0	0	209321984	-0.2114904523	0.1461544037	-0.2098530531
33	1305031454.4707410336	0.8087484837	0.8352271102	0.8731651306	0.0268118170	0.0181350000	0	0	209321984	-0.2114022672	0.1478309482	-0.2094352990
34	1305031454.5038590431	0.8036144972	0.8342973274	0.8731651306	0.0271441131	0.0172340000	0	0	209321984	-0.2133202404	0.1505926549	-0.2078594267
35	1305031454.5384240150	0.8033062220	0.8334118673	0.8731651306	0.0273696148	0.0184660000	0	0	209321984	-0.2171933949	0.1610355228	-0.2078094184
36	1305031454.5703229904	0.8072329760	0.8326846759	0.8731651306	0.0290829588	0.0182320000	0	0	209321984	-0.2266882360	0.1731936038	-0.2098667622
37	1305031454.6020190716	0.8099085689	0.8320691054	0.8731651306	0.0289521493	0.0174040000	0	0	209321984	-0.2331991792	0.1788929999	-0.2122669369
38	1305031454.6392838955	0.8038176298	0.8313256455	0.8731651306	0.0287728477	0.0185570000	0	0	209321984	-0.2308297306	0.1789682359	-0.2119326591
39	1305031454.6695730686	0.8026902676	0.8305914050	0.8731651306	0.0291633719	0.0184750000	0	0	209321984	-0.2316216379	0.1884188354	-0.2124118805
40	1305031454.7020299435	0.8026565313	0.8298930332	0.8731651306	0.0289822760	0.0176650000	0	0	209321984	-0.2325035334	0.1933127344	-0.2142104059
41	1305031454.7407639027	0.7872448564	0.8288528338	0.8731651306	0.0291240242	0.0175260000	0	0	209321984	-0.2242566049	0.1930170655	-0.2032053024
42	1305031454.7728650570	0.7792803645	0.8276725369	0.8731651306	0.0293505951	0.0190230000	0	0	209321984	-0.2155055702	0.1986894011	-0.2014717162
43	1305031454.8025739193	0.7757340670	0.8264646655	0.8731651306	0.0291911084	0.0195530000	0	0	209321984	-0.2112622559	0.2055747360	-0.2015205324
44	1305031454.8405001163	0.7649683356	0.8250670216	0.8731651306	0.0289236800	0.0187110000	0	0	209321984	-0.2015463263	0.2125162035	-0.1985752881
45	1305031454.8702690601	0.7606998682	0.8236366404	0.8731651306	0.0289333535	0.0184890000	0	0	209321984	-0.1989705563	0.2162983865	-0.1988693327
46	1305031454.9010651112	0.7550377846	0.8221453610	0.8731651306	0.0286986670	0.0183820000	0	0	209321984	-0.1961895525	0.2221619189	-0.1979835629
47	1305031454.9402399063	0.7524659038	0.8206628193	0.8731651306	0.0285627942	0.0178080000	0	0	209321984	-0.1953513920	0.2340248078	-0.2023475915
48	1305031454.9730811119	0.7528484464	0.8192500199	0.8731651306	0.0284778010	0.0181310000	0	0	209321984	-0.1978600770	0.2424224317	-0.2081699967
49	1305031455.0107591152	0.7517264485	0.8178719878	0.8731651306	0.0284366538	0.0187820000	0	0	209321984	-0.2031266391	0.2506036460	-0.2143043280
50	1305031455.0404460430	0.7465932369	0.8164464128	0.8731651306	0.0281732124	0.0191960000	0	0	209321984	-0.2032037824	0.2597770095	-0.2175319791
51	1305031455.0742819309	0.7433543801	0.8150132357	0.8731651306	0.0281134119	0.0186520000	0	0	209321984	-0.2077389956	0.2664769888	-0.2201907933
52	1305031455.1103401184	0.7380692959	0.8135335445	0.8731651306	0.0279092610	0.0189050000	0	0	209321984	-0.2129146159	0.2733405530	-0.2255174369
53	1305031455.1426999569	0.7384120822	0.8121161585	0.8731651306	0.0277055175	0.0185840000	0	0	209321984	-0.2183220834	0.2865665257	-0.2316205353
54	1305031455.1727709770	0.7399369478	0.8107795064	0.8731651306	0.0275750679	0.0186220000	0	0	209321984	-0.2268593907	0.2935559750	-0.2381008267
