SLAMBench Report run started:	2020-02-28 08:02:56

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM1DESK2-ORB-RND-030.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_desk2.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libskip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-probability: 0.3

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031526.6883559227	0.9578389525	0.9578389525	0.9578389525	0.0000000000	0.0154750000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305031526.7886810303	0.9320514202	0.9449451864	0.9578389525	0.2309920788	0.0367960000	0	0	209321984	0.0093981978	-0.0041860500	-0.0229951777
3	1305031526.8226430416	0.9360568523	0.9419824084	0.9578389525	0.1806096567	0.0175370000	0	0	209321984	-0.0051409332	-0.0008844640	-0.0445001647
4	1305031526.8714458942	0.9336546659	0.9399004728	0.9578389525	0.1739312922	0.0166300000	0	0	209321984	-0.0125398077	0.0067343945	-0.0677134171
5	1305031526.9074840546	0.9362744093	0.9391752601	0.9578389525	0.1582106530	0.0145680000	0	0	209321984	-0.0245352630	0.0154150575	-0.0821361095
6	1305031526.9715099335	0.9237347245	0.9366018375	0.9578389525	0.1543367379	0.0174410000	0	0	209321984	-0.0287776180	0.0145639088	-0.1025084704
7	1305031527.0395119190	0.9209256768	0.9343623860	0.9578389525	0.1496594648	0.0168830000	0	0	209321984	-0.0417347103	0.0229394883	-0.1226254329
8	1305031527.0714869499	0.9192531705	0.9324737340	0.9578389525	0.1405860616	0.0148950000	0	0	209321984	-0.0442088768	0.0299999639	-0.1337762177
9	1305031527.1394729614	0.9245730639	0.9315958818	0.9578389525	0.1345268332	0.0152690000	0	0	209321984	-0.0599443540	0.0460471772	-0.1473237723
10	1305031527.2075879574	0.9237056375	0.9308068573	0.9578389525	0.1274522321	0.0165470000	0	0	209321984	-0.0642930046	0.0553705916	-0.1667624116
