SLAMBench Report run started:	2020-02-28 07:54:42

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM1FLOOR-ORB-DEP-00020.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_floor.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305033527.6991019249	0.2958854437	0.2958854437	0.2958854437	0.0000000000	0.0142510000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305033527.7311398983	0.2933160365	0.2946007401	0.2958854437	0.0171807464	0.0195770000	0	0	209321984	-0.0025866430	0.0052798241	-0.0061769853
3	1305033527.7675058842	0.2920740247	0.2937585016	0.2958854437	0.0155091429	0.0160730000	0	0	209321984	-0.0047986149	0.0123234438	-0.0116441222
4	1305033527.8310930729	0.2920506299	0.2933315337	0.2958854437	0.0149196003	0.0156450000	0	0	209321984	-0.0051134895	0.0173066985	-0.0207003318
5	1305033527.8987851143	0.2933506668	0.2933353603	0.2958854437	0.0159137999	0.0172430000	0	0	209321984	-0.0032473058	0.0208936725	-0.0291025359
6	1305033527.9311521053	0.2936916351	0.2933947394	0.2958854437	0.0158985054	0.0190120000	0	0	209321984	-0.0028428698	0.0222312827	-0.0316131338
7	1305033527.9675810337	0.2934501469	0.2934026548	0.2958854437	0.0145560291	0.0178570000	0	0	209321984	-0.0038241888	0.0247624852	-0.0346224941
8	1305033528.0675320625	0.2904184461	0.2930296287	0.2958854437	0.0151572895	0.0172170000	0	0	209321984	-0.0057494487	0.0281003378	-0.0406939089
9	1305033528.1311550140	0.2894887626	0.2926361991	0.2958854437	0.0144843305	0.0170720000	0	0	209321984	-0.0051734513	0.0273344629	-0.0405142196
10	1305033528.1677141190	0.2898584604	0.2923584253	0.2958854437	0.0142807046	0.0171150000	0	0	209321984	-0.0045350390	0.0231393706	-0.0401171856
