SLAMBench Report run started:	2020-02-28 07:58:15

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM1FLOOR-ORB-RND-030.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_floor.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libskip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-probability: 0.3

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305033527.6700339317	0.2903554440	0.2903554440	0.2903554440	0.0000000000	0.0160540000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305033527.7019839287	0.2874168754	0.2888861597	0.2903554440	0.0096972231	0.0198290000	0	0	209321984	-0.0026097766	0.0054657860	-0.0064180917
3	1305033527.8019809723	0.2864761353	0.2880828182	0.2903554440	0.0195803703	0.0156340000	0	0	209321984	-0.0045423890	0.0173845310	-0.0215196926
4	1305033527.9019598961	0.2896917164	0.2884850428	0.2903554440	0.0198812639	0.0166770000	0	0	209321984	-0.0026334147	0.0240352657	-0.0312747322
5	1305033527.9675810337	0.2930319905	0.2893944323	0.2930319905	0.0180104562	0.0188370000	0	0	209321984	-0.0033866302	0.0252446868	-0.0348098427
6	1305033527.9992790222	0.2924003601	0.2898954203	0.2930319905	0.0162578374	0.0181250000	0	0	209321984	-0.0034775140	0.0264793094	-0.0376373231
7	1305033528.1677141190	0.2904320359	0.2899720797	0.2930319905	0.0188494169	0.0184810000	0	0	209321984	-0.0045399736	0.0235917550	-0.0388595648
8	1305033528.2313840389	0.2899890542	0.2899742015	0.2930319905	0.0177580686	0.0169430000	0	0	209321984	-0.0050369371	0.0199615024	-0.0348519124
9	1305033528.2699530125	0.2939917445	0.2904205951	0.2939917445	0.0176886919	0.0189700000	0	0	209321984	-0.0001296019	0.0167201329	-0.0269433111
10	1305033528.3339729309	0.2966358662	0.2910421222	0.2966358662	0.0175849061	0.0169970000	0	0	209321984	0.0016252643	0.0134149371	-0.0172218811
11	1305033528.4312500954	0.2974252105	0.2916224030	0.2974252105	0.0178110647	0.0163790000	0	0	209321984	0.0066208146	0.0043476322	-0.0061521237
12	1305033528.5312950611	0.3027624488	0.2925507401	0.3027624488	0.0172019983	0.0163240000	0	0	209321984	0.0093926508	-0.0060260799	0.0136914225
13	1305033528.5987579823	0.3110463917	0.2939734826	0.3110463917	0.0167258604	0.0158170000	0	0	209321984	0.0146891568	-0.0190998018	0.0302223861
14	1305033528.6310110092	0.3164000809	0.2955753825	0.3164000809	0.0162478939	0.0174050000	0	0	209321984	0.0188178048	-0.0250298418	0.0391064174
15	1305033528.6664218903	0.3196617663	0.2971811414	0.3196617663	0.0163033694	0.0188760000	0	0	209321984	0.0222510435	-0.0291870926	0.0481636450
16	1305033528.7020080090	0.3362406790	0.2996223625	0.3362406790	0.0166672313	0.0173690000	0	0	209321984	0.0341755040	-0.0425179005	0.0670836642
17	1305033528.7340478897	0.3415727913	0.3020900348	0.3415727913	0.0162596243	0.0168800000	0	0	209321984	0.0377252065	-0.0473101735	0.0764255971
18	1305033528.7700450420	0.3486958742	0.3046792481	0.3486958742	0.0159144444	0.0162270000	0	0	209321984	0.0449506007	-0.0546021909	0.0881265849
19	1305033528.8343579769	0.3622325957	0.3077083716	0.3622325957	0.0164589121	0.0160220000	0	0	209321984	0.0526631474	-0.0675425380	0.1061621681
20	1305033528.8701651096	0.3680666685	0.3107262865	0.3680666685	0.0162106818	0.0177540000	0	0	209321984	0.0588252842	-0.0741626024	0.1159376875
21	1305033528.9020919800	0.3764531612	0.3138561377	0.3764531612	0.0158804018	0.0183920000	0	0	209321984	0.0626875460	-0.0828825235	0.1252837777
22	1305033528.9342629910	0.3818142414	0.3169451424	0.3818142414	0.0157295148	0.0175640000	0	0	209321984	0.0687471405	-0.0870396048	0.1352903992
23	1305033529.0339078903	0.3929597139	0.3202501237	0.3929597139	0.0165145513	0.0169900000	0	0	209321984	0.0784214810	-0.0996510610	0.1563160568
24	1305033529.0698719025	0.4116586745	0.3240588134	0.4116586745	0.0165618636	0.0164880000	0	0	209321984	0.0839976594	-0.1176817566	0.1750478745
25	1305033529.1333549023	0.4147779047	0.3276875770	0.4147779047	0.0167044141	0.0159480000	0	0	209321984	0.0871335566	-0.1245521307	0.1843352467
26	1305033529.1628940105	0.4218806624	0.3313103880	0.4218806624	0.0165214829	0.0172800000	0	0	209321984	0.0901609436	-0.1333262622	0.1929363757
27	1305033529.1984119415	0.4279287457	0.3348888457	0.4279287457	0.0166786697	0.0189010000	0	0	209321984	0.0938688591	-0.1407813728	0.2030134797
28	1305033529.2335970402	0.4333143234	0.3384040413	0.4333143234	0.0165290717	0.0175270000	0	0	209321984	0.0998222530	-0.1479603648	0.2131204158
29	1305033529.2701570988	0.4519775212	0.3423203682	0.4519775212	0.0166746330	0.0171570000	0	0	209321984	0.1025754213	-0.1659351736	0.2329806387
30	1305033529.3309509754	0.4548068345	0.3460699171	0.4548068345	0.0172240139	0.0213020000	0	0	209321984	0.1054564640	-0.1724992096	0.2430821955
31	1305033529.3675329685	0.4618658423	0.3498052695	0.4618658423	0.0172510185	0.0167590000	0	0	209321984	0.1096883491	-0.1815071851	0.2545109093
32	1305033529.3966119289	0.4692363739	0.3535374915	0.4692363739	0.0170413522	0.0161890000	0	0	209321984	0.1107399315	-0.1900921613	0.2644272149
33	1305033529.4343659878	0.4870546162	0.3575834650	0.4870546162	0.0171944753	0.0180590000	0	0	209321984	0.1125772744	-0.2058564425	0.2837769687
34	1305033529.5325069427	0.4990884662	0.3617453768	0.4990884662	0.0184931826	0.0192820000	0	0	209321984	0.1152659506	-0.2256710678	0.3044265807
35	1305033529.6346130371	0.5209581256	0.3662943125	0.5209581256	0.0189684764	0.0177310000	0	0	209321984	0.1165006310	-0.2482289672	0.3379484117
36	1305033529.6992359161	0.5330805182	0.3709272626	0.5330805182	0.0197306142	0.0170740000	0	0	209321984	0.1241502091	-0.2641530931	0.3616567254
37	1305033529.7352778912	0.5565437675	0.3759439249	0.5565437675	0.0197145026	0.0169120000	0	0	209321984	0.1228545085	-0.2832061648	0.3873096406
38	1305033529.7992370129	0.5596753359	0.3807789621	0.5596753359	0.0212858622	0.0188460000	0	0	209321984	0.1234978735	-0.2926310301	0.3975858390
39	1305033529.8984179497	0.5755789876	0.3857738345	0.5755789876	0.0224841682	0.0195190000	0	0	209321984	0.1246610880	-0.3099183142	0.4236448407
40	1305033529.9344489574	0.6066222787	0.3912950456	0.6066222787	0.0230980475	0.0176460000	0	0	209321984	0.1244621426	-0.3323628008	0.4605295062
41	1305033530.0023190975	0.6241630912	0.3969747540	0.6241630912	0.0230067120	0.0172040000	0	0	209321984	0.1274364293	-0.3527121246	0.4836001098
42	1305033530.0345389843	0.6339583397	0.4026172204	0.6339583397	0.0228181851	0.0168620000	0	0	209321984	0.1284043193	-0.3599892855	0.4969613254
43	1305033530.1329200268	0.6447015405	0.4082470883	0.6447015405	0.0231391426	0.0164570000	0	0	209321984	0.1311702728	-0.3694869280	0.5119152069
44	1305033530.2343549728	0.6960295439	0.4147875986	0.6960295439	0.0244413709	0.0176560000	0	0	209321984	0.1459404975	-0.4092531800	0.5819298029
45	1305033530.2700889111	0.7090770006	0.4213273631	0.7090770006	0.0242335270	0.0189280000	0	0	209321984	0.1489806622	-0.4176799059	0.5983501077
46	1305033530.3344349861	0.7341514230	0.4281278862	0.7341514230	0.0242415221	0.0179280000	0	0	209321984	0.1560058594	-0.4355093539	0.6308597922
47	1305033530.4339389801	0.7669671178	0.4353372315	0.7669671178	0.0246068455	0.0173300000	0	0	209321984	0.1736641824	-0.4581336379	0.6758167744
48	1305033530.4700009823	0.7823428512	0.4425665153	0.7823428512	0.0244123825	0.0175300000	0	0	209321984	0.1754453480	-0.4671097696	0.6911872029
49	1305033530.5340650082	0.8028331995	0.4499188966	0.8028331995	0.0243530335	0.0171660000	0	0	209321984	0.1890466958	-0.4843545258	0.7206202745
50	1305033530.5700109005	0.8161737323	0.4572439933	0.8161737323	0.0241852056	0.0169320000	0	0	209321984	0.1919580400	-0.4917803705	0.7358437181
51	1305033530.6345729828	0.8372482061	0.4646950563	0.8372482061	0.0242327224	0.0163700000	0	0	209321984	0.2008768469	-0.5078024268	0.7641341090
52	1305033530.6700530052	0.8482746482	0.4720715869	0.8482746482	0.0240520280	0.0176910000	0	0	209321984	0.2038655281	-0.5195969939	0.7755333185
53	1305033530.7656109333	0.8690611720	0.4795619564	0.8690611720	0.0242321189	0.0194800000	0	0	209321984	0.2102576196	-0.5365493894	0.8001961112
54	1305033530.8309910297	0.8877364397	0.4871207432	0.8877364397	0.0242421960	0.0175140000	0	0	209321984	0.2159756869	-0.5549204350	0.8228541017
55	1305033530.9031939507	0.9125344157	0.4948555372	0.9125344157	0.0244585216	0.0174500000	0	0	209321984	0.2210978121	-0.5790293813	0.8527904749
56	1305033530.9663140774	0.9209322333	0.5024640496	0.9209322333	0.0246110899	0.0172260000	0	0	209321984	0.2230213583	-0.5851732492	0.8625423908
57	1305033531.0668129921	0.9383507967	0.5101111855	0.9383507967	0.0245792595	0.0169990000	0	0	209321984	0.2242212743	-0.5998924375	0.8848888874
58	1305033531.1030819416	0.9429206252	0.5175734173	0.9429206252	0.0243717892	0.0168770000	0	0	209321984	0.2240682989	-0.6043192148	0.8910189867
59	1305033531.2034180164	0.9498005509	0.5248993009	0.9498005509	0.0241973131	0.0166800000	0	0	209321984	0.2201669216	-0.6082184315	0.9018721581
60	1305033531.2342069149	0.9490928650	0.5319691936	0.9498005509	0.0239967237	0.0164030000	0	0	209321984	0.2203127146	-0.6073490977	0.9033765793
61	1305033531.2726709843	0.9491996169	0.5388090366	0.9498005509	0.0238016137	0.0162050000	0	0	209321984	0.2163256705	-0.6060268879	0.9024552107
62	1305033531.3032050133	0.9462089539	0.5453800030	0.9498005509	0.0236298527	0.0162030000	0	0	209321984	0.2167964280	-0.6043978333	0.9017124772
63	1305033531.3350009918	0.9435231090	0.5516997349	0.9498005509	0.0234509355	0.0162040000	0	0	209321984	0.2155311555	-0.6002128720	0.8998686671
64	1305033531.4033470154	0.9365717769	0.5577133605	0.9498005509	0.0233712989	0.0164810000	0	0	209321984	0.2144253552	-0.5956081152	0.8942958117
65	1305033531.4354269505	0.9308058619	0.5634532452	0.9498005509	0.0232077577	0.0166880000	0	0	209321984	0.2158700824	-0.5912814736	0.8909239173
66	1305033531.4703099728	0.9287135601	0.5689874924	0.9498005509	0.0230453370	0.0164720000	0	0	209321984	0.2124567628	-0.5890500546	0.8860628605
67	1305033531.5714519024	0.9144819975	0.5741441268	0.9498005509	0.0229957556	0.0166690000	0	0	209321984	0.2089413553	-0.5757623315	0.8687192202
68	1305033531.6356050968	0.9039348960	0.5789939910	0.9498005509	0.0229935348	0.0165940000	0	0	209321984	0.2038787007	-0.5662806034	0.8523747325
69	1305033531.6716499329	0.8974063993	0.5836086636	0.9498005509	0.0228707227	0.0168740000	0	0	209321984	0.2029830068	-0.5639430881	0.8443741798
70	1305033531.7713840008	0.8785620928	0.5878222840	0.9498005509	0.0240742614	0.0166450000	0	0	209321984	0.1877865940	-0.5499131680	0.8131312728
71	1305033531.8027009964	0.8691913486	0.5917852286	0.9498005509	0.0240027785	0.0168100000	0	0	209321984	0.1855423599	-0.5469122529	0.8006148338
72	1305033531.8338410854	0.8639401197	0.5955651576	0.9498005509	0.0238725531	0.0166040000	0	0	209321984	0.1780926287	-0.5412552357	0.7909407020
73	1305033531.8726329803	0.8562479615	0.5991361549	0.9498005509	0.0237877556	0.0169160000	0	0	209321984	0.1700171679	-0.5335159302	0.7805880308
74	1305033531.9714770317	0.8350000381	0.6023235047	0.9498005509	0.0238617627	0.0166510000	0	0	209321984	0.1623995900	-0.5211794972	0.7643895745
75	1305033532.0032329559	0.8284849524	0.6053389907	0.9498005509	0.0237948636	0.0168040000	0	0	209321984	0.1563895941	-0.5198605657	0.7524585128
76	1305033532.0337920189	0.8175765276	0.6081315899	0.9498005509	0.0237984937	0.0165890000	0	0	209321984	0.1434496045	-0.5054346323	0.7319298983
77	1305033532.1018910408	0.8036566377	0.6106708762	0.9498005509	0.0239107762	0.0168200000	0	0	209321984	0.1302009523	-0.4912812710	0.7162395716
78	1305033532.1351530552	0.7919967175	0.6129955665	0.9498005509	0.0238037404	0.0168040000	0	0	209321984	0.1276242137	-0.4839371145	0.7043439746
79	1305033532.2035748959	0.7809839845	0.6151220021	0.9498005509	0.0237032151	0.0170050000	0	0	209321984	0.1199520677	-0.4799663126	0.6928906441
80	1305033532.3354079723	0.7466006279	0.6167654850	0.9498005509	0.0242284226	0.0172200000	0	0	209321984	0.1009999812	-0.4564679265	0.6421140432
81	1305033532.3718729019	0.7393506765	0.6182788824	0.9498005509	0.0240982919	0.0183460000	0	0	209321984	0.0981828049	-0.4484157562	0.6354094148
82	1305033532.4032669067	0.7331441641	0.6196796785	0.9498005509	0.0239601613	0.0197240000	0	0	209321984	0.0952648446	-0.4430736005	0.6263517737
83	1305033532.4351179600	0.7240333557	0.6209369517	0.9498005509	0.0238357141	0.0186220000	0	0	209321984	0.0969408825	-0.4394227862	0.6164514422
84	1305033532.4719278812	0.7180282474	0.6220928005	0.9498005509	0.0237068467	0.0182590000	0	0	209321984	0.0948358029	-0.4336997569	0.6079144478
85	1305033532.5020589828	0.7118059397	0.6231482492	0.9498005509	0.0235811549	0.0178120000	0	0	209321984	0.0923919380	-0.4285714626	0.5982049108
86	1305033532.5715630054	0.6973156333	0.6240106606	0.9498005509	0.0234918122	0.0179800000	0	0	209321984	0.0872446895	-0.4148283601	0.5770380497
87	1305033532.6356830597	0.6826565266	0.6246847510	0.9498005509	0.0234267276	0.0182120000	0	0	209321984	0.0812127665	-0.3985596001	0.5580441952
88	1305033532.7021160126	0.6691749096	0.6251903210	0.9498005509	0.0233861714	0.0173370000	0	0	209321984	0.0738567412	-0.3882096708	0.5371569395
89	1305033532.7721099854	0.6520822048	0.6254924770	0.9498005509	0.0233296778	0.0172330000	0	0	209321984	0.0689086244	-0.3718240559	0.5165275931
90	1305033532.8396480083	0.6329519153	0.6255753597	0.9498005509	0.0232677337	0.0183980000	0	0	209321984	0.0691670179	-0.3550877869	0.4965508878
91	1305033532.8712139130	0.6282369494	0.6256046079	0.9498005509	0.0231790439	0.0196950000	0	0	209321984	0.0639421642	-0.3486284316	0.4866051674
92	1305033532.9034240246	0.6172503829	0.6255138011	0.9498005509	0.0231012487	0.0178890000	0	0	209321984	0.0635180175	-0.3403315544	0.4735797048
93	1305033532.9707911015	0.6050198674	0.6252934362	0.9498005509	0.0230559123	0.0181090000	0	0	209321984	0.0573116690	-0.3252023458	0.4567307830
94	1305033533.1019699574	0.5805735588	0.6248176929	0.9498005509	0.0236427295	0.0170620000	0	0	209321984	0.0545254201	-0.3067556024	0.4258889556
95	1305033533.1377019882	0.5700575113	0.6242412699	0.9498005509	0.0237020528	0.0166320000	0	0	209321984	0.0525275990	-0.3054724336	0.4084276855
96	1305033533.1698789597	0.5602566600	0.6235747635	0.9498005509	0.0236163640	0.0167990000	0	0	209321984	0.0590358451	-0.2976869941	0.4065063894
97	1305033533.2386538982	0.5573130250	0.6228916528	0.9498005509	0.0240130209	0.0180970000	0	0	209321984	0.0460712761	-0.2891244292	0.3983346224
98	1305033533.2706151009	0.5531624556	0.6221801304	0.9498005509	0.0239486354	0.0187070000	0	0	209321984	0.0454322547	-0.2889439464	0.3939362764
99	1305033533.3024909496	0.5501616597	0.6214526711	0.9498005509	0.0238796443	0.0175640000	0	0	209321984	0.0424944758	-0.2861522436	0.3917366564
100	1305033533.3383309841	0.5434477329	0.6206726217	0.9498005509	0.0240205440	0.0169680000	0	0	209321984	0.0388458520	-0.2860663235	0.3828493953
101	1305033533.3699231148	0.5393986702	0.6198679291	0.9498005509	0.0239902250	0.0170550000	0	0	209321984	0.0376169980	-0.2867422700	0.3797274232
