SLAMBench Report run started:	2020-02-28 07:23:50

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM1RPY-ORB-DEP-00020.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_rpy.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031229.5644419193	0.0642096922	0.0642096922	0.0642096922	0.0000000000	0.0136710000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305031229.5966169834	0.0787112266	0.0714604594	0.0787112266	0.0539247803	0.0198820000	0	0	209321984	0.0271162894	-0.0074946238	-0.0100345137
3	1305031229.6287899017	0.0747852772	0.0725687320	0.0787112266	0.0392093185	0.0177700000	0	0	209321984	0.0220334344	-0.0040821307	-0.0046706442
4	1305031229.6646571159	0.0878467262	0.0763882305	0.0878467262	0.0393866171	0.0177810000	0	0	209321984	0.0328529775	-0.0214692187	-0.0052771890
5	1305031229.6968429089	0.0912024230	0.0793510690	0.0912024230	0.0342451464	0.0174330000	0	0	209321984	0.0369028226	-0.0220538601	-0.0041768402
6	1305031229.7290771008	0.0772018582	0.0789928672	0.0912024230	0.0323732783	0.0174230000	0	0	209321984	0.0244735200	-0.0090059778	0.0041194800
7	1305031229.7648689747	0.0827258825	0.0795261551	0.0912024230	0.0305211910	0.0170150000	0	0	209321984	0.0286268201	-0.0170403440	0.0062099826
8	1305031229.7969229221	0.0799265206	0.0795762008	0.0912024230	0.0286837514	0.0171050000	0	0	209321984	0.0257321615	-0.0167862438	0.0109335817
9	1305031229.8256299496	0.0827016532	0.0799234733	0.0912024230	0.0269719083	0.0168250000	0	0	209321984	0.0233641174	-0.0156007623	0.0079935789
10	1305031229.8630619049	0.0856755972	0.0804986857	0.0912024230	0.0263546801	0.0172700000	0	0	209321984	0.0257335231	-0.0189684834	0.0096197017
