SLAMBench Report run started:	2020-02-28 07:20:38

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM1XYZ-ORB-INT-00080.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_xyz.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libint-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031102.1753039360	0.0253988300	0.0253988300	0.0253988300	0.0000000000	0.0280050000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305031102.2112140656	0.0281521510	0.0267754905	0.0281521510	0.0141205965	0.0221440000	0	0	209321984	-0.0010787436	0.0071500842	0.0118061211
3	1305031102.2432110310	0.0225932207	0.0253814006	0.0281521510	0.0102141450	0.0175290000	0	0	209321984	-0.0014444139	0.0053825891	0.0250672325
4	1305031102.2753260136	0.0198104177	0.0239886548	0.0281521510	0.0090421440	0.0171430000	0	0	209321984	-0.0021976086	0.0066494416	0.0369986258
5	1305031102.3112668991	0.0144808218	0.0220870882	0.0281521510	0.0081072615	0.0168480000	0	0	209321984	-0.0013384218	0.0046525439	0.0501488782
6	1305031102.3432331085	0.0125167603	0.0204920336	0.0281521510	0.0078606288	0.0169750000	0	0	209321984	-0.0021371208	0.0055216271	0.0617998913
7	1305031102.3753290176	0.0107145812	0.0190952547	0.0281521510	0.0072819962	0.0167310000	0	0	209321984	-0.0033524591	0.0062017166	0.0739720389
8	1305031102.4112579823	0.0084780362	0.0177681023	0.0281521510	0.0096581336	0.0163100000	0	0	209321984	-0.0075639859	0.0116220890	0.0845228061
9	1305031102.4432709217	0.0119229639	0.0171186425	0.0281521510	0.0102987521	0.0172570000	0	0	209321984	-0.0069073439	0.0181980468	0.0958772451
10	1305031102.4753179550	0.0126169305	0.0166684713	0.0281521510	0.0097115565	0.0228690000	0	0	209321984	-0.0044536381	0.0171724986	0.1098196805
11	1305031102.5112190247	0.0131902127	0.0163522660	0.0281521510	0.0093427973	0.0296080000	0	0	209321984	-0.0043663811	0.0177881420	0.1222778782
12	1305031102.5432200432	0.0150631582	0.0162448403	0.0281521510	0.0089572223	0.0198290000	0	0	209321984	-0.0066828006	0.0140301771	0.1351600438
13	1305031102.5752859116	0.0235768259	0.0168088392	0.0281521510	0.0089942988	0.0179420000	0	0	209321984	-0.0048960671	0.0094088502	0.1498558819
14	1305031102.6112329960	0.0256183781	0.0174380920	0.0281521510	0.0087408233	0.0177610000	0	0	209321984	-0.0089635309	0.0075621717	0.1606706083
15	1305031102.6432650089	0.0183323286	0.0174977078	0.0281521510	0.0093508758	0.0193950000	0	0	209321984	-0.0157872476	0.0170149710	0.1702061892
16	1305031102.6752851009	0.0214242060	0.0177431139	0.0281521510	0.0090908277	0.0297920000	0	0	209321984	-0.0148601327	0.0201091785	0.1837657094
17	1305031102.7112629414	0.0260921996	0.0182342366	0.0281521510	0.0090880317	0.0223480000	0	0	209321984	-0.0141464248	0.0207203496	0.1969025284
18	1305031102.7432339191	0.0249583740	0.0186077998	0.0281521510	0.0090632522	0.0181880000	0	0	209321984	-0.0141571946	0.0281309262	0.2093830705
19	1305031102.7754719257	0.0304635409	0.0192317862	0.0304635409	0.0088669266	0.0177600000	0	0	209321984	-0.0120774973	0.0289795063	0.2229656726
20	1305031102.8112320900	0.0318178758	0.0198610906	0.0318178758	0.0088319719	0.0174590000	0	0	209321984	-0.0141517604	0.0323663540	0.2347907871
21	1305031102.8432900906	0.0367098339	0.0206634118	0.0367098339	0.0086605104	0.0171950000	0	0	209321984	-0.0144643150	0.0327871367	0.2481388897
22	1305031102.8753631115	0.0383005701	0.0214651008	0.0383005701	0.0086500303	0.0189760000	0	0	209321984	-0.0181964636	0.0351986438	0.2595805526
23	1305031102.9111850262	0.0402306952	0.0222809962	0.0402306952	0.0084726161	0.0289360000	0	0	209321984	-0.0192694888	0.0388956256	0.2711347342
24	1305031102.9432289600	0.0413588658	0.0230759074	0.0413588658	0.0088529855	0.0238160000	0	0	209321984	-0.0267794207	0.0413923711	0.2825748622
25	1305031102.9752030373	0.0420389138	0.0238344277	0.0420389138	0.0088208869	0.0177780000	0	0	209321984	-0.0314468555	0.0461285710	0.2940476239
26	1305031103.0112149715	0.0442364700	0.0246191216	0.0442364700	0.0086649153	0.0178010000	0	0	209321984	-0.0302751064	0.0502609685	0.3056041598
27	1305031103.0432269573	0.0476693399	0.0254728334	0.0476693399	0.0084969771	0.0177630000	0	0	209321984	-0.0302470382	0.0527229086	0.3166773617
28	1305031103.0753190517	0.0537542850	0.0264828852	0.0537542850	0.0085997629	0.0182320000	0	0	209321984	-0.0259115547	0.0532086194	0.3279241621
29	1305031103.1112399101	0.0514417589	0.0273435361	0.0537542850	0.0087330499	0.0184440000	0	0	209321984	-0.0269143619	0.0607088879	0.3361548781
30	1305031103.1433179379	0.0550721399	0.0282678228	0.0550721399	0.0086488301	0.0179750000	0	0	209321984	-0.0260388404	0.0624675304	0.3459047973
31	1305031103.1754519939	0.0545135699	0.0291144599	0.0550721399	0.0085244272	0.0175680000	0	0	209321984	-0.0267494395	0.0673333257	0.3534930348
32	1305031103.2112200260	0.0542796068	0.0299008707	0.0550721399	0.0088681341	0.0184720000	0	0	209321984	-0.0277535692	0.0723416209	0.3609541357
33	1305031103.2432160378	0.0567382723	0.0307141253	0.0567382723	0.0087359660	0.0191240000	0	0	209321984	-0.0280827526	0.0740863830	0.3686358929
34	1305031103.2753698826	0.0578506179	0.0315122574	0.0578506179	0.0089024429	0.0173930000	0	0	209321984	-0.0343167372	0.0754206106	0.3759614825
35	1305031103.3112099171	0.0658873841	0.0324944039	0.0658873841	0.0094093305	0.0178520000	0	0	209321984	-0.0331453010	0.0700203627	0.3826526999
36	1305031103.3432230949	0.0664779544	0.0334383914	0.0664779544	0.0096460694	0.0184180000	0	0	209321984	-0.0264552161	0.0716666877	0.3846504092
37	1305031103.3753271103	0.0679651573	0.0343715472	0.0679651573	0.0095230750	0.0181330000	0	0	209321984	-0.0251864605	0.0695037395	0.3851003647
38	1305031103.4112598896	0.0698199794	0.0353044007	0.0698199794	0.0095115414	0.0183720000	0	0	209321984	-0.0269537531	0.0652522668	0.3846395016
39	1305031103.4432799816	0.0683299601	0.0361512099	0.0698199794	0.0094853756	0.0179230000	0	0	209321984	-0.0277547780	0.0640845969	0.3805908263
40	1305031103.4752740860	0.0703303963	0.0370056896	0.0703303963	0.0094509599	0.0178340000	0	0	209321984	-0.0264475252	0.0589919351	0.3765839338
41	1305031103.5113329887	0.0711940527	0.0378395521	0.0711940527	0.0093829148	0.0177670000	0	0	209321984	-0.0257668495	0.0532007478	0.3699804246
42	1305031103.5434439182	0.0686585382	0.0385733375	0.0711940527	0.0093097622	0.0173860000	0	0	209321984	-0.0257665794	0.0500063151	0.3614807129
43	1305031103.5754740238	0.0649154931	0.0391859458	0.0711940527	0.0092161376	0.0176130000	0	0	209321984	-0.0258188844	0.0481336340	0.3527717888
44	1305031103.6112229824	0.0610041842	0.0396818148	0.0711940527	0.0091683509	0.0171660000	0	0	209321984	-0.0266239531	0.0448764563	0.3418645561
45	1305031103.6434450150	0.0576185845	0.0400804097	0.0711940527	0.0090848528	0.0174620000	0	0	209321984	-0.0257004350	0.0413862318	0.3305184245
46	1305031103.6755230427	0.0556322262	0.0404184927	0.0711940527	0.0090419516	0.0178750000	0	0	209321984	-0.0223525986	0.0370458961	0.3190698624
47	1305031103.7116100788	0.0516751967	0.0406579970	0.0711940527	0.0089744439	0.0180720000	0	0	209321984	-0.0200695656	0.0337363146	0.3066450953
48	1305031103.7433259487	0.0515181534	0.0408842503	0.0711940527	0.0089401451	0.0179810000	0	0	209321984	-0.0166867077	0.0266933367	0.2941102982
49	1305031103.7753419876	0.0440356545	0.0409485646	0.0711940527	0.0088810224	0.0182710000	0	0	209321984	-0.0171564892	0.0255054981	0.2781034410
50	1305031103.8112421036	0.0381178968	0.0408919513	0.0711940527	0.0089870652	0.0182050000	0	0	209321984	-0.0157776345	0.0243697837	0.2637324631
51	1305031103.8432509899	0.0304548088	0.0406873014	0.0711940527	0.0089524861	0.0176630000	0	0	209321984	-0.0170705747	0.0243858732	0.2483289540
52	1305031103.8753609657	0.0349146426	0.0405762888	0.0711940527	0.0091601339	0.0188860000	0	0	209321984	-0.0184496939	0.0129707027	0.2385931015
53	1305031103.9112210274	0.0349970795	0.0404710207	0.0711940527	0.0094738589	0.0200190000	0	0	209321984	-0.0167389885	0.0065833628	0.2261969596
54	1305031103.9432110786	0.0311266650	0.0402979770	0.0711940527	0.0094103826	0.0184150000	0	0	209321984	-0.0143695297	0.0032932963	0.2096150368
55	1305031103.9753730297	0.0313273743	0.0401348752	0.0711940527	0.0094937432	0.0183420000	0	0	209321984	-0.0102457143	-0.0018882826	0.1969853938
56	1305031104.0112318993	0.0323119126	0.0399951794	0.0711940527	0.0096767230	0.0175710000	0	0	209321984	-0.0046631228	-0.0071928818	0.1839210987
57	1305031104.0432488918	0.0281043556	0.0397865685	0.0711940527	0.0096436791	0.0172540000	0	0	209321984	-0.0011002161	-0.0093949214	0.1668743789
58	1305031104.0754249096	0.0234510433	0.0395049215	0.0711940527	0.0095922963	0.0176400000	0	0	209321984	0.0007305909	-0.0093902806	0.1516056061
59	1305031104.1112349033	0.0250634998	0.0392601516	0.0711940527	0.0097091331	0.0172080000	0	0	209321984	0.0047871685	-0.0149137927	0.1406680048
60	1305031104.1432299614	0.0176044125	0.0388992226	0.0711940527	0.0097087980	0.0176490000	0	0	209321984	0.0011357944	-0.0197187588	0.1238850504
61	1305031104.1754240990	0.0145059014	0.0384993321	0.0711940527	0.0096483711	0.0178130000	0	0	209321984	0.0017833430	-0.0220008064	0.1092682332
62	1305031104.2112829685	0.0124243358	0.0380787677	0.0711940527	0.0096828167	0.0178370000	0	0	209321984	0.0018644622	-0.0264430232	0.0958718136
63	1305031104.2431960106	0.0123120062	0.0376697715	0.0711940527	0.0096319788	0.0176680000	0	0	209321984	0.0034974283	-0.0272878557	0.0831455439
64	1305031104.2755460739	0.0128741739	0.0372823402	0.0711940527	0.0095589339	0.0174890000	0	0	209321984	0.0046402486	-0.0294100624	0.0693161786
65	1305031104.3112189770	0.0146943666	0.0369348330	0.0711940527	0.0095485695	0.0186640000	0	0	209321984	0.0061283913	-0.0310282633	0.0572913736
66	1305031104.3433420658	0.0180681925	0.0366489748	0.0711940527	0.0095149865	0.0199110000	0	0	209321984	0.0072132125	-0.0301730782	0.0457610674
67	1305031104.3758370876	0.0199332088	0.0363994857	0.0711940527	0.0096373434	0.0189490000	0	0	209321984	0.0078461766	-0.0317186005	0.0351888649
68	1305031104.4115090370	0.0197397172	0.0361544891	0.0711940527	0.0096476418	0.0184770000	0	0	209321984	0.0051293955	-0.0334813669	0.0237136409
69	1305031104.4432880878	0.0205473136	0.0359282982	0.0711940527	0.0095779327	0.0184290000	0	0	209321984	0.0031887467	-0.0349055566	0.0133912247
