SLAMBench Report run started:	2020-02-28 07:23:23

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM1XYZ-ORB-RND-030.log
input: datasets/TUM/freiburg1/rgbd_dataset_freiburg1_xyz.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9235938,1.229375,0.5171875,0.4875
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
RGB-intrinsics-parameters: 0.8082812,1.076042,0.4978125,0.531875
load-filter-library: ./build/lib/libskip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-probability: 0.3

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1305031102.1753039360	0.0253988300	0.0253988300	0.0253988300	0.0000000000	0.0171240000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1305031102.2267379761	0.0286000334	0.0269994317	0.0286000334	0.0310526099	0.0212010000	0	0	209321984	-0.0011310171	0.0069830092	0.0114850625
3	1305031102.2628860474	0.0221921168	0.0253969934	0.0286000334	0.0222423154	0.0173380000	0	0	209321984	-0.0012161171	0.0050535579	0.0251203831
4	1305031102.2952790260	0.0197501853	0.0239852914	0.0286000334	0.0181857037	0.0166170000	0	0	209321984	-0.0017420020	0.0067296675	0.0372262187
5	1305031102.4278149605	0.0103334785	0.0212549288	0.0286000334	0.0200786583	0.0176080000	0	0	209321984	-0.0078030168	0.0120382458	0.0848055333
6	1305031102.5112190247	0.0129131982	0.0198646404	0.0286000334	0.0186332585	0.0184470000	0	0	209321984	-0.0045995424	0.0186102130	0.1218574867
7	1305031102.5432200432	0.0118356636	0.0187176437	0.0286000334	0.0171392512	0.0185360000	0	0	209321984	-0.0081756422	0.0180223882	0.1338817775
8	1305031102.6432650089	0.0154303703	0.0183067345	0.0286000334	0.0159361887	0.0194410000	0	0	209321984	-0.0157015845	0.0198751688	0.1687386185
9	1305031102.6752851009	0.0191158205	0.0183966330	0.0286000334	0.0149816108	0.0184990000	0	0	209321984	-0.0140773496	0.0226371996	0.1822071075
10	1305031102.7112629414	0.0260844845	0.0191654181	0.0286000334	0.0146863767	0.0182080000	0	0	209321984	-0.0135731082	0.0204629265	0.1954210699
11	1305031102.7754719257	0.0295794904	0.0201121520	0.0295794904	0.0143661006	0.0173800000	0	0	209321984	-0.0130143687	0.0283235610	0.2205686718
12	1305031102.8285369873	0.0326179825	0.0211543045	0.0326179825	0.0149234730	0.0172880000	0	0	209321984	-0.0140112452	0.0330977030	0.2334041595
13	1305031102.8628079891	0.0377796181	0.0224331748	0.0377796181	0.0144387562	0.0183190000	0	0	209321984	-0.0146650989	0.0324563570	0.2463809103
14	1305031102.8941669464	0.0384589247	0.0235778712	0.0384589247	0.0144388173	0.0197000000	0	0	209321984	-0.0193637684	0.0354422964	0.2579195201
15	1305031102.9268510342	0.0417728201	0.0247908678	0.0417728201	0.0139817074	0.0179500000	0	0	209321984	-0.0197153930	0.0382138677	0.2692879438
16	1305031102.9941639900	0.0419830307	0.0258653780	0.0419830307	0.0157668677	0.0171930000	0	0	209321984	-0.0302396156	0.0463597625	0.2915876210
17	1305031103.0622730255	0.0484397113	0.0271932799	0.0484397113	0.0154554820	0.0173760000	0	0	209321984	-0.0299871750	0.0515294932	0.3128368855
18	1305031103.0940399170	0.0541917980	0.0286931976	0.0541917980	0.0153943488	0.0180650000	0	0	209321984	-0.0253110025	0.0523487739	0.3247281909
19	1305031103.2432160378	0.0541144200	0.0300311567	0.0541917980	0.0171020457	0.0174870000	0	0	209321984	-0.0277773961	0.0758491829	0.3657797873
20	1305031103.2753698826	0.0554769449	0.0313034461	0.0554769449	0.0170245626	0.0182300000	0	0	209321984	-0.0349727161	0.0760804415	0.3722460568
21	1305031103.3432230949	0.0647610277	0.0328966643	0.0647610277	0.0171358174	0.0182680000	0	0	209321984	-0.0265758205	0.0721904188	0.3818799555
22	1305031103.4112598896	0.0684123263	0.0345110125	0.0684123263	0.0168707113	0.0181980000	0	0	209321984	-0.0272482038	0.0652746037	0.3816822171
23	1305031103.4432799816	0.0690536574	0.0360128667	0.0690536574	0.0165683591	0.0178660000	0	0	209321984	-0.0279787648	0.0628044754	0.3798690736
24	1305031103.4752740860	0.0693386495	0.0374014409	0.0693386495	0.0162599005	0.0176410000	0	0	209321984	-0.0278123301	0.0592001043	0.3754788041
25	1305031103.5113329887	0.0686429068	0.0386510996	0.0693386495	0.0159386020	0.0186420000	0	0	209321984	-0.0269297957	0.0552280545	0.3688062131
26	1305031103.5626509190	0.0670143589	0.0397419942	0.0693386495	0.0162222994	0.0190540000	0	0	209321984	-0.0263850652	0.0503583290	0.3603332639
27	1305031103.6112229824	0.0606760941	0.0405173312	0.0693386495	0.0159942483	0.0178780000	0	0	209321984	-0.0253587849	0.0454035215	0.3414812684
28	1305031103.6434450150	0.0584137551	0.0411564892	0.0693386495	0.0157335102	0.0178850000	0	0	209321984	-0.0237055514	0.0409431905	0.3303287625
29	1305031103.7116100788	0.0507880673	0.0414886126	0.0693386495	0.0155404653	0.0184450000	0	0	209321984	-0.0187643338	0.0345237628	0.3052211404
30	1305031103.7433259487	0.0492849387	0.0417484901	0.0693386495	0.0152991118	0.0184520000	0	0	209321984	-0.0171007551	0.0281708557	0.2921378613
31	1305031103.8303670883	0.0373588689	0.0416068894	0.0693386495	0.0154586010	0.0181010000	0	0	209321984	-0.0164081622	0.0243201237	0.2615888417
32	1305031103.8942370415	0.0347963646	0.0413940605	0.0693386495	0.0159410520	0.0175790000	0	0	209321984	-0.0184950083	0.0134159680	0.2377179116
33	1305031103.9305028915	0.0365267918	0.0412465675	0.0693386495	0.0159244700	0.0175720000	0	0	209321984	-0.0157653447	0.0055359583	0.2242672443
34	1305031103.9753730297	0.0315345004	0.0409609185	0.0693386495	0.0160572041	0.0173910000	0	0	209321984	-0.0098810038	-0.0017508734	0.1972926259
35	1305031104.0112318993	0.0320731290	0.0407069817	0.0693386495	0.0160774058	0.0169620000	0	0	209321984	-0.0051621161	-0.0083467681	0.1824726462
36	1305031104.0432488918	0.0271948893	0.0403316458	0.0693386495	0.0159008531	0.0170750000	0	0	209321984	-0.0020023845	-0.0092618838	0.1663684696
37	1305031104.0754249096	0.0236137956	0.0398798120	0.0693386495	0.0156991958	0.0170390000	0	0	209321984	0.0006879568	-0.0111740893	0.1492475867
38	1305031104.1112349033	0.0255079027	0.0395016038	0.0693386495	0.0157180740	0.0180540000	0	0	209321984	0.0056406092	-0.0165177733	0.1387495548
39	1305031104.2949569225	0.0229876880	0.0390781701	0.0693386495	0.0168562960	0.0190930000	0	0	209321984	0.0049718795	-0.0278963186	0.0823743790
40	1305031104.3314030170	0.0172988717	0.0385336876	0.0693386495	0.0169839914	0.0181190000	0	0	209321984	0.0052431892	-0.0290911067	0.0571641587
41	1305031104.3950190544	0.0218637977	0.0381271050	0.0693386495	0.0168182963	0.0178760000	0	0	209321984	0.0088164704	-0.0309139024	0.0346918032
42	1305031104.5314500332	0.0214473773	0.0377299686	0.0693386495	0.0172938222	0.0176210000	0	0	209321984	-0.0016219520	-0.0388940684	-0.0055895764
43	1305031104.5631489754	0.0232631397	0.0373935307	0.0693386495	0.0171780225	0.0188850000	0	0	209321984	0.0009529000	-0.0399241224	-0.0146021442
44	1305031104.6313679218	0.0269046910	0.0371551480	0.0693386495	0.0191285176	0.0171050000	0	0	209321984	0.0139099760	-0.0497594476	-0.0310271550
