SLAMBench Report run started:	2020-02-28 08:08:59

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2360-ORB-DEP-00020.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_360_hemisphere.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311874903.3349549770	0.0651507005	0.0651507005	0.0651507005	0.0000000000	0.0153650000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311874903.3719758987	0.0753461570	0.0702484287	0.0753461570	0.0148236360	0.0186060000	0	0	209321984	0.0069955862	-0.0009786530	0.0016726751
3	1311874903.3971650600	0.0772872418	0.0725946998	0.0772872418	0.0129896583	0.0157860000	0	0	209321984	0.0069084186	0.0008625077	0.0031357855
4	1311874903.4352951050	0.0639378801	0.0704304948	0.0772872418	0.0149680876	0.0155930000	0	0	209321984	-0.0097472267	0.0079275109	0.0024692982
5	1311874903.4683508873	0.0726913363	0.0708826631	0.0772872418	0.0146128253	0.0158400000	0	0	209321984	-0.0025645173	0.0078322133	0.0064278329
6	1311874903.5002620220	0.0721026137	0.0710859882	0.0772872418	0.0131029949	0.0159990000	0	0	209321984	-0.0043214858	0.0103209689	0.0120606441
7	1311874903.5325009823	0.0738188997	0.0714764042	0.0772872418	0.0122844967	0.0157390000	0	0	209321984	-0.0024943410	0.0061807814	0.0204271078
8	1311874903.5715100765	0.0761089772	0.0720554758	0.0772872418	0.0116966532	0.0165780000	0	0	209321984	-0.0020658541	0.0046609300	0.0241465382
9	1311874903.6033740044	0.0820212364	0.0731627825	0.0820212364	0.0113568733	0.0157020000	0	0	209321984	0.0034156039	0.0112274429	0.0292386618
10	1311874903.6347560883	0.0767072737	0.0735172316	0.0820212364	0.0108113455	0.0155800000	0	0	209321984	-0.0017449965	0.0094768349	0.0372517407
11	1311874903.6730110645	0.0742989182	0.0735882941	0.0820212364	0.0103477891	0.0159180000	0	0	209321984	-0.0042671151	0.0135381510	0.0448655821
12	1311874903.7056319714	0.0759762526	0.0737872906	0.0820212364	0.0100916985	0.0156090000	0	0	209321984	-0.0035341198	0.0147329066	0.0478124581
13	1311874903.7338130474	0.0720755607	0.0736556191	0.0820212364	0.0103309456	0.0157440000	0	0	209321984	-0.0058765905	0.0085205622	0.0603174344
14	1311874903.7723870277	0.0725665689	0.0735778298	0.0820212364	0.0099303148	0.0158780000	0	0	209321984	-0.0039581363	0.0113856690	0.0723177865
15	1311874903.8045389652	0.0688624680	0.0732634723	0.0820212364	0.0097222906	0.0152390000	0	0	209321984	-0.0064826766	0.0111260321	0.0846904069
16	1311874903.8331999779	0.0706774443	0.0731018456	0.0820212364	0.0099233882	0.0152550000	0	0	209321984	-0.0056037088	0.0093633737	0.0898036510
17	1311874903.8723120689	0.0789731219	0.0734472148	0.0820212364	0.0102461259	0.0149580000	0	0	209321984	0.0061703953	0.0118072238	0.1064441875
18	1311874903.9048891068	0.0769038424	0.0736392496	0.0820212364	0.0102219327	0.0158770000	0	0	209321984	0.0044677248	0.0206662938	0.1157555804
19	1311874903.9333729744	0.0769170895	0.0738117675	0.0820212364	0.0099623037	0.0149740000	0	0	209321984	0.0067594363	0.0196280666	0.1307470948
