SLAMBench Report run started:	2020-02-28 08:17:02

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2360-ORB-RND-030.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_360_hemisphere.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libskip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-probability: 0.3

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311874903.3227961063	0.0640663579	0.0640663579	0.0640663579	0.0000000000	0.0183980000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311874903.3971650600	0.0769160092	0.0704911835	0.0769160092	0.0194354858	0.0197190000	0	0	209321984	0.0062601208	-0.0006821440	0.0019777101
3	1311874903.4683508873	0.0721568391	0.0710464021	0.0769160092	0.0175537583	0.0155380000	0	0	209321984	-0.0028238774	0.0083392486	0.0078094779
4	1311874903.5227789879	0.0704690740	0.0709020700	0.0769160092	0.0151467453	0.0154980000	0	0	209321984	-0.0051634079	0.0043979515	0.0208512004
5	1311874903.5867300034	0.0770056918	0.0721227944	0.0770056918	0.0143201592	0.0155130000	0	0	209321984	-0.0010595957	0.0109096309	0.0286019463
6	1311874903.6227350235	0.0761466175	0.0727934316	0.0770056918	0.0129620458	0.0154900000	0	0	209321984	-0.0017611522	0.0086429762	0.0369502231
7	1311874903.6548099518	0.0725207850	0.0727544821	0.0770056918	0.0119878519	0.0153030000	0	0	209321984	-0.0051638153	0.0122333216	0.0447501503
8	1311874903.7056319714	0.0762163848	0.0731872199	0.0770056918	0.0113914196	0.0153450000	0	0	209321984	-0.0030035935	0.0132734012	0.0485777110
9	1311874903.7338130474	0.0761759430	0.0735193003	0.0770056918	0.0114746724	0.0150460000	0	0	209321984	-0.0019504938	0.0070174332	0.0595581867
10	1311874903.7723870277	0.0733967870	0.0735070489	0.0770056918	0.0109381380	0.0153060000	0	0	209321984	-0.0029716657	0.0128076496	0.0723804533
11	1311874903.8548169136	0.0776615664	0.0738847323	0.0776615664	0.0106901866	0.0151260000	0	0	209321984	0.0054571498	0.0120942416	0.1043082252
12	1311874903.9333729744	0.0811773613	0.0744924514	0.0811773613	0.0119104150	0.0149040000	0	0	209321984	0.0027906890	0.0205865037	0.1139547452
13	1311874903.9868090153	0.0746322051	0.0745032017	0.0811773613	0.0132461445	0.0146190000	0	0	209321984	0.0085914135	0.0115652531	0.1610390842
14	1311874904.0733621120	0.0861970186	0.0753384743	0.0861970186	0.0146280310	0.0146540000	0	0	209321984	0.0109918155	0.0134045687	0.1712755114
15	1311874904.1016600132	0.0778197497	0.0755038927	0.0861970186	0.0163162311	0.0149840000	0	0	209321984	0.0159832295	0.0246913619	0.2023366839
16	1311874904.1867148876	0.0668242052	0.0749614122	0.0861970186	0.0168770219	0.0145600000	0	0	209321984	0.0062428955	0.0325108990	0.2384129614
17	1311874904.2416789532	0.0698840022	0.0746627411	0.0861970186	0.0165891701	0.0143940000	0	0	209321984	0.0061765146	0.0384225436	0.2542771399
18	1311874904.2745409012	0.0736588985	0.0746069720	0.0861970186	0.0161945556	0.0142150000	0	0	209321984	0.0083853938	0.0399211869	0.2642189562
19	1311874904.3033280373	0.0744151920	0.0745968783	0.0861970186	0.0158008577	0.0142680000	0	0	209321984	0.0126729682	0.0387087725	0.2793163359
20	1311874904.3333160877	0.0724388808	0.0744889785	0.0861970186	0.0154124335	0.0134840000	0	0	209321984	0.0092994608	0.0421592109	0.2904910743
21	1311874904.3730421066	0.0834775940	0.0749170078	0.0861970186	0.0157969863	0.0135920000	0	0	209321984	0.0194070078	0.0274770856	0.2994642556
22	1311874904.4416139126	0.0798496008	0.0751412165	0.0861970186	0.0156574863	0.0137980000	0	0	209321984	0.0146042109	0.0233193208	0.3244917691
23	1311874904.4867930412	0.0831706598	0.0754903228	0.0861970186	0.0158239106	0.0139480000	0	0	209321984	0.0211188048	0.0328200497	0.3465957940
24	1311874904.5389809608	0.0895148441	0.0760746778	0.0895148441	0.0155655976	0.0141730000	0	0	209321984	0.0225275382	0.0269136485	0.3552342653
25	1311874904.5867650509	0.0803178102	0.0762444031	0.0895148441	0.0158693670	0.0138060000	0	0	209321984	0.0097660348	0.0398177244	0.3709737659
26	1311874904.6735620499	0.0945899636	0.0769500016	0.0945899636	0.0156601336	0.0138140000	0	0	209321984	0.0117138103	0.0422702841	0.3829676509
27	1311874904.7547540665	0.1002821326	0.0778141546	0.1002821326	0.0172926549	0.0141100000	0	0	209321984	0.0097597837	0.0257039815	0.4120783508
28	1311874904.9227750301	0.1094385609	0.0789435977	0.1094385609	0.0171618598	0.0137560000	0	0	209321984	-0.0177380964	0.0369641781	0.4383865595
29	1311874904.9675869942	0.1221788451	0.0804344683	0.1221788451	0.0171087945	0.0138150000	0	0	209321984	-0.0173771381	0.0283627436	0.4457518756
30	1311874905.0031599998	0.1192810759	0.0817293552	0.1221788451	0.0169240720	0.0142370000	0	0	209321984	-0.0251699761	0.0245660711	0.4645735323
31	1311874905.0382289886	0.1169777289	0.0828663995	0.1221788451	0.0166715911	0.0140690000	0	0	209321984	-0.0372097269	0.0243404191	0.4695857763
32	1311874905.1395480633	0.1316283494	0.0843902105	0.1316283494	0.0167309329	0.0141460000	0	0	209321984	-0.0572208464	0.0134843532	0.4810428619
33	1311874905.1705379486	0.1234922409	0.0855751205	0.1316283494	0.0168087457	0.0140800000	0	0	209321984	-0.0781333447	0.0155355604	0.4827733040
34	1311874905.2867789268	0.1510642320	0.0875012708	0.1510642320	0.0187073569	0.0138690000	0	0	209321984	-0.0786074698	-0.0060672341	0.5220776200
35	1311874905.3547270298	0.1434371173	0.0890994378	0.1510642320	0.0186644247	0.0144040000	0	0	209321984	-0.1045629680	0.0056288480	0.5282319784
36	1311874905.4227659702	0.1399613172	0.0905122678	0.1510642320	0.0186811004	0.0143800000	0	0	209321984	-0.1324524581	-0.0019802609	0.5373300910
37	1311874905.4868040085	0.1510592550	0.0921486729	0.1510642320	0.0186738817	0.0140450000	0	0	209321984	-0.1353644133	-0.0029399861	0.5535241365
38	1311874905.5227921009	0.1457371712	0.0935588965	0.1510642320	0.0186733223	0.0140930000	0	0	209321984	-0.1563472003	0.0006804159	0.5461132526
39	1311874905.5547730923	0.1580131501	0.0952115697	0.1580131501	0.0185328236	0.0136190000	0	0	209321984	-0.1548028141	0.0020825355	0.5424945354
40	1311874905.5868189335	0.1548883319	0.0967034888	0.1580131501	0.0183202772	0.0136700000	0	0	209321984	-0.1628129035	0.0065807058	0.5533648133
41	1311874905.6385860443	0.1580734253	0.0982003165	0.1580734253	0.0181021429	0.0137220000	0	0	209321984	-0.1735999137	0.0070783333	0.5575695038
42	1311874905.7378559113	0.1693923175	0.0998953641	0.1693923175	0.0179606214	0.0139100000	0	0	209321984	-0.1931757182	0.0080899633	0.5667793155
43	1311874905.7867739201	0.1676932573	0.1014720593	0.1693923175	0.0177689339	0.0139650000	0	0	209321984	-0.2078383118	0.0121483933	0.5773137212
44	1311874905.8227479458	0.1747508496	0.1031374864	0.1747508496	0.0175862355	0.0139130000	0	0	209321984	-0.2122230232	0.0132793393	0.5779514313
45	1311874905.8712930679	0.1853721142	0.1049649225	0.1853721142	0.0173924942	0.0137800000	0	0	209321984	-0.2151762545	0.0128256436	0.5859799981
46	1311874905.9373159409	0.1727465391	0.1064384359	0.1853721142	0.0178523377	0.0149640000	0	0	209321984	-0.2556622624	0.0005266266	0.6035134196
47	1311874905.9698410034	0.1823579222	0.1080537442	0.1853721142	0.0178120034	0.0135360000	0	0	209321984	-0.2542503774	0.0063046198	0.6057534814
48	1311874906.0227670670	0.1845230013	0.1096468537	0.1853721142	0.0176314101	0.0137800000	0	0	209321984	-0.2664062977	0.0083798235	0.6185119748
49	1311874906.1226520538	0.1890165508	0.1112666434	0.1890165508	0.0178010940	0.0139420000	0	0	209321984	-0.2868964970	0.0127204601	0.6483325958
50	1311874906.1546170712	0.1940897703	0.1129231060	0.1940897703	0.0176473814	0.0140960000	0	0	209321984	-0.2892340124	0.0127391629	0.6582349539
51	1311874906.1867179871	0.1896003336	0.1144265810	0.1940897703	0.0176140741	0.0137620000	0	0	209321984	-0.3030671179	0.0096894065	0.6690710783
52	1311874906.2227621078	0.1994304657	0.1160612711	0.1994304657	0.0174778394	0.0136150000	0	0	209321984	-0.3049158752	0.0117447702	0.6718516350
53	1311874906.2685480118	0.2087795138	0.1178106719	0.2087795138	0.0181237544	0.0132950000	0	0	209321984	-0.3293017745	-0.0162606314	0.6754920483
54	1311874906.3018889427	0.2141170651	0.1195941236	0.2141170651	0.0180145861	0.0133470000	0	0	209321984	-0.3321636915	-0.0172637403	0.6841866970
55	1311874906.4032440186	0.2309663445	0.1216190731	0.2309663445	0.0182401718	0.0135790000	0	0	209321984	-0.3518245518	-0.0363914743	0.7101782560
56	1311874906.4692170620	0.2188194245	0.1233547937	0.2309663445	0.0182781949	0.0136110000	0	0	209321984	-0.3617685139	-0.0355082378	0.7560890317
57	1311874906.5227379799	0.2249796242	0.1251376854	0.2309663445	0.0182897115	0.0134020000	0	0	209321984	-0.3793107867	-0.0387865491	0.7568577528
58	1311874906.5547940731	0.2344167233	0.1270218068	0.2344167233	0.0183361246	0.0130860000	0	0	209321984	-0.3822687864	-0.0493193381	0.7642685175
59	1311874906.6378459930	0.2413032651	0.1289587806	0.2413032651	0.0193965092	0.0127290000	0	0	209321984	-0.4145365655	-0.0742762238	0.7785194516
60	1311874906.6867671013	0.2428123802	0.1308563406	0.2428123802	0.0192709819	0.0127170000	0	0	209321984	-0.4310038388	-0.0769008547	0.7792078853
61	1311874906.7349829674	0.2354186326	0.1325704766	0.2428123802	0.0192530835	0.0129390000	0	0	209321984	-0.4305723011	-0.0705287978	0.8000612259
62	1311874906.8027729988	0.2262326032	0.1340811560	0.2428123802	0.0192560645	0.0126180000	0	0	209321984	-0.4582584202	-0.0829719156	0.8194905519
63	1311874906.8906860352	0.2277578712	0.1355680880	0.2428123802	0.0195173285	0.0121480000	0	0	209321984	-0.4636906683	-0.0708404407	0.8168026209
64	1311874906.9226820469	0.2893262506	0.1379705593	0.2893262506	0.0218573743	0.0128420000	0	0	209321984	-0.4601731300	-0.1440993845	0.7930343747
65	1311874906.9715778828	0.2802089751	0.1401588426	0.2893262506	0.0217671119	0.0128500000	0	0	209321984	-0.4782871008	-0.1425682902	0.7957938910
66	1311874907.0226619244	0.2783370018	0.1422524511	0.2893262506	0.0220908251	0.0124660000	0	0	209321984	-0.4624141753	-0.1271004081	0.8052927256
67	1311874907.0907518864	0.2689911723	0.1441440738	0.2893262506	0.0221222111	0.0125420000	0	0	209321984	-0.5013732910	-0.1391197592	0.8001621962
68	1311874907.1411950588	0.2680011690	0.1459655017	0.2893262506	0.0229576747	0.0128160000	0	0	209321984	-0.5537132025	-0.1703165919	0.7952809334
69	1311874907.1701691151	0.2674523592	0.1477261808	0.2893262506	0.0228539871	0.0131490000	0	0	209321984	-0.5744925737	-0.1820245683	0.7970582247
70	1311874907.2356519699	0.2579866052	0.1493013297	0.2893262506	0.0227254797	0.0131740000	0	0	209321984	-0.5811664462	-0.1768857092	0.8029586077
71	1311874907.2698810101	0.2392260879	0.1505678756	0.2893262506	0.0226677243	0.0129840000	0	0	209321984	-0.5926550031	-0.1627053320	0.8096908927
72	1311874907.3039870262	0.2832866013	0.1524111912	0.2893262506	0.0244496781	0.0133030000	0	0	209321984	-0.6461930871	-0.2300195694	0.7873818874
73	1311874907.4028260708	0.2593144774	0.1538756198	0.2893262506	0.0247264780	0.0134660000	0	0	209321984	-0.6656807065	-0.2151783705	0.7871039510
74	1311874907.4547839165	0.2572557628	0.1552726487	0.2893262506	0.0249319325	0.0134450000	0	0	209321984	-0.6947980523	-0.2254798710	0.7865490317
75	1311874907.5371670723	0.2232012898	0.1561783640	0.2893262506	0.0252212735	0.0132720000	0	0	209321984	-0.7122949362	-0.1991769671	0.7949335575
76	1311874907.6027479172	0.1988730729	0.1567401364	0.2893262506	0.0256445800	0.0133710000	0	0	209321984	-0.7575700283	-0.1868211627	0.7913134098
77	1311874907.6367731094	0.2082151324	0.1574086429	0.2893262506	0.0255393364	0.0137320000	0	0	209321984	-0.7612819672	-0.1965091974	0.7834765911
78	1311874907.6688909531	0.2032814473	0.1579967558	0.2893262506	0.0253822166	0.0134710000	0	0	209321984	-0.7733162642	-0.1937259138	0.7789735794
79	1311874907.7349190712	0.1706139743	0.1581564674	0.2893262506	0.0258202143	0.0137600000	0	0	209321984	-0.8000293374	-0.1751035750	0.7931072712
80	1311874907.7723391056	0.1937041581	0.1586008135	0.2893262506	0.0262437426	0.0138330000	0	0	209321984	-0.8276254535	-0.1930108815	0.7604131103
81	1311874907.8057429790	0.1797555983	0.1588619837	0.2893262506	0.0264895900	0.0138530000	0	0	209321984	-0.8579003811	-0.1772978902	0.7524322271
82	1311874907.8378400803	0.1728323847	0.1590323544	0.2893262506	0.0268754939	0.0138730000	0	0	209321984	-0.8335499167	-0.1796836257	0.7704539895
83	1311874907.9227180481	0.1825869530	0.1593161448	0.2893262506	0.0270365158	0.0140780000	0	0	209321984	-0.8786664009	-0.1925230920	0.7531535029
84	1311874908.0549950600	0.1709567159	0.1594547230	0.2893262506	0.0269796028	0.0141150000	0	0	209321984	-0.8961395025	-0.1706548631	0.7402927876
85	1311874908.1225481033	0.1696712524	0.1595749175	0.2893262506	0.0269286464	0.0140560000	0	0	209321984	-0.9235807657	-0.1681280732	0.7381357551
86	1311874908.1701838970	0.1614858508	0.1595971376	0.2893262506	0.0268449886	0.0138330000	0	0	209321984	-0.9126213789	-0.1559746563	0.7473464012
