SLAMBench Report run started:	2020-02-28 08:22:22

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2DESK-ORB-INT-00080.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_desk.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libint-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311868164.3631811142	0.0296286754	0.0296286754	0.0296286754	0.0000000000	0.0348120000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311868164.3990259171	0.0309996437	0.0303141596	0.0309996437	0.0144888032	0.0211590000	0	0	209321984	-0.0000245035	0.0011445964	-0.0019140505
3	1311868164.4309399128	0.0303490106	0.0303257766	0.0309996437	0.0106715373	0.0167620000	0	0	209321984	0.0008732416	0.0011754457	-0.0062415628
4	1311868164.4630548954	0.0292332154	0.0300526363	0.0309996437	0.0100795484	0.0167970000	0	0	209321984	0.0046579274	0.0042572548	-0.0085070869
5	1311868164.4991300106	0.0299664419	0.0300353974	0.0309996437	0.0091028762	0.0338050000	0	0	209321984	0.0068578562	0.0049029859	-0.0102927880
6	1311868164.5310249329	0.0300075244	0.0300307519	0.0309996437	0.0139688203	0.0163460000	0	0	209321984	0.0087913508	0.0035162384	-0.0135302963
7	1311868164.5630040169	0.0317185074	0.0302718598	0.0317185074	0.0131392108	0.0173030000	0	0	209321984	0.0092393728	0.0029003029	-0.0166038647
8	1311868164.5990610123	0.0325714722	0.0305593114	0.0325714722	0.0122898019	0.0203730000	0	0	209321984	0.0130858226	0.0021275093	-0.0193862636
9	1311868164.6311399937	0.0328225419	0.0308107814	0.0328225419	0.0115386277	0.0284060000	0	0	209321984	0.0151969809	0.0035294755	-0.0224447064
10	1311868164.6631050110	0.0336829834	0.0310980016	0.0336829834	0.0108837761	0.0178690000	0	0	209321984	0.0167664289	0.0026371751	-0.0267778914
11	1311868164.6989870071	0.0325303413	0.0312282143	0.0336829834	0.0103747602	0.0176280000	0	0	209321984	0.0220470633	0.0041072858	-0.0307738148
12	1311868164.7310459614	0.0319873355	0.0312914744	0.0336829834	0.0109165271	0.0175720000	0	0	209321984	0.0304439105	0.0019317669	-0.0330508947
13	1311868164.7630980015	0.0324420333	0.0313799790	0.0336829834	0.0104907103	0.0169060000	0	0	209321984	0.0339063741	0.0014785635	-0.0366521366
14	1311868164.7991380692	0.0320214927	0.0314258014	0.0336829834	0.0104497779	0.0181390000	0	0	209321984	0.0407738574	0.0014411169	-0.0385001786
15	1311868164.8310060501	0.0322312079	0.0314794951	0.0336829834	0.0101374114	0.0271840000	0	0	209321984	0.0460379608	0.0040313634	-0.0401409268
16	1311868164.8630580902	0.0295371264	0.0313580971	0.0336829834	0.0099425815	0.0191100000	0	0	209321984	0.0545472763	0.0033786888	-0.0437734723
17	1311868164.8991320133	0.0324925296	0.0314248284	0.0336829834	0.0098918008	0.0167290000	0	0	209321984	0.0614388585	0.0043802462	-0.0430359729
18	1311868164.9309329987	0.0320077762	0.0314572144	0.0336829834	0.0097892341	0.0178190000	0	0	209321984	0.0693351030	0.0023322795	-0.0467964895
19	1311868164.9631190300	0.0300969630	0.0313856222	0.0336829834	0.0095842663	0.0271240000	0	0	209321984	0.0780514628	0.0074181468	-0.0483540632
20	1311868164.9990370274	0.0330138765	0.0314670349	0.0336829834	0.0094435304	0.0233250000	0	0	209321984	0.0861027390	0.0035656567	-0.0498321801
21	1311868165.0311219692	0.0347797163	0.0316247817	0.0347797163	0.0093622336	0.0172140000	0	0	209321984	0.0922327936	0.0038879560	-0.0534461625
22	1311868165.0631079674	0.0320873410	0.0316458071	0.0347797163	0.0091415488	0.0170610000	0	0	209321984	0.1041151136	0.0053972546	-0.0559808761
23	1311868165.0991621017	0.0326793306	0.0316907429	0.0347797163	0.0089760684	0.0170000000	0	0	209321984	0.1156831905	0.0017818743	-0.0596289560
24	1311868165.1310141087	0.0327805951	0.0317361534	0.0347797163	0.0088443274	0.0171320000	0	0	209321984	0.1279490739	0.0005012073	-0.0624892749
25	1311868165.1631460190	0.0273258928	0.0315597430	0.0347797163	0.0087746985	0.0168650000	0	0	209321984	0.1431807727	0.0027803350	-0.0649105012
26	1311868165.1991450787	0.0297067575	0.0314884743	0.0347797163	0.0086964641	0.0170100000	0	0	209321984	0.1521203667	0.0071723880	-0.0676244944
27	1311868165.2311930656	0.0323761851	0.0315213525	0.0347797163	0.0085953607	0.0177460000	0	0	209321984	0.1603001952	0.0095751537	-0.0708404854
28	1311868165.2630050182	0.0361783206	0.0316876728	0.0361783206	0.0085129803	0.0258850000	0	0	209321984	0.1653010845	0.0120460559	-0.0756170377
29	1311868165.2991030216	0.0361856930	0.0318427769	0.0361856930	0.0084567214	0.0234250000	0	0	209321984	0.1771681011	0.0156934261	-0.0789002553
