SLAMBench Report run started:	2020-02-28 08:35:41

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2DESKP-ORB-DEP-00020.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_desk_with_person.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311870427.2436540127	0.0093085589	0.0093085589	0.0093085589	0.0000000000	0.0183550000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311870427.2758491039	0.0086507462	0.0089796525	0.0093085589	0.0022394375	0.0206670000	0	0	209321984	-0.0000268361	0.0003400740	-0.0017327351
3	1311870427.3078649044	0.0095901508	0.0091831520	0.0095901508	0.0029244365	0.0170590000	0	0	209321984	-0.0002237837	-0.0005152826	-0.0007964069
4	1311870427.3762290478	0.0090749366	0.0091560981	0.0095901508	0.0024751852	0.0168550000	0	0	209321984	-0.0001297313	-0.0008246134	-0.0022277993
5	1311870427.4098069668	0.0087884152	0.0090825615	0.0095901508	0.0023919892	0.0169810000	0	0	209321984	0.0005471142	-0.0021633185	-0.0032805020
6	1311870427.4440650940	0.0102218594	0.0092724445	0.0102218594	0.0027032604	0.0171310000	0	0	209321984	0.0007709232	-0.0014243518	-0.0021911003
7	1311870427.4757061005	0.0090973284	0.0092474279	0.0102218594	0.0025870881	0.0170470000	0	0	209321984	-0.0003188594	-0.0012076014	-0.0033894626
8	1311870427.5099599361	0.0094669899	0.0092748732	0.0102218594	0.0024967449	0.0170190000	0	0	209321984	-0.0014780923	0.0005105840	-0.0032665543
9	1311870427.5434169769	0.0095332833	0.0093035854	0.0102218594	0.0023563843	0.0168120000	0	0	209321984	-0.0016060999	0.0006156038	-0.0037113286
10	1311870427.6445550919	0.0082909670	0.0092023236	0.0102218594	0.0024943683	0.0170310000	0	0	209321984	-0.0021533475	-0.0017927210	-0.0055793510
