SLAMBench Report run started:	2020-02-28 08:33:43

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2DESKP-ORB-INT-00080.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_desk_with_person.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libint-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311870427.2076869011	0.0083785011	0.0083785011	0.0083785011	0.0000000000	0.0254930000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311870427.2436540127	0.0084158089	0.0083971550	0.0084158089	0.0021845312	0.0313550000	0	0	209321984	0.0001147127	0.0005138217	-0.0013127424
3	1311870427.2758491039	0.0078437235	0.0082126778	0.0084158089	0.0019202996	0.0340380000	0	0	209321984	0.0001366921	0.0005681922	-0.0030521541
4	1311870427.3078649044	0.0079644322	0.0081506164	0.0084158089	0.0019261441	0.0171060000	0	0	209321984	0.0001852209	-0.0012620420	-0.0029845480
5	1311870427.3435389996	0.0065133516	0.0078231635	0.0084158089	0.0018771296	0.0169020000	0	0	209321984	-0.0010487034	0.0001572713	-0.0047018984
6	1311870427.3762290478	0.0080739520	0.0078649616	0.0084158089	0.0017643254	0.0167440000	0	0	209321984	-0.0002554370	-0.0003821370	-0.0035210194
7	1311870427.4098069668	0.0090406267	0.0080329137	0.0090406267	0.0017393768	0.0169110000	0	0	209321984	0.0007512351	-0.0020741024	-0.0031292173
8	1311870427.4440650940	0.0080431644	0.0080341951	0.0090406267	0.0016588786	0.0164660000	0	0	209321984	-0.0002093842	-0.0023121110	-0.0040981248
9	1311870427.4757061005	0.0083107874	0.0080649275	0.0090406267	0.0016983554	0.0164060000	0	0	209321984	0.0003210598	-0.0015563017	-0.0048407833
10	1311870427.5099599361	0.0068310355	0.0079415383	0.0090406267	0.0016365920	0.0169400000	0	0	209321984	-0.0008121763	-0.0007316511	-0.0066469014
11	1311870427.5434169769	0.0079521053	0.0079424990	0.0090406267	0.0018809060	0.0165540000	0	0	209321984	-0.0020262036	-0.0008131264	-0.0048486623
12	1311870427.5765519142	0.0070184078	0.0078654914	0.0090406267	0.0023076168	0.0164970000	0	0	209321984	-0.0007239114	-0.0007111544	-0.0075995969
13	1311870427.6126420498	0.0072922306	0.0078213944	0.0090406267	0.0022562487	0.0167980000	0	0	209321984	-0.0013090593	-0.0006471684	-0.0072561945
14	1311870427.6445550919	0.0070424643	0.0077657565	0.0090406267	0.0022705497	0.0167100000	0	0	209321984	-0.0009896185	-0.0030945230	-0.0077094799
15	1311870427.6773180962	0.0066058403	0.0076884288	0.0090406267	0.0021963771	0.0167190000	0	0	209321984	-0.0007799190	-0.0030186123	-0.0089883935
16	1311870427.7126560211	0.0075761741	0.0076814129	0.0090406267	0.0044999479	0.0167870000	0	0	209321984	-0.0003513124	-0.0026888626	-0.0080171237
17	1311870427.7433679104	0.0066456045	0.0076204830	0.0090406267	0.0044463345	0.0164870000	0	0	209321984	-0.0008752221	-0.0052672504	-0.0091252001
18	1311870427.7768299580	0.0063726734	0.0075511602	0.0090406267	0.0044429361	0.0165610000	0	0	209321984	-0.0011699531	-0.0019482671	-0.0100203063
19	1311870427.8114020824	0.0072359387	0.0075345696	0.0090406267	0.0044365994	0.0163970000	0	0	209321984	0.0006323803	-0.0039687306	-0.0103391707
20	1311870427.8474619389	0.0085431784	0.0075850000	0.0090406267	0.0043639583	0.0166540000	0	0	209321984	0.0012071787	-0.0038345209	-0.0092495615
21	1311870427.8765211105	0.0069417958	0.0075543713	0.0090406267	0.0042666851	0.0166530000	0	0	209321984	0.0012445875	-0.0028677427	-0.0123106651
22	1311870427.9152910709	0.0065551689	0.0075089530	0.0090406267	0.0042089075	0.0165060000	0	0	209321984	0.0006500345	-0.0031874604	-0.0125500280
23	1311870427.9435830116	0.0067473352	0.0074758392	0.0090406267	0.0041711102	0.0163940000	0	0	209321984	-0.0000832907	-0.0021915259	-0.0119929863
24	1311870427.9765379429	0.0086790165	0.0075259715	0.0090406267	0.0042209577	0.0163690000	0	0	209321984	0.0020306432	-0.0036724932	-0.0112016071
25	1311870428.0119678974	0.0061720023	0.0074718128	0.0090406267	0.0041607157	0.0164340000	0	0	209321984	0.0004377750	-0.0038410358	-0.0132392114
26	1311870428.0447859764	0.0069367206	0.0074512323	0.0090406267	0.0040784076	0.0163160000	0	0	209321984	0.0014965789	-0.0040348447	-0.0132272020
27	1311870428.0758080482	0.0066837999	0.0074228089	0.0090406267	0.0040206668	0.0165220000	0	0	209321984	0.0008168163	-0.0040448108	-0.0125353346
28	1311870428.1131660938	0.0066995299	0.0073969775	0.0090406267	0.0039497229	0.0164310000	0	0	209321984	0.0004630506	-0.0034238219	-0.0122551564
29	1311870428.1440908909	0.0075488477	0.0074022144	0.0090406267	0.0038800347	0.0164450000	0	0	209321984	0.0015088570	-0.0030535755	-0.0123543032
30	1311870428.1752319336	0.0076766238	0.0074113614	0.0090406267	0.0038175821	0.0165740000	0	0	209321984	0.0018340808	-0.0039531048	-0.0126141543
31	1311870428.2138419151	0.0085217711	0.0074471810	0.0090406267	0.0037668435	0.0164590000	0	0	209321984	0.0030424499	-0.0048553073	-0.0130565129
32	1311870428.2429149151	0.0087237172	0.0074870728	0.0090406267	0.0037245375	0.0163800000	0	0	209321984	0.0023788463	-0.0041798619	-0.0129097765
33	1311870428.2750411034	0.0078873234	0.0074992016	0.0090406267	0.0036766857	0.0165230000	0	0	209321984	0.0012865638	-0.0039135413	-0.0128697092
34	1311870428.3124430180	0.0085049728	0.0075287831	0.0090406267	0.0036267491	0.0165160000	0	0	209321984	0.0015752531	-0.0026683204	-0.0124469316
35	1311870428.3439590931	0.0087004080	0.0075622581	0.0090406267	0.0036560974	0.0164360000	0	0	209321984	0.0026409894	-0.0053318553	-0.0132616730
36	1311870428.3765380383	0.0075902287	0.0075630351	0.0090406267	0.0036255991	0.0165730000	0	0	209321984	0.0014152399	-0.0045388518	-0.0137380837
37	1311870428.4140820503	0.0093004769	0.0076099930	0.0093004769	0.0036175934	0.0166570000	0	0	209321984	0.0024272974	-0.0022421919	-0.0128254751
38	1311870428.4440529346	0.0079183513	0.0076181076	0.0093004769	0.0035804583	0.0166860000	0	0	209321984	0.0010711256	-0.0043659685	-0.0127739310
39	1311870428.4765310287	0.0084228246	0.0076387414	0.0093004769	0.0035845692	0.0163790000	0	0	209321984	0.0013957423	-0.0028353112	-0.0126113771
40	1311870428.5147609711	0.0084302379	0.0076585288	0.0093004769	0.0035946534	0.0163390000	0	0	209321984	0.0022184756	-0.0044306223	-0.0133496840
41	1311870428.5431680679	0.0078074145	0.0076621602	0.0093004769	0.0035762953	0.0163980000	0	0	209321984	0.0014678340	-0.0056205103	-0.0134642841
