SLAMBench Report run started:	2020-02-28 08:48:19

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2DESKP-ORB-RND-030.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_desk_with_person.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libskip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-probability: 0.3

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311870427.2076869011	0.0083785011	0.0083785011	0.0083785011	0.0000000000	0.0221310000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311870427.2436540127	0.0084158089	0.0083971550	0.0084158089	0.0021845312	0.0215440000	0	0	209321984	0.0001147127	0.0005138217	-0.0013127424
3	1311870427.2991430759	0.0079068942	0.0082337347	0.0084158089	0.0028316321	0.0169950000	0	0	209321984	-0.0004749754	-0.0010065970	-0.0024600350
4	1311870427.4633851051	0.0082869604	0.0082470411	0.0084158089	0.0028829988	0.0169100000	0	0	209321984	-0.0000561181	-0.0008419533	-0.0044879271
5	1311870427.5434169769	0.0072197341	0.0080415797	0.0084158089	0.0026449197	0.0167870000	0	0	209321984	-0.0010189292	-0.0006034998	-0.0065355999
6	1311870427.5765519142	0.0072437823	0.0079086135	0.0084158089	0.0028343123	0.0169330000	0	0	209321984	-0.0008031801	-0.0007472105	-0.0071577197
7	1311870427.6311140060	0.0066606980	0.0077303399	0.0084158089	0.0027450337	0.0169160000	0	0	209321984	-0.0017613762	-0.0026921332	-0.0074382112
8	1311870427.6634290218	0.0071335570	0.0076557420	0.0084158089	0.0027012293	0.0168330000	0	0	209321984	-0.0003231853	-0.0029358952	-0.0085125640
9	1311870427.7126560211	0.0075955144	0.0076490500	0.0084158089	0.0059478548	0.0168300000	0	0	209321984	-0.0001630413	-0.0027739520	-0.0081512230
10	1311870427.7433679104	0.0066085556	0.0075450006	0.0084158089	0.0057006180	0.0166960000	0	0	209321984	-0.0009709853	-0.0051031732	-0.0090586040
11	1311870427.7768299580	0.0064555812	0.0074459625	0.0084158089	0.0055774757	0.0165120000	0	0	209321984	-0.0011883515	-0.0018186646	-0.0099570723
12	1311870427.8474619389	0.0082618957	0.0075139569	0.0084158089	0.0053511381	0.0164310000	0	0	209321984	0.0007923567	-0.0037424164	-0.0092545282
13	1311870427.9435830116	0.0065189232	0.0074374159	0.0084158089	0.0051962692	0.0164800000	0	0	209321984	-0.0000939347	-0.0027030520	-0.0120946663
14	1311870427.9765379429	0.0085308272	0.0075155167	0.0085308272	0.0051746240	0.0167200000	0	0	209321984	0.0020944399	-0.0038901782	-0.0115135061
15	1311870428.0119678974	0.0062037851	0.0074280679	0.0085308272	0.0050198329	0.0165820000	0	0	209321984	0.0004861394	-0.0040316097	-0.0132176597
16	1311870428.0447859764	0.0068683187	0.0073930836	0.0085308272	0.0048515193	0.0164610000	0	0	209321984	0.0013543024	-0.0038835539	-0.0131477462
17	1311870428.1131660938	0.0066676191	0.0073504092	0.0085308272	0.0047381325	0.0164130000	0	0	209321984	0.0003448571	-0.0027550422	-0.0124121299
18	1311870428.1992700100	0.0085701700	0.0074181737	0.0085701700	0.0046207845	0.0164440000	0	0	209321984	0.0026470397	-0.0046904255	-0.0121873096
19	1311870428.2429149151	0.0085252002	0.0074764382	0.0085701700	0.0045119529	0.0165180000	0	0	209321984	0.0021621862	-0.0040905806	-0.0129514653
20	1311870428.2750411034	0.0077433484	0.0074897837	0.0085701700	0.0044036445	0.0164280000	0	0	209321984	0.0011583350	-0.0039605661	-0.0129311653
21	1311870428.3439590931	0.0084971236	0.0075377523	0.0085701700	0.0043163544	0.0163980000	0	0	209321984	0.0015851762	-0.0026021781	-0.0125837317
22	1311870428.3765380383	0.0074811359	0.0075351788	0.0085701700	0.0042827602	0.0162710000	0	0	209321984	0.0013485034	-0.0043223230	-0.0138664208
23	1311870428.4765310287	0.0076807970	0.0075415101	0.0085701700	0.0042892744	0.0163430000	0	0	209321984	0.0009346489	-0.0042743883	-0.0129464809
24	1311870428.5431680679	0.0083408440	0.0075748156	0.0085701700	0.0043407920	0.0163870000	0	0	209321984	0.0020889016	-0.0057002292	-0.0134729510
25	1311870428.6144049168	0.0069368416	0.0075492967	0.0085701700	0.0043038107	0.0165230000	0	0	209321984	0.0010307939	-0.0050912360	-0.0142522966
26	1311870428.6992750168	0.0073880027	0.0075430931	0.0085701700	0.0042294861	0.0163950000	0	0	209321984	0.0011303503	-0.0053631105	-0.0141150439
27	1311870428.7311708927	0.0069945599	0.0075227770	0.0085701700	0.0042078081	0.0163150000	0	0	209321984	-0.0000228455	-0.0027962516	-0.0137003465
28	1311870428.7631731033	0.0072483085	0.0075129746	0.0085701700	0.0041466188	0.0162680000	0	0	209321984	0.0006287168	-0.0047352118	-0.0137028852
29	1311870428.7992799282	0.0064661177	0.0074768761	0.0085701700	0.0040816130	0.0163180000	0	0	209321984	0.0001971827	-0.0039995327	-0.0149457213
30	1311870428.8313760757	0.0081142122	0.0074981206	0.0085701700	0.0040150949	0.0163660000	0	0	209321984	0.0018434920	-0.0045870123	-0.0144355632
31	1311870428.8632318974	0.0072667929	0.0074906584	0.0085701700	0.0039534224	0.0163810000	0	0	209321984	0.0010634275	-0.0043603280	-0.0146011282
32	1311870428.9439640045	0.0077432455	0.0074985518	0.0085701700	0.0038976764	0.0165020000	0	0	209321984	0.0008054625	-0.0044748653	-0.0131661501
33	1311870428.9796268940	0.0085263876	0.0075296983	0.0085701700	0.0038433288	0.0164000000	0	0	209321984	0.0011115186	-0.0035560592	-0.0125722438
34	1311870429.0443348885	0.0078733535	0.0075398058	0.0085701700	0.0038187827	0.0163090000	0	0	209321984	0.0010745344	-0.0065685851	-0.0131166261
35	1311870429.1314339638	0.0074194302	0.0075363665	0.0085701700	0.0037669573	0.0162250000	0	0	209321984	0.0008482633	-0.0063613560	-0.0137606030
36	1311870429.2314369678	0.0089433016	0.0075754480	0.0089433016	0.0037224630	0.0163410000	0	0	209321984	0.0022472348	-0.0061988980	-0.0131499413
37	1311870429.2632660866	0.0093324902	0.0076229357	0.0093324902	0.0036908347	0.0164620000	0	0	209321984	0.0025532753	-0.0048080632	-0.0131444447
38	1311870429.3150920868	0.0081116371	0.0076357962	0.0093324902	0.0036542331	0.0162520000	0	0	209321984	0.0016583845	-0.0067884368	-0.0124140773
39	1311870429.3632669449	0.0078876615	0.0076422543	0.0093324902	0.0036199650	0.0163870000	0	0	209321984	0.0018408840	-0.0061712349	-0.0120227328
40	1311870429.4442369938	0.0087758768	0.0076705949	0.0093324902	0.0035754552	0.0161540000	0	0	209321984	0.0030465482	-0.0052315821	-0.0115499692
41	1311870429.5312080383	0.0083577456	0.0076873546	0.0093324902	0.0037105428	0.0160410000	0	0	209321984	0.0039976244	-0.0034701363	-0.0126005812
42	1311870429.5994489193	0.0065740217	0.0076608467	0.0093324902	0.0037196570	0.0163770000	0	0	209321984	0.0032173770	-0.0058520534	-0.0127204405
43	1311870429.6312930584	0.0070052990	0.0076456014	0.0093324902	0.0036764516	0.0166000000	0	0	209321984	0.0041385926	-0.0050146924	-0.0132104577
44	1311870429.6994910240	0.0069062188	0.0076287973	0.0093324902	0.0036410821	0.0167190000	0	0	209321984	0.0043514385	-0.0058764145	-0.0126298545
45	1311870429.7313029766	0.0078201937	0.0076330505	0.0093324902	0.0036073279	0.0166620000	0	0	209321984	0.0052167973	-0.0044173785	-0.0126355728
46	1311870429.7815289497	0.0059887478	0.0075973048	0.0093324902	0.0035825054	0.0168490000	0	0	209321984	0.0042200712	-0.0070146760	-0.0131188249
47	1311870429.8120660782	0.0067687021	0.0075796750	0.0093324902	0.0035517206	0.0166750000	0	0	209321984	0.0051833345	-0.0060287304	-0.0132172797
48	1311870429.8475100994	0.0071353344	0.0075704179	0.0093324902	0.0035230328	0.0168360000	0	0	209321984	0.0047207046	-0.0058580544	-0.0127979899
49	1311870429.9314460754	0.0066718794	0.0075520804	0.0093324902	0.0035579982	0.0163900000	0	0	209321984	0.0037954566	-0.0039121313	-0.0129408101
50	1311870429.9634649754	0.0072198408	0.0075454356	0.0093324902	0.0035440597	0.0163480000	0	0	209321984	0.0057084896	-0.0053914669	-0.0131280702
51	1311870429.9994781017	0.0076725287	0.0075479276	0.0093324902	0.0035241442	0.0188680000	0	0	209321984	0.0067958701	-0.0068742409	-0.0130165508
52	1311870430.0993549824	0.0064768046	0.0075273291	0.0093324902	0.0035660583	0.0166700000	0	0	209321984	0.0056987279	-0.0051721809	-0.0114746010
53	1311870430.1475219727	0.0061863000	0.0075020266	0.0093324902	0.0035322612	0.0165560000	0	0	209321984	0.0056105028	-0.0054280437	-0.0116421198
54	1311870430.2151548862	0.0074962759	0.0075019201	0.0093324902	0.0035097355	0.0165300000	0	0	209321984	0.0066866102	-0.0049459506	-0.0107648000
55	1311870430.3161709309	0.0067137340	0.0074875895	0.0093324902	0.0037177192	0.0164950000	0	0	209321984	0.0087562399	-0.0084697455	-0.0113624539
56	1311870430.3811728954	0.0075639035	0.0074889522	0.0093324902	0.0037290030	0.0164140000	0	0	209321984	0.0120248199	-0.0071730283	-0.0114795724
57	1311870430.4162011147	0.0071085212	0.0074822780	0.0093324902	0.0037346995	0.0168290000	0	0	209321984	0.0121223703	-0.0070973970	-0.0110842362
58	1311870430.5146350861	0.0080246469	0.0074916292	0.0093324902	0.0037141970	0.0169120000	0	0	209321984	0.0136387227	-0.0070773396	-0.0093251457
59	1311870430.5508279800	0.0070912796	0.0074848436	0.0093324902	0.0037776564	0.0167710000	0	0	209321984	0.0148092322	-0.0075169457	-0.0103569077
60	1311870430.5818738937	0.0068431580	0.0074741488	0.0093324902	0.0037527725	0.0168570000	0	0	209321984	0.0161179453	-0.0075398530	-0.0112157799
61	1311870430.6808118820	0.0068603409	0.0074640864	0.0093324902	0.0038784333	0.0170570000	0	0	209321984	0.0166429728	-0.0058181598	-0.0111791948
62	1311870430.7498240471	0.0067488244	0.0074525499	0.0093324902	0.0039697046	0.0166080000	0	0	209321984	0.0228296164	-0.0085558062	-0.0121329241
63	1311870430.7994089127	0.0064542866	0.0074367045	0.0093324902	0.0039456969	0.0168100000	0	0	209321984	0.0254845582	-0.0066761416	-0.0133934245
64	1311870430.8314800262	0.0075881141	0.0074390703	0.0093324902	0.0039171740	0.0165070000	0	0	209321984	0.0272693168	-0.0070971730	-0.0123781990
65	1311870430.8838539124	0.0065021650	0.0074246563	0.0093324902	0.0038958541	0.0161690000	0	0	209321984	0.0292869993	-0.0070198821	-0.0135920662
66	1311870430.9145569801	0.0062926654	0.0074075050	0.0093324902	0.0038673492	0.0162550000	0	0	209321984	0.0311792772	-0.0075778062	-0.0141859967
67	1311870430.9636011124	0.0059424932	0.0073856391	0.0093324902	0.0038575963	0.0162240000	0	0	209321984	0.0360975824	-0.0065945406	-0.0157315228
68	1311870431.0636470318	0.0041526402	0.0073380950	0.0093324902	0.0038701960	0.0166900000	0	0	209321984	0.0469306223	-0.0072744340	-0.0180818047
69	1311870431.0992701054	0.0061035235	0.0073202027	0.0093324902	0.0043736501	0.0183680000	0	0	209321984	0.0495539680	-0.0073371287	-0.0165352616
70	1311870431.1314749718	0.0052904235	0.0072912058	0.0093324902	0.0043448677	0.0182220000	0	0	209321984	0.0565259010	-0.0072107730	-0.0179594923
71	1311870431.2167279720	0.0103397416	0.0073341429	0.0103397416	0.0044455246	0.0171520000	0	0	209321984	0.0639579147	-0.0041624792	-0.0143787786
72	1311870431.2830610275	0.0108442279	0.0073828941	0.0108442279	0.0044523029	0.0177630000	0	0	209321984	0.0733126327	-0.0041882102	-0.0138912508
73	1311870431.3316760063	0.0116913226	0.0074419137	0.0116913226	0.0044384973	0.0179020000	0	0	209321984	0.0811421573	-0.0032671867	-0.0126324892
74	1311870431.3824510574	0.0120904967	0.0075047324	0.0120904967	0.0044575187	0.0172740000	0	0	209321984	0.0873314813	-0.0030349446	-0.0138813164
75	1311870431.4994590282	0.0148804169	0.0076030748	0.0148804169	0.0044622488	0.0172690000	0	0	209321984	0.1035797000	-0.0017316114	-0.0128572639
76	1311870431.6183340549	0.0173338708	0.0077311116	0.0173338708	0.0044623609	0.0168040000	0	0	209321984	0.1121804342	-0.0051867715	-0.0182199515
77	1311870431.7169349194	0.0205593817	0.0078977125	0.0205593817	0.0045074857	0.0170270000	0	0	209321984	0.1225432679	-0.0028709830	-0.0193156637
78	1311870431.7497210503	0.0171248484	0.0080160092	0.0205593817	0.0045020577	0.0169510000	0	0	209321984	0.1288412511	-0.0062607210	-0.0222997814
79	1311870431.8315410614	0.0155839706	0.0081118061	0.0205593817	0.0044919705	0.0167610000	0	0	209321984	0.1339888722	-0.0105441110	-0.0291762650
80	1311870431.8636939526	0.0154160354	0.0082031090	0.0205593817	0.0044721614	0.0168280000	0	0	209321984	0.1358974725	-0.0094206231	-0.0317110382
81	1311870431.9471509457	0.0221681409	0.0083755168	0.0221681409	0.0045194191	0.0175060000	0	0	209321984	0.1367835999	-0.0079372693	-0.0327357426
82	1311870432.0820031166	0.0189480279	0.0085044499	0.0221681409	0.0045245344	0.0176780000	0	0	209321984	0.1514789760	-0.0135362893	-0.0409981422
83	1311870432.1636068821	0.0226396769	0.0086747538	0.0226396769	0.0045414242	0.0165610000	0	0	209321984	0.1604695767	-0.0096117491	-0.0398714021
84	1311870432.1994609833	0.0194338877	0.0088028387	0.0226396769	0.0045524269	0.0165410000	0	0	209321984	0.1661581248	-0.0108314045	-0.0433125347
