SLAMBench Report run started:	2020-02-28 08:17:58

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2KIDNAP-ORB-DEP-00020.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_360_kidnap.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libdepth-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0002

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311875132.4757819176	0.0345793143	0.0345793143	0.0345793143	0.0000000000	0.0138250000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311875132.5079400539	0.0394862704	0.0370327923	0.0394862704	0.0237477422	0.0182610000	0	0	209321984	-0.0043712845	0.0196174867	0.0009248464
3	1311875132.5436189175	0.0474147163	0.0404934337	0.0474147163	0.0187709531	0.0148990000	0	0	209321984	-0.0101413308	0.0289921928	-0.0024331249
4	1311875132.5721910000	0.0384261049	0.0399766015	0.0474147163	0.0186504338	0.0150060000	0	0	209321984	-0.0091963615	0.0153852813	0.0028639741
5	1311875132.6078259945	0.0413144156	0.0402441643	0.0474147163	0.0165332608	0.0148580000	0	0	209321984	-0.0029415188	0.0149830561	0.0047361962
6	1311875132.6434719563	0.0385806710	0.0399669154	0.0474147163	0.0157749944	0.0148360000	0	0	209321984	-0.0014207921	0.0075730048	0.0094738482
7	1311875132.6759819984	0.0276548117	0.0382080435	0.0474147163	0.0152372405	0.0149100000	0	0	209321984	-0.0076503931	-0.0068365517	0.0228142645
8	1311875132.7055940628	0.0227824878	0.0362798490	0.0474147163	0.0144941545	0.0149770000	0	0	209321984	-0.0074187950	-0.0027757585	0.0287931934
9	1311875132.7451519966	0.0267761499	0.0352238824	0.0474147163	0.0137300075	0.0149530000	0	0	209321984	-0.0028139381	-0.0021159621	0.0291474406
10	1311875132.7766220570	0.0233630184	0.0340377960	0.0474147163	0.0138410077	0.0149310000	0	0	209321984	-0.0097407261	-0.0031929256	0.0330792293
11	1311875132.8079359531	0.0272352248	0.0334193805	0.0474147163	0.0133771542	0.0147850000	0	0	209321984	-0.0043267813	0.0040200897	0.0322511159
12	1311875132.8433818817	0.0296980478	0.0331092694	0.0474147163	0.0132498395	0.0154860000	0	0	209321984	0.0007621512	0.0086414479	0.0348750427
13	1311875132.8759710789	0.0281294677	0.0327262077	0.0474147163	0.0129218247	0.0146690000	0	0	209321984	0.0036875494	0.0163152851	0.0411707200
14	1311875132.9073479176	0.0229298435	0.0320264674	0.0474147163	0.0132220794	0.0145800000	0	0	209321984	0.0000541426	0.0046161851	0.0511741117
15	1311875132.9446649551	0.0248671100	0.0315491769	0.0474147163	0.0130075681	0.0147180000	0	0	209321984	0.0045590680	0.0161599722	0.0541586317
16	1311875132.9763550758	0.0166963600	0.0306208759	0.0474147163	0.0134380129	0.0147670000	0	0	209321984	0.0034629637	0.0060760598	0.0706378892
17	1311875133.0076510906	0.0152120348	0.0297144735	0.0474147163	0.0148110273	0.0147700000	0	0	209321984	-0.0033030177	0.0077826474	0.0843326896
18	1311875133.0405840874	0.0184579510	0.0290891111	0.0474147163	0.0144997803	0.0144600000	0	0	209321984	-0.0044138520	0.0073820311	0.0935957506
19	1311875133.0728170872	0.0203739274	0.0286304172	0.0474147163	0.0154875091	0.0145170000	0	0	209321984	0.0075576254	0.0080686035	0.0863452554
20	1311875133.1051700115	0.0190642532	0.0281521090	0.0474147163	0.0153082818	0.0155870000	0	0	209321984	0.0131513570	0.0077986363	0.0944724530
21	1311875133.1411960125	0.0281521957	0.0281521132	0.0474147163	0.0155260531	0.0149220000	0	0	209321984	0.0134059386	0.0225810353	0.0949236527
22	1311875133.1741549969	0.0279740542	0.0281440196	0.0474147163	0.0152045769	0.0150670000	0	0	209321984	0.0150981545	0.0201810375	0.1037296131
23	1311875133.2123270035	0.0332174599	0.0283646039	0.0474147163	0.0149537363	0.0148690000	0	0	209321984	0.0197304357	0.0180133879	0.1089540794
24	1311875133.2434830666	0.0330749340	0.0285608677	0.0474147163	0.0146428419	0.0149190000	0	0	209321984	0.0268850569	0.0202919729	0.1169215068
25	1311875133.3138830662	0.0317164510	0.0286870910	0.0474147163	0.0149398992	0.0149820000	0	0	209321984	0.0290766209	0.0075824605	0.1436452121
26	1311875133.3438858986	0.0256719701	0.0285711248	0.0474147163	0.0147230053	0.0147250000	0	0	209321984	0.0361819416	0.0086510377	0.1593191028
27	1311875133.3741660118	0.0262150560	0.0284838630	0.0474147163	0.0147877850	0.0145360000	0	0	209321984	0.0501131006	0.0183856841	0.1629503220
28	1311875133.4121339321	0.0351049490	0.0287203304	0.0474147163	0.0147408955	0.0142610000	0	0	209321984	0.0512847416	0.0282534007	0.1751882136
29	1311875133.4442689419	0.0313161090	0.0288098400	0.0474147163	0.0146944477	0.0144400000	0	0	209321984	0.0594659969	0.0188653376	0.1839957684
30	1311875133.4725389481	0.0320111886	0.0289165516	0.0474147163	0.0146459831	0.0143580000	0	0	209321984	0.0617216155	0.0141204959	0.1913846135
31	1311875133.5120959282	0.0315804183	0.0290024828	0.0474147163	0.0144182570	0.0143060000	0	0	209321984	0.0690394193	0.0111371726	0.2031519562
32	1311875133.5406858921	0.0444809571	0.0294861851	0.0474147163	0.0146350332	0.0144210000	0	0	209321984	0.0797041282	0.0267108083	0.2026513964
33	1311875133.5759999752	0.0484141372	0.0300597594	0.0484141372	0.0144664491	0.0144480000	0	0	209321984	0.0869593769	0.0284641981	0.2105734050
34	1311875133.6120789051	0.0456932634	0.0305195684	0.0484141372	0.0150922409	0.0140170000	0	0	209321984	0.1137068793	0.0293754824	0.2283649147
35	1311875133.6421430111	0.0490754806	0.0310497373	0.0490754806	0.0149120837	0.0141980000	0	0	209321984	0.1219857037	0.0261779912	0.2314289808
36	1311875133.6752901077	0.0535920300	0.0316759121	0.0535920300	0.0147339270	0.0140520000	0	0	209321984	0.1259641349	0.0323230810	0.2394210398
37	1311875133.7096529007	0.0523824543	0.0322355484	0.0535920300	0.0145750271	0.0139390000	0	0	209321984	0.1319772005	0.0287330654	0.2480439544
38	1311875133.7425110340	0.0477128066	0.0326428446	0.0535920300	0.0144185674	0.0141200000	0	0	209321984	0.1372829676	0.0240683109	0.2604446113
39	1311875133.7753310204	0.0473245569	0.0330192988	0.0535920300	0.0142964406	0.0141380000	0	0	209321984	0.1424715817	0.0198428743	0.2679858208
40	1311875133.8118510246	0.0481114164	0.0333966017	0.0535920300	0.0141700930	0.0141160000	0	0	209321984	0.1481766403	0.0286462866	0.2815569341
41	1311875133.8402380943	0.0442391858	0.0336610550	0.0535920300	0.0140430183	0.0139300000	0	0	209321984	0.1523495317	0.0237765256	0.2913008928
42	1311875133.8752861023	0.0488593988	0.0340229203	0.0535920300	0.0139397194	0.0142420000	0	0	209321984	0.1543560475	0.0218211673	0.2933737338
43	1311875133.9116890430	0.0471875966	0.0343290756	0.0535920300	0.0138480985	0.0140080000	0	0	209321984	0.1580167115	0.0245641451	0.3058139682
44	1311875133.9440960884	0.0467018522	0.0346102751	0.0535920300	0.0137320931	0.0141230000	0	0	209321984	0.1639032513	0.0220055822	0.3155536354
45	1311875133.9764430523	0.0458640419	0.0348603588	0.0535920300	0.0138029226	0.0142120000	0	0	209321984	0.1574651301	0.0247518010	0.3206583560
46	1311875134.0114529133	0.0443376973	0.0350663879	0.0535920300	0.0137625247	0.0141840000	0	0	209321984	0.1555661857	0.0316995978	0.3328338265
47	1311875134.0434739590	0.0525277853	0.0354379070	0.0535920300	0.0136510413	0.0138900000	0	0	209321984	0.1588262618	0.0334364995	0.3321994245
48	1311875134.0755050182	0.0498032644	0.0357371852	0.0535920300	0.0137011041	0.0138770000	0	0	209321984	0.1491565853	0.0393453017	0.3429786563
49	1311875134.1117639542	0.0611155145	0.0362551103	0.0611155145	0.0136640469	0.0138080000	0	0	209321984	0.1530831307	0.0477809161	0.3439328074
50	1311875134.1405279636	0.0789958537	0.0371099252	0.0789958537	0.0158591069	0.0144210000	0	0	209321984	0.1832470894	0.0358948745	0.3401911855
51	1311875134.1755371094	0.0718955621	0.0377919965	0.0789958537	0.0160248449	0.0143200000	0	0	209321984	0.1801173091	0.0189414099	0.3532175422
