SLAMBench Report run started:	2020-02-28 08:17:29

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2KIDNAP-ORB-INT-00080.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_360_kidnap.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libint-skip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-threshold: 0.0008

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311875132.4422500134	0.0320209078	0.0320209078	0.0320209078	0.0000000000	0.0163080000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311875132.4757819176	0.0404724106	0.0362466592	0.0404724106	0.0203734729	0.0236210000	0	0	209321984	-0.0064972113	0.0161546674	-0.0057693794
3	1311875132.5079400539	0.0578487590	0.0434473592	0.0578487590	0.0274780041	0.0330460000	0	0	209321984	-0.0104793739	0.0448525064	-0.0040028612
4	1311875132.5436189175	0.0679410771	0.0495707886	0.0679410771	0.0248971375	0.0153420000	0	0	209321984	-0.0189813077	0.0596225709	-0.0000256673
5	1311875132.5721910000	0.0502928495	0.0497152008	0.0679410771	0.0252466177	0.0150020000	0	0	209321984	-0.0102661476	0.0402254537	0.0059547704
6	1311875132.6078259945	0.0529560447	0.0502553415	0.0679410771	0.0226328179	0.0324320000	0	0	209321984	-0.0090327756	0.0395967811	0.0032964712
7	1311875132.6434719563	0.0453185588	0.0495500868	0.0679410771	0.0219478640	0.0150140000	0	0	209321984	-0.0051139398	0.0270965006	0.0068884362
8	1311875132.6759819984	0.0298164673	0.0470833844	0.0679410771	0.0205830840	0.0150000000	0	0	209321984	-0.0097255604	0.0171611756	0.0199286714
9	1311875132.7055940628	0.0299681239	0.0451816887	0.0679410771	0.0192801166	0.0149800000	0	0	209321984	-0.0081173582	0.0178207941	0.0222324692
10	1311875132.7451519966	0.0284073092	0.0435042508	0.0679410771	0.0184360576	0.0150360000	0	0	209321984	-0.0087617841	0.0184114799	0.0267362464
11	1311875132.7766220570	0.0303978976	0.0423127641	0.0679410771	0.0179042259	0.0150020000	0	0	209321984	-0.0121169891	0.0263504777	0.0312926136
12	1311875132.8079359531	0.0339182876	0.0416132244	0.0679410771	0.0171084416	0.0145990000	0	0	209321984	-0.0103392946	0.0309296977	0.0329447687
13	1311875132.8433818817	0.0376213416	0.0413061565	0.0679410771	0.0166954525	0.0146260000	0	0	209321984	-0.0055379500	0.0338177048	0.0335846469
14	1311875132.8759710789	0.0362332836	0.0409438085	0.0679410771	0.0160871881	0.0149650000	0	0	209321984	-0.0018219764	0.0350067392	0.0393214449
15	1311875132.9073479176	0.0292260796	0.0401626265	0.0679410771	0.0157583031	0.0148320000	0	0	209321984	-0.0026356108	0.0297073368	0.0477265343
