SLAMBench Report run started:	2020-02-28 08:22:09

Properties:
=================

frame-limit: 0
log-file: ./experiments/filter-experiments/TUM2KIDNAP-ORB-RND-030.log
input: datasets/TUM/freiburg2/rgbd_dataset_freiburg2_360_kidnap.slam
load-slam-library: ./build/lib/liborbslam2-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
Depth-intrinsics-parameters: 0.9075,1.212083,0.4825,0.52708
Depth-disparity-params: 0.001,0
Grey-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
RGB-intrinsics-parameters: 0.8139063,1.085417,0.5079687,0.5202
load-filter-library: ./build/lib/libskip-flow-filter.so
mode: auto
settings: 
vocabulary: ./benchmarks/orbslam2/src/original/Vocabulary/ORBvoc.bin
max-features: 1000
scale-levels: 8
scale-factor: 1.2
initial-fast-threshold: 20
second-fast-threshold: 7
camera-fps: 40
depth-threshold: 40
skip-probability: 0.3

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	CUDA_Memory	X	Y	Z
1	1311875132.4422500134	0.0320209078	0.0320209078	0.0320209078	0.0000000000	0.0162430000	0	0	209321984	0.0000000000	0.0000000000	0.0000000000
2	1311875132.4757819176	0.0404724106	0.0362466592	0.0404724106	0.0203734729	0.0194280000	0	0	209321984	-0.0064972113	0.0161546674	-0.0057693794
3	1311875132.5079400539	0.0578487590	0.0434473592	0.0578487590	0.0274780041	0.0155390000	0	0	209321984	-0.0104793739	0.0448525064	-0.0040028612
4	1311875132.5436189175	0.0679410771	0.0495707886	0.0679410771	0.0248971375	0.0146730000	0	0	209321984	-0.0189813077	0.0596225709	-0.0000256673
5	1311875132.5721910000	0.0502928495	0.0497152008	0.0679410771	0.0252466177	0.0149290000	0	0	209321984	-0.0102661476	0.0402254537	0.0059547704
6	1311875132.6434719563	0.0452388972	0.0489691502	0.0679410771	0.0241599681	0.0147070000	0	0	209321984	-0.0057002297	0.0280387942	0.0073575955
7	1311875132.7055940628	0.0312282480	0.0464347356	0.0679410771	0.0223628645	0.0146470000	0	0	209321984	-0.0078968471	0.0208665915	0.0225882269
8	1311875132.7451519966	0.0294412524	0.0443105502	0.0679410771	0.0210346394	0.0147410000	0	0	209321984	-0.0089167999	0.0210986640	0.0270887800
9	1311875132.8433818817	0.0352595299	0.0433048813	0.0679410771	0.0200867587	0.0145390000	0	0	209321984	-0.0119704809	0.0262585133	0.0308408178
10	1311875132.8759710789	0.0357867889	0.0425530721	0.0679410771	0.0200046879	0.0146300000	0	0	209321984	0.0004589802	0.0298641194	0.0367223620
11	1311875132.9763550758	0.0254454296	0.0409978318	0.0679410771	0.0203217574	0.0150250000	0	0	209321984	0.0032813074	0.0299580600	0.0634754747
12	1311875133.0504899025	0.0259592514	0.0397446168	0.0679410771	0.0204225308	0.0144880000	0	0	209321984	0.0072714626	0.0375432596	0.0856361315
13	1311875133.1051700115	0.0291618779	0.0389305600	0.0679410771	0.0199242547	0.0148150000	0	0	209321984	0.0103945555	0.0310926121	0.0886525959
14	1311875133.1741549969	0.0442131609	0.0393078886	0.0679410771	0.0201898434	0.0148520000	0	0	209321984	0.0125518190	0.0481176376	0.1042478606
15	1311875133.2186629772	0.0437186509	0.0396019394	0.0679410771	0.0194788951	0.0149610000	0	0	209321984	0.0276507344	0.0496519096	0.1173362136
16	1311875133.2824831009	0.0279904753	0.0388762229	0.0679410771	0.0196419166	0.0148010000	0	0	209321984	0.0377044789	0.0304525141	0.1393976361
17	1311875133.3187060356	0.0284228977	0.0382613214	0.0679410771	0.0190210729	0.0147520000	0	0	209321984	0.0423523933	0.0304905437	0.1511815935
18	1311875133.3504478931	0.0305706672	0.0378340629	0.0679410771	0.0186351361	0.0145150000	0	0	209321984	0.0565615073	0.0308543220	0.1562433541
19	1311875133.3824920654	0.0374815762	0.0378155109	0.0679410771	0.0182120129	0.0142440000	0	0	209321984	0.0597891659	0.0359256677	0.1638819426
20	1311875133.4504880905	0.0373930708	0.0377943889	0.0679410771	0.0177891143	0.0143870000	0	0	209321984	0.0710672066	0.0357938372	0.1885639578
21	1311875133.4824059010	0.0314537995	0.0374924561	0.0679410771	0.0184188565	0.0142540000	0	0	209321984	0.0800498426	0.0162079185	0.1922047436
